Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
29/04/2017;2;7;18;Muy buena / Oso ona;11;76;94;Buena / Ona;7;Muy buena / Oso ona;2;3;Muy buena / Oso ona;173;55;1005,4;0;399,2;16;1,67;Buena / Ona
28/04/2017;4;13;52;Buena / Ona;20;68;93;Buena / Ona;8;Muy buena / Oso ona;2;12;Muy buena / Oso ona;191;71;1016,4;0;305,5;9;0,35;Buena / Ona
27/04/2017;3;10;32;Muy buena / Oso ona;14;71;97;Buena / Ona;6;Muy buena / Oso ona;2;7;Muy buena / Oso ona;245;74;1017,2;0;257,1;7;0,69;Buena / Ona
26/04/2017;2;11;30;Muy buena / Oso ona;15;76;91;Buena / Ona;6;Muy buena / Oso ona;2;7;Muy buena / Oso ona;307;80;1013,2;0;80,9;8;0,86;Buena / Ona
25/04/2017;2;15;26;Muy buena / Oso ona;18;65;78;Buena / Ona;11;Muy buena / Oso ona;2;6;Muy buena / Oso ona;286;87;1007,3;0;31,3;12;0,67;Buena / Ona
24/04/2017;;;;Sin datos / Daturik gabe;28;61;90;Buena / Ona;16;Muy buena / Oso ona;2;25;Muy buena / Oso ona;283;74;1011,2;0;334,9;13;0,73;Buena / Ona
23/04/2017;3;15;31;Muy buena / Oso ona;19;78;115;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;2;13;Muy buena / Oso ona;332;67;1015,2;0;402,1;14;0,3;Mejorable / Hobetzeko modukoa
22/04/2017;;;;Sin datos / Daturik gabe;10;105;125;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;2;6;Muy buena / Oso ona;206;44;1017,5;0;404,4;17;1,34;Mejorable / Hobetzeko modukoa
21/04/2017;7;25;61;Buena / Ona;33;74;110;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;2;7;Muy buena / Oso ona;222;55;1020,9;0;405,5;14;0,77;Mejorable / Hobetzeko modukoa
20/04/2017;;;;Sin datos / Daturik gabe;17;77;99;Buena / Ona;16;Muy buena / Oso ona;2;13;Muy buena / Oso ona;62;54;1023;0;410,1;11;0,8;Buena / Ona
19/04/2017;5;17;51;Buena / Ona;23;78;100;Buena / Ona;16;Muy buena / Oso ona;2;26;Muy buena / Oso ona;53;58;1022,2;0;400,9;12;1,13;Buena / Ona
18/04/2017;3;13;34;Muy buena / Oso ona;18;66;89;Buena / Ona;14;Muy buena / Oso ona;2;16;Muy buena / Oso ona;25;78;1019,7;0;155,1;12;0,35;Buena / Ona
17/04/2017;3;10;17;Muy buena / Oso ona;14;63;87;Buena / Ona;13;Muy buena / Oso ona;2;6;Muy buena / Oso ona;294;78;1018,3;0;376,5;13;0,19;Buena / Ona
16/04/2017;3;8;13;Muy buena / Oso ona;12;62;81;Buena / Ona;8;Muy buena / Oso ona;2;6;Muy buena / Oso ona;114;76;1021,7;0;341;13;0,28;Buena / Ona
15/04/2017;2;7;12;Muy buena / Oso ona;9;72;94;Buena / Ona;12;Muy buena / Oso ona;2;4;Muy buena / Oso ona;275;80;1021,2;0;110,3;13;0,74;Buena / Ona
14/04/2017;2;9;12;Muy buena / Oso ona;12;71;94;Buena / Ona;17;Muy buena / Oso ona;2;10;Muy buena / Oso ona;223;85;1018;0;42,2;13;1,19;Buena / Ona
13/04/2017;3;15;35;Muy buena / Oso ona;18;70;105;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;2;13;Muy buena / Oso ona;357;81;1016,2;0;354,6;13;0,32;Mejorable / Hobetzeko modukoa
