Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
18/01/2017;3;17;26;Muy buena / Oso ona;22;48;63;Buena / Ona;15;Muy buena / Oso ona;2;10;Muy buena / Oso ona;8;65;1027,7;0;5;4;1,73;Buena / Ona
17/01/2017;3;15;32;Muy buena / Oso ona;20;59;65;Buena / Ona;7;Muy buena / Oso ona;2;21;Muy buena / Oso ona;41;61;1028,9;3,6;97,9;7;2,25;Buena / Ona
16/01/2017;3;7;14;Muy buena / Oso ona;12;78;88;Buena / Ona;10;Muy buena / Oso ona;2;9;Muy buena / Oso ona;317;88;1027,1;24,6;12,3;11;3,94;Buena / Ona
15/01/2017;1;5;9;Muy buena / Oso ona;7;82;86;Buena / Ona;8;Muy buena / Oso ona;2;6;Muy buena / Oso ona;302;81;1031;18,5;18,7;10;2,79;Buena / Ona
14/01/2017;2;5;9;Muy buena / Oso ona;8;75;81;Buena / Ona;6;Muy buena / Oso ona;1;5;Muy buena / Oso ona;273;81;1029,8;13,3;49,1;7;2,19;Buena / Ona
13/01/2017;4;6;11;Muy buena / Oso ona;12;78;84;Buena / Ona;;Sin datos / Daturik gabe;1;4;Muy buena / Oso ona;277;75;1025,3;19,7;46,9;8;3,16;Buena / Ona
12/01/2017;6;10;20;Muy buena / Oso ona;19;42;62;Buena / Ona;6;Muy buena / Oso ona;1;4;Muy buena / Oso ona;250;84;1022,2;6,5;40,6;12;1,46;Buena / Ona
11/01/2017;3;10;22;Muy buena / Oso ona;14;61;81;Buena / Ona;3;Muy buena / Oso ona;1;4;Muy buena / Oso ona;290;91;1025,6;5,7;12,8;13;2,44;Buena / Ona
10/01/2017;3;9;13;Muy buena / Oso ona;13;70;78;Buena / Ona;8;Muy buena / Oso ona;1;5;Muy buena / Oso ona;295;91;1022,2;51,9;5,3;10;2,61;Buena / Ona
09/01/2017;9;29;51;Buena / Ona;43;29;35;Muy buena / Oso ona;12;Muy buena / Oso ona;1;7;Muy buena / Oso ona;171;75;1030;0,1;164,5;9;0,99;Buena / Ona
08/01/2017;4;25;42;Muy buena / Oso ona;31;34;55;Muy buena / Oso ona;17;Muy buena / Oso ona;2;8;Muy buena / Oso ona;155;65;1034,4;0;122,1;6;0,74;Muy buena / Oso ona
07/01/2017;6;25;36;Muy buena / Oso ona;34;27;47;Muy buena / Oso ona;18;Muy buena / Oso ona;2;9;Muy buena / Oso ona;180;75;1034,6;0;155,6;;0,93;Muy buena / Oso ona
06/01/2017;3;16;26;Muy buena / Oso ona;20;35;55;Muy buena / Oso ona;11;Muy buena / Oso ona;1;5;Muy buena / Oso ona;189;80;1033,9;0;159,6;4;1,02;Muy buena / Oso ona
05/01/2017;5;19;27;Muy buena / Oso ona;26;31;55;Muy buena / Oso ona;11;Muy buena / Oso ona;1;6;Muy buena / Oso ona;171;80;1031,9;0;158,5;5;1,24;Muy buena / Oso ona
04/01/2017;12;23;38;Muy buena / Oso ona;41;15;32;Muy buena / Oso ona;18;Muy buena / Oso ona;2;14;Muy buena / Oso ona;208;89;1029,3;0;122,6;5;0,98;Muy buena / Oso ona
03/01/2017;10;23;35;Muy buena / Oso ona;38;15;28;Muy buena / Oso ona;20;Muy buena / Oso ona;2;8;Muy buena / Oso ona;202;84;1026,1;0;128,9;6;0,81;Muy buena / Oso ona
02/01/2017;6;16;52;Buena / Ona;25;39;55;Muy buena / Oso ona;14;Muy buena / Oso ona;1;4;Muy buena / Oso ona;191;63;1020,5;0;71,5;8;2,91;Buena / Ona
01/01/2017;1;8;29;Muy buena / Oso ona;10;36;49;Muy buena / Oso ona;8;Muy buena / Oso ona;1;4;Muy buena / Oso ona;196;66;1024,2;0;134,4;6;3,26;Muy buena / Oso ona
