Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;ICA Estación
11/03/2017;90;111;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
10/03/2017;98;112;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
09/03/2017;75;83;Buena / Ona;Buena / Ona
08/03/2017;65;73;Buena / Ona;Buena / Ona
07/03/2017;78;94;Buena / Ona;Buena / Ona
06/03/2017;82;93;Buena / Ona;Buena / Ona
05/03/2017;75;85;Buena / Ona;Buena / Ona
04/03/2017;85;91;Buena / Ona;Buena / Ona
03/03/2017;85;91;Buena / Ona;Buena / Ona
02/03/2017;74;87;Buena / Ona;Buena / Ona
01/03/2017;76;97;Buena / Ona;Buena / Ona
28/02/2017;92;97;Buena / Ona;Buena / Ona
27/02/2017;81;93;Buena / Ona;Buena / Ona
26/02/2017;83;98;Buena / Ona;Buena / Ona
25/02/2017;91;95;Buena / Ona;Buena / Ona
24/02/2017;83;90;Buena / Ona;Buena / Ona
23/02/2017;69;84;Buena / Ona;Buena / Ona
22/02/2017;74;85;Buena / Ona;Buena / Ona
21/02/2017;79;89;Buena / Ona;Buena / Ona
20/02/2017;87;93;Buena / Ona;Buena / Ona
19/02/2017;86;100;Buena / Ona;Buena / Ona
18/02/2017;83;100;Buena / Ona;Buena / Ona
17/02/2017;81;91;Buena / Ona;Buena / Ona
16/02/2017;78;85;Buena / Ona;Buena / Ona
15/02/2017;77;85;Buena / Ona;Buena / Ona
14/02/2017;74;83;Buena / Ona;Buena / Ona
13/02/2017;83;94;Buena / Ona;Buena / Ona
12/02/2017;87;93;Buena / Ona;Buena / Ona
11/02/2017;83;88;Buena / Ona;Buena / Ona
10/02/2017;84;85;Buena / Ona;Buena / Ona
09/02/2017;76;87;Buena / Ona;Buena / Ona
08/02/2017;89;94;Buena / Ona;Buena / Ona
07/02/2017;82;91;Buena / Ona;Buena / Ona
06/02/2017;70;91;Buena / Ona;Buena / Ona
05/02/2017;92;96;Buena / Ona;Buena / Ona
04/02/2017;84;93;Buena / Ona;Buena / Ona
03/02/2017;92;97;Buena / Ona;Buena / Ona
02/02/2017;81;93;Buena / Ona;Buena / Ona
