Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;16;26;45;Muy buena / Oso ona;41;29;72;Buena / Ona;17;Muy buena / Oso ona;12;Muy buena / Oso ona;0;Muy buena / Oso ona;352;91;1029,7;0;38,7;14,7;0,22;Buena / Ona
27/10/2017;33;32;55;Buena / Ona;72;34;69;Buena / Ona;29;Buena / Ona;15;Muy buena / Oso ona;0;Muy buena / Oso ona;31;89;1031,2;0;28,6;15,7;0,23;Buena / Ona
26/10/2017;21;28;66;Buena / Ona;59;30;68;Buena / Ona;29;Buena / Ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;251;81;1025,2;0;117;17,4;0,87;Buena / Ona
25/10/2017;50;36;64;Buena / Ona;112;18;42;Muy buena / Oso ona;28;Buena / Ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;193;90;1021,3;0;119,1;14,9;0,56;Buena / Ona
24/10/2017;48;36;55;Buena / Ona;108;10;22;Muy buena / Oso ona;24;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;;90;1022,7;0;112,4;;;Buena / Ona
23/10/2017;27;30;51;Buena / Ona;60;25;53;Muy buena / Oso ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;;91;1026,4;0;126,1;;;Buena / Ona
22/10/2017;;;;Sin datos / Daturik gabe;12;54;67;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;;88;1028,1;0,1;55,8;13,6;;Buena / Ona
21/10/2017;;;;Sin datos / Daturik gabe;17;59;71;Buena / Ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;;79;1023,2;0,1;39,9;16,8;;Buena / Ona
20/10/2017;29;33;50;Muy buena / Oso ona;63;22;34;Muy buena / Oso ona;17;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;;76;1015,3;0;101,1;18,1;;Muy buena / Oso ona
19/10/2017;15;27;52;Buena / Ona;44;38;65;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;253;84;1010,9;0,1;117,2;15,8;0,34;Buena / Ona
18/10/2017;;;;Sin datos / Daturik gabe;48;32;55;Muy buena / Oso ona;20;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;258;92;1009,7;0,2;21,3;16,3;0,67;Muy buena / Oso ona
17/10/2017;;;;Sin datos / Daturik gabe;16;60;79;Buena / Ona;35;Buena / Ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;206;78;1015,2;0;83,7;20,2;2,64;Buena / Ona
16/10/2017;;;;Sin datos / Daturik gabe;20;63;81;Buena / Ona;35;Buena / Ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;;86;1020,5;0;131,6;;;Buena / Ona
15/10/2017;;;;Sin datos / Daturik gabe;;78;81;Buena / Ona;30;Buena / Ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;216;54;1020;0;127,2;25,4;5,81;Buena / Ona
14/10/2017;;;;Sin datos / Daturik gabe;31;45;71;Buena / Ona;39;Buena / Ona;18;Buena / Ona;0;Muy buena / Oso ona;252;80;1021,8;0;133;21;0,13;Buena / Ona
13/10/2017;40;26;79;Buena / Ona;76;43;78;Buena / Ona;43;Buena / Ona;22;Buena / Ona;1;Muy buena / Oso ona;320;84;1023;0;132,8;18,4;0,71;Buena / Ona
12/10/2017;11;21;37;Muy buena / Oso ona;33;29;66;Buena / Ona;24;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;139;87;1023,9;0;138;16,8;0,14;Buena / Ona
11/10/2017;29;22;71;Buena / Ona;61;37;69;Buena / Ona;23;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;;88;1020,1;0;144;;;Buena / Ona
10/10/2017;22;24;42;Muy buena / Oso ona;54;24;55;Muy buena / Oso ona;17;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;;94;1020,1;0;145,2;;;Muy buena / Oso ona
09/10/2017;28;29;54;Buena / Ona;60;29;63;Buena / Ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;129;84;1021,8;0;148;14,9;0,11;Buena / Ona
08/10/2017;9;17;26;Muy buena / Oso ona;29;34;73;Buena / Ona;15;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;144;82;1022,6;0;151,5;13,5;0,06;Buena / Ona
07/10/2017;8;18;33;Muy buena / Oso ona;28;31;69;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;312;84;1024,3;0;151,8;13,4;0,19;Buena / Ona
06/10/2017;10;19;39;Muy buena / Oso ona;32;44;68;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;2;87;1025,2;0;45,3;16,3;0,89;Buena / Ona
05/10/2017;;;;Sin datos / Daturik gabe;44;39;65;Buena / Ona;23;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;;95;1023,4;0;45,8;;;Buena / Ona
04/10/2017;28;17;37;Muy buena / Oso ona;54;13;28;Muy buena / Oso ona;16;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;14;94;1022,2;0;108,8;18,9;0,34;Muy buena / Oso ona
03/10/2017;25;16;32;Muy buena / Oso ona;52;13;23;Muy buena / Oso ona;12;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;;100;1022,7;0;66,3;;;Muy buena / Oso ona
02/10/2017;15;27;55;Buena / Ona;46;27;37;Muy buena / Oso ona;7;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;228;99;1023,7;0,1;26,6;18,5;0,75;Buena / Ona
01/10/2017;7;14;25;Muy buena / Oso ona;20;24;32;Muy buena / Oso ona;9;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;219;96;1022,4;0,2;18,3;16,8;1,1;Muy buena / Oso ona
30/09/2017;4;17;22;Muy buena / Oso ona;20;42;62;Buena / Ona;15;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;29;91;1021,4;0,1;48,4;16,5;0,31;Buena / Ona
29/09/2017;24;24;61;Buena / Ona;58;50;91;Buena / Ona;28;Buena / Ona;19;Buena / Ona;3;Muy buena / Oso ona;219;92;1020,3;0;160,4;18,1;0,26;Buena / Ona
