Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
16/03/2017;0;10;21;Muy buena / Oso ona;11;89;95;Buena / Ona;193;39;970,1;371,3;17,5;7,51;Buena / Ona
15/03/2017;2;11;43;Muy buena / Oso ona;14;62;72;Buena / Ona;86;93;977;334,1;10,2;1,33;Buena / Ona
14/03/2017;0;7;13;Muy buena / Oso ona;8;57;71;Buena / Ona;17;100;982,1;86,9;8,7;4,56;Buena / Ona
13/03/2017;0;7;10;Muy buena / Oso ona;7;73;81;Buena / Ona;7;97;977,6;15,3;7,5;13,76;Buena / Ona
12/03/2017;0;3;7;Muy buena / Oso ona;3;80;89;Buena / Ona;323;96;970,2;44,7;8;12,81;Buena / Ona
11/03/2017;1;8;28;Muy buena / Oso ona;9;85;91;Buena / Ona;302;60;967,7;180,2;16,4;7,16;Buena / Ona
10/03/2017;1;11;23;Muy buena / Oso ona;12;79;89;Buena / Ona;141;34;970,8;359,5;21,1;3,07;Buena / Ona
09/03/2017;3;15;29;Muy buena / Oso ona;19;47;64;Buena / Ona;123;91;975,5;309,6;11,7;1,87;Buena / Ona
08/03/2017;2;10;29;Muy buena / Oso ona;13;54;66;Buena / Ona;358;98;977,6;187,6;10,1;1,51;Buena / Ona
07/03/2017;0;6;19;Muy buena / Oso ona;6;70;88;Buena / Ona;303;95;976;37,5;9,8;8,46;Buena / Ona
06/03/2017;0;3;11;Muy buena / Oso ona;3;80;89;Buena / Ona;295;87;971,5;22;10,7;10,13;Buena / Ona
05/03/2017;0;6;16;Muy buena / Oso ona;6;71;80;Buena / Ona;246;81;963,1;71,4;10,2;6,18;Buena / Ona
04/03/2017;0;6;20;Muy buena / Oso ona;6;80;84;Buena / Ona;280;68;954,4;225,3;6,4;7,61;Buena / Ona
03/03/2017;0;7;18;Muy buena / Oso ona;7;78;88;Buena / Ona;246;75;951,3;77,6;10,1;6,93;Buena / Ona
02/03/2017;1;8;20;Muy buena / Oso ona;9;65;79;Buena / Ona;191;71;965,4;186,7;12,6;3,41;Buena / Ona
01/03/2017;0;4;11;Muy buena / Oso ona;4;75;86;Buena / Ona;256;71;966,3;311,6;10,3;4,64;Buena / Ona
28/02/2017;0;6;14;Muy buena / Oso ona;6;80;87;Buena / Ona;279;85;961,2;33,5;7,5;8,33;Buena / Ona
27/02/2017;0;7;45;Muy buena / Oso ona;8;71;83;Buena / Ona;257;76;960,3;251,8;10,7;7,6;Buena / Ona
26/02/2017;1;8;24;Muy buena / Oso ona;9;68;84;Buena / Ona;360;87;969;279,4;9,7;1,15;Buena / Ona
25/02/2017;1;7;27;Muy buena / Oso ona;9;82;87;Buena / Ona;257;60;969,4;300,9;10,6;2,2;Buena / Ona
24/02/2017;0;6;15;Muy buena / Oso ona;7;73;79;Buena / Ona;25;94;970,2;63,4;6,7;4,57;Buena / Ona
23/02/2017;2;15;33;Muy buena / Oso ona;18;47;67;Buena / Ona;289;89;966,2;70,9;9,1;3,45;Buena / Ona
22/02/2017;3;12;34;Muy buena / Oso ona;16;56;67;Buena / Ona;135;78;970,4;293;11,4;1,86;Buena / Ona
21/02/2017;1;16;39;Muy buena / Oso ona;18;61;80;Buena / Ona;48;88;975,6;83,4;8,7;0,25;Buena / Ona
20/02/2017;1;8;27;Muy buena / Oso ona;10;77;83;Buena / Ona;5;91;977,6;215,2;8,1;1,83;Buena / Ona
19/02/2017;0;6;16;Muy buena / Oso ona;6;76;78;Buena / Ona;349;100;976,8;43,2;8;3,8;Buena / Ona
18/02/2017;1;10;22;Muy buena / Oso ona;12;72;77;Buena / Ona;322;81;971,6;166,9;10;3,4;Buena / Ona
17/02/2017;2;12;41;Muy buena / Oso ona;15;69;79;Buena / Ona;209;60;975,8;280,9;13,3;2,15;Buena / Ona
16/02/2017;0;8;21;Muy buena / Oso ona;8;71;78;Buena / Ona;206;61;979,1;274,5;13,4;4,89;Buena / Ona
15/02/2017;0;9;23;Muy buena / Oso ona;9;67;70;Buena / Ona;200;60;978;248,5;12,8;7,48;Buena / Ona
14/02/2017;0;6;15;Muy buena / Oso ona;6;73;78;Buena / Ona;210;61;969;199,1;11,5;8,43;Buena / Ona
13/02/2017;0;7;13;Muy buena / Oso ona;8;71;79;Buena / Ona;169;72;954,7;114,4;11,4;10,83;Buena / Ona
12/02/2017;0;7;9;Muy buena / Oso ona;7;65;77;Buena / Ona;146;82;953,3;35,3;9,2;13,95;Buena / Ona
11/02/2017;0;9;19;Muy buena / Oso ona;10;57;74;Buena / Ona;111;87;963,2;40,3;6,2;3,79;Buena / Ona
10/02/2017;1;13;38;Muy buena / Oso ona;13;64;74;Buena / Ona;180;54;960,6;101,4;8,8;7,22;Buena / Ona
09/02/2017;1;10;19;Muy buena / Oso ona;11;69;79;Buena / Ona;186;64;966,5;227,8;7,8;5,52;Buena / Ona
08/02/2017;0;3;9;Muy buena / Oso ona;3;76;84;Buena / Ona;344;88;976,5;104,4;5,6;10,59;Buena / Ona
07/02/2017;0;5;18;Muy buena / Oso ona;5;73;83;Buena / Ona;304;92;972,2;45,4;8,1;9,06;Buena / Ona
06/02/2017;0;7;26;Muy buena / Oso ona;8;64;81;Buena / Ona;274;89;972,4;47,5;9,4;5,94;Buena / Ona
05/02/2017;0;2;5;Muy buena / Oso ona;2;83;88;Buena / Ona;297;83;962,6;72,7;6,5;16,09;Buena / Ona
04/02/2017;0;5;23;Muy buena / Oso ona;6;73;83;Buena / Ona;263;85;956,1;18,4;9,9;7;Buena / Ona
03/02/2017;0;3;7;Muy buena / Oso ona;3;84;85;Buena / Ona;237;58;955,3;168,6;11,5;13,07;Buena / Ona
02/02/2017;0;4;10;Muy buena / Oso ona;4;78;82;Buena / Ona;233;63;955,3;61,1;11,7;14,73;Buena / Ona
01/02/2017;0;5;9;Muy buena / Oso ona;5;66;71;Buena / Ona;237;62;961,4;196,4;13;13,31;Buena / Ona
31/01/2017;0;6;14;Muy buena / Oso ona;7;61;70;Buena / Ona;221;61;962,5;219,5;13,4;11,43;Buena / Ona
30/01/2017;0;5;14;Muy buena / Oso ona;5;59;64;Buena / Ona;234;72;966,4;53,9;13,9;10,68;Buena / Ona
29/01/2017;0;3;5;Muy buena / Oso ona;3;68;73;Buena / Ona;238;72;968,7;94;10,8;10,61;Buena / Ona
28/01/2017;0;6;17;Muy buena / Oso ona;6;75;83;Buena / Ona;276;71;969;152,5;7,7;5,7;Buena / Ona
27/01/2017;0;7;14;Muy buena / Oso ona;7;70;71;Buena / Ona;211;74;956,6;47,1;7,6;11,4;Buena / Ona
26/01/2017;0;10;16;Muy buena / Oso ona;10;69;72;Buena / Ona;213;60;959,1;142;6,3;10,61;Buena / Ona
25/01/2017;1;12;23;Muy buena / Oso ona;14;66;82;Buena / Ona;121;79;970,7;231,7;2,9;4,45;Buena / Ona
24/01/2017;0;8;18;Muy buena / Oso ona;9;72;77;Buena / Ona;354;87;975,4;125,6;5,2;3,24;Buena / Ona
23/01/2017;0;7;11;Muy buena / Oso ona;7;72;76;Buena / Ona;337;95;972,5;122,5;6;7,17;Buena / Ona
22/01/2017;0;8;18;Muy buena / Oso ona;8;64;74;Buena / Ona;348;98;970,6;91,1;5,9;5,28;Buena / Ona
21/01/2017;4;17;47;Muy buena / Oso ona;23;56;76;Buena / Ona;160;69;970;171,2;7,2;1,52;Buena / Ona
20/01/2017;3;17;48;Muy buena / Oso ona;21;45;51;Muy buena / Oso ona;119;78;971,6;203,3;3,4;2,78;Muy buena / Oso ona
19/01/2017;7;33;50;Muy buena / Oso ona;42;25;42;Muy buena / Oso ona;137;91;973,3;20,7;0,4;3,21;Muy buena / Oso ona
18/01/2017;0;11;25;Muy buena / Oso ona;11;50;67;Buena / Ona;28;85;974,2;5,7;;6,19;Buena / Ona
17/01/2017;0;8;22;Muy buena / Oso ona;9;60;66;Buena / Ona;44;74;975,8;141,6;2,8;8,63;Buena / Ona
16/01/2017;0;4;9;Muy buena / Oso ona;4;70;79;Buena / Ona;355;99;975,2;13,7;7,7;15,64;Buena / Ona
15/01/2017;0;3;7;Muy buena / Oso ona;3;75;78;Buena / Ona;352;96;978,1;19,4;6,7;13,46;Buena / Ona
14/01/2017;0;3;6;Muy buena / Oso ona;3;73;75;Buena / Ona;348;92;976,8;54,5;4,7;9,84;Buena / Ona
13/01/2017;0;2;4;Muy buena / Oso ona;2;77;81;Buena / Ona;338;87;972,5;46,7;5,2;13,13;Buena / Ona
12/01/2017;1;12;43;Muy buena / Oso ona;13;48;64;Buena / Ona;295;96;970,6;50;9,1;6,58;Buena / Ona
11/01/2017;0;3;5;Muy buena / Oso ona;3;65;73;Buena / Ona;318;100;973,7;16,9;9,6;12,83;Buena / Ona
10/01/2017;0;7;28;Muy buena / Oso ona;8;66;72;Buena / Ona;338;97;969,9;4,6;7,9;12,64;Buena / Ona
09/01/2017;3;23;73;Buena / Ona;28;53;69;Buena / Ona;175;74;977,8;199,3;8,2;1,94;Buena / Ona
08/01/2017;0;9;20;Muy buena / Oso ona;9;65;79;Buena / Ona;112;60;981,4;143,4;5,8;3,1;Buena / Ona
07/01/2017;1;7;26;Muy buena / Oso ona;8;65;76;Buena / Ona;98;52;981,2;196;4,7;1,72;Buena / Ona
06/01/2017;0;8;12;Muy buena / Oso ona;8;59;67;Buena / Ona;103;74;980,4;201,4;3,3;2,94;Buena / Ona
05/01/2017;1;12;26;Muy buena / Oso ona;13;58;66;Buena / Ona;126;70;978,8;198,1;4,4;6,33;Buena / Ona
04/01/2017;3;17;31;Muy buena / Oso ona;22;34;38;Muy buena / Oso ona;13;83;976,5;168,2;5,8;1,03;Muy buena / Oso ona
03/01/2017;4;19;62;Buena / Ona;25;38;48;Muy buena / Oso ona;127;67;973,6;178,3;7;3,13;Buena / Ona
02/01/2017;0;10;36;Muy buena / Oso ona;10;55;62;Buena / Ona;223;61;968,6;94,9;7,4;6,17;Buena / Ona
01/01/2017;1;11;32;Muy buena / Oso ona;12;46;51;Muy buena / Oso ona;219;68;971,8;172,6;6,1;2,51;Muy buena / Oso ona
