Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
01/08/2017;1;7;13;Muy buena / Oso ona;8;42;47;Muy buena / Oso ona;52;93;967,4;124,1;16,5;2,46;Muy buena / Oso ona
31/07/2017;0;5;10;Muy buena / Oso ona;5;43;51;Muy buena / Oso ona;34;95;964,2;59,6;15,6;3,56;Muy buena / Oso ona
30/07/2017;0;5;16;Muy buena / Oso ona;6;46;58;Muy buena / Oso ona;23;90;966;44,8;17,1;3,7;Muy buena / Oso ona
29/07/2017;1;11;31;Muy buena / Oso ona;12;68;88;Buena / Ona;67;51;966,4;465;21,5;1,41;Buena / Ona
28/07/2017;1;11;54;Buena / Ona;14;40;51;Muy buena / Oso ona;20;92;968,7;199,2;17,2;1,96;Buena / Ona
27/07/2017;4;15;41;Muy buena / Oso ona;21;51;60;Muy buena / Oso ona;353;82;967,1;412,3;18,5;2,75;Muy buena / Oso ona
26/07/2017;2;13;30;Muy buena / Oso ona;15;62;71;Buena / Ona;333;85;968,2;415,2;16,2;1,2;Buena / Ona
25/07/2017;0;3;6;Muy buena / Oso ona;3;61;62;Buena / Ona;331;90;971,8;164,1;14,8;5,7;Buena / Ona
24/07/2017;0;2;4;Muy buena / Oso ona;2;45;50;Muy buena / Oso ona;333;98;972,8;127,5;15,2;9,13;Muy buena / Oso ona
23/07/2017;1;7;21;Muy buena / Oso ona;8;54;62;Buena / Ona;324;82;971,7;339;16,1;3,54;Buena / Ona
22/07/2017;0;4;13;Muy buena / Oso ona;5;62;73;Buena / Ona;333;78;967,3;205,5;16,3;1,87;Buena / Ona
21/07/2017;1;10;21;Muy buena / Oso ona;11;42;53;Muy buena / Oso ona;359;92;964,4;105,2;14,3;2,05;Muy buena / Oso ona
20/07/2017;0;6;19;Muy buena / Oso ona;6;51;59;Muy buena / Oso ona;347;92;967,5;78,8;14,2;4,43;Muy buena / Oso ona
19/07/2017;1;10;27;Muy buena / Oso ona;12;72;88;Buena / Ona;345;86;963,8;242,7;17,3;2,55;Buena / Ona
18/07/2017;1;8;16;Muy buena / Oso ona;8;89;124;Mejorable / Hobetzeko modukoa;246;70;960,7;286,2;21,8;2,21;Mejorable / Hobetzeko modukoa
17/07/2017;2;11;59;Buena / Ona;14;108;127;Mejorable / Hobetzeko modukoa;143;61;964,1;356,3;25,1;2,93;Mejorable / Hobetzeko modukoa
16/07/2017;1;6;38;Muy buena / Oso ona;7;78;99;Buena / Ona;75;80;971;478,8;18,9;2,22;Buena / Ona
15/07/2017;0;5;15;Muy buena / Oso ona;5;54;63;Buena / Ona;51;92;973,4;201,7;15,4;3,85;Buena / Ona
14/07/2017;1;6;13;Muy buena / Oso ona;8;47;62;Buena / Ona;39;90;973,7;132,8;15,6;4,85;Buena / Ona
13/07/2017;1;8;16;Muy buena / Oso ona;9;35;40;Muy buena / Oso ona;20;95;972,9;51,7;15,4;2,78;Muy buena / Oso ona
12/07/2017;2;11;40;Muy buena / Oso ona;15;39;61;Buena / Ona;352;89;971,3;108,7;16,6;2,98;Buena / Ona
11/07/2017;3;11;30;Muy buena / Oso ona;15;44;63;Buena / Ona;333;84;967,4;291;16,6;1,72;Buena / Ona
10/07/2017;1;5;11;Muy buena / Oso ona;6;43;62;Buena / Ona;337;96;966,7;174,3;15,4;4,56;Buena / Ona
09/07/2017;0;6;24;Muy buena / Oso ona;6;60;78;Buena / Ona;327;95;965,6;248,5;15,8;5,21;Buena / Ona
08/07/2017;0;5;12;Muy buena / Oso ona;6;62;81;Buena / Ona;332;97;967,5;132,3;16,2;5,18;Buena / Ona
07/07/2017;1;10;30;Muy buena / Oso ona;11;55;76;Buena / Ona;360;82;968,5;209,8;18,5;1,96;Buena / Ona
06/07/2017;2;17;28;Muy buena / Oso ona;19;60;76;Buena / Ona;192;71;966,6;225,6;20,6;2,67;Buena / Ona
