Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;ICA Estación
04/09/2017;22;16;28;Muy buena / Oso ona;50;16;Muy buena / Oso ona;Muy buena / Oso ona
03/09/2017;8;17;36;Muy buena / Oso ona;29;14;Muy buena / Oso ona;Muy buena / Oso ona
02/09/2017;9;17;35;Muy buena / Oso ona;30;14;Muy buena / Oso ona;Muy buena / Oso ona
01/09/2017;13;21;33;Muy buena / Oso ona;41;17;Muy buena / Oso ona;Muy buena / Oso ona
31/08/2017;10;20;34;Muy buena / Oso ona;35;14;Muy buena / Oso ona;Muy buena / Oso ona
30/08/2017;10;15;26;Muy buena / Oso ona;31;17;Muy buena / Oso ona;Muy buena / Oso ona
29/08/2017;9;24;33;Muy buena / Oso ona;37;16;Muy buena / Oso ona;Muy buena / Oso ona
28/08/2017;21;26;40;Muy buena / Oso ona;58;28;Buena / Ona;Buena / Ona
27/08/2017;8;23;33;Muy buena / Oso ona;35;26;Buena / Ona;Buena / Ona
26/08/2017;5;14;28;Muy buena / Oso ona;22;16;Muy buena / Oso ona;Muy buena / Oso ona
25/08/2017;6;12;24;Muy buena / Oso ona;21;16;Muy buena / Oso ona;Muy buena / Oso ona
24/08/2017;6;13;33;Muy buena / Oso ona;22;23;Muy buena / Oso ona;Muy buena / Oso ona
23/08/2017;7;14;29;Muy buena / Oso ona;24;27;Buena / Ona;Buena / Ona
22/08/2017;10;22;61;Buena / Ona;37;31;Buena / Ona;Buena / Ona
21/08/2017;10;19;42;Muy buena / Oso ona;34;17;Muy buena / Oso ona;Muy buena / Oso ona
20/08/2017;3;12;24;Muy buena / Oso ona;18;13;Muy buena / Oso ona;Muy buena / Oso ona
19/08/2017;5;14;25;Muy buena / Oso ona;21;10;Muy buena / Oso ona;Muy buena / Oso ona
18/08/2017;8;17;29;Muy buena / Oso ona;29;12;Muy buena / Oso ona;Muy buena / Oso ona
17/08/2017;6;14;24;Muy buena / Oso ona;24;12;Muy buena / Oso ona;Muy buena / Oso ona
16/08/2017;5;13;27;Muy buena / Oso ona;21;9;Muy buena / Oso ona;Muy buena / Oso ona
15/08/2017;3;8;16;Muy buena / Oso ona;12;13;Muy buena / Oso ona;Muy buena / Oso ona
14/08/2017;8;16;34;Muy buena / Oso ona;29;26;Buena / Ona;Buena / Ona
13/08/2017;5;13;32;Muy buena / Oso ona;20;14;Muy buena / Oso ona;Muy buena / Oso ona
12/08/2017;7;13;27;Muy buena / Oso ona;23;14;Muy buena / Oso ona;Muy buena / Oso ona
11/08/2017;14;14;25;Muy buena / Oso ona;35;16;Muy buena / Oso ona;Muy buena / Oso ona
10/08/2017;12;24;41;Muy buena / Oso ona;42;12;Muy buena / Oso ona;Muy buena / Oso ona
09/08/2017;9;16;26;Muy buena / Oso ona;29;11;Muy buena / Oso ona;Muy buena / Oso ona
08/08/2017;6;15;36;Muy buena / Oso ona;24;10;Muy buena / Oso ona;Muy buena / Oso ona
07/08/2017;9;15;30;Muy buena / Oso ona;29;19;Muy buena / Oso ona;Muy buena / Oso ona
06/08/2017;3;8;17;Muy buena / Oso ona;12;14;Muy buena / Oso ona;Muy buena / Oso ona
05/08/2017;5;11;22;Muy buena / Oso ona;19;7;Muy buena / Oso ona;Muy buena / Oso ona
04/08/2017;8;13;25;Muy buena / Oso ona;24;15;Muy buena / Oso ona;Muy buena / Oso ona
03/08/2017;7;14;33;Muy buena / Oso ona;24;21;Muy buena / Oso ona;Muy buena / Oso ona
02/08/2017;11;14;25;Muy buena / Oso ona;31;17;Muy buena / Oso ona;Muy buena / Oso ona
01/08/2017;8;20;35;Muy buena / Oso ona;32;15;Muy buena / Oso ona;Muy buena / Oso ona
31/07/2017;4;11;24;Muy buena / Oso ona;17;15;Muy buena / Oso ona;Muy buena / Oso ona
30/07/2017;5;13;30;Muy buena / Oso ona;21;14;Muy buena / Oso ona;Muy buena / Oso ona
29/07/2017;5;15;30;Muy buena / Oso ona;22;13;Muy buena / Oso ona;Muy buena / Oso ona
28/07/2017;6;15;26;Muy buena / Oso ona;25;10;Muy buena / Oso ona;Muy buena / Oso ona
27/07/2017;10;12;18;Muy buena / Oso ona;27;19;Muy buena / Oso ona;Muy buena / Oso ona
26/07/2017;14;19;29;Muy buena / Oso ona;39;16;Muy buena / Oso ona;Muy buena / Oso ona
25/07/2017;4;14;26;Muy buena / Oso ona;20;13;Muy buena / Oso ona;Muy buena / Oso ona
24/07/2017;6;12;22;Muy buena / Oso ona;20;8;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;3;9;27;Muy buena / Oso ona;13;15;Muy buena / Oso ona;Muy buena / Oso ona
22/07/2017;7;11;16;Muy buena / Oso ona;21;17;Muy buena / Oso ona;Muy buena / Oso ona
21/07/2017;10;18;36;Muy buena / Oso ona;33;17;Muy buena / Oso ona;Muy buena / Oso ona
20/07/2017;5;14;27;Muy buena / Oso ona;22;9;Muy buena / Oso ona;Muy buena / Oso ona
19/07/2017;4;13;23;Muy buena / Oso ona;18;29;Buena / Ona;Buena / Ona
18/07/2017;7;25;77;Buena / Ona;35;34;Buena / Ona;Buena / Ona
17/07/2017;14;28;36;Muy buena / Oso ona;50;29;Buena / Ona;Buena / Ona
16/07/2017;5;16;39;Muy buena / Oso ona;24;20;Muy buena / Oso ona;Muy buena / Oso ona
15/07/2017;3;9;20;Muy buena / Oso ona;14;13;Muy buena / Oso ona;Muy buena / Oso ona
14/07/2017;8;14;32;Muy buena / Oso ona;27;11;Muy buena / Oso ona;Muy buena / Oso ona
13/07/2017;5;14;30;Muy buena / Oso ona;22;12;Muy buena / Oso ona;Muy buena / Oso ona
12/07/2017;15;13;25;Muy buena / Oso ona;36;18;Muy buena / Oso ona;Muy buena / Oso ona
11/07/2017;12;16;28;Muy buena / Oso ona;34;16;Muy buena / Oso ona;Muy buena / Oso ona
10/07/2017;7;16;34;Muy buena / Oso ona;26;12;Muy buena / Oso ona;Muy buena / Oso ona
09/07/2017;2;10;19;Muy buena / Oso ona;14;17;Muy buena / Oso ona;Muy buena / Oso ona
08/07/2017;2;11;23;Muy buena / Oso ona;15;13;Muy buena / Oso ona;Muy buena / Oso ona
07/07/2017;11;21;41;Muy buena / Oso ona;37;25;Muy buena / Oso ona;Muy buena / Oso ona
06/07/2017;7;33;64;Buena / Ona;43;33;Buena / Ona;Buena / Ona
05/07/2017;5;23;71;Buena / Ona;28;26;Buena / Ona;Buena / Ona
04/07/2017;12;20;49;Muy buena / Oso ona;38;20;Muy buena / Oso ona;Muy buena / Oso ona
03/07/2017;9;12;17;Muy buena / Oso ona;26;13;Muy buena / Oso ona;Muy buena / Oso ona
02/07/2017;5;9;24;Muy buena / Oso ona;16;13;Muy buena / Oso ona;Muy buena / Oso ona
01/07/2017;4;15;26;Muy buena / Oso ona;21;13;Muy buena / Oso ona;Muy buena / Oso ona
30/06/2017;11;18;31;Muy buena / Oso ona;34;14;Muy buena / Oso ona;Muy buena / Oso ona
29/06/2017;10;19;33;Muy buena / Oso ona;33;12;Muy buena / Oso ona;Muy buena / Oso ona
28/06/2017;8;17;36;Muy buena / Oso ona;29;12;Muy buena / Oso ona;Muy buena / Oso ona
27/06/2017;9;14;29;Muy buena / Oso ona;28;13;Muy buena / Oso ona;Muy buena / Oso ona
26/06/2017;9;17;28;Muy buena / Oso ona;30;19;Muy buena / Oso ona;Muy buena / Oso ona
25/06/2017;2;10;21;Muy buena / Oso ona;14;11;Muy buena / Oso ona;Muy buena / Oso ona
24/06/2017;2;9;21;Muy buena / Oso ona;12;21;Muy buena / Oso ona;Muy buena / Oso ona
23/06/2017;3;13;19;Muy buena / Oso ona;17;27;Buena / Ona;Buena / Ona
22/06/2017;3;13;24;Muy buena / Oso ona;17;21;Muy buena / Oso ona;Muy buena / Oso ona
21/06/2017;7;26;43;Muy buena / Oso ona;37;29;Buena / Ona;Buena / Ona
20/06/2017;7;31;55;Buena / Ona;40;24;Muy buena / Oso ona;Buena / Ona
19/06/2017;5;25;54;Buena / Ona;29;22;Muy buena / Oso ona;Buena / Ona
18/06/2017;3;16;43;Muy buena / Oso ona;20;21;Muy buena / Oso ona;Muy buena / Oso ona
17/06/2017;3;13;33;Muy buena / Oso ona;18;20;Muy buena / Oso ona;Muy buena / Oso ona
16/06/2017;5;16;37;Muy buena / Oso ona;23;17;Muy buena / Oso ona;Muy buena / Oso ona
15/06/2017;3;13;24;Muy buena / Oso ona;16;8;Muy buena / Oso ona;Muy buena / Oso ona
14/06/2017;5;16;36;Muy buena / Oso ona;22;26;Buena / Ona;Buena / Ona
13/06/2017;4;13;29;Muy buena / Oso ona;19;24;Muy buena / Oso ona;Muy buena / Oso ona
