Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;ICA Estación
26/01/2017;27;35;73;Buena / Ona;76;27;Buena / Ona;Buena / Ona
25/01/2017;30;38;59;Buena / Ona;84;25;Muy buena / Oso ona;Buena / Ona
24/01/2017;66;44;82;Buena / Ona;145;32;Buena / Ona;Buena / Ona
23/01/2017;69;42;74;Buena / Ona;146;30;Buena / Ona;Buena / Ona
22/01/2017;36;38;72;Buena / Ona;93;26;Buena / Ona;Buena / Ona
21/01/2017;42;37;75;Buena / Ona;102;28;Buena / Ona;Buena / Ona
20/01/2017;45;39;65;Buena / Ona;107;32;Buena / Ona;Buena / Ona
19/01/2017;39;44;62;Buena / Ona;103;27;Buena / Ona;Buena / Ona
18/01/2017;24;44;60;Buena / Ona;81;24;Muy buena / Oso ona;Buena / Ona
17/01/2017;11;24;55;Buena / Ona;40;11;Muy buena / Oso ona;Buena / Ona
16/01/2017;5;16;44;Muy buena / Oso ona;23;6;Muy buena / Oso ona;Muy buena / Oso ona
15/01/2017;4;20;42;Muy buena / Oso ona;26;7;Muy buena / Oso ona;Muy buena / Oso ona
14/01/2017;11;40;64;Buena / Ona;57;10;Muy buena / Oso ona;Buena / Ona
13/01/2017;12;29;66;Buena / Ona;47;12;Muy buena / Oso ona;Buena / Ona
12/01/2017;48;36;56;Buena / Ona;108;16;Muy buena / Oso ona;Buena / Ona
11/01/2017;25;37;88;Buena / Ona;74;7;Muy buena / Oso ona;Buena / Ona
10/01/2017;20;26;57;Buena / Ona;56;10;Muy buena / Oso ona;Buena / Ona
09/01/2017;55;42;75;Buena / Ona;126;17;Muy buena / Oso ona;Buena / Ona
08/01/2017;33;39;67;Buena / Ona;88;25;Muy buena / Oso ona;Buena / Ona
07/01/2017;32;33;68;Buena / Ona;82;24;Muy buena / Oso ona;Buena / Ona
06/01/2017;25;29;61;Buena / Ona;68;18;Muy buena / Oso ona;Buena / Ona
05/01/2017;37;36;75;Buena / Ona;92;24;Muy buena / Oso ona;Buena / Ona
04/01/2017;53;37;68;Buena / Ona;119;28;Buena / Ona;Buena / Ona
03/01/2017;62;37;56;Buena / Ona;132;32;Buena / Ona;Buena / Ona
02/01/2017;38;35;67;Buena / Ona;92;20;Muy buena / Oso ona;Buena / Ona
01/01/2017;19;25;54;Buena / Ona;55;16;Muy buena / Oso ona;Buena / Ona
