Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
21/03/2017;6;32;67;Buena / Ona;41;15;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;191;;1013,3;0,1;32,2;;0,12;Buena / Ona
20/03/2017;5;24;49;Muy buena / Oso ona;32;21;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;189;;1013,7;0;36,3;;0,11;Muy buena / Oso ona
19/03/2017;5;18;30;Muy buena / Oso ona;25;24;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;86;;1017,2;0;177;;0,11;Muy buena / Oso ona
18/03/2017;5;17;45;Muy buena / Oso ona;24;21;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;46;;1020,8;0;62,1;;0,13;Muy buena / Oso ona
17/03/2017;5;23;59;Buena / Ona;30;34;Buena / Ona;25;Buena / Ona;3;Muy buena / Oso ona;295;;1019,5;0;74,8;;0,06;Buena / Ona
16/03/2017;14;32;57;Buena / Ona;53;74;Mala / Txarra;23;Buena / Ona;7;Muy buena / Oso ona;185;;1015,7;0;211,7;;0,53;Mala / Txarra
15/03/2017;6;27;55;Buena / Ona;36;45;Buena / Ona;32;Buena / Ona;2;Muy buena / Oso ona;108;;1023,4;0;131;;0,04;Buena / Ona
14/03/2017;6;23;52;Buena / Ona;33;40;Buena / Ona;29;Buena / Ona;2;Muy buena / Oso ona;70;;1028,2;0;65,3;;0,1;Buena / Ona
13/03/2017;5;25;49;Muy buena / Oso ona;33;29;Buena / Ona;18;Buena / Ona;2;Muy buena / Oso ona;18;;1023,1;0,1;0;;0,3;Buena / Ona
12/03/2017;4;9;18;Muy buena / Oso ona;15;21;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;268;;1016;0,1;15,7;;0,43;Muy buena / Oso ona
11/03/2017;9;24;63;Buena / Ona;38;25;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;307;;1012,9;0;135,8;;0,08;Buena / Ona
10/03/2017;27;43;83;Buena / Ona;83;29;Buena / Ona;19;Buena / Ona;2;Muy buena / Oso ona;82;;1016,4;0;176,4;;0,09;Buena / Ona
09/03/2017;6;17;37;Muy buena / Oso ona;27;23;Muy buena / Oso ona;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;100;;1021,9;0;125,3;;0,09;Muy buena / Oso ona
08/03/2017;5;12;25;Muy buena / Oso ona;19;11;Muy buena / Oso ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;30;;1023,8;0;114,9;;0,19;Muy buena / Oso ona
07/03/2017;6;12;35;Muy buena / Oso ona;21;21;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;254;;1022,1;0;9,8;;0,33;Muy buena / Oso ona
06/03/2017;5;10;33;Muy buena / Oso ona;18;22;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;257;;1017,4;0;35,3;;0,33;Muy buena / Oso ona
05/03/2017;6;12;29;Muy buena / Oso ona;21;16;Muy buena / Oso ona;11;Muy buena / Oso ona;8;Muy buena / Oso ona;221;;1009,3;0;55,1;;0,51;Muy buena / Oso ona
