Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
03/10/2017;14;16;24;Muy buena / Oso ona;37;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;65;91;1018,7;0;45,4;20;0,09;Muy buena / Oso ona
02/10/2017;5;24;47;Muy buena / Oso ona;32;7;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;183;93;1019,8;0;11,3;19,8;0,08;Muy buena / Oso ona
01/10/2017;5;18;26;Muy buena / Oso ona;25;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;189;91;1018,5;0,1;5,9;17,8;0,18;Muy buena / Oso ona
30/09/2017;3;17;31;Muy buena / Oso ona;21;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;67;87;1017,5;0;36,8;17,3;0,05;Muy buena / Oso ona
29/09/2017;14;27;67;Buena / Ona;49;18;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;120;81;1016,3;0;165;20,2;0,14;Buena / Ona
28/09/2017;16;30;74;Buena / Ona;54;13;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;173;75;1015,5;0;168,6;21,5;0,23;Buena / Ona
27/09/2017;10;28;56;Buena / Ona;42;10;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;133;76;1014,3;0;176,7;19,2;0,1;Buena / Ona
26/09/2017;7;20;35;Muy buena / Oso ona;30;8;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;100;81;1016,8;0;145,9;18,5;0,09;Muy buena / Oso ona
25/09/2017;4;19;46;Muy buena / Oso ona;25;16;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;201;83;1017,1;0;99,9;19,4;0,11;Muy buena / Oso ona
24/09/2017;4;16;26;Muy buena / Oso ona;22;25;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;75;81;1013,7;0;175,2;20,5;0,1;Buena / Ona
23/09/2017;5;18;38;Muy buena / Oso ona;25;21;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;173;74;1013,4;0;176,6;20,6;0,21;Muy buena / Oso ona
22/09/2017;6;23;38;Muy buena / Oso ona;32;18;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;126;84;1016,6;0;69,7;18;0,12;Muy buena / Oso ona
21/09/2017;5;15;29;Muy buena / Oso ona;23;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;118;80;1013,5;0;146,5;17,4;0,13;Muy buena / Oso ona
20/09/2017;8;18;27;Muy buena / Oso ona;30;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;166;74;1015,3;0;185,2;16,6;0,08;Muy buena / Oso ona
19/09/2017;8;15;29;Muy buena / Oso ona;27;;;;;3;Muy buena / Oso ona;144;79;1020;0;125,6;16,3;0,09;Muy buena / Oso ona
18/09/2017;4;13;25;Muy buena / Oso ona;20;;;;;2;Muy buena / Oso ona;110;84;1015,1;0;69,3;17;0,12;Muy buena / Oso ona
17/09/2017;3;10;20;Muy buena / Oso ona;14;;;;;4;Muy buena / Oso ona;215;69;1013,2;0;117;17;0,24;Muy buena / Oso ona
16/09/2017;3;13;23;Muy buena / Oso ona;17;;;;;2;Muy buena / Oso ona;206;74;1011,9;0;134,3;15;0,26;Muy buena / Oso ona
15/09/2017;6;16;34;Muy buena / Oso ona;24;;;;;2;Muy buena / Oso ona;227;77;1013;0;164,7;15,9;0,31;Muy buena / Oso ona
14/09/2017;3;17;30;Muy buena / Oso ona;23;;;;;2;Muy buena / Oso ona;170;77;1016,9;0,1;105,9;17,9;0,09;Muy buena / Oso ona
13/09/2017;6;17;26;Muy buena / Oso ona;27;;;;;4;Muy buena / Oso ona;141;74;1015,8;0;196,4;21,4;0,11;Muy buena / Oso ona
12/09/2017;3;13;30;Muy buena / Oso ona;18;;;;;2;Muy buena / Oso ona;203;77;1014,3;0;152,2;18,8;0,25;Muy buena / Oso ona
11/09/2017;;;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
10/09/2017;;;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
09/09/2017;;;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
08/09/2017;5;17;29;Muy buena / Oso ona;26;;;;;2;Muy buena / Oso ona;158;71;1010,2;0;183,1;18,9;0,12;Muy buena / Oso ona
07/09/2017;4;14;32;Muy buena / Oso ona;21;;;;;2;Muy buena / Oso ona;145;74;1017,3;0;114,4;19,2;0,1;Muy buena / Oso ona
06/09/2017;3;11;22;Muy buena / Oso ona;15;;;;;2;Muy buena / Oso ona;37;79;1021,1;0;82,5;20,6;0,13;Muy buena / Oso ona
05/09/2017;5;10;18;Muy buena / Oso ona;18;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;86;78;1018,1;0;176;21,6;0,1;Muy buena / Oso ona
04/09/2017;6;12;22;Muy buena / Oso ona;22;5;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;171;81;1012,6;0;133,4;21,3;0,13;Muy buena / Oso ona
03/09/2017;3;12;24;Muy buena / Oso ona;17;6;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;143;70;1010,5;0;150,8;20,2;0,19;Muy buena / Oso ona
02/09/2017;3;12;20;Muy buena / Oso ona;16;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;181;78;1018,7;0;100,3;18,2;0,11;Muy buena / Oso ona
01/09/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
31/08/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
30/08/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
29/08/2017;7;16;30;Muy buena / Oso ona;26;12;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;69;83;1009;0;187,8;22,4;0,12;Muy buena / Oso ona
28/08/2017;8;18;33;Muy buena / Oso ona;30;16;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;152;77;1009,4;0,1;130,7;23,8;0,14;Muy buena / Oso ona
27/08/2017;5;15;30;Muy buena / Oso ona;24;16;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;140;82;1009,3;0;54,1;23;0,1;Muy buena / Oso ona
26/08/2017;3;10;25;Muy buena / Oso ona;14;9;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;64;83;1009,4;0;131,7;22,8;0,18;Muy buena / Oso ona
25/08/2017;5;10;30;Muy buena / Oso ona;18;7;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;80;82;1011,2;0;91,2;22,2;0,07;Muy buena / Oso ona
24/08/2017;3;9;23;Muy buena / Oso ona;14;10;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;47;78;1011,5;0;129,6;23,3;0,12;Muy buena / Oso ona
23/08/2017;3;9;24;Muy buena / Oso ona;14;13;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;43;76;1013,2;0;120,9;22,7;0,2;Muy buena / Oso ona
22/08/2017;3;13;42;Muy buena / Oso ona;18;20;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;206;67;1011;0;215,5;25,5;0,01;Buena / Ona
21/08/2017;4;19;43;Muy buena / Oso ona;25;11;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;80;67;1012,2;0;252,4;23,7;0,16;Muy buena / Oso ona
20/08/2017;3;6;14;Muy buena / Oso ona;11;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;54;69;1020;0;250,2;20,5;0,25;Muy buena / Oso ona
19/08/2017;3;8;22;Muy buena / Oso ona;13;6;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;45;73;1018,9;0;226,3;21,3;0,27;Muy buena / Oso ona
18/08/2017;3;16;27;Muy buena / Oso ona;21;8;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;154;83;1016;0;49,8;21,5;0,12;Muy buena / Oso ona
17/08/2017;4;11;27;Muy buena / Oso ona;18;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;71;73;1015,6;0;253,3;22,2;0,13;Muy buena / Oso ona
16/08/2017;3;13;22;Muy buena / Oso ona;18;8;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;157;82;1017,1;0;122,5;21,4;0,08;Muy buena / Oso ona
15/08/2017;2;6;14;Muy buena / Oso ona;9;15;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;19;81;1014,8;0;59;22,3;0,12;Muy buena / Oso ona
14/08/2017;7;19;42;Muy buena / Oso ona;30;21;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;163;65;1009;0;252,7;25,7;0,14;Muy buena / Oso ona
13/08/2017;3;11;22;Muy buena / Oso ona;15;15;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;56;74;1014,9;0;258,9;21,3;0,2;Muy buena / Oso ona
12/08/2017;2;11;16;Muy buena / Oso ona;14;11;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;52;72;1018,9;0;263,3;19,6;0,13;Muy buena / Oso ona
11/08/2017;4;13;28;Muy buena / Oso ona;19;12;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;216;67;1020,6;0;239,2;19,1;0,11;Muy buena / Oso ona
10/08/2017;3;12;30;Muy buena / Oso ona;17;13;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;253;80;1020,9;0,2;62,1;18;0,14;Muy buena / Oso ona
09/08/2017;2;10;24;Muy buena / Oso ona;14;9;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;228;73;1017;0;139,8;18,4;0,23;Muy buena / Oso ona
08/08/2017;3;13;33;Muy buena / Oso ona;18;11;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;217;78;1014,4;0;122,1;18,9;0,15;Muy buena / Oso ona
07/08/2017;3;16;35;Muy buena / Oso ona;21;20;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;221;73;1010,3;0;117,5;21,8;0,1;Muy buena / Oso ona
06/08/2017;2;8;18;Muy buena / Oso ona;12;13;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;43;66;1017,2;0;217,8;21,6;0,3;Muy buena / Oso ona
05/08/2017;3;12;18;Muy buena / Oso ona;16;13;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;30;82;1016,1;0;41,6;21,5;0,29;Muy buena / Oso ona
04/08/2017;2;11;20;Muy buena / Oso ona;15;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;62;70;1013,1;0;274,7;25,9;0,25;Muy buena / Oso ona
03/08/2017;5;13;29;Muy buena / Oso ona;21;18;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;37;73;1013,8;0;264,8;24,5;0,27;Muy buena / Oso ona
02/08/2017;4;10;21;Muy buena / Oso ona;17;15;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;52;74;1013,6;0;221,1;22,7;0,22;Muy buena / Oso ona
01/08/2017;4;14;31;Muy buena / Oso ona;20;16;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;85;76;1011,9;0;119,9;21,8;0,08;Muy buena / Oso ona
31/07/2017;3;10;18;Muy buena / Oso ona;15;19;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;66;76;1008,5;0;87,3;21,8;0,13;Muy buena / Oso ona
30/07/2017;3;12;28;Muy buena / Oso ona;17;19;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;64;76;1010,3;0;75;22;0,08;Muy buena / Oso ona
29/07/2017;5;14;24;Muy buena / Oso ona;21;21;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;58;72;1010,5;0;277,4;24,1;0,16;Muy buena / Oso ona
28/07/2017;2;11;23;Muy buena / Oso ona;15;14;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;41;80;1013,4;0;131,5;22,4;0,14;Muy buena / Oso ona
27/07/2017;6;14;30;Muy buena / Oso ona;23;20;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;47;72;1011,5;0;279,7;22,8;0,16;Muy buena / Oso ona
26/07/2017;5;16;31;Muy buena / Oso ona;24;17;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;58;73;1013,1;0;245,9;20,7;0,06;Muy buena / Oso ona
25/07/2017;2;7;14;Muy buena / Oso ona;10;16;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;228;75;1016,4;0;78,9;20,1;0,09;Muy buena / Oso ona
24/07/2017;4;8;18;Muy buena / Oso ona;14;14;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;250;84;1017,5;0,1;93,3;20,3;0,13;Muy buena / Oso ona
23/07/2017;2;8;16;Muy buena / Oso ona;12;20;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;47;68;1016,5;0;275,7;21,9;0,07;Muy buena / Oso ona
22/07/2017;4;11;19;Muy buena / Oso ona;17;17;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;105;72;1012,2;0;193,7;20,8;0,06;Muy buena / Oso ona
21/07/2017;5;12;24;Muy buena / Oso ona;19;21;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;135;78;1009,5;0;78,6;19,6;0,1;Muy buena / Oso ona
20/07/2017;3;13;26;Muy buena / Oso ona;17;21;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;198;88;1012,8;0;45,1;18,8;0,12;Muy buena / Oso ona
19/07/2017;3;9;19;Muy buena / Oso ona;13;38;Buena / Ona;21;Buena / Ona;2;Muy buena / Oso ona;15;77;1008,6;0;102,8;22,7;0,11;Buena / Ona
18/07/2017;4;17;47;Muy buena / Oso ona;23;40;Buena / Ona;21;Buena / Ona;2;Muy buena / Oso ona;158;62;1005,1;0;255,1;27,2;0,18;Buena / Ona
17/07/2017;5;24;48;Muy buena / Oso ona;33;40;Buena / Ona;31;Buena / Ona;3;Muy buena / Oso ona;38;72;1008,3;0;248;26,9;0,27;Buena / Ona
16/07/2017;3;12;26;Muy buena / Oso ona;16;25;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;59;76;1015,7;0;299,3;22,7;0,21;Muy buena / Oso ona
15/07/2017;3;8;16;Muy buena / Oso ona;13;16;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;26;75;1018,5;0;181,3;21,2;0,33;Muy buena / Oso ona
14/07/2017;4;9;26;Muy buena / Oso ona;16;11;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;21;77;1018,7;0;153,4;21,3;0,26;Muy buena / Oso ona
13/07/2017;3;7;28;Muy buena / Oso ona;12;12;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;50;80;1018;0;97,5;21,3;0,13;Muy buena / Oso ona
12/07/2017;7;13;27;Muy buena / Oso ona;24;20;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;46;81;1016,4;0;147,7;21,1;0,17;Muy buena / Oso ona
11/07/2017;4;11;20;Muy buena / Oso ona;17;11;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;48;79;1012,5;0;226,1;21,1;0,16;Muy buena / Oso ona
10/07/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
09/07/2017;2;6;11;Muy buena / Oso ona;9;28;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;352;78;1011;0,1;246,1;21,8;0,1;Buena / Ona
08/07/2017;2;7;12;Muy buena / Oso ona;10;28;Buena / Ona;19;Buena / Ona;2;Muy buena / Oso ona;12;87;1012,9;0;33;20,7;0,02;Buena / Ona
07/07/2017;6;16;32;Muy buena / Oso ona;24;28;Buena / Ona;19;Buena / Ona;2;Muy buena / Oso ona;8;79;1013,1;0;231,9;22,6;0,12;Buena / Ona
06/07/2017;4;19;38;Muy buena / Oso ona;24;33;Buena / Ona;21;Buena / Ona;2;Muy buena / Oso ona;34;76;1011,5;0;175,7;22,4;0,24;Buena / Ona
05/07/2017;8;21;76;Buena / Ona;33;35;Buena / Ona;17;Buena / Ona;5;Muy buena / Oso ona;158;54;1008,2;0;283;26;0,17;Buena / Ona
04/07/2017;10;24;62;Buena / Ona;39;24;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;47;71;1010,1;0;310,9;24,7;0,2;Buena / Ona
03/07/2017;7;15;31;Muy buena / Oso ona;26;12;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;34;78;1019,8;0;269,9;19,3;0,21;Muy buena / Oso ona
02/07/2017;3;11;21;Muy buena / Oso ona;16;17;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;52;78;1023,3;0;209,8;18,2;0,07;Muy buena / Oso ona
01/07/2017;3;8;21;Muy buena / Oso ona;12;21;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;249;83;1020,9;0,1;39,4;15,9;0,25;Muy buena / Oso ona
30/06/2017;4;15;31;Muy buena / Oso ona;21;18;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;224;76;1012,6;0;110,1;16,5;0,42;Muy buena / Oso ona
29/06/2017;4;13;23;Muy buena / Oso ona;19;14;Muy buena / Oso ona;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;242;61;1006,4;0;136,7;18,3;0,24;Muy buena / Oso ona
28/06/2017;8;15;30;Muy buena / Oso ona;27;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;Sin datos / Daturik gabe;235;70;1002;0;130,1;20,6;0,28;Muy buena / Oso ona
27/06/2017;6;14;26;Muy buena / Oso ona;24;5;Muy buena / Oso ona;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;195;80;1004,5;0;96,5;21,2;0,1;Muy buena / Oso ona
26/06/2017;7;15;27;Muy buena / Oso ona;26;8;Muy buena / Oso ona;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;197;80;1005,9;0;163,5;22,8;0,12;Muy buena / Oso ona
25/06/2017;4;13;18;Muy buena / Oso ona;19;6;Muy buena / Oso ona;5;Muy buena / Oso ona;;Sin datos / Daturik gabe;54;78;1012,5;0;120,3;21,5;0,12;Muy buena / Oso ona
24/06/2017;4;10;17;Muy buena / Oso ona;17;17;Muy buena / Oso ona;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;50;71;1017,2;0;175,8;22,4;0,23;Muy buena / Oso ona
23/06/2017;5;14;30;Muy buena / Oso ona;21;15;Muy buena / Oso ona;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;167;;1018,6;;67,9;;0,06;Muy buena / Oso ona
22/06/2017;4;14;24;Muy buena / Oso ona;20;17;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;279;;1014,2;;26,9;;0,06;Muy buena / Oso ona
21/06/2017;4;21;32;Muy buena / Oso ona;28;18;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;86;;1009,6;;277,1;;0,16;Muy buena / Oso ona
20/06/2017;5;19;35;Muy buena / Oso ona;26;13;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;173;;1010,6;;258,8;;0,15;Muy buena / Oso ona
19/06/2017;4;14;23;Muy buena / Oso ona;20;13;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;205;;1008,5;;296,3;;0,41;Muy buena / Oso ona
18/06/2017;4;19;32;Muy buena / Oso ona;25;10;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;38;;1009,9;;302,6;;0,28;Muy buena / Oso ona
17/06/2017;4;15;28;Muy buena / Oso ona;21;10;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;63;;1016,2;;283,5;;0,13;Muy buena / Oso ona
16/06/2017;4;17;42;Muy buena / Oso ona;24;10;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;31;;1020;;109,4;;0,26;Muy buena / Oso ona
15/06/2017;4;14;28;Muy buena / Oso ona;21;10;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;245;;1017;;6,9;;0,06;Muy buena / Oso ona
14/06/2017;4;13;27;Muy buena / Oso ona;20;13;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;11;;1010,4;0;205;;0,11;Muy buena / Oso ona
13/06/2017;4;15;29;Muy buena / Oso ona;22;10;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;138;;1010,2;0;202;;0,08;Muy buena / Oso ona
12/06/2017;5;14;30;Muy buena / Oso ona;22;5;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;8;;1014,8;0;124,9;;0,22;Muy buena / Oso ona
11/06/2017;3;9;13;Muy buena / Oso ona;14;12;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;247;;1014,9;0;190,4;;0,06;Muy buena / Oso ona
10/06/2017;4;12;21;Muy buena / Oso ona;19;12;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;58;;1013,2;0;272,6;;0,15;Muy buena / Oso ona
09/06/2017;5;14;29;Muy buena / Oso ona;22;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;46;;1012,8;0;139,7;;0,18;Muy buena / Oso ona
08/06/2017;4;15;29;Muy buena / Oso ona;22;10;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;197;;1009,1;0;246,8;;0,31;Muy buena / Oso ona
07/06/2017;6;19;34;Muy buena / Oso ona;29;7;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;69;;1016,7;0;288,9;;0,09;Muy buena / Oso ona
06/06/2017;5;12;20;Muy buena / Oso ona;19;5;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;248;;1014,5;0;96,5;;0,15;Muy buena / Oso ona
05/06/2017;5;18;36;Muy buena / Oso ona;26;6;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;55;;1011,1;0;239,5;;0,06;Muy buena / Oso ona
04/06/2017;4;14;28;Muy buena / Oso ona;20;5;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;207;;1016,1;0;21;;0,1;Muy buena / Oso ona
03/06/2017;4;10;18;Muy buena / Oso ona;16;8;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;193;;1015,4;0;15;;0,12;Muy buena / Oso ona
02/06/2017;5;16;34;Muy buena / Oso ona;23;14;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;253;;1013,7;0;51,1;;0,04;Muy buena / Oso ona
01/06/2017;6;15;30;Muy buena / Oso ona;24;13;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;46;;1013,5;0;274,5;;0,23;Muy buena / Oso ona
31/05/2017;5;14;27;Muy buena / Oso ona;22;9;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;51;;1015,1;0;271;;0,19;Muy buena / Oso ona
30/05/2017;4;15;32;Muy buena / Oso ona;22;6;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;23;;1014,7;0;86,1;;0,25;Muy buena / Oso ona
29/05/2017;5;16;43;Muy buena / Oso ona;24;13;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;312;;1011,2;0;92,4;;0,09;Muy buena / Oso ona
28/05/2017;3;12;26;Muy buena / Oso ona;18;16;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;99;;1008,6;0;155,3;;0,1;Muy buena / Oso ona
27/05/2017;5;20;38;Muy buena / Oso ona;28;24;Muy buena / Oso ona;22;Buena / Ona;3;Muy buena / Oso ona;48;;1009;0;236,8;;0,23;Buena / Ona
26/05/2017;8;21;62;Buena / Ona;33;19;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;27;;1007,7;0;270,5;;0,16;Buena / Ona
25/05/2017;6;21;38;Muy buena / Oso ona;31;18;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;46;;1007,9;0;301,4;;0,21;Muy buena / Oso ona
24/05/2017;6;21;38;Muy buena / Oso ona;31;17;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;56;;1014,6;0;289,2;;0,22;Muy buena / Oso ona
23/05/2017;4;12;27;Muy buena / Oso ona;19;11;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;26;;1019,1;0;248,6;;0,2;Muy buena / Oso ona
22/05/2017;5;12;42;Muy buena / Oso ona;20;18;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;238;;1013,5;0;162,9;;0,06;Muy buena / Oso ona
21/05/2017;6;14;39;Muy buena / Oso ona;23;9;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;170;;1011;0;224,4;;0,25;Muy buena / Oso ona
20/05/2017;4;16;27;Muy buena / Oso ona;22;7;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;65;;1019,9;0;218,6;;0,07;Muy buena / Oso ona
19/05/2017;7;20;43;Muy buena / Oso ona;31;7;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;218;;1017,6;0;166,5;;0,21;Muy buena / Oso ona
18/05/2017;5;17;29;Muy buena / Oso ona;24;5;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;233;;1014;0,1;43,9;;0,19;Muy buena / Oso ona
17/05/2017;7;20;59;Buena / Ona;30;15;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;120;;1014,1;0;76,4;;0,07;Buena / Ona
