Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,18;;Sin datos / Daturik gabe;7;18;39;Muy buena / Oso ona;29;28;44;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;33;80;1009,6;14,9;0,47;Muy buena / Oso ona
27/10/2017;0,22;0,28;Muy buena / Oso ona;15;27;48;Muy buena / Oso ona;50;20;35;Muy buena / Oso ona;24;Muy buena / Oso ona;5;Muy buena / Oso ona;21;79;1011,4;14,8;0,31;Muy buena / Oso ona
26/10/2017;0,25;;Sin datos / Daturik gabe;18;42;69;Buena / Ona;70;19;36;Muy buena / Oso ona;24;Muy buena / Oso ona;8;Muy buena / Oso ona;37;65;1005,5;17,2;0,69;Buena / Ona
25/10/2017;0,28;0,34;Muy buena / Oso ona;33;44;92;Buena / Ona;94;12;26;Muy buena / Oso ona;28;Buena / Ona;8;Muy buena / Oso ona;322;66;1001,3;17,2;0,24;Buena / Ona
24/10/2017;0,27;0,33;Muy buena / Oso ona;20;36;68;Buena / Ona;66;12;;Sin datos / Daturik gabe;19;Muy buena / Oso ona;5;Muy buena / Oso ona;351;67;1002,6;15,7;0,44;Buena / Ona
23/10/2017;0,18;0,24;Muy buena / Oso ona;12;27;43;Muy buena / Oso ona;46;15;35;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;27;73;1006,1;12,8;0,37;Muy buena / Oso ona
22/10/2017;0,15;;Sin datos / Daturik gabe;3;12;25;Muy buena / Oso ona;15;33;55;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;288;78;1008,3;13;0,46;Muy buena / Oso ona
21/10/2017;;;Sin datos / Daturik gabe;2;7;15;Muy buena / Oso ona;10;51;60;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;292;67;1003,5;16,8;1,03;Muy buena / Oso ona
20/10/2017;;;Sin datos / Daturik gabe;16;20;48;Muy buena / Oso ona;45;27;49;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;284;61;995,5;18,9;0,95;Muy buena / Oso ona
19/10/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;268;61;991,3;17,5;0,42;Sin datos / Daturik gabe
18/10/2017;0,19;0,33;Muy buena / Oso ona;7;18;42;Muy buena / Oso ona;29;18;29;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;301;85;990,4;14,8;0,69;Muy buena / Oso ona
17/10/2017;0,23;0,33;Muy buena / Oso ona;8;23;43;Muy buena / Oso ona;35;29;56;Muy buena / Oso ona;25;Muy buena / Oso ona;4;Muy buena / Oso ona;265;70;995,5;19,4;0,32;Muy buena / Oso ona
16/10/2017;0,18;0,21;Muy buena / Oso ona;7;20;41;Muy buena / Oso ona;31;49;56;Muy buena / Oso ona;28;Buena / Ona;4;Muy buena / Oso ona;55;63;1001;21,5;1,03;Buena / Ona
15/10/2017;0,15;0,18;Muy buena / Oso ona;3;7;21;Muy buena / Oso ona;11;54;58;Muy buena / Oso ona;21;Muy buena / Oso ona;3;Muy buena / Oso ona;288;55;1001,2;23,9;1,32;Muy buena / Oso ona
14/10/2017;0,2;0,29;Muy buena / Oso ona;3;11;16;Muy buena / Oso ona;16;46;71;Buena / Ona;32;Buena / Ona;4;Muy buena / Oso ona;293;67;1002,1;21,7;0,76;Buena / Ona
13/10/2017;0,26;0,3;Muy buena / Oso ona;12;29;59;Buena / Ona;47;29;50;Muy buena / Oso ona;37;Buena / Ona;5;Muy buena / Oso ona;73;74;1003,2;18,7;1,23;Buena / Ona
12/10/2017;0,21;0,25;Muy buena / Oso ona;4;20;37;Muy buena / Oso ona;26;24;50;Muy buena / Oso ona;25;Muy buena / Oso ona;5;Muy buena / Oso ona;30;75;1003,7;17,4;0,26;Muy buena / Oso ona
11/10/2017;0,23;0,28;Muy buena / Oso ona;17;26;55;Buena / Ona;52;22;49;Muy buena / Oso ona;27;Buena / Ona;5;Muy buena / Oso ona;43;75;1000,6;16,1;0,79;Buena / Ona
10/10/2017;0,22;0,27;Muy buena / Oso ona;17;28;45;Muy buena / Oso ona;54;14;35;Muy buena / Oso ona;21;Muy buena / Oso ona;7;Muy buena / Oso ona;56;76;1000;15,2;0,51;Muy buena / Oso ona
09/10/2017;0,19;0,24;Muy buena / Oso ona;13;27;44;Muy buena / Oso ona;46;20;41;Muy buena / Oso ona;19;Muy buena / Oso ona;7;Muy buena / Oso ona;45;72;1001,4;13,9;0,57;Muy buena / Oso ona
