Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,2;0,21;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;11;57;70;Buena / Ona;9;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;340;82;989,2;0;22,6;14,2;0,9;Buena / Ona
27/10/2017;0,2;0,25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;32;43;67;Buena / Ona;19;Muy buena / Oso ona;21;Buena / Ona;2;Muy buena / Oso ona;285;84;991,4;0;32,4;14,5;1,32;Buena / Ona
26/10/2017;0,27;;Sin datos / Daturik gabe;7;32;56;Buena / Ona;42;35;;Sin datos / Daturik gabe;31;Buena / Ona;25;Buena / Ona;3;Muy buena / Oso ona;264;65;986,2;0;58,4;18;1,08;Buena / Ona
25/10/2017;0,26;0,29;Muy buena / Oso ona;9;33;57;Buena / Ona;44;28;54;Muy buena / Oso ona;26;Buena / Ona;24;Buena / Ona;3;Muy buena / Oso ona;233;62;982,3;0;80,3;17,6;0,85;Buena / Ona
24/10/2017;0,25;0,28;Muy buena / Oso ona;17;38;62;Buena / Ona;55;25;41;Muy buena / Oso ona;23;Muy buena / Oso ona;22;Buena / Ona;2;Muy buena / Oso ona;231;61;983;0;79,7;14,8;0,79;Buena / Ona
23/10/2017;0,26;0,31;Muy buena / Oso ona;13;24;45;Muy buena / Oso ona;36;29;53;Muy buena / Oso ona;14;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;250;79;986,1;0;82,7;12,7;0,52;Muy buena / Oso ona
22/10/2017;0,25;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;9;55;62;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;266;86;987,9;0;35,1;12,2;1,74;Buena / Ona
21/10/2017;0,23;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;8;59;67;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;277;76;984;0;35,3;15,8;1,46;Buena / Ona
20/10/2017;0,25;0,28;Muy buena / Oso ona;11;25;53;Buena / Ona;36;36;58;Muy buena / Oso ona;14;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;203;67;976,3;0;64,2;17,7;0,76;Buena / Ona
19/10/2017;0,24;0,26;Muy buena / Oso ona;5;22;42;Muy buena / Oso ona;25;35;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;245;80;971,5;0;52,1;14,5;0,78;Muy buena / Oso ona
18/10/2017;0,24;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;24;42;69;Buena / Ona;13;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;277;82;970,6;0,1;23,2;16;0,55;Buena / Ona
17/10/2017;0,16;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;11;71;77;Buena / Ona;20;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;147;59;977,5;0;77,5;20,4;1,42;Buena / Ona
16/10/2017;0,19;0,26;Muy buena / Oso ona;1;13;29;Muy buena / Oso ona;13;65;81;Buena / Ona;22;Muy buena / Oso ona;17;Buena / Ona;2;Muy buena / Oso ona;132;67;983;0;92,3;21,1;1,17;Buena / Ona
15/10/2017;0,17;0,21;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;8;71;74;Buena / Ona;20;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;133;63;983,8;0;90,5;22,3;1,66;Buena / Ona
