Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;74;80;Buena / Ona;24;85;969,6;0;11,9;3,75;Buena / Ona
27/10/2017;73;90;Buena / Ona;308;93;971,3;0;13,4;3,87;Buena / Ona
26/10/2017;84;97;Buena / Ona;221;59;966,5;0;18,5;4,24;Buena / Ona
25/10/2017;73;84;Buena / Ona;169;43;962,8;0;22;2,84;Buena / Ona
24/10/2017;75;87;Buena / Ona;110;36;963,8;0;19,9;2,43;Buena / Ona
23/10/2017;77;80;Buena / Ona;119;70;966,6;0;13;0,63;Buena / Ona
22/10/2017;74;78;Buena / Ona;264;93;967,7;0,2;9,9;6,25;Buena / Ona
21/10/2017;73;77;Buena / Ona;267;82;963,7;0,1;12,9;9,08;Buena / Ona
20/10/2017;66;74;Buena / Ona;174;64;957,1;0;17,3;3,78;Buena / Ona
19/10/2017;72;78;Buena / Ona;229;77;952,2;0;13,4;3,19;Buena / Ona
18/10/2017;68;81;Buena / Ona;205;79;951,3;0,1;14,4;3,98;Buena / Ona
17/10/2017;85;90;Buena / Ona;158;50;957,1;0;20;10,63;Buena / Ona
16/10/2017;82;91;Buena / Ona;166;69;962;0;18,9;6,12;Buena / Ona
15/10/2017;83;92;Buena / Ona;161;52;962,1;0;22,4;9,74;Buena / Ona
14/10/2017;84;92;Buena / Ona;157;63;963,5;0;20,3;4,71;Buena / Ona
13/10/2017;93;113;Mejorable / Hobetzeko modukoa;183;57;964,6;0;20,6;1,69;Mejorable / Hobetzeko modukoa
12/10/2017;74;92;Buena / Ona;117;70;965;0;17,9;2,53;Buena / Ona
11/10/2017;78;83;Buena / Ona;212;62;961,7;0;18;3,92;Buena / Ona
10/10/2017;61;71;Buena / Ona;80;78;961,1;0;15,4;2,02;Buena / Ona
09/10/2017;69;91;Buena / Ona;75;83;962,4;0;13,4;2,56;Buena / Ona
08/10/2017;83;92;Buena / Ona;70;68;963;0;13,1;2,31;Buena / Ona
07/10/2017;78;89;Buena / Ona;70;70;964,3;0;12;2,79;Buena / Ona
06/10/2017;73;83;Buena / Ona;311;90;965,5;0;12,3;4,35;Buena / Ona
05/10/2017;54;79;Buena / Ona;287;94;964,4;0;15,5;3,93;Buena / Ona
04/10/2017;36;46;Muy buena / Oso ona;87;84;963,7;0;18;3,43;Muy buena / Oso ona
03/10/2017;30;47;Muy buena / Oso ona;339;93;964,1;0;16,2;2,05;Muy buena / Oso ona
02/10/2017;58;65;Buena / Ona;273;96;965,1;0,3;16,2;5,09;Buena / Ona
01/10/2017;59;75;Buena / Ona;265;91;963,5;0,1;14,8;7,58;Buena / Ona
30/09/2017;73;86;Buena / Ona;45;87;962,5;0,1;13,3;2,1;Buena / Ona
29/09/2017;92;109;Mejorable / Hobetzeko modukoa;215;75;962,1;0;18,4;2,82;Mejorable / Hobetzeko modukoa
28/09/2017;98;111;Mejorable / Hobetzeko modukoa;158;53;961,9;0;22,4;5,46;Mejorable / Hobetzeko modukoa
27/09/2017;91;109;Mejorable / Hobetzeko modukoa;153;55;960,1;0;19,8;3,88;Mejorable / Hobetzeko modukoa
26/09/2017;67;73;Buena / Ona;59;82;962;0;14,5;2,5;Buena / Ona
25/09/2017;68;90;Buena / Ona;286;95;962,3;0,2;14,1;5,65;Buena / Ona
24/09/2017;87;94;Buena / Ona;227;66;959,6;0;19,8;1,13;Buena / Ona
23/09/2017;91;101;Mejorable / Hobetzeko modukoa;171;65;959,5;0;19,1;1,95;Mejorable / Hobetzeko modukoa
22/09/2017;77;83;Buena / Ona;72;85;961,9;0;14,5;2,2;Buena / Ona
21/09/2017;83;91;Buena / Ona;274;67;959;0;16,2;3,85;Buena / Ona
20/09/2017;76;82;Buena / Ona;91;58;960,5;0;15,3;3,98;Buena / Ona
19/09/2017;78;88;Buena / Ona;316;79;964,6;0;12,2;2,42;Buena / Ona
18/09/2017;71;74;Buena / Ona;281;92;960;0,2;11,6;2,51;Buena / Ona
17/09/2017;71;75;Buena / Ona;252;80;958,1;0;11,8;7,98;Buena / Ona
16/09/2017;69;76;Buena / Ona;246;82;956,5;0,1;9,9;6,9;Buena / Ona
15/09/2017;64;72;Buena / Ona;266;85;957,6;0,1;10,8;7,04;Buena / Ona
14/09/2017;70;76;Buena / Ona;289;81;961,9;0,1;13,3;6,16;Buena / Ona
13/09/2017;56;68;Buena / Ona;267;83;961,7;0;16,5;4,27;Buena / Ona
12/09/2017;68;78;Buena / Ona;251;86;959,5;0;13,7;6,04;Buena / Ona
11/09/2017;67;77;Buena / Ona;276;92;955;0,2;13,9;10,81;Buena / Ona
10/09/2017;68;77;Buena / Ona;283;84;954,2;0,1;13,3;9,92;Buena / Ona
09/09/2017;71;78;Buena / Ona;281;87;950,6;0,3;13;10,41;Buena / Ona
08/09/2017;75;80;Buena / Ona;258;75;955,8;0;14,8;3,16;Buena / Ona
07/09/2017;75;78;Buena / Ona;331;74;962,7;0;14,7;2,47;Buena / Ona
06/09/2017;69;74;Buena / Ona;333;86;966,4;0,1;15,3;4,34;Buena / Ona
05/09/2017;60;67;Buena / Ona;309;86;963,9;0;17,1;1,98;Buena / Ona
04/09/2017;53;59;Muy buena / Oso ona;257;84;958,6;0;17;3,95;Muy buena / Oso ona
03/09/2017;74;87;Buena / Ona;247;56;956,6;0;17,9;2,34;Buena / Ona
02/09/2017;76;84;Buena / Ona;295;78;963,8;0;14,1;2,65;Buena / Ona
01/09/2017;76;82;Buena / Ona;288;84;963,3;0,1;13,7;5,64;Buena / Ona
31/08/2017;78;83;Buena / Ona;354;81;962;0;14,2;3,31;Buena / Ona
30/08/2017;81;88;Buena / Ona;306;90;956,1;0,4;16,8;3,87;Buena / Ona
29/08/2017;79;96;Buena / Ona;138;78;955,3;0,1;19,5;1,15;Buena / Ona
28/08/2017;80;90;Buena / Ona;142;56;956,2;0,1;23,2;2,58;Buena / Ona
27/08/2017;72;80;Buena / Ona;163;50;956;0;24,2;5,64;Buena / Ona
26/08/2017;70;80;Buena / Ona;131;69;955,7;0;22,1;4,21;Buena / Ona
