Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,27;0,31;Muy buena / Oso ona;6;25;53;Buena / Ona;34;11;Muy buena / Oso ona;2;Muy buena / Oso ona;345;78;16,6;0,47;Buena / Ona
27/10/2017;0,29;0,41;Muy buena / Oso ona;27;35;61;Buena / Ona;75;27;Buena / Ona;7;Muy buena / Oso ona;354;81;16,2;0,16;Buena / Ona
26/10/2017;0,34;0,8;Muy buena / Oso ona;14;47;73;Buena / Ona;68;22;Muy buena / Oso ona;8;Muy buena / Oso ona;57;66;18,8;0,32;Buena / Ona
25/10/2017;0,56;0,79;Muy buena / Oso ona;57;59;83;Buena / Ona;145;44;Buena / Ona;14;Muy buena / Oso ona;112;71;17;0,12;Buena / Ona
24/10/2017;0,33;0,39;Muy buena / Oso ona;32;55;75;Buena / Ona;103;31;Buena / Ona;14;Muy buena / Oso ona;123;64;16,8;1,41;Buena / Ona
23/10/2017;0,25;0,31;Muy buena / Oso ona;19;40;64;Buena / Ona;69;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;125;73;14,2;1,09;Buena / Ona
22/10/2017;0,18;0,24;Muy buena / Oso ona;2;17;50;Muy buena / Oso ona;20;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;274;74;14,8;0,49;Muy buena / Oso ona
21/10/2017;0,24;0,3;Muy buena / Oso ona;2;12;30;Muy buena / Oso ona;15;21;Muy buena / Oso ona;5;Muy buena / Oso ona;303;66;17,5;2,08;Muy buena / Oso ona
20/10/2017;0,29;0,34;Muy buena / Oso ona;26;36;91;Buena / Ona;75;24;Muy buena / Oso ona;6;Muy buena / Oso ona;170;57;20,8;0,76;Buena / Ona
19/10/2017;0,25;0,31;Muy buena / Oso ona;11;30;70;Buena / Ona;46;10;Muy buena / Oso ona;3;Muy buena / Oso ona;142;65;17,9;1,17;Buena / Ona
18/10/2017;0,34;0,61;Muy buena / Oso ona;13;41;70;Buena / Ona;60;24;Muy buena / Oso ona;3;Muy buena / Oso ona;171;79;16,6;0,23;Buena / Ona
17/10/2017;0,34;0,57;Muy buena / Oso ona;6;37;64;Buena / Ona;46;36;Buena / Ona;4;Muy buena / Oso ona;123;70;20,4;0,9;Buena / Ona
16/10/2017;0,21;0,25;Muy buena / Oso ona;3;14;31;Muy buena / Oso ona;18;37;Buena / Ona;2;Muy buena / Oso ona;176;65;22,1;0,82;Buena / Ona
15/10/2017;0,21;0,39;Muy buena / Oso ona;3;15;46;Muy buena / Oso ona;18;28;Buena / Ona;4;Muy buena / Oso ona;111;51;25,6;1,93;Buena / Ona
14/10/2017;0,38;0,47;Muy buena / Oso ona;6;30;84;Buena / Ona;39;37;Buena / Ona;4;Muy buena / Oso ona;92;64;23,5;0,84;Buena / Ona
13/10/2017;0,42;0,54;Muy buena / Oso ona;22;35;63;Buena / Ona;69;47;Buena / Ona;9;Muy buena / Oso ona;55;79;18,5;0,31;Buena / Ona
12/10/2017;0,28;0,35;Muy buena / Oso ona;11;32;64;Buena / Ona;48;30;Buena / Ona;5;Muy buena / Oso ona;112;79;17,6;0,54;Buena / Ona
11/10/2017;0,27;0,3;Muy buena / Oso ona;8;33;55;Buena / Ona;44;27;Buena / Ona;7;Muy buena / Oso ona;85;69;18,5;0,74;Buena / Ona
10/10/2017;0,28;0,34;Muy buena / Oso ona;24;36;65;Buena / Ona;72;27;Buena / Ona;8;Muy buena / Oso ona;139;79;16,2;0,44;Buena / Ona
09/10/2017;0,29;0,52;Muy buena / Oso ona;18;36;62;Buena / Ona;62;24;Muy buena / Oso ona;8;Muy buena / Oso ona;149;74;15,1;0,44;Buena / Ona
08/10/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;135;78;13,5;1,16;Sin datos / Daturik gabe
07/10/2017;0,3;0,38;Muy buena / Oso ona;10;24;50;Muy buena / Oso ona;39;16;Muy buena / Oso ona;3;Muy buena / Oso ona;80;75;15,3;0,62;Muy buena / Oso ona
06/10/2017;0,21;0,23;Muy buena / Oso ona;3;17;32;Muy buena / Oso ona;21;13;Muy buena / Oso ona;2;Muy buena / Oso ona;328;81;17,1;0,84;Muy buena / Oso ona
05/10/2017;0,26;0,28;Muy buena / Oso ona;4;21;42;Muy buena / Oso ona;27;18;Muy buena / Oso ona;3;Muy buena / Oso ona;329;87;19,5;0,98;Muy buena / Oso ona
04/10/2017;0,21;0,24;Muy buena / Oso ona;17;19;25;Muy buena / Oso ona;45;27;Buena / Ona;4;Muy buena / Oso ona;320;84;20,3;0,58;Buena / Ona
03/10/2017;0,26;0,37;Muy buena / Oso ona;24;22;28;Muy buena / Oso ona;58;22;Muy buena / Oso ona;3;Muy buena / Oso ona;352;89;20,1;0,28;Muy buena / Oso ona
02/10/2017;0,34;0,41;Muy buena / Oso ona;28;37;51;Buena / Ona;80;23;Muy buena / Oso ona;3;Muy buena / Oso ona;123;89;20,2;0,17;Buena / Ona
01/10/2017;0,31;0,39;Muy buena / Oso ona;17;32;46;Muy buena / Oso ona;57;20;Muy buena / Oso ona;6;Muy buena / Oso ona;140;87;18,1;1,15;Muy buena / Oso ona
30/09/2017;0,26;0,32;Muy buena / Oso ona;2;17;36;Muy buena / Oso ona;21;8;Muy buena / Oso ona;1;Muy buena / Oso ona;1;89;17,6;0,27;Muy buena / Oso ona
29/09/2017;0,31;0,45;Muy buena / Oso ona;14;28;61;Buena / Ona;49;35;Buena / Ona;6;Muy buena / Oso ona;336;78;20,1;0,77;Buena / Ona
28/09/2017;0,29;0,34;Muy buena / Oso ona;15;40;58;Buena / Ona;62;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;135;70;21,2;0,5;Buena / Ona
27/09/2017;0,23;0,27;Muy buena / Oso ona;11;40;69;Buena / Ona;56;23;Muy buena / Oso ona;7;Muy buena / Oso ona;125;68;19,7;0,84;Buena / Ona
26/09/2017;0,26;0,3;Muy buena / Oso ona;11;28;50;Muy buena / Oso ona;45;17;Muy buena / Oso ona;3;Muy buena / Oso ona;99;77;18,5;0,52;Muy buena / Oso ona
25/09/2017;0,24;0,33;Muy buena / Oso ona;9;25;49;Muy buena / Oso ona;38;16;Muy buena / Oso ona;3;Muy buena / Oso ona;297;81;18,2;0,48;Muy buena / Oso ona
