Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
17/05/2017;0,33;0,46;Muy buena / Oso ona;16;35;71;Buena / Ona;59;19;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
16/05/2017;0,39;0,56;Muy buena / Oso ona;16;41;79;Buena / Ona;65;21;Muy buena / Oso ona;13;Muy buena / Oso ona;Buena / Ona
15/05/2017;0,27;0,33;Muy buena / Oso ona;13;33;78;Buena / Ona;54;14;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
14/05/2017;0,22;0,25;Muy buena / Oso ona;6;24;45;Muy buena / Oso ona;33;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
13/05/2017;0,21;0,24;Muy buena / Oso ona;6;19;42;Muy buena / Oso ona;28;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
12/05/2017;0,22;;Sin datos / Daturik gabe;11;25;48;Muy buena / Oso ona;41;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
11/05/2017;0,21;0,29;Muy buena / Oso ona;10;28;53;Buena / Ona;44;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
10/05/2017;0,29;0,33;Muy buena / Oso ona;11;33;65;Buena / Ona;49;17;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
09/05/2017;0,31;0,41;Muy buena / Oso ona;17;35;72;Buena / Ona;61;17;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
08/05/2017;0,24;0,29;Muy buena / Oso ona;15;28;63;Buena / Ona;52;12;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
07/05/2017;0,19;0,24;Muy buena / Oso ona;6;22;36;Muy buena / Oso ona;32;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
06/05/2017;0,2;0,22;Muy buena / Oso ona;6;22;43;Muy buena / Oso ona;32;9;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
05/05/2017;0,37;0,6;Muy buena / Oso ona;23;38;87;Buena / Ona;73;22;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
04/05/2017;0,34;0,42;Muy buena / Oso ona;24;35;61;Buena / Ona;72;19;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
03/05/2017;0,31;0,4;Muy buena / Oso ona;22;28;51;Buena / Ona;61;19;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
02/05/2017;0,28;0,35;Muy buena / Oso ona;11;27;70;Buena / Ona;44;21;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
01/05/2017;0,23;0,29;Muy buena / Oso ona;5;21;58;Buena / Ona;28;17;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
30/04/2017;0,21;0,24;Muy buena / Oso ona;5;21;42;Muy buena / Oso ona;29;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
29/04/2017;0,25;0,32;Muy buena / Oso ona;12;27;59;Buena / Ona;45;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
28/04/2017;0,29;0,33;Muy buena / Oso ona;17;38;67;Buena / Ona;64;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
27/04/2017;0,24;0,32;Muy buena / Oso ona;14;27;68;Buena / Ona;48;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
26/04/2017;0,24;0,33;Muy buena / Oso ona;15;27;83;Buena / Ona;49;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
25/04/2017;0,32;0,37;Muy buena / Oso ona;17;38;88;Buena / Ona;64;17;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
24/04/2017;0,29;0,4;Muy buena / Oso ona;14;32;81;Buena / Ona;51;18;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
23/04/2017;0,35;0,41;Muy buena / Oso ona;7;36;67;Buena / Ona;46;21;Muy buena / Oso ona;12;Muy buena / Oso ona;Buena / Ona
22/04/2017;0,27;0,36;Muy buena / Oso ona;7;37;76;Buena / Ona;47;17;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
21/04/2017;0,28;0,33;Muy buena / Oso ona;12;40;87;Buena / Ona;58;18;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
20/04/2017;;;Sin datos / Daturik gabe;16;34;81;Buena / Ona;57;15;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
19/04/2017;;;Sin datos / Daturik gabe;11;26;51;Buena / Ona;41;13;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/04/2017;0,19;0,23;Muy buena / Oso ona;10;29;62;Buena / Ona;44;19;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
17/04/2017;0,15;0,19;Muy buena / Oso ona;5;21;41;Muy buena / Oso ona;28;17;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
16/04/2017;;;Sin datos / Daturik gabe;6;25;45;Muy buena / Oso ona;33;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
15/04/2017;0,14;0,18;Muy buena / Oso ona;7;24;60;Buena / Ona;35;16;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
14/04/2017;0,15;0,17;Muy buena / Oso ona;5;24;50;Muy buena / Oso ona;31;16;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
13/04/2017;0,15;0,17;Muy buena / Oso ona;5;23;44;Muy buena / Oso ona;30;17;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
12/04/2017;;;Sin datos / Daturik gabe;9;28;65;Buena / Ona;42;18;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
11/04/2017;0,16;;Sin datos / Daturik gabe;5;20;43;Muy buena / Oso ona;28;21;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
10/04/2017;0,23;0,3;Muy buena / Oso ona;12;30;83;Buena / Ona;49;27;Buena / Ona;21;Buena / Ona;Buena / Ona
09/04/2017;0,24;0,41;Muy buena / Oso ona;9;30;86;Buena / Ona;44;22;Muy buena / Oso ona;13;Muy buena / Oso ona;Buena / Ona
08/04/2017;0,36;0,45;Muy buena / Oso ona;29;47;96;Buena / Ona;93;21;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
07/04/2017;0,21;0,26;Muy buena / Oso ona;13;35;65;Buena / Ona;55;21;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
06/04/2017;0,23;0,33;Muy buena / Oso ona;19;26;67;Buena / Ona;55;28;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
05/04/2017;0,17;;Sin datos / Daturik gabe;8;15;47;Muy buena / Oso ona;28;22;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
04/04/2017;0,17;0,23;Muy buena / Oso ona;6;18;38;Muy buena / Oso ona;27;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
03/04/2017;0,2;0,24;Muy buena / Oso ona;19;30;66;Buena / Ona;59;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
02/04/2017;;;Sin datos / Daturik gabe;3;12;43;Muy buena / Oso ona;17;23;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
01/04/2017;0,14;0,18;Muy buena / Oso ona;7;22;47;Muy buena / Oso ona;33;17;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
31/03/2017;0,26;;Sin datos / Daturik gabe;18;33;109;Mejorable / Hobetzeko modukoa;61;21;Muy buena / Oso ona;8;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
30/03/2017;0,25;0,39;Muy buena / Oso ona;12;41;92;Buena / Ona;59;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
29/03/2017;0,25;0,32;Muy buena / Oso ona;18;45;77;Buena / Ona;71;17;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
28/03/2017;0,26;0,33;Muy buena / Oso ona;17;38;80;Buena / Ona;63;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
27/03/2017;0,18;0,27;Muy buena / Oso ona;7;29;51;Buena / Ona;40;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
26/03/2017;0,18;0,25;Muy buena / Oso ona;8;31;81;Buena / Ona;42;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
25/03/2017;0,21;0,32;Muy buena / Oso ona;13;36;74;Buena / Ona;55;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
24/03/2017;0,23;0,31;Muy buena / Oso ona;16;45;85;Buena / Ona;70;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
23/03/2017;0,21;0,31;Muy buena / Oso ona;17;39;78;Buena / Ona;64;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
22/03/2017;0,22;0,29;Muy buena / Oso ona;16;40;85;Buena / Ona;64;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
21/03/2017;0,23;0,28;Muy buena / Oso ona;15;39;88;Buena / Ona;63;14;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
20/03/2017;0,23;0,3;Muy buena / Oso ona;17;35;88;Buena / Ona;61;18;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
19/03/2017;0,17;0,27;Muy buena / Oso ona;9;25;49;Muy buena / Oso ona;39;16;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
