Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
25/07/2017;0,2;0,21;Muy buena / Oso ona;4;8;22;Muy buena / Oso ona;14;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
24/07/2017;0,24;0,3;Muy buena / Oso ona;7;11;26;Muy buena / Oso ona;23;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
23/07/2017;0,26;0,3;Muy buena / Oso ona;7;18;38;Muy buena / Oso ona;27;16;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
22/07/2017;0,26;0,29;Muy buena / Oso ona;10;21;42;Muy buena / Oso ona;36;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
21/07/2017;0,28;0,35;Muy buena / Oso ona;16;26;41;Muy buena / Oso ona;51;16;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
20/07/2017;0,29;0,36;Muy buena / Oso ona;15;29;61;Buena / Ona;52;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
19/07/2017;0,3;0,34;Muy buena / Oso ona;7;17;33;Muy buena / Oso ona;29;27;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
18/07/2017;0,28;0,36;Muy buena / Oso ona;6;21;43;Muy buena / Oso ona;30;28;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
17/07/2017;0,39;0,48;Muy buena / Oso ona;14;35;68;Buena / Ona;56;25;Muy buena / Oso ona;13;Muy buena / Oso ona;Buena / Ona
16/07/2017;0,26;0,28;Muy buena / Oso ona;6;19;40;Muy buena / Oso ona;28;16;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
15/07/2017;0,23;0,27;Muy buena / Oso ona;7;14;32;Muy buena / Oso ona;24;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
14/07/2017;0,3;0,39;Muy buena / Oso ona;20;20;54;Buena / Ona;50;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
13/07/2017;0,26;0,32;Muy buena / Oso ona;10;12;29;Muy buena / Oso ona;27;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
12/07/2017;0,3;0,37;Muy buena / Oso ona;15;20;43;Muy buena / Oso ona;42;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
11/07/2017;0,29;0,31;Muy buena / Oso ona;13;20;45;Muy buena / Oso ona;39;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
10/07/2017;0,29;0,38;Muy buena / Oso ona;17;22;59;Buena / Ona;48;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
09/07/2017;0,23;0,33;Muy buena / Oso ona;4;9;19;Muy buena / Oso ona;15;18;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
08/07/2017;0,29;0,33;Muy buena / Oso ona;6;16;46;Muy buena / Oso ona;25;32;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
07/07/2017;0,31;0,38;Muy buena / Oso ona;11;18;53;Buena / Ona;34;20;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
06/07/2017;0,33;0,41;Muy buena / Oso ona;12;23;56;Buena / Ona;42;20;Muy buena / Oso ona;10;Muy buena / Oso ona;Buena / Ona
05/07/2017;0,3;0,67;Muy buena / Oso ona;16;21;103;Mejorable / Hobetzeko modukoa;46;20;Muy buena / Oso ona;7;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
04/07/2017;0,48;0,69;Muy buena / Oso ona;26;36;86;Buena / Ona;76;16;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
03/07/2017;0,29;0,35;Muy buena / Oso ona;16;17;42;Muy buena / Oso ona;41;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
02/07/2017;0,26;0,3;Muy buena / Oso ona;6;16;30;Muy buena / Oso ona;25;13;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
01/07/2017;0,22;0,24;Muy buena / Oso ona;7;14;34;Muy buena / Oso ona;25;20;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
30/06/2017;0,25;0,31;Muy buena / Oso ona;15;28;54;Buena / Ona;50;16;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
29/06/2017;0,21;0,23;Muy buena / Oso ona;8;17;37;Muy buena / Oso ona;29;20;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
28/06/2017;0,26;0,31;Muy buena / Oso ona;8;19;43;Muy buena / Oso ona;31;15;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
27/06/2017;0,33;0,38;Muy buena / Oso ona;15;23;44;Muy buena / Oso ona;46;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
26/06/2017;;;Sin datos / Daturik gabe;16;22;46;Muy buena / Oso ona;46;16;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
25/06/2017;;;Sin datos / Daturik gabe;6;15;28;Muy buena / Oso ona;24;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
24/06/2017;;;Sin datos / Daturik gabe;7;17;34;Muy buena / Oso ona;27;28;Buena / Ona;20;Buena / Ona;Buena / Ona
23/06/2017;;;Sin datos / Daturik gabe;13;23;69;Buena / Ona;43;22;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
22/06/2017;0,14;0,2;Muy buena / Oso ona;6;15;26;Muy buena / Oso ona;23;29;Buena / Ona;18;Buena / Ona;Buena / Ona
21/06/2017;0,18;0,24;Muy buena / Oso ona;9;36;74;Buena / Ona;49;27;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
20/06/2017;0,21;;Sin datos / Daturik gabe;8;33;71;Buena / Ona;46;25;Muy buena / Oso ona;13;Muy buena / Oso ona;Buena / Ona
19/06/2017;0,21;0,27;Muy buena / Oso ona;17;36;64;Buena / Ona;61;23;Muy buena / Oso ona;12;Muy buena / Oso ona;Buena / Ona
18/06/2017;0,19;0,22;Muy buena / Oso ona;6;26;48;Muy buena / Oso ona;35;23;Muy buena / Oso ona;12;Muy buena / Oso ona;Muy buena / Oso ona
17/06/2017;;;Sin datos / Daturik gabe;8;20;43;Muy buena / Oso ona;32;21;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
16/06/2017;;;Sin datos / Daturik gabe;13;20;61;Buena / Ona;39;18;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
15/06/2017;0,2;0,29;Muy buena / Oso ona;8;20;47;Muy buena / Oso ona;32;16;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
14/06/2017;0,16;0,21;Muy buena / Oso ona;7;17;36;Muy buena / Oso ona;27;25;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
13/06/2017;0,19;0,25;Muy buena / Oso ona;9;19;47;Muy buena / Oso ona;33;24;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
12/06/2017;0,17;;Sin datos / Daturik gabe;10;13;32;Muy buena / Oso ona;29;17;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
11/06/2017;0,15;0,17;Muy buena / Oso ona;5;10;22;Muy buena / Oso ona;18;19;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
10/06/2017;0,19;;Sin datos / Daturik gabe;11;14;44;Muy buena / Oso ona;31;19;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
09/06/2017;0,19;;Sin datos / Daturik gabe;10;18;58;Buena / Ona;33;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
08/06/2017;0,22;0,31;Muy buena / Oso ona;18;29;54;Buena / Ona;56;22;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
07/06/2017;;;Sin datos / Daturik gabe;14;25;47;Muy buena / Oso ona;46;21;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
06/06/2017;;;Sin datos / Daturik gabe;8;17;32;Muy buena / Oso ona;29;26;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
05/06/2017;0,19;;Sin datos / Daturik gabe;14;26;63;Buena / Ona;47;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
04/06/2017;;;Sin datos / Daturik gabe;7;17;39;Muy buena / Oso ona;27;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
03/06/2017;0,16;0,21;Muy buena / Oso ona;8;21;49;Muy buena / Oso ona;32;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
02/06/2017;0,22;0,28;Muy buena / Oso ona;9;20;59;Buena / Ona;34;17;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
01/06/2017;0,23;0,33;Muy buena / Oso ona;12;20;47;Muy buena / Oso ona;38;16;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
31/05/2017;0,19;0,26;Muy buena / Oso ona;14;17;54;Buena / Ona;39;12;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
