Date;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;24;87;1016;49,8;14,5;0,71;
27/10/2017;295;90;1017,7;53,1;14,6;0,28;
26/10/2017;271;68;1011,9;132,1;18,2;0,75;
25/10/2017;36;77;1007,6;139,6;16,2;0,54;
24/10/2017;52;72;1008,9;130;15,1;1,73;
23/10/2017;47;82;1012,6;139,6;13,6;1,25;
22/10/2017;275;89;1014,6;61,1;12,5;0,46;
21/10/2017;250;78;1009,8;57,4;16;1,42;
20/10/2017;138;66;1001,7;135,3;19,1;0,42;
19/10/2017;68;78;997,4;127,5;15,8;0,35;
18/10/2017;279;87;996,1;24,3;15,2;0,36;
17/10/2017;166;73;1001,9;98;19,6;0,54;
16/10/2017;202;69;1007,3;140,7;21,7;0,55;
15/10/2017;98;57;1007;143,8;25;1,17;
14/10/2017;92;70;1008,3;136;22,6;0,54;
13/10/2017;269;85;1009,6;146,7;18,4;0,69;
12/10/2017;67;86;1010,1;156,1;17,3;1,09;
11/10/2017;354;80;1006,9;151,6;17,5;0,54;
10/10/2017;60;88;1006,4;150,5;15,8;1,08;
09/10/2017;42;82;1007,9;163,8;14,6;1,06;
08/10/2017
07/10/2017;67;84;1010,3;158,7;13,9;1,17;
06/10/2017;300;92;1011,9;56;16,2;0,64;
05/10/2017;287;95;1010,3;36,1;19,4;0,99;
04/10/2017;52;90;1008,8;160,7;20,5;1,13;
03/10/2017;18;95;1009,6;76,6;19,8;0,62;
02/10/2017;271;98;1010,8;41,4;19,8;0,42;
01/10/2017;53;97;1009,5;16,9;16,8;0,82;
30/09/2017;18;91;1008,3;64,1;17,1;0,73;
29/09/2017;292;85;1007,3;167;19,7;0,57;
28/09/2017;40;74;1006,4;183,7;21,3;0,32;
27/09/2017;14;75;1005;201,6;19,3;0,45;
26/09/2017;32;85;1007,4;160,7;17,8;1,22;
25/09/2017;277;90;1008,2;100,2;17,1;1,02;
24/09/2017;272;82;1004,6;179;19,9;0,51;
23/09/2017;171;76;1004,5;205,9;20,6;0,23;
22/09/2017;265;95;1007,6;56;16,4;0,86;
21/09/2017;315;83;1004,3;170,8;16,8;0,49;
20/09/2017;58;78;1005,3;213,2;15,8;2,04;
19/09/2017;7;85;1010,7;164,2;15,9;0,58;
18/09/2017;293;94;1005,9;57,2;15,5;0,26;
17/09/2017;336;81;1004,1;156;14,8;0,36;
16/09/2017;326;88;1003,1;135,3;13;0,23;
15/09/2017;33;93;1004,3;81,7;12,4;0,19;
14/09/2017;290;84;1008;123,5;15,8;0,54;
13/09/2017;324;82;1006,8;226,6;19,6;0,8;
12/09/2017;267;86;1005,3;161;17,2;0,99;
11/09/2017;258;89;1000,9;115,6;17,2;2,06;
10/09/2017;262;85;1000,3;128,9;16,4;0,89;
09/09/2017;254;87;996,8;124,5;15,9;1,95;
08/09/2017;345;78;1001,1;217,2;17,9;0,39;
07/09/2017;331;82;1008,4;131,2;17,4;0,69;
06/09/2017;287;92;1012,3;56,1;18,3;0,7;
05/09/2017;321;85;1009;184,1;20,3;0,54;
04/09/2017;316;88;1003,6;127,3;19,7;0,52;
03/09/2017;39;77;1001,3;187;19,6;0,63;
02/09/2017;50;81;1009,5;242,3;17,5;1,05;
01/09/2017;284;84;1009,5;178,5;16,7;0,7;
31/08/2017;359;85;1007,9;146,9;17,3;0,44;
30/08/2017;283;88;1001,4;131,4;20,4;0,6;
