Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
10/03/2017;0,4;0,56;Muy buena / Oso ona;26;46;93;Buena / Ona;86;21;51;Muy buena / Oso ona;41;Buena / Ona;22;Buena / Ona;4;Muy buena / Oso ona;177;76;1013,3;28,6;14,8;0,4;Buena / Ona
09/03/2017;0,22;0,26;Muy buena / Oso ona;4;18;48;Muy buena / Oso ona;24;48;68;Buena / Ona;24;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;343;79;1019,1;26,9;13,8;0,34;Buena / Ona
08/03/2017;0,24;0,41;Muy buena / Oso ona;5;14;47;Muy buena / Oso ona;22;53;65;Buena / Ona;23;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;17;82;1021,3;22,4;14,2;0,64;Buena / Ona
07/03/2017;0,32;0,61;Muy buena / Oso ona;5;18;68;Buena / Ona;26;53;79;Buena / Ona;61;Mejorable / Hobetzeko modukoa;17;Buena / Ona;3;Muy buena / Oso ona;315;86;1019,8;9;12,3;3,3;Mejorable / Hobetzeko modukoa
06/03/2017;0,2;0,21;Muy buena / Oso ona;4;9;20;Muy buena / Oso ona;15;70;85;Buena / Ona;58;Mejorable / Hobetzeko modukoa;17;Buena / Ona;3;Muy buena / Oso ona;307;77;1015;7,8;13,6;4,96;Mejorable / Hobetzeko modukoa
05/03/2017;0,22;0,42;Muy buena / Oso ona;3;13;34;Muy buena / Oso ona;18;62;71;Buena / Ona;38;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;223;72;1006,3;11,5;13;0,74;Buena / Ona
04/03/2017;0,26;0,39;Muy buena / Oso ona;4;16;62;Buena / Ona;21;66;80;Buena / Ona;26;Buena / Ona;6;Muy buena / Oso ona;10;Muy buena / Oso ona;299;67;997,9;14,3;9,4;3,13;Buena / Ona
03/03/2017;0,21;0,3;Muy buena / Oso ona;3;11;27;Muy buena / Oso ona;16;68;83;Buena / Ona;16;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;273;68;994,3;7,8;12,7;1,44;Buena / Ona
02/03/2017;0,44;0,67;Muy buena / Oso ona;14;42;63;Buena / Ona;64;24;37;Muy buena / Oso ona;39;Buena / Ona;17;Buena / Ona;5;Muy buena / Oso ona;157;73;1008,4;18,8;13,9;0,6;Buena / Ona
01/03/2017;0,27;0,31;Muy buena / Oso ona;5;29;78;Buena / Ona;36;44;72;Buena / Ona;36;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;151;72;1009,6;21,8;11,6;1,01;Buena / Ona
28/02/2017;0,19;0,24;Muy buena / Oso ona;4;11;34;Muy buena / Oso ona;18;68;77;Buena / Ona;73;Mala / Txarra;16;Muy buena / Oso ona;3;Muy buena / Oso ona;302;82;1004,6;5;9,9;3,47;Mala / Txarra
27/02/2017;0,18;0,23;Muy buena / Oso ona;5;12;29;Muy buena / Oso ona;21;60;77;Buena / Ona;37;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;258;68;1003,3;16,1;13,4;1,78;Buena / Ona
26/02/2017;0,39;0,61;Muy buena / Oso ona;4;28;64;Buena / Ona;35;40;75;Buena / Ona;29;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;115;77;1012,5;19,2;12,3;0,42;Buena / Ona
25/02/2017;0,23;0,39;Muy buena / Oso ona;3;18;44;Muy buena / Oso ona;23;52;72;Buena / Ona;23;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;130;74;1012,9;20,3;10,4;0,17;Buena / Ona
24/02/2017;0,22;0,26;Muy buena / Oso ona;3;16;55;Buena / Ona;20;62;79;Buena / Ona;20;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;24;89;1014,1;12,2;9,3;0,84;Buena / Ona
23/02/2017;0,32;0,38;Muy buena / Oso ona;2;20;43;Muy buena / Oso ona;24;37;56;Muy buena / Oso ona;43;Buena / Ona;33;Buena / Ona;4;Muy buena / Oso ona;315;86;1009,8;9;11,3;1,98;Buena / Ona
22/02/2017;0,25;0,36;Muy buena / Oso ona;6;19;37;Muy buena / Oso ona;29;39;64;Buena / Ona;26;Buena / Ona;19;Buena / Ona;3;Muy buena / Oso ona;288;85;1014,1;14,7;10,8;0,79;Buena / Ona
21/02/2017;0,36;0,53;Muy buena / Oso ona;5;31;59;Buena / Ona;38;35;;Sin datos / Daturik gabe;19;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;109;84;1019,4;10,2;10,3;0,77;Buena / Ona
20/02/2017;0,54;0,84;Muy buena / Oso ona;10;33;62;Buena / Ona;48;41;80;Buena / Ona;27;Buena / Ona;20;Buena / Ona;3;Muy buena / Oso ona;45;83;1021,5;15,9;11,6;0,48;Buena / Ona
19/02/2017;0,23;0,26;Muy buena / Oso ona;3;13;58;Buena / Ona;17;68;84;Buena / Ona;20;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;332;90;1020,8;8,1;11,5;1,5;Buena / Ona
18/02/2017;0,43;0,66;Muy buena / Oso ona;7;25;60;Buena / Ona;35;48;81;Buena / Ona;24;Muy buena / Oso ona;18;Buena / Ona;4;Muy buena / Oso ona;321;85;1015,2;11,8;10,7;0,73;Buena / Ona
17/02/2017;0,3;0,4;Muy buena / Oso ona;8;37;77;Buena / Ona;49;35;62;Buena / Ona;26;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;114;77;1019,2;13,8;12;0,12;Buena / Ona
16/02/2017;0,25;0,31;Muy buena / Oso ona;7;30;82;Buena / Ona;41;48;67;Buena / Ona;21;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;149;64;1022,4;11,9;14,3;1,69;Buena / Ona
15/02/2017;0,24;0,26;Muy buena / Oso ona;4;20;60;Buena / Ona;27;53;65;Buena / Ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;163;53;1021,3;12,8;15,5;3,06;Buena / Ona
14/02/2017;0,23;0,26;Muy buena / Oso ona;4;16;35;Muy buena / Oso ona;22;56;69;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;172;56;1012,2;11,5;14,1;2,72;Buena / Ona
13/02/2017;0,26;0,31;Muy buena / Oso ona;57;25;66;Buena / Ona;112;46;63;Buena / Ona;20;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;148;67;997,8;8,5;13,6;4,68;Buena / Ona
12/02/2017;0,26;0,33;Muy buena / Oso ona;21;15;25;Muy buena / Oso ona;48;49;59;Muy buena / Oso ona;22;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;145;76;996,8;5,4;11,4;4,2;Muy buena / Oso ona
11/02/2017;0,33;0,36;Muy buena / Oso ona;8;29;61;Buena / Ona;42;30;51;Muy buena / Oso ona;29;Buena / Ona;20;Buena / Ona;3;Muy buena / Oso ona;88;87;1007;6,4;7,4;1,11;Buena / Ona
10/02/2017;0,24;0,25;Muy buena / Oso ona;5;26;64;Buena / Ona;34;48;58;Muy buena / Oso ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;149;53;1003,8;6,7;10,8;2,09;Buena / Ona
09/02/2017;0,22;0,25;Muy buena / Oso ona;6;26;51;Buena / Ona;35;39;61;Buena / Ona;13;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;131;73;1010,2;11,6;8,9;2,44;Buena / Ona
08/02/2017;0,18;0,2;Muy buena / Oso ona;3;5;34;Muy buena / Oso ona;9;75;83;Buena / Ona;31;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;331;79;1020,9;7,8;8,6;3,85;Buena / Ona
07/02/2017;0,18;0,33;Muy buena / Oso ona;4;11;32;Muy buena / Oso ona;17;61;77;Buena / Ona;29;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;314;93;1015,8;5,8;10,5;4,35;Buena / Ona
06/02/2017;0,26;0,35;Muy buena / Oso ona;10;35;64;Buena / Ona;50;33;75;Buena / Ona;21;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;273;93;1015,8;6;10,1;0,12;Buena / Ona
05/02/2017;0,25;0,32;Muy buena / Oso ona;73;20;42;Muy buena / Oso ona;131;58;66;Buena / Ona;30;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;304;79;1006,3;5,2;9,3;9,54;Buena / Ona
04/02/2017;0,26;0,28;Muy buena / Oso ona;18;17;39;Muy buena / Oso ona;45;55;69;Buena / Ona;24;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;292;86;999,1;3,7;11,5;1,99;Buena / Ona
03/02/2017;0,23;0,25;Muy buena / Oso ona;37;12;34;Muy buena / Oso ona;69;66;76;Buena / Ona;27;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;230;51;998,2;8;14,7;2,79;Buena / Ona
02/02/2017;0,2;0,25;Muy buena / Oso ona;57;17;40;Muy buena / Oso ona;104;59;72;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;211;60;998,3;7,2;14,2;3,03;Buena / Ona
01/02/2017;0,2;0,26;Muy buena / Oso ona;7;12;31;Muy buena / Oso ona;22;54;60;Muy buena / Oso ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;204;52;1004,5;9,7;16,2;3,33;Muy buena / Oso ona
31/01/2017;0,18;0,26;Muy buena / Oso ona;6;12;28;Muy buena / Oso ona;21;51;59;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;184;50;1005,3;11,1;16,5;4,25;Muy buena / Oso ona
30/01/2017;0,23;0,32;Muy buena / Oso ona;5;16;44;Muy buena / Oso ona;23;42;53;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;161;67;1009,3;8,1;15,6;2,73;Muy buena / Oso ona
29/01/2017;0,24;0,3;Muy buena / Oso ona;3;12;32;Muy buena / Oso ona;16;55;65;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;162;64;1012;8,5;13,1;2,03;Buena / Ona
28/01/2017;0,27;0,39;Muy buena / Oso ona;5;20;68;Buena / Ona;27;55;75;Buena / Ona;23;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;316;74;1012,6;7,9;9,6;1,35;Buena / Ona
27/01/2017;0,25;0,42;Muy buena / Oso ona;11;17;40;Muy buena / Oso ona;34;56;60;Muy buena / Oso ona;15;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;184;63;1000,2;4,2;10,8;2,85;Muy buena / Oso ona
26/01/2017;0,33;0,43;Muy buena / Oso ona;55;29;51;Buena / Ona;113;34;38;Muy buena / Oso ona;20;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;162;61;1003,1;8,4;7,3;5,33;Buena / Ona
25/01/2017;0,46;0,88;Muy buena / Oso ona;17;39;62;Buena / Ona;65;31;57;Muy buena / Oso ona;28;Buena / Ona;21;Buena / Ona;5;Muy buena / Oso ona;132;79;1015,4;9,2;4,2;1,42;Buena / Ona
24/01/2017;0,54;0,85;Muy buena / Oso ona;21;40;86;Buena / Ona;72;32;73;Buena / Ona;29;Buena / Ona;21;Buena / Ona;4;Muy buena / Oso ona;41;81;1019,7;6,7;6,6;0,53;Buena / Ona
23/01/2017;0,26;0,31;Muy buena / Oso ona;3;7;9;Muy buena / Oso ona;11;71;75;Buena / Ona;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;323;81;1016,5;6,2;9,1;3,27;Buena / Ona
22/01/2017;0,4;0,71;Muy buena / Oso ona;9;23;46;Muy buena / Oso ona;36;38;69;Buena / Ona;26;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;330;88;1014,5;6,3;7,8;0,94;Buena / Ona
21/01/2017;0,53;0,64;Muy buena / Oso ona;18;41;59;Buena / Ona;69;15;31;Muy buena / Oso ona;33;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;127;80;1014,2;6,2;5,5;0,68;Buena / Ona
20/01/2017;0,49;0,6;Muy buena / Oso ona;17;36;64;Buena / Ona;61;19;41;Muy buena / Oso ona;31;Buena / Ona;23;Buena / Ona;4;Muy buena / Oso ona;120;82;1016,5;6,2;3;0,99;Buena / Ona
19/01/2017;0,36;0,45;Muy buena / Oso ona;7;31;56;Buena / Ona;42;24;34;Muy buena / Oso ona;20;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;128;82;1018,5;3;2,5;1,43;Buena / Ona
18/01/2017;;;Sin datos / Daturik gabe;2;11;43;Muy buena / Oso ona;14;50;60;Muy buena / Oso ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;45;74;1019,4;1,4;2,7;1,09;Muy buena / Oso ona
17/01/2017;0,26;;Sin datos / Daturik gabe;3;8;30;Muy buena / Oso ona;13;60;66;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;68;72;1020,6;6,4;5,9;1,83;Buena / Ona
16/01/2017;0,21;0,26;Muy buena / Oso ona;2;3;4;Muy buena / Oso ona;7;69;77;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;338;91;1019,3;3,2;10,7;4,61;Buena / Ona
15/01/2017;0,23;0,29;Muy buena / Oso ona;3;3;4;Muy buena / Oso ona;7;74;76;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;338;85;1022,6;2,8;9,6;4,1;Buena / Ona
14/01/2017;0,16;0,19;Muy buena / Oso ona;3;3;5;Muy buena / Oso ona;7;72;74;Buena / Ona;22;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;336;82;1021,3;4,2;7,7;3,34;Buena / Ona
13/01/2017;0,18;0,22;Muy buena / Oso ona;3;4;6;Muy buena / Oso ona;8;72;74;Buena / Ona;26;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;331;79;1016,9;4,7;8,2;5,69;Buena / Ona
12/01/2017;0,36;;Sin datos / Daturik gabe;12;20;51;Buena / Ona;39;34;58;Muy buena / Oso ona;37;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;311;97;1014,4;5;11,3;2,41;Buena / Ona
11/01/2017;0,14;0,15;Muy buena / Oso ona;2;5;8;Muy buena / Oso ona;8;58;69;Buena / Ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;3;Muy buena / Oso ona;319;99;1017,5;2,5;11,8;5,8;Buena / Ona
10/01/2017;0,24;0,46;Muy buena / Oso ona;3;13;56;Buena / Ona;18;55;69;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;335;95;1014;1,3;9,8;3,81;Buena / Ona
09/01/2017;0,41;0,48;Muy buena / Oso ona;23;47;89;Buena / Ona;83;20;37;Muy buena / Oso ona;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;125;77;1021,8;7,4;9,2;0,81;Buena / Ona
08/01/2017;0,62;0,94;Muy buena / Oso ona;9;43;59;Buena / Ona;57;22;38;Muy buena / Oso ona;25;Muy buena / Oso ona;21;Buena / Ona;6;Muy buena / Oso ona;135;71;1026;5,9;5,6;1,09;Buena / Ona
07/01/2017;0,51;0,66;Muy buena / Oso ona;15;45;78;Buena / Ona;69;18;41;Muy buena / Oso ona;26;Buena / Ona;22;Buena / Ona;6;Muy buena / Oso ona;136;80;1026,2;6,4;3,4;1,08;Buena / Ona
06/01/2017;0,63;0,91;Muy buena / Oso ona;16;43;65;Buena / Ona;68;19;43;Muy buena / Oso ona;25;Muy buena / Oso ona;21;Buena / Ona;7;Muy buena / Oso ona;128;80;1025,4;6,7;3,5;0,76;Buena / Ona
05/01/2017;0,41;0,55;Muy buena / Oso ona;17;44;71;Buena / Ona;70;19;42;Muy buena / Oso ona;23;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;121;81;1023,5;7,1;4,7;1,46;Buena / Ona
04/01/2017;0,65;0,97;Muy buena / Oso ona;41;39;60;Buena / Ona;102;12;36;Muy buena / Oso ona;35;Buena / Ona;28;Buena / Ona;7;Muy buena / Oso ona;126;88;1021;6,6;5,4;0,56;Buena / Ona
03/01/2017;0,48;0,58;Muy buena / Oso ona;24;38;54;Buena / Ona;75;15;29;Muy buena / Oso ona;31;Buena / Ona;25;Buena / Ona;7;Muy buena / Oso ona;105;82;1017,8;5,8;6,2;0,7;Buena / Ona
02/01/2017;0,26;0,37;Muy buena / Oso ona;7;30;54;Buena / Ona;40;29;41;Muy buena / Oso ona;15;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;144;65;1012,6;5,4;7,4;3,1;Buena / Ona
01/01/2017;0,25;0,35;Muy buena / Oso ona;6;28;48;Muy buena / Oso ona;38;23;32;Muy buena / Oso ona;23;Muy buena / Oso ona;17;Buena / Ona;5;Muy buena / Oso ona;143;72;1016,1;6,2;5,5;2,19;Buena / Ona
