Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
23/05/2017;0,14;0,15;Muy buena / Oso ona;2;4;10;Muy buena / Oso ona;7;64;71;Buena / Ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;6;73;1016,6;52,2;17,1;0,85;Buena / Ona
22/05/2017;0,17;0,23;Muy buena / Oso ona;2;8;22;Muy buena / Oso ona;12;70;77;Buena / Ona;26;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;331;73;1011,4;52,1;17,7;3,29;Buena / Ona
21/05/2017;0,21;0,23;Muy buena / Oso ona;2;11;20;Muy buena / Oso ona;15;63;82;Buena / Ona;11;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;145;51;1007,8;40,9;21,9;2,43;Buena / Ona
20/05/2017;0,16;0,29;Muy buena / Oso ona;2;9;32;Muy buena / Oso ona;12;59;72;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;7;68;1017,3;52,5;15,3;0,84;Buena / Ona
19/05/2017;0,22;0,35;Muy buena / Oso ona;5;11;36;Muy buena / Oso ona;18;57;64;Buena / Ona;18;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;316;69;1015,1;41,5;13,5;3,92;Buena / Ona
18/05/2017;0,24;0,41;Muy buena / Oso ona;7;9;22;Muy buena / Oso ona;20;59;68;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;318;86;1012;32,5;13;4,67;Buena / Ona
17/05/2017;0,25;0,31;Muy buena / Oso ona;4;13;32;Muy buena / Oso ona;19;59;88;Buena / Ona;16;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;335;87;1011,9;14,8;15,8;1,26;Buena / Ona
16/05/2017;0,43;0,76;Muy buena / Oso ona;8;21;53;Buena / Ona;33;62;90;Buena / Ona;24;Muy buena / Oso ona;19;Buena / Ona;3;Muy buena / Oso ona;310;72;1016,8;45,5;19,3;1,01;Buena / Ona
15/05/2017;0,25;0,32;Muy buena / Oso ona;5;16;33;Muy buena / Oso ona;23;64;93;Buena / Ona;18;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;357;61;1018,3;48,8;19,8;0,35;Buena / Ona
14/05/2017;0,2;0,21;Muy buena / Oso ona;4;10;24;Muy buena / Oso ona;16;60;73;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;92;65;1015,5;45,8;18,7;0,29;Buena / Ona
