Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);ICA Estación
28/10/2017;15;27;64;Buena / Ona;50;Buena / Ona
27/10/2017;40;37;66;Buena / Ona;98;Buena / Ona
26/10/2017;27;53;89;Buena / Ona;95;Buena / Ona
25/10/2017;72;61;91;Buena / Ona;171;Buena / Ona
24/10/2017;44;59;81;Buena / Ona;127;Buena / Ona
23/10/2017;33;44;79;Buena / Ona;95;Buena / Ona
22/10/2017;13;19;54;Buena / Ona;38;Buena / Ona
21/10/2017;13;13;25;Muy buena / Oso ona;32;Muy buena / Oso ona
20/10/2017;33;37;93;Buena / Ona;88;Buena / Ona
19/10/2017;18;34;72;Buena / Ona;62;Buena / Ona
18/10/2017;19;45;73;Buena / Ona;74;Buena / Ona
17/10/2017;10;38;68;Buena / Ona;54;Buena / Ona
16/10/2017;7;15;37;Muy buena / Oso ona;26;Muy buena / Oso ona
15/10/2017;7;16;44;Muy buena / Oso ona;26;Muy buena / Oso ona
14/10/2017;9;25;48;Muy buena / Oso ona;38;Muy buena / Oso ona
13/10/2017;29;40;72;Buena / Ona;85;Buena / Ona
12/10/2017;16;36;68;Buena / Ona;60;Buena / Ona
11/10/2017;13;38;63;Buena / Ona;57;Buena / Ona
10/10/2017;33;42;75;Buena / Ona;93;Buena / Ona
09/10/2017;25;42;65;Buena / Ona;81;Buena / Ona
08/10/2017;15;32;58;Buena / Ona;54;Buena / Ona
07/10/2017;16;28;61;Buena / Ona;53;Buena / Ona
06/10/2017;9;21;48;Muy buena / Oso ona;35;Muy buena / Oso ona
05/10/2017;11;26;49;Muy buena / Oso ona;42;Muy buena / Oso ona
04/10/2017;24;22;31;Muy buena / Oso ona;58;Muy buena / Oso ona
03/10/2017;34;26;34;Muy buena / Oso ona;78;Muy buena / Oso ona
02/10/2017;32;44;65;Buena / Ona;93;Buena / Ona
01/10/2017;16;34;45;Muy buena / Oso ona;59;Muy buena / Oso ona
30/09/2017;8;21;57;Buena / Ona;32;Buena / Ona
29/09/2017;25;35;67;Buena / Ona;73;Buena / Ona
28/09/2017;18;45;63;Buena / Ona;73;Buena / Ona
27/09/2017;19;51;79;Buena / Ona;80;Buena / Ona
26/09/2017;19;32;55;Buena / Ona;60;Buena / Ona
25/09/2017;15;30;61;Buena / Ona;54;Buena / Ona
24/09/2017;10;25;48;Muy buena / Oso ona;41;Muy buena / Oso ona
23/09/2017;7;24;46;Muy buena / Oso ona;35;Muy buena / Oso ona
22/09/2017;13;30;60;Buena / Ona;49;Buena / Ona
21/09/2017;29;38;63;Buena / Ona;82;Buena / Ona
20/09/2017;25;46;74;Buena / Ona;84;Buena / Ona
19/09/2017;18;32;62;Buena / Ona;60;Buena / Ona
18/09/2017;15;32;53;Buena / Ona;54;Buena / Ona
17/09/2017;8;19;35;Muy buena / Oso ona;32;Muy buena / Oso ona
16/09/2017;8;23;45;Muy buena / Oso ona;35;Muy buena / Oso ona
15/09/2017;16;30;50;Muy buena / Oso ona;54;Muy buena / Oso ona
14/09/2017;9;24;54;Buena / Ona;38;Buena / Ona
13/09/2017;20;28;41;Muy buena / Oso ona;59;Muy buena / Oso ona
12/09/2017;11;26;59;Buena / Ona;42;Buena / Ona
11/09/2017;9;16;30;Muy buena / Oso ona;30;Muy buena / Oso ona
10/09/2017;7;15;32;Muy buena / Oso ona;26;Muy buena / Oso ona
09/09/2017;7;11;18;Muy buena / Oso ona;22;Muy buena / Oso ona
08/09/2017;14;22;44;Muy buena / Oso ona;44;Muy buena / Oso ona
07/09/2017;14;25;46;Muy buena / Oso ona;47;Muy buena / Oso ona
06/09/2017;7;19;38;Muy buena / Oso ona;30;Muy buena / Oso ona
05/09/2017;20;25;40;Muy buena / Oso ona;56;Muy buena / Oso ona
04/09/2017;25;29;46;Muy buena / Oso ona;66;Muy buena / Oso ona
03/09/2017;10;27;41;Muy buena / Oso ona;41;Muy buena / Oso ona
02/09/2017;8;19;42;Muy buena / Oso ona;32;Muy buena / Oso ona
01/09/2017;12;20;44;Muy buena / Oso ona;38;Muy buena / Oso ona
31/08/2017;10;26;55;Buena / Ona;41;Buena / Ona
30/08/2017;11;24;46;Muy buena / Oso ona;41;Muy buena / Oso ona
29/08/2017;14;29;45;Muy buena / Oso ona;51;Muy buena / Oso ona
28/08/2017;12;29;50;Muy buena / Oso ona;48;Muy buena / Oso ona
27/08/2017;10;24;36;Muy buena / Oso ona;39;Muy buena / Oso ona
