Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);Precipitación (l/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;;;;Sin datos / Daturik gabe;14;6;Muy buena / Oso ona;1;Muy buena / Oso ona;311;85;0;15,7;1,48;Muy buena / Oso ona
27/10/2017;;;;Sin datos / Daturik gabe;77;22;Muy buena / Oso ona;5;Muy buena / Oso ona;322;89;0;15,6;1,26;Muy buena / Oso ona
26/10/2017;7;43;74;Buena / Ona;54;22;Muy buena / Oso ona;8;Muy buena / Oso ona;318;66;0;19;0,85;Buena / Ona
25/10/2017;44;67;96;Buena / Ona;134;31;Buena / Ona;12;Muy buena / Oso ona;56;74;0;16,7;0,32;Buena / Ona
24/10/2017;38;54;75;Buena / Ona;112;20;Muy buena / Oso ona;8;Muy buena / Oso ona;82;74;0;15,3;1,53;Buena / Ona
23/10/2017;22;44;73;Buena / Ona;77;11;Muy buena / Oso ona;6;Muy buena / Oso ona;74;78;0;13,4;0,83;Buena / Ona
22/10/2017;;;;Sin datos / Daturik gabe;11;5;Muy buena / Oso ona;3;Muy buena / Oso ona;286;84;0;13,4;2,43;Muy buena / Oso ona
21/10/2017;;;;Sin datos / Daturik gabe;8;11;Muy buena / Oso ona;4;Muy buena / Oso ona;287;74;0;16,4;5,67;Muy buena / Oso ona
20/10/2017;;;;Sin datos / Daturik gabe;52;13;Muy buena / Oso ona;3;Muy buena / Oso ona;239;63;0;20;1,21;Muy buena / Oso ona
19/10/2017;;;;Sin datos / Daturik gabe;41;6;Muy buena / Oso ona;2;Muy buena / Oso ona;277;69;0;16,9;0,27;Muy buena / Oso ona
18/10/2017;2;22;44;Muy buena / Oso ona;23;13;Muy buena / Oso ona;2;Muy buena / Oso ona;256;79;0;16;1,12;Muy buena / Oso ona
17/10/2017;1;19;38;Muy buena / Oso ona;19;26;Buena / Ona;1;Muy buena / Oso ona;109;74;0;19,9;1,29;Buena / Ona
16/10/2017;;;;Sin datos / Daturik gabe;12;23;Muy buena / Oso ona;1;Muy buena / Oso ona;251;72;0;21,1;1,5;Muy buena / Oso ona
15/10/2017;;;;Sin datos / Daturik gabe;11;23;Muy buena / Oso ona;2;Muy buena / Oso ona;96;51;0;25,5;1,85;Muy buena / Oso ona
14/10/2017;3;25;44;Muy buena / Oso ona;26;32;Buena / Ona;2;Muy buena / Oso ona;101;69;0;22,4;1,56;Buena / Ona
13/10/2017;11;38;74;Buena / Ona;52;36;Buena / Ona;7;Muy buena / Oso ona;334;84;0;17,8;0,97;Buena / Ona
12/10/2017;9;36;59;Buena / Ona;49;24;Muy buena / Oso ona;3;Muy buena / Oso ona;59;88;0;16,2;0,54;Buena / Ona
11/10/2017;7;32;66;Buena / Ona;42;18;Muy buena / Oso ona;4;Muy buena / Oso ona;332;76;0;17,5;1,15;Buena / Ona
10/10/2017;24;40;76;Buena / Ona;76;21;Muy buena / Oso ona;4;Muy buena / Oso ona;67;89;0;14,9;0,74;Buena / Ona
09/10/2017;26;42;66;Buena / Ona;79;20;Muy buena / Oso ona;6;Muy buena / Oso ona;42;82;0;14,1;0,5;Buena / Ona
08/10/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;Sin datos / Daturik gabe
07/10/2017;8;32;64;Buena / Ona;38;14;Muy buena / Oso ona;2;Muy buena / Oso ona;74;82;0;14,2;0,89;Buena / Ona
06/10/2017;;;;Sin datos / Daturik gabe;18;10;Muy buena / Oso ona;1;Muy buena / Oso ona;308;89;0;15,9;1,75;Muy buena / Oso ona
05/10/2017;;;;Sin datos / Daturik gabe;16;12;Muy buena / Oso ona;1;Muy buena / Oso ona;309;95;0;18,2;2,14;Muy buena / Oso ona
04/10/2017;23;20;29;Muy buena / Oso ona;49;17;Muy buena / Oso ona;1;Muy buena / Oso ona;319;93;0;18,7;0,7;Muy buena / Oso ona
03/10/2017;8;21;34;Muy buena / Oso ona;32;10;Muy buena / Oso ona;2;Muy buena / Oso ona;310;98;0;18,8;1,1;Muy buena / Oso ona
02/10/2017;19;33;54;Buena / Ona;61;15;Muy buena / Oso ona;4;Muy buena / Oso ona;312;96;0;19;0,26;Buena / Ona
01/10/2017;2;19;33;Muy buena / Oso ona;22;11;Muy buena / Oso ona;3;Muy buena / Oso ona;290;92;0;17,7;1,93;Muy buena / Oso ona
30/09/2017;1;11;33;Muy buena / Oso ona;12;6;Muy buena / Oso ona;1;Muy buena / Oso ona;315;95;0,1;16,3;0,93;Muy buena / Oso ona
29/09/2017;19;31;69;Buena / Ona;60;31;Buena / Ona;7;Muy buena / Oso ona;301;88;0;18,8;1,77;Buena / Ona
28/09/2017;7;31;61;Buena / Ona;42;19;Muy buena / Oso ona;6;Muy buena / Oso ona;348;76;0;19,8;0,66;Buena / Ona
27/09/2017;11;34;56;Buena / Ona;51;15;Muy buena / Oso ona;16;Muy buena / Oso ona;14;73;0;18,6;0,38;Buena / Ona
26/09/2017;9;28;59;Buena / Ona;41;11;Muy buena / Oso ona;5;Muy buena / Oso ona;39;84;0;17,4;0,56;Buena / Ona
25/09/2017;3;16;46;Muy buena / Oso ona;19;8;Muy buena / Oso ona;3;Muy buena / Oso ona;290;88;0;17,3;2,98;Muy buena / Oso ona
24/09/2017;5;20;35;Muy buena / Oso ona;28;19;Muy buena / Oso ona;4;Muy buena / Oso ona;304;87;0;18,1;1,77;Muy buena / Oso ona
23/09/2017;3;17;43;Muy buena / Oso ona;21;15;Muy buena / Oso ona;5;Muy buena / Oso ona;13;75;0;20,3;0,32;Muy buena / Oso ona
22/09/2017;3;22;57;Buena / Ona;26;9;Muy buena / Oso ona;4;Muy buena / Oso ona;333;93;0;16,2;1,39;Buena / Ona
21/09/2017;22;27;54;Buena / Ona;61;16;Muy buena / Oso ona;4;Muy buena / Oso ona;316;88;0;16,6;1,27;Buena / Ona
20/09/2017;20;35;51;Buena / Ona;64;15;Muy buena / Oso ona;7;Muy buena / Oso ona;68;75;0;15,7;0,77;Buena / Ona
19/09/2017;5;20;53;Buena / Ona;28;5;Muy buena / Oso ona;4;Muy buena / Oso ona;312;80;0;15,7;1,08;Buena / Ona
18/09/2017;8;21;53;Buena / Ona;34;5;Muy buena / Oso ona;2;Muy buena / Oso ona;306;95;0,1;14,6;0,83;Buena / Ona
17/09/2017;3;9;33;Muy buena / Oso ona;13;5;Muy buena / Oso ona;3;Muy buena / Oso ona;290;72;0;15,6;3,02;Muy buena / Oso ona
16/09/2017;2;11;34;Muy buena / Oso ona;13;3;Muy buena / Oso ona;2;Muy buena / Oso ona;282;83;0,1;12,9;1,7;Muy buena / Oso ona
15/09/2017;2;11;25;Muy buena / Oso ona;13;4;Muy buena / Oso ona;3;Muy buena / Oso ona;283;84;0,1;13,5;2,9;Muy buena / Oso ona
14/09/2017;1;11;22;Muy buena / Oso ona;13;11;Muy buena / Oso ona;2;Muy buena / Oso ona;293;78;0;16,5;4,04;Muy buena / Oso ona
13/09/2017;18;19;41;Muy buena / Oso ona;46;15;Muy buena / Oso ona;5;Muy buena / Oso ona;311;83;0;19;1,42;Muy buena / Oso ona
12/09/2017;2;17;57;Buena / Ona;20;7;Muy buena / Oso ona;3;Muy buena / Oso ona;288;84;0;17,1;2,03;Buena / Ona
11/09/2017;2;11;19;Muy buena / Oso ona;14;9;Muy buena / Oso ona;6;Muy buena / Oso ona;287;87;0,1;17,4;5,81;Muy buena / Oso ona
10/09/2017;2;11;39;Muy buena / Oso ona;14;9;Muy buena / Oso ona;7;Muy buena / Oso ona;283;80;0,1;16,7;3,51;Muy buena / Oso ona
09/09/2017;2;8;13;Muy buena / Oso ona;10;6;Muy buena / Oso ona;6;Muy buena / Oso ona;284;85;0,2;16;5,55;Muy buena / Oso ona
08/09/2017;11;17;51;Buena / Ona;33;15;Muy buena / Oso ona;4;Muy buena / Oso ona;298;75;0;17,9;1,63;Buena / Ona
07/09/2017;3;15;54;Buena / Ona;20;8;Muy buena / Oso ona;2;Muy buena / Oso ona;304;72;0;18,2;1,74;Buena / Ona
06/09/2017;1;12;23;Muy buena / Oso ona;14;8;Muy buena / Oso ona;1;Muy buena / Oso ona;299;84;0,1;18,3;2,52;Muy buena / Oso ona
05/09/2017;18;22;40;Muy buena / Oso ona;49;15;Muy buena / Oso ona;9;Muy buena / Oso ona;304;86;0;19,8;1,42;Muy buena / Oso ona
04/09/2017;11;19;41;Muy buena / Oso ona;36;8;Muy buena / Oso ona;5;Muy buena / Oso ona;306;88;0;19,6;1,92;Muy buena / Oso ona
03/09/2017;4;23;34;Muy buena / Oso ona;28;9;Muy buena / Oso ona;4;Muy buena / Oso ona;360;77;0;19,3;0,44;Muy buena / Oso ona
02/09/2017;1;11;36;Muy buena / Oso ona;12;7;Muy buena / Oso ona;3;Muy buena / Oso ona;330;74;0;17,8;0,76;Muy buena / Oso ona
01/09/2017;2;9;16;Muy buena / Oso ona;11;6;Muy buena / Oso ona;3;Muy buena / Oso ona;287;79;0;17,3;3,38;Muy buena / Oso ona
31/08/2017;2;13;34;Muy buena / Oso ona;16;5;Muy buena / Oso ona;2;Muy buena / Oso ona;311;81;0;17,3;1,29;Muy buena / Oso ona
30/08/2017;4;17;41;Muy buena / Oso ona;22;13;Muy buena / Oso ona;1;Muy buena / Oso ona;300;92;0,2;18,8;2,66;Muy buena / Oso ona
29/08/2017;8;22;46;Muy buena / Oso ona;35;14;Muy buena / Oso ona;2;Muy buena / Oso ona;322;88;0,1;20,1;0,96;Muy buena / Oso ona
28/08/2017;6;24;52;Buena / Ona;34;13;Muy buena / Oso ona;3;Muy buena / Oso ona;122;70;0;22,7;0,72;Buena / Ona
27/08/2017;3;15;42;Muy buena / Oso ona;19;12;Muy buena / Oso ona;2;Muy buena / Oso ona;112;74;0;22,7;0,88;Muy buena / Oso ona
26/08/2017;2;16;37;Muy buena / Oso ona;19;10;Muy buena / Oso ona;1;Muy buena / Oso ona;332;88;0;21,1;0,65;Muy buena / Oso ona
25/08/2017;4;14;41;Muy buena / Oso ona;19;11;Muy buena / Oso ona;1;Muy buena / Oso ona;342;88;0;20,3;0,89;Muy buena / Oso ona
24/08/2017;2;12;37;Muy buena / Oso ona;16;11;Muy buena / Oso ona;1;Muy buena / Oso ona;308;91;0;20,1;1,69;Muy buena / Oso ona
23/08/2017;3;16;44;Muy buena / Oso ona;20;19;Muy buena / Oso ona;1;Muy buena / Oso ona;3;84;0;20,2;0,72;Muy buena / Oso ona
22/08/2017;3;19;56;Buena / Ona;22;21;Muy buena / Oso ona;4;Muy buena / Oso ona;307;74;0;22,6;3,22;Buena / Ona
21/08/2017;11;38;67;Buena / Ona;54;19;Muy buena / Oso ona;3;Muy buena / Oso ona;85;63;0;23,3;2,23;Buena / Ona
20/08/2017;2;17;44;Muy buena / Oso ona;20;9;Muy buena / Oso ona;1;Muy buena / Oso ona;63;76;0;18,6;0,96;Muy buena / Oso ona
19/08/2017;1;10;21;Muy buena / Oso ona;11;8;Muy buena / Oso ona;1;Muy buena / Oso ona;27;82;0;19,4;1,36;Muy buena / Oso ona
18/08/2017;6;18;43;Muy buena / Oso ona;26;10;Muy buena / Oso ona;1;Muy buena / Oso ona;306;89;0,1;20,1;1,6;Muy buena / Oso ona
17/08/2017;8;20;42;Muy buena / Oso ona;32;11;Muy buena / Oso ona;3;Muy buena / Oso ona;305;79;0;20,4;1,53;Muy buena / Oso ona
16/08/2017;4;18;34;Muy buena / Oso ona;24;7;Muy buena / Oso ona;1;Muy buena / Oso ona;307;83;0;20,3;1,54;Muy buena / Oso ona
15/08/2017;1;9;26;Muy buena / Oso ona;10;6;Muy buena / Oso ona;1;Muy buena / Oso ona;299;89;0;19,7;2,18;Muy buena / Oso ona
14/08/2017;5;18;37;Muy buena / Oso ona;25;15;Muy buena / Oso ona;1;Muy buena / Oso ona;306;77;0;22,4;0,69;Muy buena / Oso ona
13/08/2017;2;14;29;Muy buena / Oso ona;17;9;Muy buena / Oso ona;2;Muy buena / Oso ona;345;83;0;18,5;0,74;Muy buena / Oso ona
12/08/2017;5;17;36;Muy buena / Oso ona;25;13;Muy buena / Oso ona;3;Muy buena / Oso ona;335;77;0;17,3;0,94;Muy buena / Oso ona
11/08/2017;2;14;51;Buena / Ona;16;10;Muy buena / Oso ona;2;Muy buena / Oso ona;305;74;0;17,4;2,09;Buena / Ona
10/08/2017;1;7;14;Muy buena / Oso ona;9;8;Muy buena / Oso ona;2;Muy buena / Oso ona;285;80;0;16,6;5,14;Muy buena / Oso ona
09/08/2017;1;7;17;Muy buena / Oso ona;9;6;Muy buena / Oso ona;3;Muy buena / Oso ona;288;76;0;16,6;5,1;Muy buena / Oso ona
08/08/2017;1;9;15;Muy buena / Oso ona;11;6;Muy buena / Oso ona;4;Muy buena / Oso ona;287;80;0;16,9;3,59;Muy buena / Oso ona
07/08/2017;2;14;48;Muy buena / Oso ona;17;14;Muy buena / Oso ona;4;Muy buena / Oso ona;289;84;0;19,1;3,96;Muy buena / Oso ona
06/08/2017;1;4;15;Muy buena / Oso ona;6;9;Muy buena / Oso ona;2;Muy buena / Oso ona;349;72;0;19,4;1,46;Muy buena / Oso ona
05/08/2017;1;6;13;Muy buena / Oso ona;7;4;Muy buena / Oso ona;2;Muy buena / Oso ona;306;97;0,3;18,2;2,99;Muy buena / Oso ona
04/08/2017;3;14;41;Muy buena / Oso ona;19;12;Muy buena / Oso ona;3;Muy buena / Oso ona;310;74;0;24,1;1,65;Muy buena / Oso ona
03/08/2017;10;26;47;Muy buena / Oso ona;41;19;Muy buena / Oso ona;6;Muy buena / Oso ona;319;84;0;21,2;1,26;Muy buena / Oso ona
02/08/2017;7;20;37;Muy buena / Oso ona;30;16;Muy buena / Oso ona;7;Muy buena / Oso ona;322;84;0;20,3;1,13;Muy buena / Oso ona
01/08/2017;3;17;42;Muy buena / Oso ona;22;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;331;89;0;19,2;1,07;Muy buena / Oso ona
31/07/2017;1;13;27;Muy buena / Oso ona;15;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;291;94;0;18,1;1,48;Muy buena / Oso ona
30/07/2017;2;16;36;Muy buena / Oso ona;18;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;297;86;0;19,6;1,33;Muy buena / Oso ona
29/07/2017;5;21;40;Muy buena / Oso ona;28;13;Muy buena / Oso ona;9;Muy buena / Oso ona;17;65;0;22,9;0,77;Muy buena / Oso ona
28/07/2017;3;16;45;Muy buena / Oso ona;21;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;308;89;0;19,8;1,04;Muy buena / Oso ona
27/07/2017;10;20;46;Muy buena / Oso ona;35;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;310;85;0;20;1,71;Muy buena / Oso ona
26/07/2017;9;21;47;Muy buena / Oso ona;35;15;Muy buena / Oso ona;3;Muy buena / Oso ona;311;82;0;18,5;1,33;Muy buena / Oso ona
25/07/2017;1;6;16;Muy buena / Oso ona;8;7;Muy buena / Oso ona;2;Muy buena / Oso ona;289;83;0;17,8;3,8;Muy buena / Oso ona
24/07/2017;2;8;13;Muy buena / Oso ona;10;4;Muy buena / Oso ona;2;Muy buena / Oso ona;289;93;0,1;18;6,08;Muy buena / Oso ona
23/07/2017;1;7;16;Muy buena / Oso ona;9;10;Muy buena / Oso ona;4;Muy buena / Oso ona;299;76;0;19,3;2,32;Muy buena / Oso ona
22/07/2017;6;16;35;Muy buena / Oso ona;25;12;Muy buena / Oso ona;3;Muy buena / Oso ona;305;84;0;17,7;1,72;Muy buena / Oso ona
21/07/2017;3;17;40;Muy buena / Oso ona;22;8;Muy buena / Oso ona;2;Muy buena / Oso ona;302;89;0;16,8;1,71;Muy buena / Oso ona
20/07/2017;2;12;29;Muy buena / Oso ona;14;7;Muy buena / Oso ona;2;Muy buena / Oso ona;294;87;0;17,2;2,86;Muy buena / Oso ona
19/07/2017;2;14;36;Muy buena / Oso ona;16;19;Muy buena / Oso ona;2;Muy buena / Oso ona;299;78;0;20,8;1,82;Muy buena / Oso ona
18/07/2017;2;14;26;Muy buena / Oso ona;16;25;Muy buena / Oso ona;2;Muy buena / Oso ona;306;78;0;22,6;2,13;Muy buena / Oso ona
17/07/2017;12;36;79;Buena / Ona;53;26;Buena / Ona;3;Muy buena / Oso ona;356;81;0;22,7;0,71;Buena / Ona
16/07/2017;2;18;60;Buena / Ona;21;15;Muy buena / Oso ona;2;Muy buena / Oso ona;299;79;0;20,6;1,63;Buena / Ona
15/07/2017;1;8;23;Muy buena / Oso ona;10;7;Muy buena / Oso ona;2;Muy buena / Oso ona;8;81;0;19,1;1,47;Muy buena / Oso ona
14/07/2017;2;9;27;Muy buena / Oso ona;12;5;Muy buena / Oso ona;2;Muy buena / Oso ona;346;82;0;19;1,84;Muy buena / Oso ona
13/07/2017;2;13;36;Muy buena / Oso ona;16;6;Muy buena / Oso ona;2;Muy buena / Oso ona;303;90;0;18,6;1,81;Muy buena / Oso ona
12/07/2017;10;21;46;Muy buena / Oso ona;36;12;Muy buena / Oso ona;3;Muy buena / Oso ona;310;85;0;19,3;1,17;Muy buena / Oso ona
11/07/2017;9;23;45;Muy buena / Oso ona;36;10;Muy buena / Oso ona;2;Muy buena / Oso ona;316;86;0;19;1,19;Muy buena / Oso ona
10/07/2017;2;10;32;Muy buena / Oso ona;13;7;Muy buena / Oso ona;2;Muy buena / Oso ona;300;92;0;18,2;3,65;Muy buena / Oso ona
09/07/2017;1;8;17;Muy buena / Oso ona;10;12;Muy buena / Oso ona;2;Muy buena / Oso ona;302;90;0,1;18,7;3,85;Muy buena / Oso ona
08/07/2017;1;8;17;Muy buena / Oso ona;9;11;Muy buena / Oso ona;2;Muy buena / Oso ona;304;95;0;18,7;3,86;Muy buena / Oso ona
07/07/2017;3;19;61;Buena / Ona;24;14;Muy buena / Oso ona;2;Muy buena / Oso ona;308;89;0;19,6;2,45;Buena / Ona
