Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);V.vien (m/s);Tº (ºC);ICA Estación
28/10/2017;2;14;27;Muy buena / Oso ona;18;14;Muy buena / Oso ona;;;;;;5;89;1026,4;0,04;;Muy buena / Oso ona
27/10/2017;4;21;35;Muy buena / Oso ona;26;19;Muy buena / Oso ona;;;;;;170;88;1028,1;0,36;;Muy buena / Oso ona
26/10/2017;8;35;55;Buena / Ona;47;24;Muy buena / Oso ona;;;;;;85;78;1022;0,25;;Buena / Ona
25/10/2017;14;41;75;Buena / Ona;62;24;Muy buena / Oso ona;;;;;;137;77;1017,8;0,21;;Buena / Ona
24/10/2017;8;34;74;Buena / Ona;47;20;Muy buena / Oso ona;;;;;;167;72;1019,1;0,2;;Buena / Ona
23/10/2017;4;22;46;Muy buena / Oso ona;28;12;Muy buena / Oso ona;;;;;;237;78;1023,1;0,42;;Muy buena / Oso ona
22/10/2017;1;9;16;Muy buena / Oso ona;11;11;Muy buena / Oso ona;;;;;;239;82;1025,1;0,33;;Muy buena / Oso ona
21/10/2017;1;7;15;Muy buena / Oso ona;9;16;Muy buena / Oso ona;;;;;;214;72;1020;0,62;;Muy buena / Oso ona
20/10/2017;5;22;58;Buena / Ona;30;11;Muy buena / Oso ona;;;;;;242;64;1011,4;0,6;;Buena / Ona
19/10/2017;2;12;33;Muy buena / Oso ona;16;4;Muy buena / Oso ona;;;;;;231;74;1007,5;0,71;;Muy buena / Oso ona
18/10/2017;3;19;39;Muy buena / Oso ona;24;15;Muy buena / Oso ona;;;;;;249;93;1006,7;0,08;;Muy buena / Oso ona
17/10/2017;2;21;49;Muy buena / Oso ona;24;34;Buena / Ona;;;;;;253;77;1011,6;0,3;;Buena / Ona
16/10/2017;1;11;20;Muy buena / Oso ona;13;35;Buena / Ona;;;;;;257;67;1017,3;1,43;;Buena / Ona
