Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
14/05/2017;1;8;19;Muy buena / Oso ona;9;54;85;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
13/05/2017;0;11;19;Muy buena / Oso ona;11;53;81;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
12/05/2017;0;6;18;Muy buena / Oso ona;6;71;90;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
11/05/2017;0;5;12;Muy buena / Oso ona;5;85;89;Buena / Ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
10/05/2017;3;17;48;Muy buena / Oso ona;21;56;93;Buena / Ona;19;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
09/05/2017;2;21;32;Muy buena / Oso ona;24;42;72;Buena / Ona;20;Muy buena / Oso ona;9;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
08/05/2017;4;14;24;Muy buena / Oso ona;20;44;77;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
07/05/2017;1;13;22;Muy buena / Oso ona;15;51;83;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;17;Muy buena / Oso ona;Buena / Ona
06/05/2017;0;12;20;Muy buena / Oso ona;12;59;86;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;12;Muy buena / Oso ona;Buena / Ona
05/05/2017;0;12;22;Muy buena / Oso ona;13;59;89;Buena / Ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
04/05/2017;1;19;32;Muy buena / Oso ona;21;47;72;Buena / Ona;24;Muy buena / Oso ona;12;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
03/05/2017;1;11;17;Muy buena / Oso ona;13;46;77;Buena / Ona;15;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
02/05/2017;2;14;38;Muy buena / Oso ona;17;44;77;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
01/05/2017;2;16;26;Muy buena / Oso ona;18;46;84;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
30/04/2017;;;;Sin datos / Daturik gabe;9;75;93;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
29/04/2017;;;;Sin datos / Daturik gabe;11;59;91;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
28/04/2017;;;;Sin datos / Daturik gabe;16;51;91;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
27/04/2017;;;;Sin datos / Daturik gabe;13;52;91;Buena / Ona;7;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
26/04/2017;;;;Sin datos / Daturik gabe;9;67;80;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
25/04/2017;;;;Sin datos / Daturik gabe;16;47;70;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
24/04/2017;;;;Sin datos / Daturik gabe;19;61;95;Buena / Ona;18;Muy buena / Oso ona;8;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
23/04/2017;;;;Sin datos / Daturik gabe;13;76;118;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;11;Muy buena / Oso ona;14;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
22/04/2017;;;;Sin datos / Daturik gabe;16;76;120;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
21/04/2017;;;;Sin datos / Daturik gabe;21;67;113;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
20/04/2017;;;;Sin datos / Daturik gabe;18;66;99;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
19/04/2017;;;;Sin datos / Daturik gabe;14;74;107;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
18/04/2017;;;;Sin datos / Daturik gabe;13;53;88;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
17/04/2017;;;;Sin datos / Daturik gabe;13;51;82;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
16/04/2017;;;;Sin datos / Daturik gabe;12;50;80;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
15/04/2017;;;;Sin datos / Daturik gabe;8;62;89;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
14/04/2017;;;;Sin datos / Daturik gabe;13;55;88;Buena / Ona;22;Muy buena / Oso ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
13/04/2017;;;;Sin datos / Daturik gabe;16;61;99;Buena / Ona;21;Muy buena / Oso ona;12;Muy buena / Oso ona;21;Muy buena / Oso ona;Buena / Ona
12/04/2017;;;;Sin datos / Daturik gabe;15;58;91;Buena / Ona;23;Muy buena / Oso ona;12;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
11/04/2017;;;;Sin datos / Daturik gabe;14;78;101;Mejorable / Hobetzeko modukoa;27;Buena / Ona;17;Buena / Ona;16;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
10/04/2017;;;;Sin datos / Daturik gabe;13;67;98;Buena / Ona;33;Buena / Ona;22;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
09/04/2017;;;;Sin datos / Daturik gabe;12;65;111;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;14;Muy buena / Oso ona;12;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
08/04/2017;;;;Sin datos / Daturik gabe;17;57;112;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
07/04/2017;;;;Sin datos / Daturik gabe;18;49;87;Buena / Ona;23;Muy buena / Oso ona;12;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
06/04/2017;;;;Sin datos / Daturik gabe;13;67;93;Buena / Ona;20;Muy buena / Oso ona;11;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
05/04/2017;;;;Sin datos / Daturik gabe;6;74;84;Buena / Ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
04/04/2017;;;;Sin datos / Daturik gabe;12;55;86;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
03/04/2017;;;;Sin datos / Daturik gabe;12;49;86;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
02/04/2017;;;;Sin datos / Daturik gabe;6;69;92;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
01/04/2017;;;;Sin datos / Daturik gabe;7;67;93;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
31/03/2017;2;13;45;Muy buena / Oso ona;16;59;93;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
30/03/2017;4;18;53;Buena / Ona;24;52;94;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
29/03/2017;6;18;45;Muy buena / Oso ona;28;42;87;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
28/03/2017;6;15;44;Muy buena / Oso ona;25;49;97;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
27/03/2017;1;10;26;Muy buena / Oso ona;13;80;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;2;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
26/03/2017;1;9;25;Muy buena / Oso ona;11;57;86;Buena / Ona;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Buena / Ona
25/03/2017;1;13;21;Muy buena / Oso ona;14;60;71;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
24/03/2017;2;15;34;Muy buena / Oso ona;19;48;88;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
23/03/2017;1;12;34;Muy buena / Oso ona;15;61;91;Buena / Ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Buena / Ona
22/03/2017;1;12;25;Muy buena / Oso ona;13;54;69;Buena / Ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
21/03/2017;1;12;28;Muy buena / Oso ona;14;49;85;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
20/03/2017;1;11;23;Muy buena / Oso ona;13;64;80;Buena / Ona;26;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
19/03/2017;1;12;19;Muy buena / Oso ona;13;52;82;Buena / Ona;20;Muy buena / Oso ona;9;Muy buena / Oso ona;15;Muy buena / Oso ona;Buena / Ona
18/03/2017;1;12;30;Muy buena / Oso ona;14;59;76;Buena / Ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;10;Muy buena / Oso ona;Buena / Ona
17/03/2017;3;11;29;Muy buena / Oso ona;15;55;84;Buena / Ona;22;Muy buena / Oso ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
16/03/2017;2;16;42;Muy buena / Oso ona;20;46;96;Buena / Ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
15/03/2017;2;15;26;Muy buena / Oso ona;18;43;78;Buena / Ona;31;Buena / Ona;16;Muy buena / Oso ona;11;Muy buena / Oso ona;Buena / Ona
14/03/2017;1;10;17;Muy buena / Oso ona;11;58;74;Buena / Ona;22;Muy buena / Oso ona;9;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
13/03/2017;0;5;8;Muy buena / Oso ona;5;81;92;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
12/03/2017;0;5;11;Muy buena / Oso ona;5;76;89;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
11/03/2017;2;13;27;Muy buena / Oso ona;16;54;95;Buena / Ona;25;Muy buena / Oso ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
10/03/2017;4;24;53;Buena / Ona;30;34;75;Buena / Ona;27;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
09/03/2017;2;17;36;Muy buena / Oso ona;21;30;55;Muy buena / Oso ona;27;Buena / Ona;13;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
08/03/2017;3;13;24;Muy buena / Oso ona;17;43;65;Buena / Ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
07/03/2017;3;15;34;Muy buena / Oso ona;19;41;63;Buena / Ona;22;Muy buena / Oso ona;5;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
06/03/2017;1;12;41;Muy buena / Oso ona;13;61;86;Buena / Ona;28;Buena / Ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
