Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
23/01/2017;11;23;47;Muy buena / Oso ona;40;;;Sin datos / Daturik gabe;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;Muy buena / Oso ona
22/01/2017;3;18;44;Muy buena / Oso ona;23;;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;Muy buena / Oso ona
21/01/2017;11;23;36;Muy buena / Oso ona;39;;;Sin datos / Daturik gabe;27;Buena / Ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
20/01/2017;11;31;55;Buena / Ona;47;12;28;Muy buena / Oso ona;28;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
19/01/2017;9;30;42;Muy buena / Oso ona;44;13;42;Muy buena / Oso ona;25;Muy buena / Oso ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
18/01/2017;4;16;43;Muy buena / Oso ona;22;46;69;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
17/01/2017;1;10;29;Muy buena / Oso ona;12;59;75;Buena / Ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
16/01/2017;0;4;6;Muy buena / Oso ona;4;79;84;Buena / Ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
15/01/2017;0;8;17;Muy buena / Oso ona;9;68;73;Buena / Ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
14/01/2017;1;11;32;Muy buena / Oso ona;13;58;68;Buena / Ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
13/01/2017;1;11;32;Muy buena / Oso ona;12;64;77;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
12/01/2017;7;16;32;Muy buena / Oso ona;27;21;35;Muy buena / Oso ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
11/01/2017;3;20;54;Buena / Ona;24;38;71;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
10/01/2017;4;14;30;Muy buena / Oso ona;20;48;69;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
09/01/2017;20;28;46;Muy buena / Oso ona;59;15;38;Muy buena / Oso ona;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;Muy buena / Oso ona
08/01/2017;7;25;49;Muy buena / Oso ona;35;22;52;Muy buena / Oso ona;21;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
07/01/2017;9;24;51;Buena / Ona;38;17;39;Muy buena / Oso ona;24;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
06/01/2017;6;21;38;Muy buena / Oso ona;30;18;42;Muy buena / Oso ona;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Muy buena / Oso ona
05/01/2017;8;26;45;Muy buena / Oso ona;37;19;42;Muy buena / Oso ona;25;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
04/01/2017;14;24;43;Muy buena / Oso ona;45;7;16;Muy buena / Oso ona;28;Buena / Ona;19;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
03/01/2017;18;21;39;Muy buena / Oso ona;49;9;20;Muy buena / Oso ona;26;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;Buena / Ona
02/01/2017;14;26;39;Muy buena / Oso ona;47;17;34;Muy buena / Oso ona;30;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
01/01/2017;13;18;26;Muy buena / Oso ona;38;11;26;Muy buena / Oso ona;38;Buena / Ona;19;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
