Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
06/05/2017;0;2;5;Muy buena / Oso ona;2;80;91;Buena / Ona;5;Muy buena / Oso ona;285;54;961,1;335,7;14,8;5,32;Buena / Ona
05/05/2017;0;3;6;Muy buena / Oso ona;3;84;92;Buena / Ona;12;Muy buena / Oso ona;69;68;953,1;151,5;16,1;4,03;Buena / Ona
04/05/2017;0;4;7;Muy buena / Oso ona;4;88;102;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;95;66;955,7;214,2;16,8;4,23;Mejorable / Hobetzeko modukoa
03/05/2017;0;4;11;Muy buena / Oso ona;4;69;92;Buena / Ona;8;Muy buena / Oso ona;87;64;960,1;292,6;15,4;2,03;Buena / Ona
02/05/2017;0;5;11;Muy buena / Oso ona;5;65;85;Buena / Ona;7;Muy buena / Oso ona;303;65;964,4;165,5;13,7;1,57;Buena / Ona
01/05/2017;0;3;7;Muy buena / Oso ona;4;79;95;Buena / Ona;6;Muy buena / Oso ona;287;58;963,6;288,9;10,5;3,76;Buena / Ona
30/04/2017;;;;Sin datos / Daturik gabe;3;75;96;Buena / Ona;6;Muy buena / Oso ona;301;81;953,4;124,5;9,4;1,34;Buena / Ona
29/04/2017;;;;Sin datos / Daturik gabe;4;79;88;Buena / Ona;14;Muy buena / Oso ona;86;64;955,4;230;11;6,58;Buena / Ona
28/04/2017;;;;Sin datos / Daturik gabe;4;81;103;Mejorable / Hobetzeko modukoa;7;Muy buena / Oso ona;72;57;961,8;315,5;8,7;0,7;Mejorable / Hobetzeko modukoa
27/04/2017;;;;Sin datos / Daturik gabe;4;88;96;Buena / Ona;8;Muy buena / Oso ona;318;57;961,9;251,4;6,5;3,12;Buena / Ona
26/04/2017;;;;Sin datos / Daturik gabe;3;87;93;Buena / Ona;4;Muy buena / Oso ona;326;71;957,8;98,2;6,9;3,78;Buena / Ona
25/04/2017;;;;Sin datos / Daturik gabe;5;84;96;Buena / Ona;17;Muy buena / Oso ona;18;69;954,1;169,8;13,3;1,29;Buena / Ona
24/04/2017;;;;Sin datos / Daturik gabe;6;89;121;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;90;43;958,4;255,2;17,1;1,84;Mejorable / Hobetzeko modukoa
23/04/2017;;;;Sin datos / Daturik gabe;3;91;123;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;85;38;962,2;303,8;16,3;1,11;Mejorable / Hobetzeko modukoa
22/04/2017;;;;Sin datos / Daturik gabe;4;103;117;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;94;40;966,4;300;14,6;4,13;Mejorable / Hobetzeko modukoa
21/04/2017;;;;Sin datos / Daturik gabe;3;105;118;Mejorable / Hobetzeko modukoa;23;Muy buena / Oso ona;84;45;969,1;296,4;13,5;6,76;Mejorable / Hobetzeko modukoa
20/04/2017;;;;Sin datos / Daturik gabe;6;88;115;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;98;45;967,8;287,3;11,5;1,76;Mejorable / Hobetzeko modukoa
19/04/2017;;;;Sin datos / Daturik gabe;4;92;110;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;308;48;966,3;294,9;10,7;1,63;Mejorable / Hobetzeko modukoa
18/04/2017;;;;Sin datos / Daturik gabe;4;81;95;Buena / Ona;14;Muy buena / Oso ona;318;66;964,5;284,2;13;1,54;Buena / Ona
17/04/2017;;;;Sin datos / Daturik gabe;4;77;99;Buena / Ona;18;Muy buena / Oso ona;292;60;963,5;288,3;14,4;2,28;Buena / Ona
16/04/2017;;;;Sin datos / Daturik gabe;;76;92;Buena / Ona;19;Muy buena / Oso ona;313;55;967,2;262,4;13,9;1,35;Buena / Ona
15/04/2017;;;;Sin datos / Daturik gabe;3;85;94;Buena / Ona;10;Muy buena / Oso ona;312;68;967,2;124,6;12,4;2,94;Buena / Ona
14/04/2017;;;;Sin datos / Daturik gabe;5;87;107;Mejorable / Hobetzeko modukoa;26;Buena / Ona;292;48;963,1;265,5;15,1;1,29;Mejorable / Hobetzeko modukoa
13/04/2017;;;;Sin datos / Daturik gabe;6;91;119;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;300;47;962,1;277,6;17;2,68;Mejorable / Hobetzeko modukoa
12/04/2017;;;;Sin datos / Daturik gabe;7;84;114;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;270;58;964,5;286,3;15;0,81;Mejorable / Hobetzeko modukoa
11/04/2017;;;;Sin datos / Daturik gabe;6;90;111;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;278;62;967,9;280,1;13,8;2,43;Mejorable / Hobetzeko modukoa
10/04/2017;;;;Sin datos / Daturik gabe;6;89;121;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;319;48;968,2;276,9;16,6;1,17;Mejorable / Hobetzeko modukoa
09/04/2017;;;;Sin datos / Daturik gabe;4;97;113;Mejorable / Hobetzeko modukoa;13;Muy buena / Oso ona;93;42;966,6;276,6;16,6;4,14;Mejorable / Hobetzeko modukoa
08/04/2017;;;;Sin datos / Daturik gabe;7;88;113;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;97;50;964;272,5;15,8;3,33;Mejorable / Hobetzeko modukoa
07/04/2017;;;;Sin datos / Daturik gabe;7;81;103;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;99;63;964,6;274,9;12,1;1,31;Mejorable / Hobetzeko modukoa
06/04/2017;;;;Sin datos / Daturik gabe;5;88;103;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;309;63;967,5;261,5;12;2,73;Mejorable / Hobetzeko modukoa
05/04/2017;;;;Sin datos / Daturik gabe;3;86;92;Buena / Ona;7;Muy buena / Oso ona;317;70;969,1;175,5;10,7;3,64;Buena / Ona
04/04/2017;;;;Sin datos / Daturik gabe;6;82;97;Buena / Ona;11;Muy buena / Oso ona;318;68;970;186,1;11;2,3;Buena / Ona
03/04/2017;;;;Sin datos / Daturik gabe;5;80;103;Mejorable / Hobetzeko modukoa;8;Muy buena / Oso ona;294;59;968,2;266,7;10,5;2,13;Mejorable / Hobetzeko modukoa
02/04/2017;;;;Sin datos / Daturik gabe;3;89;96;Buena / Ona;7;Muy buena / Oso ona;305;70;967,5;205,2;8,8;3,22;Buena / Ona
01/04/2017;;;;Sin datos / Daturik gabe;3;83;96;Buena / Ona;5;Muy buena / Oso ona;291;62;964;205,1;10,6;5,71;Buena / Ona
31/03/2017;0;6;11;Muy buena / Oso ona;7;84;92;Buena / Ona;11;Muy buena / Oso ona;295;59;962,6;156;13,3;0,43;Buena / Ona
30/03/2017;1;9;21;Muy buena / Oso ona;10;78;100;Buena / Ona;15;Muy buena / Oso ona;84;67;965,5;206,2;14,6;4,73;Buena / Ona
29/03/2017;1;7;12;Muy buena / Oso ona;8;69;96;Buena / Ona;11;Muy buena / Oso ona;91;64;969,7;228,7;13,3;0,36;Buena / Ona
28/03/2017;0;6;11;Muy buena / Oso ona;6;70;95;Buena / Ona;9;Muy buena / Oso ona;303;71;969,7;201,2;12;0,94;Buena / Ona
27/03/2017;0;4;6;Muy buena / Oso ona;4;83;93;Buena / Ona;8;Muy buena / Oso ona;80;85;961,8;156,6;9,9;6,35;Buena / Ona
26/03/2017;0;3;4;Muy buena / Oso ona;3;80;94;Buena / Ona;8;Muy buena / Oso ona;85;83;958,3;147,7;9,2;6,89;Buena / Ona
25/03/2017;0;3;5;Muy buena / Oso ona;3;83;90;Buena / Ona;5;Muy buena / Oso ona;280;89;956,9;34,7;4,2;2,75;Buena / Ona
24/03/2017;0;4;8;Muy buena / Oso ona;4;76;95;Buena / Ona;6;Muy buena / Oso ona;82;62;958,5;208,8;6,5;1,92;Buena / Ona
23/03/2017;0;3;8;Muy buena / Oso ona;3;84;94;Buena / Ona;4;Muy buena / Oso ona;281;58;953,8;145,6;5,5;2,57;Buena / Ona
22/03/2017;1;6;22;Muy buena / Oso ona;7;69;85;Buena / Ona;6;Muy buena / Oso ona;281;76;955,2;100,8;6,5;1;Buena / Ona
21/03/2017;0;6;9;Muy buena / Oso ona;6;73;91;Buena / Ona;8;Muy buena / Oso ona;307;74;961,4;73,4;8,4;2,09;Buena / Ona
20/03/2017;0;8;19;Muy buena / Oso ona;8;61;74;Buena / Ona;14;Muy buena / Oso ona;276;69;959,9;197,1;11,6;2,37;Buena / Ona
19/03/2017;0;6;10;Muy buena / Oso ona;7;68;84;Buena / Ona;9;Muy buena / Oso ona;281;60;963,2;196,8;12,6;2,34;Buena / Ona
18/03/2017;0;7;11;Muy buena / Oso ona;8;74;89;Buena / Ona;15;Muy buena / Oso ona;264;66;966,9;192,5;11,7;2,89;Buena / Ona
17/03/2017;1;10;18;Muy buena / Oso ona;11;70;100;Buena / Ona;18;Muy buena / Oso ona;135;53;966,4;192,8;12,9;0,84;Buena / Ona
16/03/2017;0;9;20;Muy buena / Oso ona;10;82;107;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;92;54;966,1;182,6;13,6;4,52;Mejorable / Hobetzeko modukoa
15/03/2017;0;7;11;Muy buena / Oso ona;8;76;94;Buena / Ona;16;Muy buena / Oso ona;80;70;970,8;178,9;11,7;0,45;Buena / Ona
14/03/2017;0;6;15;Muy buena / Oso ona;7;75;87;Buena / Ona;13;Muy buena / Oso ona;256;74;974,2;160,8;11,3;1,4;Buena / Ona
13/03/2017;0;3;7;Muy buena / Oso ona;3;80;86;Buena / Ona;7;Muy buena / Oso ona;280;78;970,3;47,3;8,4;4,03;Buena / Ona
12/03/2017;0;3;4;Muy buena / Oso ona;3;74;83;Buena / Ona;9;Muy buena / Oso ona;271;81;964,1;60,3;9,5;4,37;Buena / Ona
11/03/2017;1;6;14;Muy buena / Oso ona;7;70;93;Buena / Ona;19;Muy buena / Oso ona;300;52;962,1;154,3;15,6;1,7;Buena / Ona
10/03/2017;0;8;14;Muy buena / Oso ona;9;66;94;Buena / Ona;17;Muy buena / Oso ona;285;40;965,9;165,2;17,3;2,57;Buena / Ona
09/03/2017;1;9;13;Muy buena / Oso ona;11;56;88;Buena / Ona;12;Muy buena / Oso ona;291;53;969,8;162;15,6;2,04;Buena / Ona
08/03/2017;1;8;15;Muy buena / Oso ona;9;54;73;Buena / Ona;11;Muy buena / Oso ona;278;67;971,3;150,3;13,4;1,59;Buena / Ona
07/03/2017;0;5;10;Muy buena / Oso ona;5;69;78;Buena / Ona;13;Muy buena / Oso ona;282;68;969,7;124,6;12,2;4,73;Buena / Ona
06/03/2017;0;4;7;Muy buena / Oso ona;4;74;85;Buena / Ona;10;Muy buena / Oso ona;281;70;965,9;135,7;13;5,83;Buena / Ona
05/03/2017;0;7;13;Muy buena / Oso ona;7;59;69;Buena / Ona;7;Muy buena / Oso ona;256;86;960;56,5;8,4;1,7;Buena / Ona
04/03/2017;0;4;13;Muy buena / Oso ona;4;74;84;Buena / Ona;5;Muy buena / Oso ona;282;72;950,1;99;5,8;5,09;Buena / Ona
03/03/2017;0;6;9;Muy buena / Oso ona;6;72;81;Buena / Ona;13;Muy buena / Oso ona;88;74;947,5;88,1;9,7;1,72;Buena / Ona
02/03/2017;0;6;13;Muy buena / Oso ona;6;67;83;Buena / Ona;10;Muy buena / Oso ona;60;68;961,5;126,1;11,8;0,34;Buena / Ona
01/03/2017;1;6;18;Muy buena / Oso ona;8;60;76;Buena / Ona;6;Muy buena / Oso ona;285;73;962,4;116,5;8,9;2,26;Buena / Ona
28/02/2017;0;5;10;Muy buena / Oso ona;5;79;84;Buena / Ona;8;Muy buena / Oso ona;277;69;956,3;57,9;9,1;6,14;Buena / Ona
27/02/2017;1;6;12;Muy buena / Oso ona;7;68;87;Buena / Ona;11;Muy buena / Oso ona;269;63;957,1;124,5;10,6;4,42;Buena / Ona
26/02/2017;0;7;10;Muy buena / Oso ona;7;61;86;Buena / Ona;16;Muy buena / Oso ona;70;64;963,3;126,2;9,4;0,86;Buena / Ona
25/02/2017;0;7;18;Muy buena / Oso ona;8;67;90;Buena / Ona;8;Muy buena / Oso ona;278;60;963,7;122;8,8;2,6;Buena / Ona
24/02/2017;0;7;12;Muy buena / Oso ona;7;74;87;Buena / Ona;9;Muy buena / Oso ona;305;77;963,1;61,9;7,7;2,64;Buena / Ona
23/02/2017;2;17;28;Muy buena / Oso ona;20;42;68;Buena / Ona;34;Buena / Ona;120;79;960,6;95,4;9,1;1,15;Buena / Ona
22/02/2017;1;10;17;Muy buena / Oso ona;12;54;83;Buena / Ona;15;Muy buena / Oso ona;107;81;965,4;70,7;8,5;0,97;Buena / Ona
21/02/2017;2;11;20;Muy buena / Oso ona;14;58;78;Buena / Ona;10;Muy buena / Oso ona;266;76;969,1;104,1;8,8;1,72;Buena / Ona
20/02/2017;1;7;19;Muy buena / Oso ona;10;65;92;Buena / Ona;11;Muy buena / Oso ona;281;79;970,9;81,7;8,1;0,89;Buena / Ona
19/02/2017;1;7;13;Muy buena / Oso ona;9;67;88;Buena / Ona;15;Muy buena / Oso ona;309;79;970;88,1;9,2;1,14;Buena / Ona
18/02/2017;2;10;18;Muy buena / Oso ona;13;56;85;Buena / Ona;13;Muy buena / Oso ona;290;76;965,4;102,9;8,4;1,09;Buena / Ona
17/02/2017;2;12;22;Muy buena / Oso ona;15;39;65;Buena / Ona;12;Muy buena / Oso ona;278;88;971,3;60;7;0,75;Buena / Ona
16/02/2017;3;17;30;Muy buena / Oso ona;21;32;61;Buena / Ona;23;Muy buena / Oso ona;181;96;974,8;61,9;7,3;0,29;Buena / Ona
15/02/2017;2;12;29;Muy buena / Oso ona;16;50;73;Buena / Ona;15;Muy buena / Oso ona;107;91;974,1;57,4;7,6;2,22;Buena / Ona
14/02/2017;1;9;21;Muy buena / Oso ona;11;46;59;Muy buena / Oso ona;9;Muy buena / Oso ona;97;93;965,8;52,9;6,1;2,1;Muy buena / Oso ona
13/02/2017;1;6;12;Muy buena / Oso ona;8;69;82;Buena / Ona;14;Muy buena / Oso ona;83;85;952,1;55,4;9,3;5,82;Buena / Ona
12/02/2017;1;2;4;Muy buena / Oso ona;4;72;83;Buena / Ona;21;Muy buena / Oso ona;91;90;950;13,5;8,7;10,55;Buena / Ona
11/02/2017;1;2;4;Muy buena / Oso ona;4;75;77;Buena / Ona;8;Muy buena / Oso ona;78;90;957,5;43,9;5,6;6,28;Buena / Ona
10/02/2017;1;5;9;Muy buena / Oso ona;7;71;75;Buena / Ona;13;Muy buena / Oso ona;79;73;956,7;66,9;6,4;7,71;Buena / Ona
09/02/2017;1;5;13;Muy buena / Oso ona;7;64;73;Buena / Ona;7;Muy buena / Oso ona;327;75;962,7;87,9;5,6;0,72;Buena / Ona
08/02/2017;1;2;5;Muy buena / Oso ona;4;82;89;Buena / Ona;5;Muy buena / Oso ona;286;84;970,4;51,3;4,4;5,5;Buena / Ona
07/02/2017;1;4;8;Muy buena / Oso ona;6;74;84;Buena / Ona;8;Muy buena / Oso ona;292;82;966,2;46,4;9;4,23;Buena / Ona
06/02/2017;0;7;11;Muy buena / Oso ona;7;65;80;Buena / Ona;;Sin datos / Daturik gabe;282;78;967,7;47,9;8,9;6,7;Buena / Ona
05/02/2017;0;4;7;Muy buena / Oso ona;4;83;87;Buena / Ona;;Sin datos / Daturik gabe;280;71;958,5;54,2;7,2;7,97;Buena / Ona
04/02/2017;0;7;15;Muy buena / Oso ona;7;73;82;Buena / Ona;;Sin datos / Daturik gabe;266;82;952,6;15,4;10,4;2,91;Buena / Ona
03/02/2017;1;8;16;Muy buena / Oso ona;9;75;89;Buena / Ona;7;Muy buena / Oso ona;267;65;954,2;68;9,4;2,46;Buena / Ona
02/02/2017;1;10;29;Muy buena / Oso ona;11;62;88;Buena / Ona;4;Muy buena / Oso ona;310;77;954,6;34,6;8,8;0,93;Buena / Ona
01/02/2017;3;20;29;Muy buena / Oso ona;24;22;30;Muy buena / Oso ona;12;Muy buena / Oso ona;104;91;959,3;47,8;8;0,9;Muy buena / Oso ona
31/01/2017;2;21;43;Muy buena / Oso ona;25;22;37;Muy buena / Oso ona;10;Muy buena / Oso ona;107;92;960,1;44,4;7,6;1,6;Muy buena / Oso ona
30/01/2017;1;13;22;Muy buena / Oso ona;14;37;46;Muy buena / Oso ona;6;Muy buena / Oso ona;94;84;964,3;55,4;8,6;2,06;Muy buena / Oso ona
29/01/2017;1;9;27;Muy buena / Oso ona;10;42;58;Muy buena / Oso ona;5;Muy buena / Oso ona;93;82;966,4;64,5;5,1;1,76;Muy buena / Oso ona
28/01/2017;1;8;14;Muy buena / Oso ona;9;58;69;Buena / Ona;4;Muy buena / Oso ona;284;77;964,2;63;5,6;4,13;Buena / Ona
27/01/2017;1;9;14;Muy buena / Oso ona;11;58;60;Muy buena / Oso ona;6;Muy buena / Oso ona;80;87;953,3;39;6,2;4,96;Muy buena / Oso ona
26/01/2017;1;14;30;Muy buena / Oso ona;16;53;61;Buena / Ona;12;Muy buena / Oso ona;92;81;958,3;59,7;3,7;5,96;Buena / Ona
25/01/2017;1;14;30;Muy buena / Oso ona;16;55;72;Buena / Ona;10;Muy buena / Oso ona;272;76;964,4;64,2;4;2,22;Buena / Ona
24/01/2017;1;11;23;Muy buena / Oso ona;12;69;81;Buena / Ona;11;Muy buena / Oso ona;269;75;968,7;58,1;4,8;4,19;Buena / Ona
23/01/2017;1;7;11;Muy buena / Oso ona;8;80;85;Buena / Ona;9;Muy buena / Oso ona;288;71;965,7;59,2;6,2;3,47;Buena / Ona
22/01/2017;1;8;10;Muy buena / Oso ona;9;67;81;Buena / Ona;8;Muy buena / Oso ona;273;77;963,6;51,6;4,7;2,7;Buena / Ona
21/01/2017;3;17;34;Muy buena / Oso ona;22;38;60;Muy buena / Oso ona;10;Muy buena / Oso ona;275;80;964,2;59,7;5,4;1,4;Muy buena / Oso ona
20/01/2017;2;22;53;Buena / Ona;26;30;50;Muy buena / Oso ona;14;Muy buena / Oso ona;42;85;965,6;42,3;3,7;0,62;Buena / Ona
19/01/2017;1;13;26;Muy buena / Oso ona;15;44;60;Muy buena / Oso ona;12;Muy buena / Oso ona;262;81;966,9;55,4;2,1;2,05;Muy buena / Oso ona
18/01/2017;1;8;15;Muy buena / Oso ona;10;58;73;Buena / Ona;9;Muy buena / Oso ona;297;69;967,1;36,6;;3,15;Buena / Ona
17/01/2017;1;3;5;Muy buena / Oso ona;5;72;74;Buena / Ona;4;Muy buena / Oso ona;321;61;967,7;63,6;3,5;3,93;Buena / Ona
16/01/2017;1;4;7;Muy buena / Oso ona;5;74;78;Buena / Ona;3;Muy buena / Oso ona;275;92;967,7;14,2;7,3;5,6;Buena / Ona
15/01/2017;1;3;6;Muy buena / Oso ona;5;76;79;Buena / Ona;4;Muy buena / Oso ona;260;90;971,2;10,6;5,3;4,88;Buena / Ona
14/01/2017;1;4;6;Muy buena / Oso ona;5;71;77;Buena / Ona;4;Muy buena / Oso ona;269;90;970,5;29,8;3,1;5,04;Buena / Ona
13/01/2017;1;4;8;Muy buena / Oso ona;6;75;81;Buena / Ona;4;Muy buena / Oso ona;277;81;966,5;42,3;4,8;5,38;Buena / Ona
12/01/2017;1;9;15;Muy buena / Oso ona;11;37;45;Muy buena / Oso ona;6;Muy buena / Oso ona;279;83;965;50;9,3;3,22;Muy buena / Oso ona
11/01/2017;1;7;12;Muy buena / Oso ona;8;55;71;Buena / Ona;4;Muy buena / Oso ona;275;87;967,3;20,6;10,4;3,47;Buena / Ona
10/01/2017;1;7;11;Muy buena / Oso ona;8;60;76;Buena / Ona;5;Muy buena / Oso ona;282;86;963,4;24,9;7,3;5,23;Buena / Ona
09/01/2017;1;11;21;Muy buena / Oso ona;13;54;69;Buena / Ona;5;Muy buena / Oso ona;264;75;971,4;46,6;6,4;2,56;Buena / Ona
08/01/2017;1;10;23;Muy buena / Oso ona;12;54;69;Buena / Ona;7;Muy buena / Oso ona;280;51;974,1;45,9;6,1;1,51;Buena / Ona
07/01/2017;1;10;25;Muy buena / Oso ona;12;55;72;Buena / Ona;7;Muy buena / Oso ona;269;43;974,2;47,3;5,6;2,06;Buena / Ona
06/01/2017;1;8;13;Muy buena / Oso ona;10;56;69;Buena / Ona;6;Muy buena / Oso ona;258;62;973,2;47,5;4,3;2,65;Buena / Ona
05/01/2017;1;13;20;Muy buena / Oso ona;15;54;69;Buena / Ona;11;Muy buena / Oso ona;261;61;971,3;47,1;5,2;3,89;Buena / Ona
04/01/2017;1;14;26;Muy buena / Oso ona;16;42;50;Muy buena / Oso ona;16;Muy buena / Oso ona;268;77;970;45;7,7;4,69;Muy buena / Oso ona
03/01/2017;2;14;19;Muy buena / Oso ona;18;33;56;Muy buena / Oso ona;16;Muy buena / Oso ona;286;79;967,9;44,9;9,2;3;Muy buena / Oso ona
02/01/2017;1;10;15;Muy buena / Oso ona;12;32;45;Muy buena / Oso ona;9;Muy buena / Oso ona;94;98;966,6;27,7;;2,03;Muy buena / Oso ona
01/01/2017;1;7;11;Muy buena / Oso ona;8;40;44;Muy buena / Oso ona;7;Muy buena / Oso ona;103;99;968,9;24,2;;2,1;Muy buena / Oso ona
