Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
20/09/2017;0,31;0,48;Muy buena / Oso ona;15;28;42;Muy buena / Oso ona;50;20;Muy buena / Oso ona;186;75;1020,6;16;0,98;Muy buena / Oso ona
19/09/2017;0,2;0,24;Muy buena / Oso ona;3;12;26;Muy buena / Oso ona;17;9;Muy buena / Oso ona;257;78;1025,9;16,2;0,46;Muy buena / Oso ona
18/09/2017;0,24;0,32;Muy buena / Oso ona;10;18;49;Muy buena / Oso ona;34;9;Muy buena / Oso ona;230;92;1021;15,5;0,52;Muy buena / Oso ona
17/09/2017;0,18;0,24;Muy buena / Oso ona;2;10;28;Muy buena / Oso ona;13;8;Muy buena / Oso ona;275;65;1019;17;0,97;Muy buena / Oso ona
16/09/2017;0,2;0,24;Muy buena / Oso ona;2;10;23;Muy buena / Oso ona;13;7;Muy buena / Oso ona;254;77;1018,1;14,2;1,09;Muy buena / Oso ona
15/09/2017;0,18;0,22;Muy buena / Oso ona;2;11;33;Muy buena / Oso ona;14;12;Muy buena / Oso ona;251;82;1019,4;14,2;1,72;Muy buena / Oso ona
14/09/2017;0,15;;Sin datos / Daturik gabe;3;8;15;Muy buena / Oso ona;11;27;Buena / Ona;289;72;1023,1;17,8;1,06;Buena / Ona
13/09/2017;0,28;0,38;Muy buena / Oso ona;15;21;44;Muy buena / Oso ona;44;27;Buena / Ona;297;75;1021,6;20,8;0,23;Buena / Ona
12/09/2017;0,21;0,3;Muy buena / Oso ona;2;11;28;Muy buena / Oso ona;15;15;Muy buena / Oso ona;251;80;1020,1;18;0,96;Muy buena / Oso ona
11/09/2017;0,2;0,33;Muy buena / Oso ona;2;4;7;Muy buena / Oso ona;8;22;Muy buena / Oso ona;274;83;1015,8;18,3;1,27;Muy buena / Oso ona
10/09/2017;0,24;0,33;Muy buena / Oso ona;1;7;22;Muy buena / Oso ona;9;19;Muy buena / Oso ona;259;73;1015,2;18,1;1,36;Muy buena / Oso ona
09/09/2017;0,18;0,28;Muy buena / Oso ona;1;4;7;Muy buena / Oso ona;6;16;Muy buena / Oso ona;258;81;1002,2;16,9;1,79;Muy buena / Oso ona
08/09/2017;0,21;0,32;Muy buena / Oso ona;5;18;41;Muy buena / Oso ona;26;23;Muy buena / Oso ona;255;69;1015,9;19,3;0,27;Muy buena / Oso ona
07/09/2017;0,22;0,32;Muy buena / Oso ona;2;9;16;Muy buena / Oso ona;13;18;Muy buena / Oso ona;301;68;1023,4;19,3;0,87;Muy buena / Oso ona
06/09/2017;0,17;;Sin datos / Daturik gabe;2;10;22;Muy buena / Oso ona;13;19;Muy buena / Oso ona;323;77;1027,4;19,6;0,99;Muy buena / Oso ona
05/09/2017;;;Sin datos / Daturik gabe;17;19;51;Buena / Ona;45;22;Muy buena / Oso ona;354;81;1024;21;0,39;Buena / Ona
04/09/2017;0,17;0,24;Muy buena / Oso ona;7;16;42;Muy buena / Oso ona;27;14;Muy buena / Oso ona;282;82;1018,3;20,7;0,66;Muy buena / Oso ona
03/09/2017;0,2;0,42;Muy buena / Oso ona;5;19;31;Muy buena / Oso ona;27;15;Muy buena / Oso ona;116;73;1016,1;20,3;0,26;Muy buena / Oso ona
02/09/2017;;;Sin datos / Daturik gabe;2;8;21;Muy buena / Oso ona;11;16;Muy buena / Oso ona;298;69;1024,5;18,9;0,52;Muy buena / Oso ona
01/09/2017;;;Sin datos / Daturik gabe;2;7;15;Muy buena / Oso ona;11;11;Muy buena / Oso ona;261;72;1024,6;18,9;1,25;Muy buena / Oso ona
31/08/2017;0,13;0,17;Muy buena / Oso ona;2;11;19;Muy buena / Oso ona;14;10;Muy buena / Oso ona;316;78;1023;18,7;0,47;Muy buena / Oso ona
30/08/2017;0,16;0,18;Muy buena / Oso ona;6;19;45;Muy buena / Oso ona;27;22;Muy buena / Oso ona;312;88;1016,4;19,9;0,58;Muy buena / Oso ona
29/08/2017;;0,18;Muy buena / Oso ona;9;21;48;Muy buena / Oso ona;35;28;Buena / Ona;291;83;1014,8;21,1;0,11;Buena / Ona
28/08/2017;0,17;0,25;Muy buena / Oso ona;11;24;52;Buena / Ona;41;24;Muy buena / Oso ona;178;68;1014,7;23,1;1,48;Buena / Ona
27/08/2017;;;Sin datos / Daturik gabe;4;16;33;Muy buena / Oso ona;23;21;Muy buena / Oso ona;179;73;1014,6;23;1,9;Muy buena / Oso ona
26/08/2017;0,25;;Sin datos / Daturik gabe;2;10;19;Muy buena / Oso ona;13;13;Muy buena / Oso ona;49;81;1014,9;22,3;0,46;Muy buena / Oso ona
25/08/2017;0,18;0,22;Muy buena / Oso ona;3;8;32;Muy buena / Oso ona;13;14;Muy buena / Oso ona;27;81;1016,9;21,7;1,1;Muy buena / Oso ona
24/08/2017;0,16;;Sin datos / Daturik gabe;2;9;24;Muy buena / Oso ona;13;22;Muy buena / Oso ona;347;83;1017,6;21,8;0,67;Muy buena / Oso ona
23/08/2017;;;Sin datos / Daturik gabe;4;12;40;Muy buena / Oso ona;18;27;Buena / Ona;5;80;1019;21,2;0,64;Buena / Ona
22/08/2017;0,2;;Sin datos / Daturik gabe;5;19;59;Buena / Ona;26;42;Buena / Ona;293;70;1016,9;23,4;0,89;Buena / Ona
21/08/2017;0,16;;Sin datos / Daturik gabe;9;31;48;Muy buena / Oso ona;46;26;Buena / Ona;238;63;1013,3;22,8;0,34;Buena / Ona
20/08/2017;;;Sin datos / Daturik gabe;4;11;26;Muy buena / Oso ona;17;15;Muy buena / Oso ona;68;73;1019,4;19,1;0,47;Muy buena / Oso ona
19/08/2017;0,13;;Sin datos / Daturik gabe;2;6;12;Muy buena / Oso ona;8;14;Muy buena / Oso ona;27;77;1024,9;20,3;1,32;Muy buena / Oso ona
18/08/2017;0,19;0,26;Muy buena / Oso ona;9;17;48;Muy buena / Oso ona;30;21;Muy buena / Oso ona;351;82;1021,8;21,7;0,42;Muy buena / Oso ona
17/08/2017;0,21;;Sin datos / Daturik gabe;12;19;50;Muy buena / Oso ona;38;17;Muy buena / Oso ona;52;74;1021,4;21,7;0,52;Muy buena / Oso ona
16/08/2017;;;Sin datos / Daturik gabe;3;11;27;Muy buena / Oso ona;16;11;Muy buena / Oso ona;34;79;1022,9;21,4;0,24;Muy buena / Oso ona
15/08/2017;0,13;0,25;Muy buena / Oso ona;2;7;15;Muy buena / Oso ona;10;15;Muy buena / Oso ona;315;82;1020,6;20,9;0,53;Muy buena / Oso ona
14/08/2017;0,2;0,25;Muy buena / Oso ona;7;17;44;Muy buena / Oso ona;28;25;Muy buena / Oso ona;273;71;1014,5;23,5;0,64;Muy buena / Oso ona
