Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
29/05/2017;;;Sin datos / Daturik gabe;2;14;38;Muy buena / Oso ona;17;16;Muy buena / Oso ona;5;93;1017;17,2;0,71;Muy buena / Oso ona
28/05/2017;0,17;0,22;Muy buena / Oso ona;2;10;21;Muy buena / Oso ona;12;28;Buena / Ona;9;90;1014,6;17,8;0,8;Buena / Ona
27/05/2017;0,19;0,29;Muy buena / Oso ona;4;16;35;Muy buena / Oso ona;22;27;Buena / Ona;288;83;1014,4;19,2;0,2;Buena / Ona
26/05/2017;0,22;0,28;Muy buena / Oso ona;6;22;71;Buena / Ona;31;28;Buena / Ona;308;74;1013,4;20,5;0,37;Buena / Ona
25/05/2017;0,27;;Sin datos / Daturik gabe;9;35;71;Buena / Ona;50;40;Buena / Ona;213;59;1013,1;24,9;0,34;Buena / Ona
24/05/2017;0,2;0,29;Muy buena / Oso ona;4;16;33;Muy buena / Oso ona;21;23;Muy buena / Oso ona;17;75;1019,8;19,7;0,3;Muy buena / Oso ona
23/05/2017;;;Sin datos / Daturik gabe;3;9;25;Muy buena / Oso ona;13;17;Muy buena / Oso ona;24;78;1024,7;16,5;0,88;Muy buena / Oso ona
22/05/2017;;;Sin datos / Daturik gabe;3;10;35;Muy buena / Oso ona;14;30;Buena / Ona;320;71;1019,2;18,6;1,76;Buena / Ona
21/05/2017;0,22;0,31;Muy buena / Oso ona;6;21;39;Muy buena / Oso ona;30;16;Muy buena / Oso ona;167;50;1015,5;22,7;1,82;Muy buena / Oso ona
20/05/2017;;;Sin datos / Daturik gabe;3;10;29;Muy buena / Oso ona;15;12;Muy buena / Oso ona;353;69;1025,3;15,6;0,75;Muy buena / Oso ona
19/05/2017;0,16;0,24;Muy buena / Oso ona;3;9;17;Muy buena / Oso ona;13;15;Muy buena / Oso ona;283;67;1023,2;14;0,98;Muy buena / Oso ona
18/05/2017;;;Sin datos / Daturik gabe;3;6;9;Muy buena / Oso ona;10;10;Muy buena / Oso ona;271;81;1020,1;13,6;1,04;Muy buena / Oso ona
17/05/2017;0,18;0,22;Muy buena / Oso ona;4;23;46;Muy buena / Oso ona;29;28;Buena / Ona;282;86;1019,8;16,4;0,48;Buena / Ona
16/05/2017;0,2;0,26;Muy buena / Oso ona;14;27;81;Buena / Ona;48;32;Buena / Ona;318;70;1024,7;19,6;0,18;Buena / Ona
15/05/2017;0,22;0,31;Muy buena / Oso ona;10;29;57;Buena / Ona;44;23;Muy buena / Oso ona;19;66;1026,3;19,4;0,13;Buena / Ona
14/05/2017;0,17;0,23;Muy buena / Oso ona;5;16;38;Muy buena / Oso ona;23;13;Muy buena / Oso ona;236;69;1023,5;17,9;0,39;Muy buena / Oso ona
13/05/2017;0,15;0,22;Muy buena / Oso ona;4;15;40;Muy buena / Oso ona;21;10;Muy buena / Oso ona;351;73;1015,6;16,7;0,33;Muy buena / Oso ona
12/05/2017;0,15;0,18;Muy buena / Oso ona;3;9;15;Muy buena / Oso ona;13;7;Muy buena / Oso ona;203;61;1004,1;18,2;2,54;Muy buena / Oso ona
11/05/2017;0,15;0,17;Muy buena / Oso ona;2;9;23;Muy buena / Oso ona;13;6;Muy buena / Oso ona;194;52;996;19,2;2,68;Muy buena / Oso ona
10/05/2017;0,2;0,32;Muy buena / Oso ona;5;27;63;Buena / Ona;35;23;Muy buena / Oso ona;312;77;1000,5;17,2;0,32;Buena / Ona
