Date;Benceno (µg/m3);Etilbenceno (µg/m3);Ortoxileno (µg/m3);Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,33;0,39;1,82;2,59;357;78;1026,8;0;38,2;16;0,44;
27/10/2017;0,35;0,52;2,31;3,51;336;82;1028,4;0;43,6;15,3;0,24;
26/10/2017;0,5;0,87;3,47;4,61;214;66;1022,4;0;37,9;18;0,07;
25/10/2017;0,79;1,58;5,87;7,11;158;71;1018,1;0;36,6;16,2;0,25;
24/10/2017;0,74;1,32;5,08;5,61;145;65;1019,2;0;46,1;16,3;0,59;
23/10/2017;0,43;0,56;2,24;3,01;154;72;1023,2;0;41,8;13,8;0,39;
22/10/2017;0,23;0,14;0,54;1,01;280;77;1025,3;0;42,5;14;0,27;
21/10/2017;0,32;0,18;0,7;0,97;319;67;1020,4;0;52,4;17,2;1,43;
20/10/2017;0,79;0,71;2,85;4,51;199;58;1011,7;0;50,9;20,4;0,34;
19/10/2017;2,32;0,38;1,66;3,21;153;67;1007,6;0;59,5;17,2;0,43;
18/10/2017;0,87;0,69;2,85;5,18;199;83;1006,9;0;25,9;15,5;0,23;
17/10/2017;1,46;0,51;2,12;3,67;116;72;1012;0;56,6;19,9;0,18;
16/10/2017;1,04;0,18;0,8;1,43;275;63;1017,3;0;67,6;22,1;0,26;
15/10/2017;1;0,15;0,4;0,91;158;51;1016,4;0;56,9;25,4;1,11;
14/10/2017;2,22;0,29;1,29;2,33;139;63;1018,3;0;65,2;23,3;0,32;
13/10/2017;1,31;0,56;2,3;3,84;8;79;1020,1;0;71,2;17,9;0,35;
12/10/2017;4,63;0,56;2,23;4,06;102;79;1020,6;0;68,3;17;0,13;
11/10/2017;1,7;0,54;2,27;3,13;3;71;1017,2;0;69,3;17,8;0,15;
10/10/2017;0,68;0,66;2,63;3,93;158;81;1017;0;72,8;15,4;0,21;
09/10/2017;0,87;0,39;1,6;3,16;187;75;1018,6;0;80,4;14,2;0,28;
08/10/2017;0,75;0,18;0,94;1,87;176;75;1019,4;0;86,4;14;0,32;
07/10/2017;1,08;0,17;0,89;1,78;123;77;1021;0;92,9;14,5;0,32;
06/10/2017;0,25;0,22;1,13;1,98;337;82;1022,6;0;45,2;16,6;0,63;
05/10/2017;0,28;0,42;1,83;3,42;337;87;1020,8;0;38,6;19;0,7;
04/10/2017;2,19;0,63;2,61;4,38;333;84;1019,2;0;99,8;19,9;0,42;
03/10/2017;0,48;0,68;2,87;3,9;337;89;1020;0;76,8;19,4;0,37;
