Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);V.vien (m/s);ICA Estación
28/10/2017;3;16;27;Muy buena / Oso ona;21;15;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;329;1,33;Muy buena / Oso ona
27/10/2017;50;38;57;Buena / Ona;115;39;Buena / Ona;24;Buena / Ona;6;Muy buena / Oso ona;314;0,25;Buena / Ona
26/10/2017;18;43;68;Buena / Ona;70;36;Buena / Ona;22;Buena / Ona;8;Muy buena / Oso ona;275;0,26;Buena / Ona
25/10/2017;65;49;66;Buena / Ona;148;39;Buena / Ona;29;Buena / Ona;13;Muy buena / Oso ona;185;1,35;Buena / Ona
24/10/2017;36;43;61;Buena / Ona;97;25;Muy buena / Oso ona;19;Buena / Ona;9;Muy buena / Oso ona;174;2,63;Buena / Ona
23/10/2017;24;32;52;Buena / Ona;68;17;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;176;1,73;Buena / Ona
22/10/2017;2;11;22;Muy buena / Oso ona;14;12;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;269;1,61;Muy buena / Oso ona
21/10/2017;2;9;14;Muy buena / Oso ona;12;17;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;310;3,42;Muy buena / Oso ona
20/10/2017;20;30;65;Buena / Ona;60;20;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;180;0,59;Buena / Ona
19/10/2017;13;23;51;Buena / Ona;43;13;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;169;1,54;Buena / Ona
18/10/2017;14;27;56;Buena / Ona;49;21;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;229;1;Buena / Ona
17/10/2017;9;29;55;Buena / Ona;44;31;Buena / Ona;22;Buena / Ona;3;Muy buena / Oso ona;156;1,04;Buena / Ona
