Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
12/02/2017;73;80;Buena / Ona;141;74;935,9;1,1;39,6;9,1;7,19;Buena / Ona
11/02/2017;68;78;Buena / Ona;83;76;944,5;0,6;31,9;5,9;2,18;Buena / Ona
10/02/2017;56;63;Buena / Ona;88;60;943,1;0;97,1;7;1,32;Buena / Ona
09/02/2017;41;57;Muy buena / Oso ona;232;72;949;0;92,5;5,7;0,77;Muy buena / Oso ona
08/02/2017;63;75;Buena / Ona;303;87;957,3;4,4;43,5;3,4;1,81;Buena / Ona
07/02/2017;56;72;Buena / Ona;288;82;953,7;2,5;23,9;7,7;1,38;Buena / Ona
06/02/2017;32;78;Buena / Ona;274;84;954,7;2,1;26,4;6,9;0,96;Buena / Ona
05/02/2017;78;83;Buena / Ona;272;76;945,1;2,2;46,7;5,7;4,17;Buena / Ona
04/02/2017;74;84;Buena / Ona;240;70;939,2;2,7;17,4;10,8;6,22;Buena / Ona
03/02/2017;79;83;Buena / Ona;224;57;939,8;0,5;66,1;10,2;6,35;Buena / Ona
02/02/2017;65;82;Buena / Ona;219;68;940,7;3,3;24,7;9,3;4,64;Buena / Ona
01/02/2017;35;56;Muy buena / Oso ona;219;73;945,7;0;58,3;10,1;1,6;Muy buena / Oso ona
31/01/2017;22;42;Muy buena / Oso ona;193;74;946,5;0;81;10,1;1,26;Muy buena / Oso ona
30/01/2017;37;46;Muy buena / Oso ona;211;75;950,4;0;38;11,2;1,78;Muy buena / Oso ona
29/01/2017;40;64;Buena / Ona;221;74;952,5;0;50,7;7,7;1,34;Buena / Ona
28/01/2017;42;62;Buena / Ona;228;73;950,7;0;88,4;5,4;1,63;Buena / Ona
27/01/2017;51;60;Muy buena / Oso ona;149;74;940,1;0,8;33,3;6,3;3,11;Muy buena / Oso ona
26/01/2017;31;48;Muy buena / Oso ona;139;69;943,7;0;71,3;5,3;0,76;Muy buena / Oso ona
25/01/2017;24;45;Muy buena / Oso ona;51;77;951,3;0;93;;0,37;Muy buena / Oso ona
24/01/2017;39;62;Buena / Ona;343;76;955,8;0;82,6;4;0,56;Buena / Ona
23/01/2017;35;61;Buena / Ona;347;78;953;0;66;4,5;0,47;Buena / Ona
22/01/2017;38;56;Muy buena / Oso ona;4;80;951;0;42,6;4,1;0,86;Muy buena / Oso ona
21/01/2017;9;19;Muy buena / Oso ona;285;73;951,2;0;81,9;5,1;0,23;Muy buena / Oso ona
20/01/2017;2;9;Muy buena / Oso ona;197;84;952,5;0;60,5;;0,02;Muy buena / Oso ona
19/01/2017;27;37;Muy buena / Oso ona;65;82;953,8;0;35,3;;0,36;Muy buena / Oso ona
18/01/2017;35;53;Muy buena / Oso ona;16;78;954,1;0;13,2;;1,79;Muy buena / Oso ona
17/01/2017;55;57;Muy buena / Oso ona;19;68;954,9;1;80,8;1,8;2,86;Muy buena / Oso ona
16/01/2017;59;69;Buena / Ona;331;91;955,5;8,7;20,6;6,9;2,26;Buena / Ona
15/01/2017;67;68;Buena / Ona;338;86;958,5;5;30,7;5,1;1,63;Buena / Ona
14/01/2017;58;64;Buena / Ona;276;93;957,5;6,5;38,2;2;1,45;Buena / Ona
13/01/2017;62;71;Buena / Ona;296;88;953,9;10,5;33,1;2,9;1,92;Buena / Ona
12/01/2017;25;32;Muy buena / Oso ona;263;82;952,5;0,1;45,9;8,9;0,89;Muy buena / Oso ona
11/01/2017;41;55;Muy buena / Oso ona;308;90;955;2;20,2;9,8;1,35;Muy buena / Oso ona
10/01/2017;28;38;Muy buena / Oso ona;312;88;951,2;13,5;12,1;6,4;0,88;Muy buena / Oso ona
09/01/2017;32;52;Muy buena / Oso ona;2;73;958,6;0;71,1;5,8;0,5;Muy buena / Oso ona
08/01/2017;33;49;Muy buena / Oso ona;1;61;961,5;0;67,9;6,1;0,62;Muy buena / Oso ona
07/01/2017;23;38;Muy buena / Oso ona;337;54;961,3;0;73,2;4,3;0,27;Muy buena / Oso ona
06/01/2017;32;50;Muy buena / Oso ona;319;66;960,3;0;73,3;;0,27;Muy buena / Oso ona
05/01/2017;23;49;Muy buena / Oso ona;16;75;958,9;0;73,1;2,7;0,59;Muy buena / Oso ona
04/01/2017;6;12;Muy buena / Oso ona;26;75;957,2;0,1;59,2;4,6;0,24;Muy buena / Oso ona
03/01/2017;3;5;Muy buena / Oso ona;333;77;954,7;0;66,4;5,1;0,13;Muy buena / Oso ona
02/01/2017;17;26;Muy buena / Oso ona;197;83;952,1;0;39,8;2,2;0,58;Muy buena / Oso ona
01/01/2017;31;40;Muy buena / Oso ona;224;84;954,1;0;69,2;;0,74;Muy buena / Oso ona
