Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
16/09/2017;1;9;25;Muy buena / Oso ona;11;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
15/09/2017;3;14;46;Muy buena / Oso ona;19;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
14/09/2017;1;13;22;Muy buena / Oso ona;16;15;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
13/09/2017;11;16;34;Muy buena / Oso ona;32;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
12/09/2017;2;13;29;Muy buena / Oso ona;16;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
11/09/2017;4;15;40;Muy buena / Oso ona;22;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
10/09/2017;1;6;13;Muy buena / Oso ona;8;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
09/09/2017;1;7;12;Muy buena / Oso ona;9;9;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
08/09/2017;5;17;35;Muy buena / Oso ona;24;16;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
07/09/2017;2;13;39;Muy buena / Oso ona;16;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
06/09/2017;2;13;28;Muy buena / Oso ona;15;11;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
05/09/2017;3;13;29;Muy buena / Oso ona;18;13;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
04/09/2017;2;12;32;Muy buena / Oso ona;16;9;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
03/09/2017;2;11;20;Muy buena / Oso ona;14;11;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
02/09/2017;1;8;24;Muy buena / Oso ona;10;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
01/09/2017;3;13;37;Muy buena / Oso ona;19;10;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
31/08/2017;1;10;23;Muy buena / Oso ona;13;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
30/08/2017;2;10;29;Muy buena / Oso ona;12;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
29/08/2017;3;13;34;Muy buena / Oso ona;18;13;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
28/08/2017;3;16;39;Muy buena / Oso ona;21;17;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
27/08/2017;1;10;25;Muy buena / Oso ona;12;23;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
26/08/2017;1;8;14;Muy buena / Oso ona;10;21;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
25/08/2017;2;10;25;Muy buena / Oso ona;14;15;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
