Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
07/04/2017;;;;Sin datos / Daturik gabe;26;20;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
06/04/2017;;;;Sin datos / Daturik gabe;18;17;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
05/04/2017;;;;Sin datos / Daturik gabe;19;10;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
04/04/2017;;;;Sin datos / Daturik gabe;18;15;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
03/04/2017;;;;Sin datos / Daturik gabe;26;15;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
02/04/2017;;;;Sin datos / Daturik gabe;12;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
01/04/2017;;;;Sin datos / Daturik gabe;10;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
31/03/2017;1;15;67;Buena / Ona;17;12;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
30/03/2017;11;25;74;Buena / Ona;42;18;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
29/03/2017;9;25;62;Buena / Ona;39;15;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
28/03/2017;5;22;57;Buena / Ona;29;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;Buena / Ona
27/03/2017;0;7;14;Muy buena / Oso ona;7;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;Muy buena / Oso ona
26/03/2017;0;8;33;Muy buena / Oso ona;9;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
25/03/2017;0;9;19;Muy buena / Oso ona;9;4;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
24/03/2017;5;20;58;Buena / Ona;28;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
23/03/2017;0;9;39;Muy buena / Oso ona;10;5;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
22/03/2017;0;10;20;Muy buena / Oso ona;10;5;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
21/03/2017;1;19;32;Muy buena / Oso ona;20;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
20/03/2017;2;16;37;Muy buena / Oso ona;19;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
19/03/2017;2;16;37;Muy buena / Oso ona;20;10;Muy buena / Oso ona;;;Muy buena / Oso ona
18/03/2017;0;11;21;Muy buena / Oso ona;12;14;Muy buena / Oso ona;;;Muy buena / Oso ona
17/03/2017;5;25;53;Buena / Ona;33;20;Muy buena / Oso ona;;;Buena / Ona
16/03/2017;8;35;81;Buena / Ona;47;16;Muy buena / Oso ona;;;Buena / Ona
15/03/2017;3;23;51;Buena / Ona;28;16;Muy buena / Oso ona;;;Buena / Ona
14/03/2017;1;15;33;Muy buena / Oso ona;16;15;Muy buena / Oso ona;;;Muy buena / Oso ona
13/03/2017;2;22;35;Muy buena / Oso ona;25;9;Muy buena / Oso ona;;;Muy buena / Oso ona
12/03/2017;1;13;31;Muy buena / Oso ona;14;7;Muy buena / Oso ona;;;Muy buena / Oso ona
11/03/2017;4;21;43;Muy buena / Oso ona;27;24;Muy buena / Oso ona;;;Muy buena / Oso ona
10/03/2017;20;40;89;Buena / Ona;70;24;Muy buena / Oso ona;;;Buena / Ona
09/03/2017;13;33;73;Buena / Ona;53;20;Muy buena / Oso ona;;;Buena / Ona
08/03/2017;5;24;52;Buena / Ona;32;16;Muy buena / Oso ona;;;Buena / Ona
07/03/2017;3;23;56;Buena / Ona;28;20;Muy buena / Oso ona;;;Buena / Ona
06/03/2017;1;12;28;Muy buena / Oso ona;14;15;Muy buena / Oso ona;;;Muy buena / Oso ona
05/03/2017;1;6;12;Muy buena / Oso ona;8;6;Muy buena / Oso ona;;;Muy buena / Oso ona
04/03/2017;2;10;25;Muy buena / Oso ona;13;6;Muy buena / Oso ona;;;Muy buena / Oso ona
03/03/2017;6;19;68;Buena / Ona;28;13;Muy buena / Oso ona;;;Buena / Ona
02/03/2017;3;20;66;Buena / Ona;25;10;Muy buena / Oso ona;;;Buena / Ona
01/03/2017;6;15;51;Buena / Ona;23;8;Muy buena / Oso ona;;;Buena / Ona
28/02/2017;2;12;27;Muy buena / Oso ona;15;8;Muy buena / Oso ona;;;Muy buena / Oso ona
27/02/2017;1;7;19;Muy buena / Oso ona;9;8;Muy buena / Oso ona;;;Muy buena / Oso ona
26/02/2017;3;23;39;Muy buena / Oso ona;28;18;Muy buena / Oso ona;;;Muy buena / Oso ona
25/02/2017;8;31;59;Buena / Ona;43;15;Muy buena / Oso ona;;;Buena / Ona
24/02/2017;2;19;33;Muy buena / Oso ona;22;12;Muy buena / Oso ona;;;Muy buena / Oso ona
23/02/2017;16;29;68;Buena / Ona;53;37;Buena / Ona;;;Buena / Ona
22/02/2017;12;33;68;Buena / Ona;51;17;Muy buena / Oso ona;;;Buena / Ona
21/02/2017;7;27;56;Buena / Ona;38;13;Muy buena / Oso ona;;;Buena / Ona
20/02/2017;2;19;37;Muy buena / Oso ona;22;15;Muy buena / Oso ona;;;Muy buena / Oso ona
19/02/2017;1;14;36;Muy buena / Oso ona;16;16;Muy buena / Oso ona;;;Muy buena / Oso ona
18/02/2017;17;27;58;Buena / Ona;53;16;Muy buena / Oso ona;;;Buena / Ona
17/02/2017;13;33;70;Buena / Ona;53;18;Muy buena / Oso ona;;;Buena / Ona
16/02/2017;24;36;59;Buena / Ona;73;24;Muy buena / Oso ona;;;Buena / Ona
15/02/2017;21;36;75;Buena / Ona;69;18;Muy buena / Oso ona;;;Buena / Ona
14/02/2017;12;29;73;Buena / Ona;48;12;Muy buena / Oso ona;;;Buena / Ona
13/02/2017;2;11;45;Muy buena / Oso ona;14;15;Muy buena / Oso ona;;;Muy buena / Oso ona
12/02/2017;1;4;22;Muy buena / Oso ona;6;26;Buena / Ona;;;Buena / Ona
11/02/2017;1;11;30;Muy buena / Oso ona;13;10;Muy buena / Oso ona;;;Muy buena / Oso ona
10/02/2017;2;16;43;Muy buena / Oso ona;18;13;Muy buena / Oso ona;;;Muy buena / Oso ona
09/02/2017;9;29;67;Buena / Ona;43;11;Muy buena / Oso ona;;;Buena / Ona
08/02/2017;3;24;45;Muy buena / Oso ona;29;7;Muy buena / Oso ona;;;Muy buena / Oso ona
07/02/2017;3;21;50;Muy buena / Oso ona;25;10;Muy buena / Oso ona;;;Muy buena / Oso ona
06/02/2017;11;32;60;Buena / Ona;49;10;Muy buena / Oso ona;;;Buena / Ona
05/02/2017;1;9;16;Muy buena / Oso ona;11;7;Muy buena / Oso ona;;;Muy buena / Oso ona
04/02/2017;1;8;22;Muy buena / Oso ona;10;6;Muy buena / Oso ona;;;Muy buena / Oso ona
03/02/2017;1;7;28;Muy buena / Oso ona;9;10;Muy buena / Oso ona;;;Muy buena / Oso ona
02/02/2017;1;9;18;Muy buena / Oso ona;11;5;Muy buena / Oso ona;;;Muy buena / Oso ona
01/02/2017;14;21;38;Muy buena / Oso ona;41;16;Muy buena / Oso ona;;;Muy buena / Oso ona
31/01/2017;24;19;43;Muy buena / Oso ona;55;20;Muy buena / Oso ona;;;Muy buena / Oso ona
30/01/2017;3;12;27;Muy buena / Oso ona;17;7;Muy buena / Oso ona;;;Muy buena / Oso ona
29/01/2017;3;14;34;Muy buena / Oso ona;19;8;Muy buena / Oso ona;;;Muy buena / Oso ona
28/01/2017;2;12;26;Muy buena / Oso ona;15;7;Muy buena / Oso ona;;;Muy buena / Oso ona
27/01/2017;1;11;21;Muy buena / Oso ona;13;10;Muy buena / Oso ona;;;Muy buena / Oso ona
26/01/2017;16;24;53;Buena / Ona;48;22;Muy buena / Oso ona;;;Buena / Ona
25/01/2017;13;25;45;Muy buena / Oso ona;45;14;Muy buena / Oso ona;;;Muy buena / Oso ona
24/01/2017;9;29;69;Buena / Ona;42;17;Muy buena / Oso ona;;;Buena / Ona
23/01/2017;13;33;64;Buena / Ona;53;17;Muy buena / Oso ona;;;Buena / Ona
22/01/2017;3;20;36;Muy buena / Oso ona;25;13;Muy buena / Oso ona;;;Muy buena / Oso ona
21/01/2017;29;41;61;Buena / Ona;86;19;Muy buena / Oso ona;;;Buena / Ona
20/01/2017;43;41;65;Buena / Ona;106;28;Buena / Ona;;;Buena / Ona
19/01/2017;7;20;43;Muy buena / Oso ona;31;15;Muy buena / Oso ona;;;Muy buena / Oso ona
18/01/2017;3;15;24;Muy buena / Oso ona;19;12;Muy buena / Oso ona;;;Muy buena / Oso ona
17/01/2017;3;12;27;Muy buena / Oso ona;16;7;Muy buena / Oso ona;;;Muy buena / Oso ona
16/01/2017;4;24;39;Muy buena / Oso ona;29;4;Muy buena / Oso ona;;;Muy buena / Oso ona
15/01/2017;2;17;26;Muy buena / Oso ona;20;5;Muy buena / Oso ona;;;Muy buena / Oso ona
14/01/2017;2;19;31;Muy buena / Oso ona;23;5;Muy buena / Oso ona;;;Muy buena / Oso ona
13/01/2017;3;19;38;Muy buena / Oso ona;24;5;Muy buena / Oso ona;;;Muy buena / Oso ona
12/01/2017;18;23;42;Muy buena / Oso ona;50;9;Muy buena / Oso ona;;;Muy buena / Oso ona
11/01/2017;4;27;48;Muy buena / Oso ona;33;6;Muy buena / Oso ona;;;Muy buena / Oso ona
10/01/2017;11;41;79;Buena / Ona;57;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
09/01/2017;22;36;73;Buena / Ona;71;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
08/01/2017;6;25;41;Muy buena / Oso ona;34;8;Muy buena / Oso ona;26;Buena / Ona;Buena / Ona
07/01/2017;17;34;67;Buena / Ona;60;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
06/01/2017;7;28;50;Muy buena / Oso ona;39;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
05/01/2017;22;31;58;Buena / Ona;64;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
04/01/2017;32;36;63;Buena / Ona;85;25;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
03/01/2017;70;49;93;Buena / Ona;157;29;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
02/01/2017;15;30;61;Buena / Ona;52;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
01/01/2017;5;15;38;Muy buena / Oso ona;22;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
