Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;;;;Sin datos / Daturik gabe;24;40;72;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;232;87;1017,7;0;53,9;14,5;0,14;Buena / Ona
27/10/2017;;;;Sin datos / Daturik gabe;37;40;72;Buena / Ona;19;Muy buena / Oso ona;4;Muy buena / Oso ona;311;88;1019,3;0;26,8;15,2;0,5;Buena / Ona
26/10/2017;;;;Sin datos / Daturik gabe;21;53;70;Buena / Ona;20;Muy buena / Oso ona;4;Muy buena / Oso ona;254;64;1013,4;0;244,6;19,4;0,82;Buena / Ona
25/10/2017;;;;Sin datos / Daturik gabe;52;25;43;Muy buena / Oso ona;21;Muy buena / Oso ona;4;Muy buena / Oso ona;197;70;1009,5;0;256,9;17,9;0,37;Muy buena / Oso ona
24/10/2017;12;37;61;Buena / Ona;49;13;23;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;167;71;1010,8;0;226,8;15,9;0,85;Buena / Ona
23/10/2017;;;;Sin datos / Daturik gabe;28;26;43;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;158;83;1014,6;0;232,5;13,7;0,79;Muy buena / Oso ona
22/10/2017;;;;Sin datos / Daturik gabe;10;51;63;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;255;90;1016,2;0;59,1;12,9;1,18;Buena / Ona
21/10/2017;;;;Sin datos / Daturik gabe;8;61;67;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;277;80;1011,5;0,1;35,7;16,1;1,78;Buena / Ona
20/10/2017;;;;Sin datos / Daturik gabe;32;30;42;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;164;68;1003,7;0;196,9;18,6;0,82;Muy buena / Oso ona
19/10/2017;;;;Sin datos / Daturik gabe;22;38;65;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;215;83;999,1;0;243,9;15,5;0,41;Buena / Ona
18/10/2017;;;;Sin datos / Daturik gabe;34;31;59;Muy buena / Oso ona;19;Muy buena / Oso ona;4;Muy buena / Oso ona;263;94;998;0,2;18,8;15,9;0,48;Muy buena / Oso ona
17/10/2017;;;;Sin datos / Daturik gabe;10;61;75;Buena / Ona;24;Muy buena / Oso ona;3;Muy buena / Oso ona;165;62;1003,5;0;144,6;21,5;2,14;Buena / Ona
16/10/2017;;;;Sin datos / Daturik gabe;11;62;81;Buena / Ona;25;Muy buena / Oso ona;3;Muy buena / Oso ona;180;66;1008,8;0;243,4;22,3;1,92;Buena / Ona
15/10/2017;;;;Sin datos / Daturik gabe;5;73;79;Buena / Ona;21;Muy buena / Oso ona;3;Muy buena / Oso ona;170;53;1008,4;0;229,9;24,9;2,15;Buena / Ona
14/10/2017;;;;Sin datos / Daturik gabe;16;58;66;Buena / Ona;27;Buena / Ona;3;Muy buena / Oso ona;147;73;1010,2;0;251,9;21,7;0,55;Buena / Ona
13/10/2017;;;;Sin datos / Daturik gabe;33;49;71;Buena / Ona;29;Buena / Ona;4;Muy buena / Oso ona;67;78;1011,3;0;236;19,1;0,02;Buena / Ona
12/10/2017;;;;Sin datos / Daturik gabe;16;38;70;Buena / Ona;22;Muy buena / Oso ona;4;Muy buena / Oso ona;210;86;1012,1;0;254,6;16,8;0,18;Buena / Ona
11/10/2017;;;;Sin datos / Daturik gabe;16;46;68;Buena / Ona;18;Muy buena / Oso ona;3;Muy buena / Oso ona;233;72;1008,5;0;242,6;18,7;0,81;Buena / Ona
10/10/2017;;;;Sin datos / Daturik gabe;27;22;43;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;180;88;1008,4;0;226,6;15,5;0,56;Muy buena / Oso ona
09/10/2017;;;;Sin datos / Daturik gabe;28;32;64;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;195;81;1009,9;0;305,2;14,9;0,17;Buena / Ona
08/10/2017;;;;Sin datos / Daturik gabe;17;38;76;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;150;80;1010,6;0;328,5;13,5;0,11;Buena / Ona
07/10/2017;;;;Sin datos / Daturik gabe;19;33;71;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;153;82;1012,3;0;310,3;13,2;0,22;Buena / Ona
06/10/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
05/10/2017;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
04/10/2017;14;20;42;Muy buena / Oso ona;42;13;24;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;233;92;1010,7;0;210,5;18,7;0,18;Muy buena / Oso ona
03/10/2017;13;15;28;Muy buena / Oso ona;34;12;23;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;319;97;1011,3;0;80,7;18,2;0,28;Muy buena / Oso ona
02/10/2017;4;19;47;Muy buena / Oso ona;26;31;45;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;265;98;1012,4;0,1;25,2;18,1;0,6;Muy buena / Oso ona
01/10/2017;5;17;34;Muy buena / Oso ona;24;26;38;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;247;95;1011;0,2;17,7;16,3;0,85;Muy buena / Oso ona
30/09/2017;2;19;43;Muy buena / Oso ona;23;37;63;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;147;92;1010;0,1;45;15,7;0,41;Buena / Ona
29/09/2017;10;29;65;Buena / Ona;45;52;90;Buena / Ona;27;Buena / Ona;3;Muy buena / Oso ona;273;84;1009;0;265,1;19,2;0,27;Buena / Ona
28/09/2017;18;36;77;Buena / Ona;63;37;72;Buena / Ona;23;Muy buena / Oso ona;3;Muy buena / Oso ona;163;70;1008,2;0;300;21,8;0,68;Buena / Ona
27/09/2017;6;25;50;Muy buena / Oso ona;35;38;72;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;185;77;1006,9;0;327,9;18,5;0,43;Buena / Ona
26/09/2017;7;23;44;Muy buena / Oso ona;34;29;59;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;167;84;1009,3;0;281,8;17;0,08;Muy buena / Oso ona
25/09/2017;3;17;44;Muy buena / Oso ona;22;46;74;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;285;89;1009,7;0,1;135,8;17,4;0,81;Buena / Ona
24/09/2017;3;15;25;Muy buena / Oso ona;19;52;76;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;299;86;1006,3;0;285,5;19;0,4;Buena / Ona
23/09/2017;5;21;44;Muy buena / Oso ona;28;46;83;Buena / Ona;17;Muy buena / Oso ona;3;Muy buena / Oso ona;178;74;1006,1;0;309,3;20;0,61;Buena / Ona
