Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
18/10/2017;0,22;0,2;0,24;Muy buena / Oso ona;0,21;6;25;43;Muy buena / Oso ona;31;14;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;2;276;80;988,1;0,1;34,3;17;0,13;Muy buena / Oso ona
17/10/2017;0,2;0,16;0,2;Muy buena / Oso ona;0,95;2;19;25;Muy buena / Oso ona;21;25;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;1,59;231;52;994,5;0;104;21,4;1,52;Muy buena / Oso ona
16/10/2017;0,17;0,18;0,21;Muy buena / Oso ona;;3;18;39;Muy buena / Oso ona;20;27;Buena / Ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;1,86;256;60;999,7;0;123,1;21,8;0,58;Buena / Ona
15/10/2017;0,17;0,15;0,21;Muy buena / Oso ona;;1;13;39;Muy buena / Oso ona;13;24;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;2;231;54;1000,2;0;138,8;23,8;1,8;Muy buena / Oso ona
14/10/2017;0,2;0,21;0,23;Muy buena / Oso ona;0,16;3;22;65;Buena / Ona;28;32;Buena / Ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;1,58;244;62;1000,5;0;145,7;22,4;0,59;Buena / Ona
13/10/2017;0,37;0,24;0,29;Muy buena / Oso ona;0,4;17;20;37;Muy buena / Oso ona;46;39;Buena / Ona;19;Buena / Ona;2;Muy buena / Oso ona;2,98;41;71;1001,3;0;143,8;19,2;0,7;Buena / Ona
12/10/2017;0,29;0,18;0,21;Muy buena / Oso ona;1,28;4;20;32;Muy buena / Oso ona;26;28;Buena / Ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;2,52;34;70;1001,9;0;147;18,3;0,1;Buena / Ona
11/10/2017;0,39;0,21;;Sin datos / Daturik gabe;1,02;21;24;44;Muy buena / Oso ona;55;31;Buena / Ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;3,45;37;68;998,7;0;150,4;17,1;0,26;Buena / Ona
10/10/2017;0,32;0,22;0,3;Muy buena / Oso ona;0,45;10;23;41;Muy buena / Oso ona;38;18;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;3,02;182;74;998,2;0;135,7;16;0,06;Muy buena / Oso ona
09/10/2017;0,26;0,23;0,26;Muy buena / Oso ona;0,46;14;21;37;Muy buena / Oso ona;43;22;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;3,21;43;74;999,6;0;150,8;14,5;0,33;Muy buena / Oso ona
08/10/2017;0,26;0,25;0,31;Muy buena / Oso ona;0,15;9;18;36;Muy buena / Oso ona;32;27;Buena / Ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;1,33;50;72;1000,2;0;170,5;13,8;0,39;Buena / Ona
07/10/2017;0,19;;;Sin datos / Daturik gabe;0,48;8;17;26;Muy buena / Oso ona;30;22;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;1,43;40;74;1001,7;0;168,6;13,8;0,33;Muy buena / Oso ona
06/10/2017;0,15;0,15;0,2;Muy buena / Oso ona;0,24;4;17;43;Muy buena / Oso ona;23;11;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;2,55;23;78;1003;0;94,1;16,5;0,51;Muy buena / Oso ona
05/10/2017;0,23;0,23;0,27;Muy buena / Oso ona;0,39;11;17;27;Muy buena / Oso ona;34;22;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;3,44;15;79;1001,6;0;59,7;18,9;0,17;Muy buena / Oso ona
04/10/2017;0,22;0,21;0,25;Muy buena / Oso ona;0,37;13;17;32;Muy buena / Oso ona;37;19;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;5,1;36;79;1000,3;0;137,1;20,5;0,47;Muy buena / Oso ona
03/10/2017;0,2;0,18;0,2;Muy buena / Oso ona;0,35;11;13;19;Muy buena / Oso ona;30;13;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;3,56;23;79;1001;0;102;19,9;0,28;Muy buena / Oso ona
02/10/2017;0,31;0,22;0,25;Muy buena / Oso ona;0,44;12;20;32;Muy buena / Oso ona;38;10;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;5,11;22;86;1002,4;0;46,3;19,7;0,3;Muy buena / Oso ona
01/10/2017;0,32;0,22;0,25;Muy buena / Oso ona;0,23;11;19;28;Muy buena / Oso ona;37;14;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;1,64;252;88;1001,4;0;26,2;16,4;0,15;Muy buena / Oso ona
30/09/2017;0,17;0,18;0,19;Muy buena / Oso ona;0,27;3;17;34;Muy buena / Oso ona;22;13;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;1,86;26;81;999,8;0;25,9;16,7;0,19;Muy buena / Oso ona
29/09/2017;0,4;0,23;0,28;Muy buena / Oso ona;2,15;16;22;42;Muy buena / Oso ona;47;32;Buena / Ona;17;Buena / Ona;1;Muy buena / Oso ona;7,79;40;69;998,6;0;171;20,2;0,78;Buena / Ona
28/09/2017;0,34;0,22;0,24;Muy buena / Oso ona;1,21;12;24;52;Buena / Ona;43;29;Buena / Ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;4,94;233;67;998,6;0;180,8;20,7;0,23;Buena / Ona
27/09/2017;0,4;0,21;0,26;Muy buena / Oso ona;0,72;10;22;34;Muy buena / Oso ona;37;29;Buena / Ona;14;Muy buena / Oso ona;1;Muy buena / Oso ona;2,98;235;69;997;0;191,2;19,2;0,25;Buena / Ona
26/09/2017;0,24;0,18;0,21;Muy buena / Oso ona;0,79;4;18;35;Muy buena / Oso ona;25;14;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;4,26;32;74;998,9;0;177,1;18,2;0,51;Muy buena / Oso ona
25/09/2017;0,39;0,19;0,24;Muy buena / Oso ona;0,66;4;19;37;Muy buena / Oso ona;26;15;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;3,65;3;80;999,6;0;61,6;18,2;0,16;Muy buena / Oso ona
24/09/2017;0,28;0,23;0,29;Muy buena / Oso ona;0,27;5;16;32;Muy buena / Oso ona;24;23;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;1,71;25;67;996;0;183,7;21,2;0,22;Muy buena / Oso ona
