Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);V.vien (m/s);ICA Estación
28/10/2017;7;23;42;Muy buena / Oso ona;34;31;59;Muy buena / Oso ona;3;Muy buena / Oso ona;17;0,45;Muy buena / Oso ona
27/10/2017;57;31;52;Buena / Ona;118;21;46;Muy buena / Oso ona;5;Muy buena / Oso ona;327;0,91;Buena / Ona
26/10/2017;58;42;67;Buena / Ona;131;17;45;Muy buena / Oso ona;5;Muy buena / Oso ona;308;1,11;Buena / Ona
25/10/2017;74;46;74;Buena / Ona;160;13;34;Muy buena / Oso ona;7;Muy buena / Oso ona;206;0,34;Buena / Ona
24/10/2017;43;43;65;Buena / Ona;108;15;35;Muy buena / Oso ona;7;Muy buena / Oso ona;200;0,44;Buena / Ona
23/10/2017;24;28;47;Muy buena / Oso ona;65;21;48;Muy buena / Oso ona;4;Muy buena / Oso ona;143;0,51;Muy buena / Oso ona
22/10/2017;3;15;26;Muy buena / Oso ona;21;39;59;Muy buena / Oso ona;3;Muy buena / Oso ona;309;0,61;Muy buena / Oso ona
21/10/2017;3;16;35;Muy buena / Oso ona;20;50;59;Muy buena / Oso ona;4;Muy buena / Oso ona;318;1,46;Muy buena / Oso ona
20/10/2017;36;30;59;Buena / Ona;86;21;43;Muy buena / Oso ona;4;Muy buena / Oso ona;182;0,75;Buena / Ona
19/10/2017;18;29;46;Muy buena / Oso ona;57;24;47;Muy buena / Oso ona;3;Muy buena / Oso ona;187;0,33;Muy buena / Oso ona
18/10/2017;23;37;67;Buena / Ona;73;16;25;Muy buena / Oso ona;3;Muy buena / Oso ona;306;0,42;Buena / Ona
17/10/2017;7;27;41;Muy buena / Oso ona;37;35;61;Buena / Ona;3;Muy buena / Oso ona;135;1,64;Buena / Ona
16/10/2017;5;22;50;Muy buena / Oso ona;29;52;69;Buena / Ona;3;Muy buena / Oso ona;127;1,75;Buena / Ona
15/10/2017;3;16;29;Muy buena / Oso ona;21;55;58;Muy buena / Oso ona;3;Muy buena / Oso ona;143;2,44;Muy buena / Oso ona
14/10/2017;4;21;46;Muy buena / Oso ona;27;47;72;Buena / Ona;3;Muy buena / Oso ona;147;0,95;Buena / Ona
13/10/2017;37;25;69;Buena / Ona;82;34;65;Buena / Ona;4;Muy buena / Oso ona;305;1,05;Buena / Ona
12/10/2017;12;19;37;Muy buena / Oso ona;38;26;61;Buena / Ona;3;Muy buena / Oso ona;94;0,22;Buena / Ona
11/10/2017;67;36;98;Buena / Ona;138;23;57;Muy buena / Oso ona;4;Muy buena / Oso ona;321;0,78;Buena / Ona
10/10/2017;25;24;43;Muy buena / Oso ona;62;18;45;Muy buena / Oso ona;3;Muy buena / Oso ona;146;0,35;Muy buena / Oso ona
09/10/2017;38;26;47;Muy buena / Oso ona;84;24;59;Muy buena / Oso ona;3;Muy buena / Oso ona;122;0,18;Muy buena / Oso ona
08/10/2017;13;18;48;Muy buena / Oso ona;38;27;67;Buena / Ona;3;Muy buena / Oso ona;21;0,28;Buena / Ona
07/10/2017;10;18;34;Muy buena / Oso ona;33;28;66;Buena / Ona;3;Muy buena / Oso ona;71;0,35;Buena / Ona
06/10/2017;13;25;45;Muy buena / Oso ona;45;28;55;Muy buena / Oso ona;2;Muy buena / Oso ona;318;0,98;Muy buena / Oso ona
