Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;ICA Estación
28/10/2017;0,23;0,3;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;25;9;Muy buena / Oso ona;Muy buena / Oso ona
27/10/2017;0,34;0,56;Muy buena / Oso ona;38;39;68;Buena / Ona;84;27;Buena / Ona;Buena / Ona
26/10/2017;0,46;0,78;Muy buena / Oso ona;63;59;114;Mejorable / Hobetzeko modukoa;155;36;Buena / Ona;Mejorable / Hobetzeko modukoa
25/10/2017;0,42;0,55;Muy buena / Oso ona;57;53;103;Mejorable / Hobetzeko modukoa;140;32;Buena / Ona;Mejorable / Hobetzeko modukoa
24/10/2017;0,43;0,69;Muy buena / Oso ona;45;48;102;Mejorable / Hobetzeko modukoa;117;27;Buena / Ona;Mejorable / Hobetzeko modukoa
23/10/2017;0,25;0,3;Muy buena / Oso ona;15;34;70;Buena / Ona;52;14;Muy buena / Oso ona;Buena / Ona
22/10/2017;0,2;0,23;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;18;8;Muy buena / Oso ona;Muy buena / Oso ona
21/10/2017;0,19;0,45;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;16;13;Muy buena / Oso ona;Muy buena / Oso ona
20/10/2017;0,51;0,79;Muy buena / Oso ona;42;44;84;Buena / Ona;103;22;Muy buena / Oso ona;Buena / Ona
19/10/2017;0,29;0,38;Muy buena / Oso ona;18;38;65;Buena / Ona;57;15;Muy buena / Oso ona;Buena / Ona
18/10/2017;0,29;0,41;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;42;19;Muy buena / Oso ona;Muy buena / Oso ona
17/10/2017;0,34;;Sin datos / Daturik gabe;7;27;54;Buena / Ona;35;29;Buena / Ona;Buena / Ona
16/10/2017;0,28;0,38;Muy buena / Oso ona;4;26;41;Muy buena / Oso ona;26;29;Buena / Ona;Buena / Ona
15/10/2017;0,25;0,37;Muy buena / Oso ona;5;26;60;Buena / Ona;29;23;Muy buena / Oso ona;Buena / Ona
14/10/2017;0,29;0,36;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;23;26;Buena / Ona;Buena / Ona
13/10/2017;0,38;0,56;Muy buena / Oso ona;18;29;55;Buena / Ona;53;33;Buena / Ona;Buena / Ona
12/10/2017;0,3;0,44;Muy buena / Oso ona;4;26;57;Buena / Ona;32;23;Muy buena / Oso ona;Buena / Ona
11/10/2017;0,41;0,69;Muy buena / Oso ona;34;31;54;Buena / Ona;83;28;Buena / Ona;Buena / Ona
10/10/2017;0,32;0,41;Muy buena / Oso ona;14;30;71;Buena / Ona;51;19;Muy buena / Oso ona;Buena / Ona
09/10/2017;0,28;0,38;Muy buena / Oso ona;15;24;37;Muy buena / Oso ona;47;18;Muy buena / Oso ona;Muy buena / Oso ona
