Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,18;0,2;Muy buena / Oso ona;1;3;7;Muy buena / Oso ona;5;67;73;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;344;84;1005,6;0;31,1;14,5;0,4;Buena / Ona
27/10/2017;0,2;0,21;Muy buena / Oso ona;2;4;12;Muy buena / Oso ona;6;71;91;Buena / Ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;340;84;1007,2;0;29,3;16,3;1,13;Buena / Ona
26/10/2017;0,23;0,35;Muy buena / Oso ona;2;6;14;Muy buena / Oso ona;9;77;92;Buena / Ona;19;Muy buena / Oso ona;9;Muy buena / Oso ona;103;57;1001,6;0;94;20,1;0,29;Buena / Ona
25/10/2017;;;Sin datos / Daturik gabe;4;10;22;Muy buena / Oso ona;15;59;61;Buena / Ona;18;Muy buena / Oso ona;8;Muy buena / Oso ona;342;57;997,7;0;91,6;19,9;0,15;Buena / Ona
24/10/2017;;;Sin datos / Daturik gabe;5;10;24;Muy buena / Oso ona;17;58;76;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;241;51;998,8;0;90,5;18,8;0,34;Buena / Ona
23/10/2017;;;Sin datos / Daturik gabe;4;3;7;Muy buena / Oso ona;9;69;75;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;236;70;1002,4;0;95;14,9;0,3;Buena / Ona
22/10/2017;;;Sin datos / Daturik gabe;4;1;3;Muy buena / Oso ona;6;70;76;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;282;82;1004,1;0;53,9;12,8;1,17;Buena / Ona
21/10/2017;;;Sin datos / Daturik gabe;3;2;3;Muy buena / Oso ona;6;67;71;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;300;76;999,6;0;46,9;15,6;1,74;Buena / Ona
20/10/2017;0,19;;Sin datos / Daturik gabe;4;5;13;Muy buena / Oso ona;11;57;66;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;241;59;991,8;0;70,9;19,5;0,77;Buena / Ona
19/10/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;67;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;5;Muy buena / Oso ona;256;71;987,3;0;47,1;16;0,73;Muy buena / Oso ona
18/10/2017;0,21;0,5;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;53;64;Buena / Ona;18;Muy buena / Oso ona;10;Muy buena / Oso ona;289;90;986,3;0,2;25,2;14;0,63;Buena / Ona
17/10/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;72;78;Buena / Ona;28;Buena / Ona;18;Buena / Ona;197;64;991,8;0;75;19,9;1,65;Buena / Ona
16/10/2017;;;Sin datos / Daturik gabe;6;2;5;Muy buena / Oso ona;11;76;84;Buena / Ona;25;Muy buena / Oso ona;12;Muy buena / Oso ona;224;64;996,9;0;107,1;21,5;1,55;Buena / Ona
15/10/2017;;;Sin datos / Daturik gabe;6;2;3;Muy buena / Oso ona;11;72;84;Buena / Ona;23;Muy buena / Oso ona;14;Muy buena / Oso ona;204;53;996,4;0;103,7;24,2;1,82;Buena / Ona
14/10/2017;0,2;0,24;Muy buena / Oso ona;6;4;10;Muy buena / Oso ona;13;70;84;Buena / Ona;31;Buena / Ona;19;Buena / Ona;207;71;998,3;0;107,4;21,2;0,49;Buena / Ona
13/10/2017;0,2;;Sin datos / Daturik gabe;6;5;15;Muy buena / Oso ona;14;78;91;Buena / Ona;29;Buena / Ona;17;Buena / Ona;345;68;999,5;0;112,3;20,3;0,42;Buena / Ona
