Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;10;25;56;Buena / Ona;41;33;49;Muy buena / Oso ona;13;Muy buena / Oso ona;16;Muy buena / Oso ona;2;Muy buena / Oso ona;306;88;1015,4;0;41,4;14,8;0,56;Buena / Ona
27/10/2017;32;33;75;Buena / Ona;82;24;44;Muy buena / Oso ona;30;Buena / Ona;26;Buena / Ona;3;Muy buena / Oso ona;299;90;1017;0;56,1;14,8;0,77;Buena / Ona
26/10/2017;22;45;81;Buena / Ona;78;25;46;Muy buena / Oso ona;27;Buena / Ona;21;Buena / Ona;4;Muy buena / Oso ona;233;62;1011,2;0;145,8;18,8;0,45;Buena / Ona
25/10/2017;46;46;82;Buena / Ona;116;15;31;Muy buena / Oso ona;34;Buena / Ona;23;Buena / Ona;3;Muy buena / Oso ona;132;68;1007;0;149,7;17,2;0,9;Buena / Ona
24/10/2017;;;;Sin datos / Daturik gabe;;13;24;Muy buena / Oso ona;26;Buena / Ona;18;Buena / Ona;2;Muy buena / Oso ona;135;69;1008,4;0;145,8;15,4;0,82;Buena / Ona
23/10/2017;;;;Sin datos / Daturik gabe;;19;41;Muy buena / Oso ona;18;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;146;79;1012,1;0;155,7;13,5;0,57;Muy buena / Oso ona
22/10/2017;;;;Sin datos / Daturik gabe;;35;52;Muy buena / Oso ona;7;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;274;88;1014,1;0;62,6;13,3;0,26;Muy buena / Oso ona
21/10/2017;;;;Sin datos / Daturik gabe;;44;56;Muy buena / Oso ona;13;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;299;75;1009,3;0;66,2;16,4;1,2;Muy buena / Oso ona
20/10/2017;29;37;75;Buena / Ona;81;23;41;Muy buena / Oso ona;21;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;125;60;1001,2;0;134,2;19,9;0,35;Buena / Ona
19/10/2017;12;30;52;Buena / Ona;49;23;47;Muy buena / Oso ona;16;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;146;75;996,9;0;148,6;16;1,15;Buena / Ona
18/10/2017;13;40;66;Buena / Ona;57;23;33;Muy buena / Oso ona;19;Muy buena / Oso ona;20;Buena / Ona;1;Muy buena / Oso ona;210;83;995,9;0,1;31;16,4;0,5;Buena / Ona
17/10/2017;8;29;88;Buena / Ona;41;35;61;Buena / Ona;30;Buena / Ona;18;Buena / Ona;1;Muy buena / Oso ona;159;65;1001,4;0;109,5;20,5;1,04;Buena / Ona
16/10/2017;12;31;86;Buena / Ona;42;45;65;Buena / Ona;28;Buena / Ona;19;Buena / Ona;1;Muy buena / Oso ona;198;64;1006,8;0;156,5;21,8;1,14;Buena / Ona
15/10/2017;7;26;59;Buena / Ona;29;45;65;Buena / Ona;21;Muy buena / Oso ona;16;Muy buena / Oso ona;1;Muy buena / Oso ona;160;54;1006,7;0;154,2;24;2,16;Buena / Ona
14/10/2017;4;23;50;Muy buena / Oso ona;27;49;79;Buena / Ona;31;Buena / Ona;27;Buena / Ona;1;Muy buena / Oso ona;163;66;1007,8;0;166;22,5;1,47;Buena / Ona
13/10/2017;17;24;51;Buena / Ona;51;39;72;Buena / Ona;30;Buena / Ona;29;Buena / Ona;1;Muy buena / Oso ona;286;80;1008,9;0;159;18,7;0,65;Buena / Ona
12/10/2017;11;20;43;Muy buena / Oso ona;36;20;52;Muy buena / Oso ona;21;Muy buena / Oso ona;22;Buena / Ona;1;Muy buena / Oso ona;164;81;1009,6;0;172,1;17;0,19;Buena / Ona
11/10/2017;14;32;58;Buena / Ona;53;26;59;Muy buena / Oso ona;28;Buena / Ona;22;Buena / Ona;2;Muy buena / Oso ona;212;74;1006,3;0;168,2;17,2;0,46;Buena / Ona
10/10/2017;19;26;50;Muy buena / Oso ona;55;15;42;Muy buena / Oso ona;22;Muy buena / Oso ona;20;Buena / Ona;2;Muy buena / Oso ona;167;82;1005,9;0;168,3;15,5;0,33;Buena / Ona
09/10/2017;23;26;53;Buena / Ona;61;20;51;Muy buena / Oso ona;17;Muy buena / Oso ona;15;Muy buena / Oso ona;1;Muy buena / Oso ona;208;78;1007,4;0;190;14,4;0,27;Buena / Ona
08/10/2017;8;18;47;Muy buena / Oso ona;28;24;59;Muy buena / Oso ona;9;Muy buena / Oso ona;10;Muy buena / Oso ona;1;Muy buena / Oso ona;217;78;1008,1;0;192,2;13,7;0,31;Muy buena / Oso ona
