Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;5;22;53;Buena / Ona;30;19;Muy buena / Oso ona;3;Muy buena / Oso ona;38;82;1018,4;55,5;15,6;0,69;Buena / Ona
27/10/2017;33;26;55;Buena / Ona;77;33;Buena / Ona;4;Muy buena / Oso ona;22;84;1020;49;15,4;0,4;Buena / Ona
26/10/2017;32;48;75;Buena / Ona;97;38;Buena / Ona;4;Muy buena / Oso ona;163;70;1014;107,2;17,5;0,23;Buena / Ona
25/10/2017;54;57;97;Buena / Ona;139;47;Buena / Ona;6;Muy buena / Oso ona;160;74;1009,7;109,8;16,4;0,68;Buena / Ona
24/10/2017;32;49;75;Buena / Ona;98;29;Buena / Ona;6;Muy buena / Oso ona;159;69;1010,9;111;15,6;1,58;Buena / Ona
23/10/2017;20;37;72;Buena / Ona;67;26;Buena / Ona;3;Muy buena / Oso ona;160;78;1014,6;115,8;13,7;1,14;Buena / Ona
22/10/2017;2;18;33;Muy buena / Oso ona;21;14;Muy buena / Oso ona;3;Muy buena / Oso ona;55;83;1016,9;58,2;13,8;0,24;Muy buena / Oso ona
21/10/2017;2;14;30;Muy buena / Oso ona;16;23;Muy buena / Oso ona;3;Muy buena / Oso ona;328;71;1012,1;67,3;16,9;2,42;Muy buena / Oso ona
20/10/2017;17;35;71;Buena / Ona;62;23;Muy buena / Oso ona;3;Muy buena / Oso ona;175;59;1003,8;116;20,4;1,29;Buena / Ona
19/10/2017;8;30;60;Buena / Ona;43;14;Muy buena / Oso ona;3;Muy buena / Oso ona;149;73;999,5;116,6;16,6;1,61;Buena / Ona
18/10/2017;22;45;72;Buena / Ona;79;39;Buena / Ona;3;Muy buena / Oso ona;138;87;998,8;33,1;15,5;0,74;Buena / Ona
17/10/2017;8;30;66;Buena / Ona;43;56;Mejorable / Hobetzeko modukoa;3;Muy buena / Oso ona;143;76;1004;88,2;19,4;1,57;Mejorable / Hobetzeko modukoa
16/10/2017;4;24;60;Buena / Ona;30;42;Buena / Ona;3;Muy buena / Oso ona;125;68;1009,4;123,6;21,5;1,19;Buena / Ona
15/10/2017;2;20;52;Buena / Ona;22;38;Buena / Ona;3;Muy buena / Oso ona;146;57;1009,1;113;24,3;2,41;Buena / Ona
14/10/2017;3;27;69;Buena / Ona;32;41;Buena / Ona;3;Muy buena / Oso ona;146;67;1010,4;129,8;22,6;1,59;Buena / Ona
13/10/2017;21;38;76;Buena / Ona;70;48;Buena / Ona;3;Muy buena / Oso ona;205;82;1011,8;119,1;18;0,24;Buena / Ona
12/10/2017;10;36;74;Buena / Ona;52;32;Buena / Ona;3;Muy buena / Oso ona;164;83;1012,2;133,9;17,1;0,64;Buena / Ona
11/10/2017;19;38;69;Buena / Ona;66;30;Buena / Ona;4;Muy buena / Oso ona;132;76;1009;127;17,3;0,52;Buena / Ona
10/10/2017;26;40;82;Buena / Ona;80;31;Buena / Ona;3;Muy buena / Oso ona;155;82;1008,5;129,5;15,5;0,52;Buena / Ona
09/10/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;312;70;1009,5;;18;0,41;Sin datos / Daturik gabe
08/10/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;Sin datos / Daturik gabe
