Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
20/07/2017;0,25;0,2;0,31;Muy buena / Oso ona;0,18;3;14;23;Muy buena / Oso ona;18;33;47;Muy buena / Oso ona;1;15;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;1,12;Muy buena / Oso ona
19/07/2017;0,2;0,23;0,31;Muy buena / Oso ona;0,15;3;12;20;Muy buena / Oso ona;17;59;72;Buena / Ona;0,74;35;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;0,88;Buena / Ona
18/07/2017;0,47;;;Sin datos / Daturik gabe;0,24;3;14;30;Muy buena / Oso ona;19;68;87;Buena / Ona;1,2;39;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;1,59;Buena / Ona
17/07/2017;0,82;0,33;0,42;Muy buena / Oso ona;0,34;10;24;46;Muy buena / Oso ona;39;51;97;Buena / Ona;1,96;53;Mejorable / Hobetzeko modukoa;20;Buena / Ona;4;Muy buena / Oso ona;2,65;Mejorable / Hobetzeko modukoa
16/07/2017;0,54;0,24;0,29;Muy buena / Oso ona;0,17;5;13;27;Muy buena / Oso ona;21;45;83;Buena / Ona;0,98;26;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;1,38;Buena / Ona
15/07/2017;0,65;0,26;0,34;Muy buena / Oso ona;0,19;3;11;20;Muy buena / Oso ona;16;40;59;Muy buena / Oso ona;1,14;27;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;1,34;Buena / Ona
14/07/2017;0,81;;;Sin datos / Daturik gabe;0,2;4;12;27;Muy buena / Oso ona;18;36;53;Muy buena / Oso ona;1,35;13;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;1,44;Muy buena / Oso ona
13/07/2017;0,23;0,27;0,34;Muy buena / Oso ona;0,25;5;12;26;Muy buena / Oso ona;21;30;46;Muy buena / Oso ona;1,53;14;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;1,56;Muy buena / Oso ona
12/07/2017;0,41;0,28;0,33;Muy buena / Oso ona;0,4;8;18;37;Muy buena / Oso ona;29;25;46;Muy buena / Oso ona;1,9;25;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;3,31;Muy buena / Oso ona
11/07/2017;0,31;0,26;0,28;Muy buena / Oso ona;0,17;6;14;25;Muy buena / Oso ona;24;34;60;Muy buena / Oso ona;1,1;19;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;1,62;Muy buena / Oso ona
10/07/2017;0,24;0,25;0,34;Muy buena / Oso ona;0,27;3;12;25;Muy buena / Oso ona;17;33;54;Muy buena / Oso ona;1,28;17;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;1,13;Muy buena / Oso ona
09/07/2017;0,18;0,25;0,3;Muy buena / Oso ona;0,14;2;7;10;Muy buena / Oso ona;11;61;75;Buena / Ona;0,44;29;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;0,71;Buena / Ona
08/07/2017;0,21;0,24;0,3;Muy buena / Oso ona;0,15;2;7;11;Muy buena / Oso ona;10;59;73;Buena / Ona;0,78;25;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;0,79;Buena / Ona
07/07/2017;0,28;0,24;0,37;Muy buena / Oso ona;0,29;6;15;42;Muy buena / Oso ona;23;38;56;Muy buena / Oso ona;1,42;27;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;1,9;Buena / Ona
06/07/2017;0,32;0,28;0,38;Muy buena / Oso ona;0,48;5;27;56;Buena / Ona;35;42;69;Buena / Ona;1,91;42;Buena / Ona;21;Buena / Ona;4;Muy buena / Oso ona;2,1;Buena / Ona
05/07/2017;0,21;0,24;;Sin datos / Daturik gabe;0,16;3;11;21;Muy buena / Oso ona;16;71;79;Buena / Ona;0,85;29;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;1,2;Buena / Ona
04/07/2017;1,16;0,28;0,31;Muy buena / Oso ona;0,48;9;18;34;Muy buena / Oso ona;32;42;82;Buena / Ona;2,17;30;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;3,56;Buena / Ona
03/07/2017;3,95;0,29;0,32;Muy buena / Oso ona;4,37;11;12;30;Muy buena / Oso ona;30;21;38;Muy buena / Oso ona;5,45;16;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;5,92;Muy buena / Oso ona
02/07/2017;0,6;0,28;0,36;Muy buena / Oso ona;0,29;3;11;18;Muy buena / Oso ona;15;32;59;Muy buena / Oso ona;0,95;14;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;1,29;Muy buena / Oso ona
01/07/2017;0,38;0,22;0,37;Muy buena / Oso ona;0,29;3;15;27;Muy buena / Oso ona;19;36;46;Muy buena / Oso ona;0,72;17;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;0,85;Muy buena / Oso ona
30/06/2017;0,24;0,25;0,29;Muy buena / Oso ona;0,23;4;18;30;Muy buena / Oso ona;24;33;50;Muy buena / Oso ona;0,61;16;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;0,75;Muy buena / Oso ona
29/06/2017;0,33;0,24;0,38;Muy buena / Oso ona;0,19;4;16;29;Muy buena / Oso ona;21;43;61;Buena / Ona;0,45;18;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;0,7;Buena / Ona
28/06/2017;0,18;0,27;0,37;Muy buena / Oso ona;0,3;4;12;27;Muy buena / Oso ona;18;41;59;Muy buena / Oso ona;0,43;20;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;0,98;Muy buena / Oso ona
27/06/2017;0,33;0,35;0,43;Muy buena / Oso ona;0,65;10;18;43;Muy buena / Oso ona;32;25;45;Muy buena / Oso ona;0,55;30;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;1,56;Buena / Ona
26/06/2017;0,18;0,37;0,41;Muy buena / Oso ona;0,22;5;16;25;Muy buena / Oso ona;24;29;52;Muy buena / Oso ona;0,58;27;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;0,93;Buena / Ona
25/06/2017;0,21;0,27;0,33;Muy buena / Oso ona;0,36;3;12;22;Muy buena / Oso ona;17;26;49;Muy buena / Oso ona;0,51;27;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;0,9;Buena / Ona
24/06/2017;0,19;;;Sin datos / Daturik gabe;0,37;2;10;19;Muy buena / Oso ona;13;35;46;Muy buena / Oso ona;0,67;25;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;1,03;Muy buena / Oso ona
23/06/2017;0,22;0,3;0,37;Muy buena / Oso ona;0,39;3;15;30;Muy buena / Oso ona;19;39;57;Muy buena / Oso ona;0,48;39;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;0,74;Buena / Ona
22/06/2017;;;;Sin datos / Daturik gabe;;4;12;19;Muy buena / Oso ona;18;60;98;Buena / Ona;0,33;45;Buena / Ona;23;Buena / Ona;4;Muy buena / Oso ona;;Buena / Ona
21/06/2017;;0,32;0,45;Muy buena / Oso ona;;8;26;77;Buena / Ona;39;82;136;Mejorable / Hobetzeko modukoa;0,44;50;Buena / Ona;23;Buena / Ona;4;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
20/06/2017;0,25;0,33;0,41;Muy buena / Oso ona;0,31;6;27;55;Buena / Ona;37;64;119;Mejorable / Hobetzeko modukoa;0,66;37;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;0,88;Mejorable / Hobetzeko modukoa
19/06/2017;;0,28;0,39;Muy buena / Oso ona;;8;19;49;Muy buena / Oso ona;31;72;120;Mejorable / Hobetzeko modukoa;0,61;38;Buena / Ona;18;Buena / Ona;4;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
18/06/2017;;0,23;0,31;Muy buena / Oso ona;;4;14;26;Muy buena / Oso ona;20;61;104;Mejorable / Hobetzeko modukoa;;29;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
17/06/2017;;0,24;0,29;Muy buena / Oso ona;;4;11;20;Muy buena / Oso ona;17;50;89;Buena / Ona;;26;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
16/06/2017;0,05;0,28;0,34;Muy buena / Oso ona;0,29;6;15;34;Muy buena / Oso ona;25;38;50;Muy buena / Oso ona;0,7;28;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;0,93;Buena / Ona
15/06/2017;;0,27;0,36;Muy buena / Oso ona;;2;14;22;Muy buena / Oso ona;17;51;60;Muy buena / Oso ona;;21;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;;Muy buena / Oso ona
14/06/2017;;0,33;0,39;Muy buena / Oso ona;;4;17;38;Muy buena / Oso ona;23;46;73;Buena / Ona;;45;Buena / Ona;19;Buena / Ona;3;Muy buena / Oso ona;;Buena / Ona
13/06/2017;;0,29;0,37;Muy buena / Oso ona;;8;16;36;Muy buena / Oso ona;28;36;62;Buena / Ona;;28;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
12/06/2017;;0,23;0,3;Muy buena / Oso ona;;3;11;21;Muy buena / Oso ona;15;31;44;Muy buena / Oso ona;;28;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
11/06/2017;;0,3;0,38;Muy buena / Oso ona;;2;10;19;Muy buena / Oso ona;14;43;64;Buena / Ona;;36;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;;Buena / Ona
10/06/2017;;0,33;0,38;Muy buena / Oso ona;;4;12;21;Muy buena / Oso ona;19;46;80;Buena / Ona;;29;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
09/06/2017;;0,29;0,42;Muy buena / Oso ona;;7;19;43;Muy buena / Oso ona;30;33;53;Muy buena / Oso ona;;30;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
