Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
02/04/2017;0,23;0,24;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;24;8;Muy buena / Oso ona;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
01/04/2017;0,31;0,39;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;15;4;Muy buena / Oso ona;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
31/03/2017;0,31;0,34;Muy buena / Oso ona;4;28;74;Buena / Ona;34;13;Muy buena / Oso ona;9;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
30/03/2017;0,32;0,48;Muy buena / Oso ona;22;34;88;Buena / Ona;67;23;Muy buena / Oso ona;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
29/03/2017;;;Sin datos / Daturik gabe;16;35;69;Buena / Ona;60;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;Buena / Ona
28/03/2017;0,37;;Sin datos / Daturik gabe;13;30;66;Buena / Ona;50;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
27/03/2017;0,23;0,29;Muy buena / Oso ona;2;15;32;Muy buena / Oso ona;19;9;Muy buena / Oso ona;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
26/03/2017;;;Sin datos / Daturik gabe;2;13;37;Muy buena / Oso ona;16;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
25/03/2017;0,29;0,38;Muy buena / Oso ona;2;17;45;Muy buena / Oso ona;20;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
24/03/2017;0,39;0,69;Muy buena / Oso ona;14;31;64;Buena / Ona;53;12;Muy buena / Oso ona;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
23/03/2017;0,27;0,42;Muy buena / Oso ona;3;17;45;Muy buena / Oso ona;21;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
22/03/2017;;;Sin datos / Daturik gabe;2;19;40;Muy buena / Oso ona;22;8;Muy buena / Oso ona;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
21/03/2017;;;Sin datos / Daturik gabe;6;28;49;Muy buena / Oso ona;37;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;Muy buena / Oso ona
20/03/2017;0,26;0,31;Muy buena / Oso ona;9;28;60;Buena / Ona;42;23;Muy buena / Oso ona;17;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
19/03/2017;0,23;0,3;Muy buena / Oso ona;12;31;67;Buena / Ona;48;19;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/03/2017;0,23;0,3;Muy buena / Oso ona;4;19;29;Muy buena / Oso ona;25;23;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
17/03/2017;0,27;0,33;Muy buena / Oso ona;16;43;74;Buena / Ona;68;31;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
16/03/2017;;;Sin datos / Daturik gabe;19;48;105;Mejorable / Hobetzeko modukoa;78;26;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
15/03/2017;;;Sin datos / Daturik gabe;7;32;72;Buena / Ona;42;32;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
14/03/2017;;;Sin datos / Daturik gabe;8;26;71;Buena / Ona;38;31;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
