Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
28/10/2017;0,31;0,41;Muy buena / Oso ona;5;14;30;74;Buena / Ona;51;16;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
27/10/2017;0,34;0,51;Muy buena / Oso ona;7;50;34;63;Buena / Ona;110;41;Buena / Ona;20;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
26/10/2017;0,42;;Sin datos / Daturik gabe;9;39;49;86;Buena / Ona;107;42;Buena / Ona;22;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
25/10/2017;;;Sin datos / Daturik gabe;8;88;56;73;Buena / Ona;190;62;Mejorable / Hobetzeko modukoa;29;Buena / Ona;10;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
24/10/2017;0,37;0,42;Muy buena / Oso ona;5;42;53;78;Buena / Ona;117;35;Buena / Ona;17;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
23/10/2017;0,29;0,38;Muy buena / Oso ona;4;31;41;72;Buena / Ona;87;26;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
22/10/2017;0,24;0,33;Muy buena / Oso ona;3;7;17;52;Buena / Ona;26;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
21/10/2017;0,2;0,29;Muy buena / Oso ona;5;5;10;34;Muy buena / Oso ona;18;16;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
20/10/2017;0,34;;Sin datos / Daturik gabe;9;40;38;84;Buena / Ona;99;30;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
19/10/2017;0,25;0,28;Muy buena / Oso ona;6;20;32;73;Buena / Ona;62;11;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
