Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
29/06/2017;0,03;0,12;0,13;Muy buena / Oso ona;0,02;3;12;22;Muy buena / Oso ona;16;0,19;12;Muy buena / Oso ona;3;Muy buena / Oso ona;0,57;Muy buena / Oso ona
28/06/2017;0,1;0,18;0,35;Muy buena / Oso ona;0,08;5;18;41;Muy buena / Oso ona;25;0,34;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;0,74;Muy buena / Oso ona
27/06/2017;0,22;0,35;0,36;Muy buena / Oso ona;0,1;10;24;41;Muy buena / Oso ona;38;0,22;17;Muy buena / Oso ona;4;Muy buena / Oso ona;1,2;Muy buena / Oso ona
26/06/2017;0,12;0,32;0,38;Muy buena / Oso ona;0,09;10;24;40;Muy buena / Oso ona;39;0,3;17;Muy buena / Oso ona;4;Muy buena / Oso ona;1,18;Muy buena / Oso ona
25/06/2017;0,09;0,25;0,3;Muy buena / Oso ona;0,07;5;18;30;Muy buena / Oso ona;25;0,31;17;Muy buena / Oso ona;3;Muy buena / Oso ona;0,8;Muy buena / Oso ona
24/06/2017;0,23;0,34;0,47;Muy buena / Oso ona;0,03;2;15;27;Muy buena / Oso ona;18;0,14;16;Muy buena / Oso ona;2;Muy buena / Oso ona;0,52;Muy buena / Oso ona
23/06/2017;0,32;0,33;0,4;Muy buena / Oso ona;0,07;4;24;55;Buena / Ona;29;0,14;28;Buena / Ona;3;Muy buena / Oso ona;1,1;Buena / Ona
22/06/2017;0,27;0,44;0,6;Muy buena / Oso ona;0,01;2;16;36;Muy buena / Oso ona;19;0,12;26;Buena / Ona;2;Muy buena / Oso ona;0,51;Buena / Ona
21/06/2017;0,15;0,4;0,83;Muy buena / Oso ona;0,42;8;49;88;Buena / Ona;61;0,49;35;Buena / Ona;8;Muy buena / Oso ona;2,54;Buena / Ona
20/06/2017;0,24;0,46;0,8;Muy buena / Oso ona;0,31;9;49;88;Buena / Ona;62;0,48;25;Muy buena / Oso ona;6;Muy buena / Oso ona;2,2;Buena / Ona
19/06/2017;0,11;0,33;0,42;Muy buena / Oso ona;0,2;8;42;81;Buena / Ona;54;0,64;26;Buena / Ona;6;Muy buena / Oso ona;1,52;Buena / Ona
18/06/2017;0,09;0,3;0,32;Muy buena / Oso ona;0,23;5;40;74;Buena / Ona;47;0,59;28;Buena / Ona;12;Muy buena / Oso ona;1,13;Buena / Ona
17/06/2017;0,16;0,26;0,27;Muy buena / Oso ona;0,17;7;29;72;Buena / Ona;39;0,49;25;Muy buena / Oso ona;4;Muy buena / Oso ona;0,92;Buena / Ona
16/06/2017;0,11;0,26;0,38;Muy buena / Oso ona;0,12;5;21;59;Buena / Ona;28;0,21;19;Muy buena / Oso ona;2;Muy buena / Oso ona;1,28;Buena / Ona
