Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;Tolueno (µg/m3);Ortoxileno (µg/m3);ICA Estación
28/10/2017;0,34;0,19;0,23;Muy buena / Oso ona;0,5;;;;Sin datos / Daturik gabe;28;14;Muy buena / Oso ona;10;Muy buena / Oso ona;2,29;;Muy buena / Oso ona
27/10/2017;1,62;0,31;0,49;Muy buena / Oso ona;1,84;47;42;76;Buena / Ona;100;31;Buena / Ona;21;Buena / Ona;7,48;;Buena / Ona
26/10/2017;;0,41;;Sin datos / Daturik gabe;;59;53;86;Buena / Ona;139;35;Buena / Ona;19;Buena / Ona;;;Buena / Ona
25/10/2017;;0,47;;Sin datos / Daturik gabe;;105;57;132;Mejorable / Hobetzeko modukoa;207;39;Buena / Ona;23;Buena / Ona;;;Mejorable / Hobetzeko modukoa
24/10/2017;;0,46;0,67;Muy buena / Oso ona;;80;64;116;Mejorable / Hobetzeko modukoa;186;33;Buena / Ona;20;Buena / Ona;;;Mejorable / Hobetzeko modukoa
23/10/2017;;0,27;0,3;Muy buena / Oso ona;;19;47;68;Buena / Ona;73;17;Muy buena / Oso ona;11;Muy buena / Oso ona;;;Buena / Ona
22/10/2017;;0,14;;Sin datos / Daturik gabe;;;;;Sin datos / Daturik gabe;20;25;Muy buena / Oso ona;5;Muy buena / Oso ona;;;Muy buena / Oso ona
21/10/2017;;0,14;0,15;Muy buena / Oso ona;;4;23;39;Muy buena / Oso ona;24;16;Muy buena / Oso ona;5;Muy buena / Oso ona;;;Muy buena / Oso ona
20/10/2017;;0,2;0,31;Muy buena / Oso ona;;13;27;66;Buena / Ona;42;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;;;Buena / Ona
19/10/2017;;0,18;0,22;Muy buena / Oso ona;;12;35;79;Buena / Ona;44;9;Muy buena / Oso ona;6;Muy buena / Oso ona;;;Buena / Ona
18/10/2017;;0,17;;Sin datos / Daturik gabe;;;;;Sin datos / Daturik gabe;32;16;Muy buena / Oso ona;9;Muy buena / Oso ona;;;Muy buena / Oso ona
17/10/2017;;0,17;0,22;Muy buena / Oso ona;;5;30;59;Buena / Ona;30;27;Buena / Ona;12;Muy buena / Oso ona;;;Buena / Ona
16/10/2017;;0,17;0,23;Muy buena / Oso ona;;3;27;49;Muy buena / Oso ona;29;29;Buena / Ona;15;Muy buena / Oso ona;;;Buena / Ona
15/10/2017;;0,2;0,36;Muy buena / Oso ona;;6;28;62;Buena / Ona;34;27;Buena / Ona;15;Muy buena / Oso ona;;;Buena / Ona
14/10/2017;;0,29;0,34;Muy buena / Oso ona;;12;33;107;Mejorable / Hobetzeko modukoa;52;32;Buena / Ona;19;Buena / Ona;;;Mejorable / Hobetzeko modukoa
13/10/2017;;0,3;0,41;Muy buena / Oso ona;;28;39;75;Buena / Ona;82;36;Buena / Ona;24;Buena / Ona;;;Buena / Ona
12/10/2017;;0,22;0,29;Muy buena / Oso ona;;15;37;106;Mejorable / Hobetzeko modukoa;56;29;Buena / Ona;20;Buena / Ona;;;Mejorable / Hobetzeko modukoa
11/10/2017;;0,36;;Sin datos / Daturik gabe;;18;25;58;Buena / Ona;52;36;Buena / Ona;21;Buena / Ona;;;Buena / Ona
10/10/2017;;0,32;0,41;Muy buena / Oso ona;;10;14;24;Muy buena / Oso ona;29;22;Muy buena / Oso ona;15;Muy buena / Oso ona;;;Muy buena / Oso ona
09/10/2017;;0,3;0,43;Muy buena / Oso ona;;11;13;26;Muy buena / Oso ona;30;23;Muy buena / Oso ona;14;Muy buena / Oso ona;;;Muy buena / Oso ona
