Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
15/08/2017;0,48;0,08;1;10;22;Muy buena / Oso ona;11;50;63;Buena / Ona;13;Muy buena / Oso ona;3;;Sin datos / Daturik gabe;0,43;354;93;1016;73;20,8;0,5;Buena / Ona
14/08/2017;3,62;2,83;5;18;44;Muy buena / Oso ona;25;56;84;Buena / Ona;26;Buena / Ona;6;;Sin datos / Daturik gabe;4,51;210;81;1009,7;249,1;23,4;1,2;Buena / Ona
13/08/2017;0,43;0,7;2;11;40;Muy buena / Oso ona;13;44;67;Buena / Ona;15;Muy buena / Oso ona;5;4;Muy buena / Oso ona;1,01;273;87;1016;255,3;19,1;1;Buena / Ona
12/08/2017;1,57;1,56;4;11;35;Muy buena / Oso ona;18;49;74;Buena / Ona;18;Muy buena / Oso ona;5;6;Muy buena / Oso ona;2,76;296;81;1020;275;18,2;0,5;Buena / Ona
11/08/2017;0,3;0,43;1;8;19;Muy buena / Oso ona;10;58;76;Buena / Ona;18;Muy buena / Oso ona;4;2;Muy buena / Oso ona;0,71;275;81;1021,9;287,7;18,1;0,6;Buena / Ona
10/08/2017;0,3;0,05;1;6;11;Muy buena / Oso ona;8;70;78;Buena / Ona;19;Muy buena / Oso ona;4;2;Muy buena / Oso ona;0,28;308;83;1023;106,4;17,6;1,8;Buena / Ona
09/08/2017;0,24;0,1;1;6;10;Muy buena / Oso ona;7;72;80;Buena / Ona;11;Muy buena / Oso ona;5;2;Muy buena / Oso ona;0,34;314;78;1018,7;223,2;17,7;2;Buena / Ona
08/08/2017;0,17;0,02;1;7;11;Muy buena / Oso ona;9;66;72;Buena / Ona;12;Muy buena / Oso ona;5;2;Muy buena / Oso ona;0,24;295;83;1016;115,5;18,1;0,7;Buena / Ona
07/08/2017;0,28;0,17;1;8;12;Muy buena / Oso ona;10;63;76;Buena / Ona;19;Muy buena / Oso ona;5;4;Muy buena / Oso ona;0,67;291;92;1012,1;105,4;19,6;0,8;Buena / Ona
06/08/2017;0,28;0,09;1;7;19;Muy buena / Oso ona;9;66;73;Buena / Ona;16;Muy buena / Oso ona;4;2;Muy buena / Oso ona;0,45;341;76;1018,7;233,6;20,5;0,9;Buena / Ona
