Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
15/05/2017;0,8;0,66;2;16;26;Muy buena / Oso ona;19;71;94;Buena / Ona;18;Muy buena / Oso ona;3;9;Muy buena / Oso ona;1,38;217;69;1021,5;263,3;19,8;0,2;Buena / Ona
14/05/2017;0,78;0,39;2;12;32;Muy buena / Oso ona;15;59;81;Buena / Ona;15;Muy buena / Oso ona;3;9;Muy buena / Oso ona;1,04;287;79;1018,9;292,1;17,3;0,8;Buena / Ona
13/05/2017;1,11;0,57;1;11;22;Muy buena / Oso ona;13;68;89;Buena / Ona;13;Muy buena / Oso ona;4;7;Muy buena / Oso ona;1,44;323;77;1011;248,1;16,9;0,4;Buena / Ona
12/05/2017;1,14;1,85;2;10;19;Muy buena / Oso ona;12;77;88;Buena / Ona;11;Muy buena / Oso ona;5;5;Muy buena / Oso ona;2,73;172;67;999,5;151,7;18,3;4,1;Buena / Ona
11/05/2017;0,94;1,22;2;10;18;Muy buena / Oso ona;13;88;90;Buena / Ona;9;Muy buena / Oso ona;6;6;Muy buena / Oso ona;2,13;173;58;991,4;195;19,4;5,7;Buena / Ona
10/05/2017;1,87;1,23;3;23;60;Buena / Ona;27;69;100;Buena / Ona;28;Buena / Ona;5;9;Muy buena / Oso ona;2,39;187;86;995,9;266,5;17,1;0,4;Buena / Ona
09/05/2017;1,45;0,54;2;23;51;Buena / Ona;26;59;83;Buena / Ona;25;Muy buena / Oso ona;4;7;Muy buena / Oso ona;1,71;279;88;1005,4;209;14,7;0,8;Buena / Ona
08/05/2017;1,04;0,61;3;18;39;Muy buena / Oso ona;23;53;76;Buena / Ona;15;Muy buena / Oso ona;4;5;Muy buena / Oso ona;0,69;266;81;1016,4;237,5;14;0,9;Buena / Ona
07/05/2017;0,92;0,84;2;12;22;Muy buena / Oso ona;15;65;83;Buena / Ona;14;Muy buena / Oso ona;3;;Sin datos / Daturik gabe;0,47;267;75;1018,9;278,7;15,5;0,9;Buena / Ona
06/05/2017;1,25;1,17;1;10;16;Muy buena / Oso ona;12;75;92;Buena / Ona;15;Muy buena / Oso ona;3;4;Muy buena / Oso ona;0,92;181;68;1012,9;298,5;15,9;0,4;Buena / Ona
05/05/2017;1,54;1,97;2;20;51;Buena / Ona;23;74;96;Buena / Ona;27;Buena / Ona;5;8;Muy buena / Oso ona;2,36;174;76;1001,9;145,1;18,7;1,5;Buena / Ona
04/05/2017;1,85;1,65;6;24;61;Buena / Ona;34;64;86;Buena / Ona;30;Buena / Ona;4;9;Muy buena / Oso ona;2,88;334;85;1007,2;209,9;16;0,7;Buena / Ona
03/05/2017;0,78;0,78;3;13;33;Muy buena / Oso ona;17;55;79;Buena / Ona;16;Muy buena / Oso ona;3;5;Muy buena / Oso ona;1,61;307;92;1013;269,7;14,2;0,4;Buena / Ona
02/05/2017;0,61;0,21;1;9;15;Muy buena / Oso ona;11;74;85;Buena / Ona;17;Muy buena / Oso ona;2;4;Muy buena / Oso ona;0,47;316;87;1017,1;163,7;14,4;0,8;Buena / Ona
01/05/2017;0,8;0,44;1;11;40;Muy buena / Oso ona;13;76;96;Buena / Ona;23;Muy buena / Oso ona;3;5;Muy buena / Oso ona;0,65;298;64;1016,1;214;12,6;0,8;Buena / Ona
30/04/2017;1,12;0,54;1;7;10;Muy buena / Oso ona;9;94;98;Buena / Ona;14;Muy buena / Oso ona;4;4;Muy buena / Oso ona;1,11;186;65;1003,5;84,3;13,3;2,5;Buena / Ona
29/04/2017;1,81;1,29;1;11;37;Muy buena / Oso ona;14;76;93;Buena / Ona;16;Muy buena / Oso ona;4;6;Muy buena / Oso ona;2,51;161;58;1004,5;273,5;15,8;5,3;Buena / Ona
28/04/2017;1,32;1,14;3;16;54;Buena / Ona;21;67;94;Buena / Ona;15;Muy buena / Oso ona;3;9;Muy buena / Oso ona;1,96;232;77;1015,8;225;9,5;0,6;Buena / Ona
27/04/2017;0,87;0,56;2;12;59;Buena / Ona;16;69;93;Buena / Ona;12;Muy buena / Oso ona;3;6;Muy buena / Oso ona;1,16;253;82;1016,6;216,8;7,6;0,9;Buena / Ona
26/04/2017;;;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;318;85;1012,5;99;8,3;0,6;Muy buena / Oso ona
25/04/2017;0,87;0,4;2;18;44;Muy buena / Oso ona;21;68;85;Buena / Ona;21;Muy buena / Oso ona;5;11;Muy buena / Oso ona;1,09;316;94;1006,7;46;12,6;0,8;Buena / Ona
24/04/2017;1;0,58;4;17;71;Buena / Ona;23;72;90;Buena / Ona;22;Muy buena / Oso ona;5;13;Muy buena / Oso ona;1,12;279;83;1010,6;256,1;13,8;1,6;Buena / Ona
23/04/2017;0,78;0,37;2;15;40;Muy buena / Oso ona;18;87;108;Mejorable / Hobetzeko modukoa;23;Muy buena / Oso ona;5;14;Muy buena / Oso ona;1,05;282;76;1014,6;280,5;13,9;1,5;Mejorable / Hobetzeko modukoa
22/04/2017;1,55;1,53;1;12;18;Muy buena / Oso ona;14;108;127;Mejorable / Hobetzeko modukoa;29;Buena / Ona;4;9;Muy buena / Oso ona;2,89;172;49;1016,7;281,3;17;2;Mejorable / Hobetzeko modukoa
21/04/2017;1,76;1,14;5;26;69;Buena / Ona;33;80;105;Mejorable / Hobetzeko modukoa;30;Buena / Ona;4;13;Muy buena / Oso ona;1,69;253;56;1020,2;279,8;14,3;1,7;Mejorable / Hobetzeko modukoa
20/04/2017;1,71;0,62;2;14;32;Muy buena / Oso ona;17;82;101;Mejorable / Hobetzeko modukoa;23;Muy buena / Oso ona;4;11;Muy buena / Oso ona;1,54;357;55;1022,4;283,8;11,9;0,7;Mejorable / Hobetzeko modukoa
19/04/2017;1,88;0,87;2;13;33;Muy buena / Oso ona;16;91;105;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;4;11;Muy buena / Oso ona;1,87;31;56;1021,7;276,2;12,8;1,1;Mejorable / Hobetzeko modukoa
18/04/2017;0,83;0,46;2;13;37;Muy buena / Oso ona;16;73;95;Buena / Ona;21;Muy buena / Oso ona;4;11;Muy buena / Oso ona;0,7;302;84;1019,1;180,2;13,1;0,6;Buena / Ona
17/04/2017;0,84;0,83;2;12;26;Muy buena / Oso ona;15;66;89;Buena / Ona;20;Muy buena / Oso ona;4;9;Muy buena / Oso ona;1,37;301;86;1017,7;266,8;13,6;1;Buena / Ona
16/04/2017;1,52;1,15;2;12;44;Muy buena / Oso ona;15;63;83;Buena / Ona;15;Muy buena / Oso ona;4;14;Muy buena / Oso ona;1,79;200;83;1021,1;245,5;13,5;0,2;Buena / Ona
15/04/2017;0,83;0,78;1;10;20;Muy buena / Oso ona;12;73;92;Buena / Ona;20;Muy buena / Oso ona;4;8;Muy buena / Oso ona;0,85;317;89;1020,7;142,5;13,9;0,5;Buena / Ona
14/04/2017;0,97;0,4;1;14;33;Muy buena / Oso ona;16;73;93;Buena / Ona;30;Buena / Ona;4;13;Muy buena / Oso ona;0,72;261;92;1017,5;66,4;12,9;0,4;Buena / Ona
13/04/2017;0,75;0,47;3;15;51;Buena / Ona;19;74;103;Mejorable / Hobetzeko modukoa;25;Muy buena / Oso ona;4;19;Muy buena / Oso ona;0,86;285;92;1015,6;254,6;12,5;1,4;Mejorable / Hobetzeko modukoa
12/04/2017;0,86;0,59;3;14;39;Muy buena / Oso ona;18;68;100;Buena / Ona;28;Buena / Ona;4;10;Muy buena / Oso ona;1,34;273;92;1018,1;257,3;12,5;1,2;Buena / Ona
11/04/2017;0,6;0,22;1;11;20;Muy buena / Oso ona;13;88;102;Mejorable / Hobetzeko modukoa;29;Buena / Ona;3;7;Muy buena / Oso ona;0,65;323;86;1022,4;233,1;13,8;1,1;Mejorable / Hobetzeko modukoa
10/04/2017;0,91;0,33;1;14;32;Muy buena / Oso ona;16;86;108;Mejorable / Hobetzeko modukoa;36;Buena / Ona;3;24;Muy buena / Oso ona;0,6;321;94;1022,2;79,9;13,3;0,7;Mejorable / Hobetzeko modukoa
09/04/2017;1,18;0,65;2;14;30;Muy buena / Oso ona;17;81;105;Mejorable / Hobetzeko modukoa;29;Buena / Ona;4;13;Muy buena / Oso ona;1,39;328;85;1017,4;251,5;14,8;0,8;Mejorable / Hobetzeko modukoa
08/04/2017;1,64;2,19;2;19;47;Muy buena / Oso ona;22;79;101;Mejorable / Hobetzeko modukoa;30;Buena / Ona;5;12;Muy buena / Oso ona;3,36;155;65;1013,5;252,2;17,2;1,4;Mejorable / Hobetzeko modukoa
07/04/2017;1,09;0,79;3;18;42;Muy buena / Oso ona;22;67;97;Buena / Ona;29;Buena / Ona;4;11;Muy buena / Oso ona;1,35;265;87;1017,5;251,9;12,4;0,7;Buena / Ona
06/04/2017;0,75;0,35;2;16;58;Buena / Ona;19;74;86;Buena / Ona;37;Buena / Ona;3;9;Muy buena / Oso ona;0,84;327;92;1022,2;226,7;13,2;1,2;Buena / Ona
05/04/2017;0,68;0,18;1;9;16;Muy buena / Oso ona;11;80;86;Buena / Ona;23;Muy buena / Oso ona;3;7;Muy buena / Oso ona;0,41;329;93;1023,8;103,4;12,6;1,6;Buena / Ona
04/04/2017;0,57;0,29;2;11;34;Muy buena / Oso ona;13;75;86;Buena / Ona;16;Muy buena / Oso ona;3;7;Muy buena / Oso ona;0,53;326;90;1024,5;152,9;12,5;1,1;Buena / Ona
03/04/2017;1,55;0,96;5;13;45;Muy buena / Oso ona;22;67;90;Buena / Ona;20;Muy buena / Oso ona;4;15;Muy buena / Oso ona;1,62;207;86;1021,8;240,5;11,9;0,4;Buena / Ona
02/04/2017;0,64;0,33;1;6;11;Muy buena / Oso ona;8;86;96;Buena / Ona;19;Muy buena / Oso ona;3;8;Muy buena / Oso ona;0,58;313;86;1021,2;144,7;11,5;1,5;Buena / Ona
01/04/2017;0,72;0,3;1;6;8;Muy buena / Oso ona;7;87;95;Buena / Ona;14;Muy buena / Oso ona;3;8;Muy buena / Oso ona;0,52;296;79;1017,2;158,9;12,6;2;Buena / Ona
31/03/2017;1,1;1,17;4;23;70;Buena / Ona;30;71;92;Buena / Ona;23;Muy buena / Oso ona;4;10;Muy buena / Oso ona;2,03;315;86;1014,2;151;14,7;0,7;Buena / Ona
30/03/2017;1,28;2,37;2;14;25;Muy buena / Oso ona;17;89;97;Buena / Ona;18;Muy buena / Oso ona;4;7;Muy buena / Oso ona;2,9;161;44;1014,5;152,4;21,5;3,5;Buena / Ona
29/03/2017;0,93;1,13;3;18;38;Muy buena / Oso ona;24;73;81;Buena / Ona;21;Muy buena / Oso ona;3;10;Muy buena / Oso ona;2,58;220;60;1019,6;228;17,1;0,1;Buena / Ona
28/03/2017;1,05;1,09;2;16;32;Muy buena / Oso ona;19;75;85;Buena / Ona;16;Muy buena / Oso ona;3;10;Muy buena / Oso ona;4,05;283;70;1020,6;226,5;14,9;0,5;Buena / Ona
27/03/2017;2,03;1,94;2;12;27;Muy buena / Oso ona;14;89;100;Buena / Ona;12;Muy buena / Oso ona;4;9;Muy buena / Oso ona;6,44;172;58;1011,7;193;15,9;2,9;Buena / Ona
26/03/2017;2,03;1,63;1;9;22;Muy buena / Oso ona;11;77;85;Buena / Ona;10;Muy buena / Oso ona;5;29;Muy buena / Oso ona;4,06;161;67;1008,8;123,3;13,5;2,8;Buena / Ona
25/03/2017;1,03;1,14;3;11;22;Muy buena / Oso ona;15;79;84;Buena / Ona;7;Muy buena / Oso ona;4;7;Muy buena / Oso ona;1,74;167;94;1008,2;13,2;8,8;1,3;Buena / Ona
24/03/2017;1,11;1,08;3;16;39;Muy buena / Oso ona;20;66;95;Buena / Ona;12;Muy buena / Oso ona;;9;Muy buena / Oso ona;1,44;194;68;1011,7;194,8;9,5;0,4;Buena / Ona
23/03/2017;1,24;1,76;2;10;15;Muy buena / Oso ona;13;78;90;Buena / Ona;7;Muy buena / Oso ona;4;;Sin datos / Daturik gabe;1,84;165;62;1005,4;233,2;8,6;3,6;Buena / Ona
22/03/2017;1,56;1,36;2;12;36;Muy buena / Oso ona;15;74;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;4;;Sin datos / Daturik gabe;1,83;178;84;1006,6;46,6;8,7;1;Muy buena / Oso ona
21/03/2017;0,77;0,59;1;10;16;Muy buena / Oso ona;12;72;88;Buena / Ona;12;Muy buena / Oso ona;4;4;Muy buena / Oso ona;0,76;292;89;1014,5;48,7;10,6;0,7;Buena / Ona
20/03/2017;1,13;0,99;2;18;31;Muy buena / Oso ona;21;60;74;Buena / Ona;34;Buena / Ona;4;14;Muy buena / Oso ona;1,28;313;85;1014,7;39,7;11,6;0,2;Buena / Ona
19/03/2017;1,14;0,56;2;11;18;Muy buena / Oso ona;14;63;81;Buena / Ona;24;Muy buena / Oso ona;3;8;Muy buena / Oso ona;0,99;295;90;1018,2;133,5;10,7;0,4;Buena / Ona
18/03/2017;1,06;0,54;2;16;43;Muy buena / Oso ona;19;63;74;Buena / Ona;26;Buena / Ona;3;5;Muy buena / Oso ona;0,98;331;85;1021,7;86,9;11,9;0,4;Buena / Ona
17/03/2017;0,99;0,69;2;18;31;Muy buena / Oso ona;21;61;82;Buena / Ona;40;Buena / Ona;3;7;Muy buena / Oso ona;1,15;320;91;1020,8;85,6;11,9;0,8;Buena / Ona
16/03/2017;1,76;3,04;6;28;54;Buena / Ona;36;64;85;Buena / Ona;34;Buena / Ona;4;12;Muy buena / Oso ona;4,19;157;62;1016;209,1;17,3;2,1;Buena / Ona
15/03/2017;1,03;0,83;3;17;36;Muy buena / Oso ona;20;56;79;Buena / Ona;37;Buena / Ona;3;7;Muy buena / Oso ona;1,71;291;93;1024,3;198,3;12,6;0,4;Buena / Ona
14/03/2017;0,68;0,29;2;15;43;Muy buena / Oso ona;18;62;80;Buena / Ona;36;Buena / Ona;2;3;Muy buena / Oso ona;0,48;334;95;1029,7;114,9;12,8;1;Buena / Ona
13/03/2017;0,76;0,23;1;8;13;Muy buena / Oso ona;10;81;91;Buena / Ona;31;Buena / Ona;2;3;Muy buena / Oso ona;0,44;335;91;1025,7;16,3;11,2;4,5;Buena / Ona
12/03/2017;0,78;0,3;1;5;9;Muy buena / Oso ona;7;85;89;Buena / Ona;21;Muy buena / Oso ona;3;4;Muy buena / Oso ona;0,33;322;84;1017,9;56,5;12,2;3,8;Buena / Ona
11/03/2017;1,19;1,27;3;19;52;Buena / Ona;23;66;90;Buena / Ona;38;Buena / Ona;4;9;Muy buena / Oso ona;1,79;310;76;1013,9;133,9;15,5;1,7;Buena / Ona
10/03/2017;0,95;1,76;13;34;78;Buena / Ona;53;28;38;Muy buena / Oso ona;41;Buena / Ona;3;12;Muy buena / Oso ona;2,47;286;85;1016,7;189,5;14,3;0,8;Buena / Ona
09/03/2017;1,42;1,58;5;23;41;Muy buena / Oso ona;30;42;65;Buena / Ona;37;Buena / Ona;3;9;Muy buena / Oso ona;2,38;332;91;1022,6;179,2;13,1;0,7;Buena / Ona
08/03/2017;1,58;1,23;3;17;41;Muy buena / Oso ona;22;54;68;Buena / Ona;25;Muy buena / Oso ona;3;9;Muy buena / Oso ona;2,34;348;89;1024,7;136,6;14,1;0,7;Buena / Ona
07/03/2017;0,83;0,34;1;9;20;Muy buena / Oso ona;11;65;85;Buena / Ona;27;Buena / Ona;2;4;Muy buena / Oso ona;0,63;303;87;1023,3;52,6;13,5;1,2;Buena / Ona
06/03/2017;0,77;0,51;1;8;21;Muy buena / Oso ona;10;78;90;Buena / Ona;31;Buena / Ona;2;3;Muy buena / Oso ona;0,86;300;77;1018,6;33,6;14,6;1,6;Buena / Ona
05/03/2017;1,24;2,17;1;12;37;Muy buena / Oso ona;14;68;74;Buena / Ona;27;Buena / Ona;4;5;Muy buena / Oso ona;3,18;185;77;1009,8;81,8;13,5;1,2;Buena / Ona
04/03/2017;0,95;0,69;1;8;25;Muy buena / Oso ona;10;77;88;Buena / Ona;13;Muy buena / Oso ona;4;4;Muy buena / Oso ona;1,33;250;63;1001,5;150,4;9,8;1;Buena / Ona
03/03/2017;1,15;1,41;2;11;30;Muy buena / Oso ona;14;78;89;Buena / Ona;18;Muy buena / Oso ona;4;5;Muy buena / Oso ona;1,71;188;65;997,6;56,6;14;1,6;Buena / Ona
02/03/2017;1,48;1,89;10;23;56;Buena / Ona;38;47;65;Buena / Ona;28;Buena / Ona;4;11;Muy buena / Oso ona;3,16;192;77;1011,9;127,9;13,8;1,1;Buena / Ona
01/03/2017;1,47;1,5;2;13;32;Muy buena / Oso ona;16;62;73;Buena / Ona;24;Muy buena / Oso ona;4;9;Muy buena / Oso ona;2,28;175;74;1013,1;163,6;12;2,1;Buena / Ona
28/02/2017;0,98;0,55;1;8;15;Muy buena / Oso ona;10;74;87;Buena / Ona;16;Muy buena / Oso ona;4;8;Muy buena / Oso ona;0,96;256;82;1008,4;35,5;10,6;1;Buena / Ona
27/02/2017;1,4;1,08;1;11;23;Muy buena / Oso ona;13;69;82;Buena / Ona;24;Muy buena / Oso ona;7;10;Muy buena / Oso ona;1,93;178;69;1006,8;144,6;14,3;2,3;Buena / Ona
26/02/2017;0,93;1,15;3;19;52;Buena / Ona;23;50;76;Buena / Ona;25;Muy buena / Oso ona;4;15;Muy buena / Oso ona;1,58;255;85;1016;152,4;12;0,5;Buena / Ona
25/02/2017;1,93;3,95;7;28;48;Muy buena / Oso ona;39;43;64;Buena / Ona;32;Buena / Ona;5;18;Muy buena / Oso ona;5,5;125;79;1016,5;155,5;10;0,5;Buena / Ona
24/02/2017;0,79;0,46;2;16;36;Muy buena / Oso ona;19;66;77;Buena / Ona;20;Muy buena / Oso ona;3;9;Muy buena / Oso ona;0,89;291;93;1017,7;61,1;9,9;0,3;Buena / Ona
23/02/2017;1,28;0,73;3;23;37;Muy buena / Oso ona;27;40;56;Muy buena / Oso ona;47;Buena / Ona;4;17;Muy buena / Oso ona;1,64;306;90;1013,4;77;11,2;0,6;Buena / Ona
22/02/2017;1,46;1,65;6;21;39;Muy buena / Oso ona;30;42;65;Buena / Ona;31;Buena / Ona;4;19;Muy buena / Oso ona;2,84;280;96;1017,7;146,3;10,1;0,6;Buena / Ona
21/02/2017;;;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;253;89;1023;73,6;11;0,8;Muy buena / Oso ona
20/02/2017;1,03;0,9;2;17;54;Buena / Ona;20;56;82;Buena / Ona;25;Muy buena / Oso ona;3;7;Muy buena / Oso ona;1,73;288;89;1025,1;124,2;11;0,2;Buena / Ona
19/02/2017;1,02;0,45;1;12;31;Muy buena / Oso ona;14;73;86;Buena / Ona;27;Buena / Ona;2;8;Muy buena / Oso ona;0,69;298;94;1024,3;57,1;11,5;0,3;Buena / Ona
18/02/2017;1,1;0,6;2;15;24;Muy buena / Oso ona;18;58;86;Buena / Ona;25;Muy buena / Oso ona;3;8;Muy buena / Oso ona;1,58;258;89;1018,8;114;11;1;Buena / Ona
17/02/2017;1,37;1,92;4;23;44;Muy buena / Oso ona;29;52;62;Buena / Ona;31;Buena / Ona;3;9;Muy buena / Oso ona;3;217;78;1022,7;143,2;12,6;0,4;Buena / Ona
16/02/2017;1,28;1,94;2;18;55;Buena / Ona;21;61;69;Buena / Ona;25;Muy buena / Oso ona;3;7;Muy buena / Oso ona;3,16;169;66;1025,8;138,4;14,7;2,4;Buena / Ona
15/02/2017;1,5;2,75;2;12;21;Muy buena / Oso ona;15;66;69;Buena / Ona;18;Muy buena / Oso ona;2;7;Muy buena / Oso ona;4,08;153;54;1024,6;131,7;16;4,2;Buena / Ona
14/02/2017;1,39;1,98;1;10;15;Muy buena / Oso ona;12;70;79;Buena / Ona;12;Muy buena / Oso ona;3;7;Muy buena / Oso ona;3,01;166;56;1015,5;109,2;14,9;3,6;Buena / Ona
13/02/2017;1,38;2,12;4;21;32;Muy buena / Oso ona;28;62;68;Buena / Ona;28;Buena / Ona;4;21;Muy buena / Oso ona;3,33;147;65;1001,1;97,1;15,1;4,1;Buena / Ona
12/02/2017;3,78;5,19;4;20;33;Muy buena / Oso ona;26;52;66;Buena / Ona;32;Buena / Ona;4;14;Muy buena / Oso ona;7,83;137;77;1000,1;49;12,3;2,8;Buena / Ona
11/02/2017;2,87;2,7;3;20;43;Muy buena / Oso ona;25;39;53;Muy buena / Oso ona;29;Buena / Ona;4;6;Muy buena / Oso ona;4,94;235;94;1010,6;40,6;7,6;0,3;Buena / Ona
10/02/2017;1,21;1,69;2;18;33;Muy buena / Oso ona;22;58;69;Buena / Ona;19;Muy buena / Oso ona;3;7;Muy buena / Oso ona;2,54;168;53;1007,3;87,6;11,4;2,8;Buena / Ona
09/02/2017;1,37;2,5;7;23;62;Buena / Ona;34;52;68;Buena / Ona;16;Muy buena / Oso ona;3;8;Muy buena / Oso ona;4,43;166;67;1013,7;119,1;9,8;2;Buena / Ona
08/02/2017;0,66;0,35;1;9;18;Muy buena / Oso ona;11;78;91;Buena / Ona;19;Muy buena / Oso ona;2;5;Muy buena / Oso ona;0,94;316;81;1024,7;73,7;9;2,7;Buena / Ona
07/02/2017;1;1,43;2;13;38;Muy buena / Oso ona;15;68;87;Buena / Ona;16;Muy buena / Oso ona;2;6;Muy buena / Oso ona;2,22;293;87;1019,7;39;11,3;1;Buena / Ona
06/02/2017;1,34;6,82;26;39;84;Buena / Ona;79;36;86;Buena / Ona;21;Muy buena / Oso ona;3;7;Muy buena / Oso ona;8,59;208;92;1019,6;42,6;11,2;0,5;Buena / Ona
05/02/2017;0,77;0,44;1;5;10;Muy buena / Oso ona;6;87;91;Buena / Ona;17;Muy buena / Oso ona;3;6;Muy buena / Oso ona;0,75;276;75;1010,5;47,7;10,2;2,7;Buena / Ona
04/02/2017;1,17;3,81;2;21;59;Buena / Ona;24;57;86;Buena / Ona;19;Muy buena / Oso ona;4;6;Muy buena / Oso ona;3,46;285;89;1002,8;25,1;12,3;0,4;Buena / Ona
03/02/2017;0,78;1,1;1;9;22;Muy buena / Oso ona;11;83;86;Buena / Ona;17;Muy buena / Oso ona;3;6;Muy buena / Oso ona;1,76;180;48;1001,6;89,3;15,5;4,4;Buena / Ona
02/02/2017;1,16;1,3;2;13;36;Muy buena / Oso ona;15;74;79;Buena / Ona;15;Muy buena / Oso ona;3;7;Muy buena / Oso ona;2,36;172;57;1001,5;51,2;15,3;6,6;Buena / Ona
01/02/2017;1,19;1,69;2;13;25;Muy buena / Oso ona;16;63;67;Buena / Ona;17;Muy buena / Oso ona;3;7;Muy buena / Oso ona;2,94;171;51;1007,6;101,4;16,9;5,6;Buena / Ona
31/01/2017;1,07;3,4;2;14;26;Muy buena / Oso ona;17;58;69;Buena / Ona;14;Muy buena / Oso ona;3;9;Muy buena / Oso ona;3,29;169;52;1008,6;104,1;16,9;5,6;Buena / Ona
30/01/2017;1,13;2,43;2;14;39;Muy buena / Oso ona;17;51;60;Muy buena / Oso ona;13;Muy buena / Oso ona;3;17;Muy buena / Oso ona;3,37;171;66;1012,4;54,2;17,1;5,3;Muy buena / Oso ona
29/01/2017;1,37;2,14;1;7;10;Muy buena / Oso ona;9;66;73;Buena / Ona;12;Muy buena / Oso ona;2;11;Muy buena / Oso ona;3,44;172;64;1015,3;57,8;14,2;4,9;Buena / Ona
28/01/2017;1,32;1,39;2;13;52;Buena / Ona;15;63;82;Buena / Ona;16;Muy buena / Oso ona;2;6;Muy buena / Oso ona;2,26;235;72;1016,4;92,9;10;1,1;Buena / Ona
27/01/2017;1,47;2,59;2;14;22;Muy buena / Oso ona;17;69;69;Buena / Ona;20;Muy buena / Oso ona;3;7;Muy buena / Oso ona;7,76;167;61;1003,5;41,2;11,7;5,8;Buena / Ona
26/01/2017;2,3;4,86;4;25;64;Buena / Ona;30;54;70;Buena / Ona;39;Buena / Ona;4;9;Muy buena / Oso ona;10,97;160;60;1006;79;8,1;7,4;Buena / Ona
25/01/2017;2,21;4,16;3;23;45;Muy buena / Oso ona;28;42;67;Buena / Ona;21;Muy buena / Oso ona;2;5;Muy buena / Oso ona;3,72;214;83;1018,8;104,9;4,1;1,9;Buena / Ona
24/01/2017;;;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;27;Buena / Ona;;;Sin datos / Daturik gabe;;260;89;1023,3;81;6,7;1,1;Buena / Ona
23/01/2017;1,08;0,26;1;12;19;Muy buena / Oso ona;14;71;78;Buena / Ona;22;Muy buena / Oso ona;2;6;Muy buena / Oso ona;0,58;337;84;1020,2;56,7;9,5;1,1;Buena / Ona
22/01/2017;1,63;1,16;2;15;32;Muy buena / Oso ona;18;48;68;Buena / Ona;29;Buena / Ona;3;7;Muy buena / Oso ona;3,02;289;92;1018,2;62,4;8,1;0,7;Buena / Ona
21/01/2017;1,81;1,21;5;28;53;Buena / Ona;36;29;40;Muy buena / Oso ona;36;Buena / Ona;4;9;Muy buena / Oso ona;2,31;275;89;1017,7;83,3;6,6;1,3;Buena / Ona
20/01/2017;2,17;1,69;7;28;50;Muy buena / Oso ona;39;25;35;Muy buena / Oso ona;34;Buena / Ona;4;9;Muy buena / Oso ona;2,85;259;88;1019,9;89,2;3,3;1,1;Buena / Ona
19/01/2017;5,21;4,76;8;40;60;Buena / Ona;52;19;44;Muy buena / Oso ona;36;Buena / Ona;3;6;Muy buena / Oso ona;8,22;156;84;1021,9;20,2;3,8;0,6;Buena / Ona
18/01/2017;2,2;0,92;2;18;34;Muy buena / Oso ona;22;49;71;Buena / Ona;24;Muy buena / Oso ona;1;5;Muy buena / Oso ona;2,06;63;72;1022,9;7,4;4,3;0,4;Buena / Ona
17/01/2017;1,16;0,34;2;12;29;Muy buena / Oso ona;15;65;71;Buena / Ona;13;Muy buena / Oso ona;1;13;Muy buena / Oso ona;0,65;63;64;1024,3;73,5;7;0,5;Buena / Ona
16/01/2017;0,64;0,18;1;6;9;Muy buena / Oso ona;7;79;88;Buena / Ona;16;Muy buena / Oso ona;1;5;Muy buena / Oso ona;0,28;1;95;1023,3;19,1;11,2;5,7;Buena / Ona
15/01/2017;0,59;0,16;1;5;7;Muy buena / Oso ona;6;82;86;Buena / Ona;17;Muy buena / Oso ona;1;5;Muy buena / Oso ona;0,26;357;87;1026,3;26,8;10,4;3,7;Buena / Ona
14/01/2017;0,62;0,17;1;6;10;Muy buena / Oso ona;7;77;81;Buena / Ona;14;Muy buena / Oso ona;1;4;Muy buena / Oso ona;0,36;325;86;1025,1;41,9;8;1,3;Buena / Ona
13/01/2017;0,59;0,24;1;6;9;Muy buena / Oso ona;8;80;85;Buena / Ona;22;Muy buena / Oso ona;1;5;Muy buena / Oso ona;0,41;345;79;1020,7;44,8;8,8;2,9;Buena / Ona
12/01/2017;0,71;0,42;3;11;21;Muy buena / Oso ona;16;44;65;Buena / Ona;19;Muy buena / Oso ona;2;6;Muy buena / Oso ona;0,78;328;90;1017,9;42,8;12,2;1;Buena / Ona
11/01/2017;0,53;0,18;3;10;26;Muy buena / Oso ona;15;64;81;Buena / Ona;9;Muy buena / Oso ona;1;5;Muy buena / Oso ona;0,33;359;97;1021,2;16,9;13;2,2;Buena / Ona
10/01/2017;0,73;0,49;1;8;14;Muy buena / Oso ona;9;71;80;Buena / Ona;16;Muy buena / Oso ona;2;5;Muy buena / Oso ona;0,86;355;97;1017,6;6,1;11;3,8;Buena / Ona
