Date;Benceno (µg/m3);M-P-XILENO (µg/m3);Tolueno (µg/m3);D.vien (grados);V.vien (m/s);ICA Estación
28/10/2017;0,79;1,1;1,21;8;0,27;
27/10/2017;1,99;4,29;4,97;349;0,58;
26/10/2017;2,01;3,53;4,3;14;0,2;
25/10/2017;3,29;8,24;9,09;104;0,28;
24/10/2017;2,16;6,22;7,17;101;0,72;
23/10/2017;1,02;3,2;4,58;78;0,14;
22/10/2017;0,52;0,35;0,55;247;0,69;
21/10/2017;0,68;0,89;1,04;278;1,62;
20/10/2017;1,22;4,66;4,55;199;1,01;
19/10/2017;0,68;1,24;1,28;198;0,68;
18/10/2017;1,08;1,76;1,84;218;0,32;
17/10/2017;0,91;1,26;2,15;163;1;
16/10/2017;0,67;1,47;1,14;212;1,42;
15/10/2017;0,45;0,53;0,46;181;2,68;
14/10/2017;1,71;3,17;2,99;154;0,5;
13/10/2017;2,42;2,45;3,12;1;0,4;
12/10/2017;1,63;2,69;4,09;46;0,21;
11/10/2017;1,12;2,42;2,91;287;0,25;
10/10/2017;1,19;3,73;5,87;69;0,18;
09/10/2017;1,62;3,07;4,57;67;0,24;
08/10/2017
07/10/2017;1,15;1,27;2,46;89;0,35;
06/10/2017;0,71;1,14;1,31;342;0,33;
05/10/2017;0,7;6,01;4,69;342;0,45;
04/10/2017;0,93;3,17;4,95;58;0,07;
03/10/2017;1,54;2,82;3,62;342;0,22;
02/10/2017;0,96;2,05;3,05;174;0,2;
01/10/2017;0,65;0,85;1,13;255;0,51;
30/09/2017;0,87;1,61;1,67;13;0,36;
29/09/2017;1,88;7,72;6,67;335;0,68;
28/09/2017;1,18;7,85;7,43;145;0,38;
27/09/2017;1,16;5,59;4,95;143;0,37;
26/09/2017;0,71;2,06;3,65;57;0,19;
25/09/2017;0,98;1,34;2,34;279;0,45;
24/09/2017;1,88;2,05;2,75;323;0,7;
23/09/2017;1,15;1,7;2,34;172;0,87;
22/09/2017;1;2,78;2,86;15;0,28;
21/09/2017;1,69;5,74;6,83;340;0,74;
20/09/2017;1,46;4,88;6,4;78;0,29;
19/09/2017;1,01;1,35;1,88;4;0,26;
18/09/2017;0,9;1,18;1,9;160;0,17;
17/09/2017;0,63;0,47;0,75;271;0,91;
16/09/2017;0,44;0,29;0,76;240;0,75;
15/09/2017;0,6;0,43;0,78;261;0,67;
14/09/2017;1,04;1,3;1,81;306;1,27;
13/09/2017;1,51;2,1;3;335;0,66;
12/09/2017;0,76;0,87;1,24;258;0,63;
11/09/2017;0,83;1,45;2,43;276;1,88;
10/09/2017;0,61;0,34;1,22;268;1,28;
09/09/2017;0,66;0,55;1,55;271;2,1;
08/09/2017;0,96;1,1;1,7;300;0,51;
07/09/2017;1,16;1,44;1,59;332;0,43;
06/09/2017;1,17;1,65;1,59;330;0,5;
05/09/2017;1,68;2,65;3,74;337;0,63;
04/09/2017;1,06;1,56;2,07;324;0,58;
03/09/2017;1,17;1,66;2,09;352;0,24;
02/09/2017;0,77;0,6;0,76;347;0,34;
01/09/2017;0,68;0,87;0,88;274;0,88;
31/08/2017;0,73;0,94;0,99;333;0,35;
30/08/2017;1,59;3,59;2,84;319;1,03;
29/08/2017;1,1;4,16;2,8;136;0,23;
28/08/2017;0,56;1,2;1,44;184;1;
27/08/2017;0,94;1,68;1,9;158;0,68;
26/08/2017;0,79;1,31;1,26;358;0,34;
25/08/2017;0,55;1,06;0,84;24;0,44;
24/08/2017;1,04;1,57;1,37;332;0,77;
23/08/2017;0,66;0,79;0,88;27;0,42;
22/08/2017;1,4;2,21;2,12;332;1,36;
21/08/2017;1,2;3,41;3,08;86;0,36;
20/08/2017;0,45;1,01;1,13;48;0,48;
19/08/2017;0,51;0,82;0,8;22;0,54;
18/08/2017;0,79;1,46;1,55;338;0,52;
17/08/2017;1,52;2,94;2,9;329;0,78;
16/08/2017;1,33;1,51;1,62;333;0,57;
15/08/2017;0,84;0,86;0,92;332;0,52;
14/08/2017;0,89;1,15;1,58;172;0,45;
13/08/2017;0,79;1,24;1,96;27;0,54;
