Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
05/05/2017;0,29;;Sin datos / Daturik gabe;20;49;76;Buena / Ona;80;49;71;Buena / Ona;22;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
04/05/2017;0,2;0,25;Muy buena / Oso ona;14;42;67;Buena / Ona;63;48;66;Buena / Ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
03/05/2017;0,24;0,28;Muy buena / Oso ona;16;40;51;Buena / Ona;64;41;63;Buena / Ona;22;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
02/05/2017;0,25;0,38;Muy buena / Oso ona;31;48;76;Buena / Ona;95;33;58;Muy buena / Oso ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
01/05/2017;0,21;0,25;Muy buena / Oso ona;8;38;64;Buena / Ona;50;42;80;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
30/04/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;38;72;95;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
29/04/2017;0,18;0,25;Muy buena / Oso ona;12;34;55;Buena / Ona;50;52;81;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
28/04/2017;0,26;0,33;Muy buena / Oso ona;28;52;74;Buena / Ona;95;33;72;Buena / Ona;18;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
27/04/2017;0,25;0,34;Muy buena / Oso ona;22;52;74;Buena / Ona;86;35;70;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
26/04/2017;0,24;0,31;Muy buena / Oso ona;17;60;83;Buena / Ona;72;49;76;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
25/04/2017;0,29;0,37;Muy buena / Oso ona;18;58;94;Buena / Ona;85;35;57;Muy buena / Oso ona;18;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
24/04/2017;0,27;;Sin datos / Daturik gabe;22;53;75;Buena / Ona;86;41;;Sin datos / Daturik gabe;25;Muy buena / Oso ona;15;Muy buena / Oso ona;Buena / Ona
23/04/2017;0,31;0,41;Muy buena / Oso ona;10;56;96;Buena / Ona;71;50;106;Mejorable / Hobetzeko modukoa;25;Muy buena / Oso ona;21;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
22/04/2017;0,24;0,29;Muy buena / Oso ona;7;51;79;Buena / Ona;61;69;109;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;15;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
21/04/2017;0,28;0,38;Muy buena / Oso ona;27;59;105;Mejorable / Hobetzeko modukoa;99;48;103;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;7;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
20/04/2017;0,2;0,26;Muy buena / Oso ona;19;47;78;Buena / Ona;65;60;90;Buena / Ona;17;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
19/04/2017;;;Sin datos / Daturik gabe;7;36;69;Buena / Ona;41;80;94;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/04/2017;0,31;0,36;Muy buena / Oso ona;24;46;71;Buena / Ona;78;46;80;Buena / Ona;22;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
17/04/2017;0,18;0,25;Muy buena / Oso ona;12;28;45;Muy buena / Oso ona;45;50;81;Buena / Ona;19;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
16/04/2017;0,17;;Sin datos / Daturik gabe;7;27;61;Buena / Ona;34;54;81;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
15/04/2017;0,19;0,22;Muy buena / Oso ona;7;32;54;Buena / Ona;40;58;84;Buena / Ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
14/04/2017;0,24;0,35;Muy buena / Oso ona;7;40;65;Buena / Ona;47;59;82;Buena / Ona;22;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
13/04/2017;0,24;0,31;Muy buena / Oso ona;12;38;60;Buena / Ona;55;58;100;Buena / Ona;20;Muy buena / Oso ona;10;Muy buena / Oso ona;Buena / Ona
12/04/2017;0,31;0,43;Muy buena / Oso ona;23;50;67;Buena / Ona;82;45;76;Buena / Ona;24;Muy buena / Oso ona;13;Muy buena / Oso ona;Buena / Ona
11/04/2017;0,24;0,27;Muy buena / Oso ona;10;44;78;Buena / Ona;49;74;91;Buena / Ona;23;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
10/04/2017;0,22;0,26;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;52;59;77;Buena / Ona;40;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
09/04/2017;0,23;0,27;Muy buena / Oso ona;12;48;71;Buena / Ona;61;56;101;Mejorable / Hobetzeko modukoa;33;Buena / Ona;12;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
08/04/2017;0,27;0,34;Muy buena / Oso ona;24;67;126;Mejorable / Hobetzeko modukoa;104;43;95;Buena / Ona;28;Buena / Ona;10;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
07/04/2017;0,28;0,6;Muy buena / Oso ona;26;57;96;Buena / Ona;89;34;73;Buena / Ona;29;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
06/04/2017;0,33;0,55;Muy buena / Oso ona;15;46;83;Buena / Ona;58;57;79;Buena / Ona;23;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
05/04/2017;0,21;0,26;Muy buena / Oso ona;18;53;80;Buena / Ona;68;53;75;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
04/04/2017;0,23;0,27;Muy buena / Oso ona;19;49;83;Buena / Ona;64;53;66;Buena / Ona;15;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
03/04/2017;0,26;0,36;Muy buena / Oso ona;27;45;60;Buena / Ona;84;38;68;Buena / Ona;21;Muy buena / Oso ona;18;Muy buena / Oso ona;Buena / Ona
02/04/2017;0,17;0,21;Muy buena / Oso ona;8;38;73;Buena / Ona;39;67;87;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
01/04/2017;0,14;0,19;Muy buena / Oso ona;6;30;62;Buena / Ona;37;67;79;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
31/03/2017;0,27;0,38;Muy buena / Oso ona;20;51;135;Mejorable / Hobetzeko modukoa;81;54;77;Buena / Ona;18;Muy buena / Oso ona;6;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
30/03/2017;0,27;0,41;Muy buena / Oso ona;31;59;122;Mejorable / Hobetzeko modukoa;106;47;80;Buena / Ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
29/03/2017;0,36;0,43;Muy buena / Oso ona;52;76;138;Mejorable / Hobetzeko modukoa;156;25;62;Buena / Ona;26;Buena / Ona;14;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
28/03/2017;0,26;0,39;Muy buena / Oso ona;27;60;113;Mejorable / Hobetzeko modukoa;101;42;68;Buena / Ona;18;Muy buena / Oso ona;8;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
27/03/2017;0,18;0,2;Muy buena / Oso ona;9;40;97;Buena / Ona;53;67;94;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
26/03/2017;;;Sin datos / Daturik gabe;2;15;56;Buena / Ona;19;73;77;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
25/03/2017;0,2;0,21;Muy buena / Oso ona;10;47;78;Buena / Ona;61;47;56;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
24/03/2017;0,23;0,31;Muy buena / Oso ona;31;52;83;Buena / Ona;100;38;67;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
23/03/2017;;;Sin datos / Daturik gabe;19;48;96;Buena / Ona;76;44;71;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
22/03/2017;;;Sin datos / Daturik gabe;12;47;86;Buena / Ona;66;44;52;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
21/03/2017;0,18;0,21;Muy buena / Oso ona;18;68;102;Mejorable / Hobetzeko modukoa;94;30;52;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
20/03/2017;0,2;0,24;Muy buena / Oso ona;12;50;96;Buena / Ona;68;42;69;Buena / Ona;24;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
19/03/2017;0,19;0,23;Muy buena / Oso ona;6;33;51;Buena / Ona;41;47;72;Buena / Ona;18;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
18/03/2017;0,19;0,3;Muy buena / Oso ona;9;47;83;Buena / Ona;60;47;61;Buena / Ona;17;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
17/03/2017;0,32;0,41;Muy buena / Oso ona;15;49;74;Buena / Ona;72;48;57;Muy buena / Oso ona;26;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
16/03/2017;0,3;0,37;Muy buena / Oso ona;20;57;111;Mejorable / Hobetzeko modukoa;88;24;;Sin datos / Daturik gabe;22;Muy buena / Oso ona;4;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
15/03/2017;;;Sin datos / Daturik gabe;17;51;92;Buena / Ona;76;37;60;Muy buena / Oso ona;29;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
14/03/2017;0,24;0,28;Muy buena / Oso ona;11;45;75;Buena / Ona;61;41;67;Buena / Ona;26;Buena / Ona;;Sin datos / Daturik gabe;Buena / Ona
13/03/2017;0,23;;Sin datos / Daturik gabe;7;39;80;Buena / Ona;50;54;87;Buena / Ona;26;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
12/03/2017;;;Sin datos / Daturik gabe;1;16;37;Muy buena / Oso ona;17;74;79;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
11/03/2017;;;Sin datos / Daturik gabe;23;44;70;Buena / Ona;79;42;72;Buena / Ona;30;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
10/03/2017;0,42;0,54;Muy buena / Oso ona;100;73;129;Mejorable / Hobetzeko modukoa;226;8;17;Muy buena / Oso ona;42;Buena / Ona;12;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
09/03/2017;;;Sin datos / Daturik gabe;16;46;89;Buena / Ona;70;24;41;Muy buena / Oso ona;28;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
08/03/2017;0,24;0,39;Muy buena / Oso ona;16;35;64;Buena / Ona;60;40;52;Muy buena / Oso ona;18;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
07/03/2017;0,28;0,38;Muy buena / Oso ona;29;53;80;Buena / Ona;97;25;39;Muy buena / Oso ona;31;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
06/03/2017;0,25;0,36;Muy buena / Oso ona;15;47;97;Buena / Ona;70;46;57;Muy buena / Oso ona;25;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
05/03/2017;0,24;0,38;Muy buena / Oso ona;4;31;69;Buena / Ona;37;52;75;Buena / Ona;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
