Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
16/01/2017;0,17;0,2;Muy buena / Oso ona;7;35;73;Buena / Ona;45;54;81;Buena / Ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
15/01/2017;0,15;0,18;Muy buena / Oso ona;2;30;57;Buena / Ona;33;59;65;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
14/01/2017;;;Sin datos / Daturik gabe;18;48;87;Buena / Ona;75;41;58;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
13/01/2017;;;Sin datos / Daturik gabe;15;42;88;Buena / Ona;64;50;80;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
12/01/2017;0,36;0,5;Muy buena / Oso ona;56;49;84;Buena / Ona;134;18;34;Muy buena / Oso ona;23;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
11/01/2017;;;Sin datos / Daturik gabe;23;53;87;Buena / Ona;87;30;68;Buena / Ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
10/01/2017;;;Sin datos / Daturik gabe;19;51;77;Buena / Ona;80;32;52;Muy buena / Oso ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
09/01/2017;0,37;;Sin datos / Daturik gabe;97;65;105;Mejorable / Hobetzeko modukoa;213;8;18;Muy buena / Oso ona;24;Muy buena / Oso ona;6;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
08/01/2017;0,35;0,48;Muy buena / Oso ona;74;62;90;Buena / Ona;175;7;13;Muy buena / Oso ona;27;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
07/01/2017;0,4;0,47;Muy buena / Oso ona;98;60;95;Buena / Ona;210;6;10;Muy buena / Oso ona;31;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
06/01/2017;0,37;0,43;Muy buena / Oso ona;59;50;74;Buena / Ona;140;11;24;Muy buena / Oso ona;28;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
05/01/2017;0,34;0,45;Muy buena / Oso ona;72;58;95;Buena / Ona;168;11;27;Muy buena / Oso ona;34;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
04/01/2017;0,46;0,64;Muy buena / Oso ona;134;52;81;Buena / Ona;257;5;8;Muy buena / Oso ona;39;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
03/01/2017;0,51;0,66;Muy buena / Oso ona;122;55;88;Buena / Ona;241;5;7;Muy buena / Oso ona;35;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
02/01/2017;0,33;;Sin datos / Daturik gabe;49;48;68;Buena / Ona;123;15;30;Muy buena / Oso ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
01/01/2017;0,26;0,37;Muy buena / Oso ona;40;42;61;Buena / Ona;103;8;15;Muy buena / Oso ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
