Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
28/10/2017;;;;Sin datos / Daturik gabe;29;39;62;Buena / Ona;17;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
27/10/2017;;;;Sin datos / Daturik gabe;78;29;54;Muy buena / Oso ona;28;Buena / Ona;17;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
26/10/2017;22;46;81;Buena / Ona;80;26;58;Muy buena / Oso ona;29;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
25/10/2017;52;60;93;Buena / Ona;139;7;14;Muy buena / Oso ona;43;Buena / Ona;24;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
24/10/2017;29;53;80;Buena / Ona;98;11;25;Muy buena / Oso ona;25;Muy buena / Oso ona;14;Muy buena / Oso ona;12;Muy buena / Oso ona;Buena / Ona
23/10/2017;19;38;77;Buena / Ona;68;17;41;Muy buena / Oso ona;21;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
22/10/2017;;;;Sin datos / Daturik gabe;22;42;57;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
21/10/2017;;;;Sin datos / Daturik gabe;15;56;65;Buena / Ona;18;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
20/10/2017;23;42;84;Buena / Ona;69;26;38;Muy buena / Oso ona;20;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
19/10/2017;11;37;69;Buena / Ona;49;25;44;Muy buena / Oso ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
18/10/2017;18;49;71;Buena / Ona;74;15;35;Muy buena / Oso ona;30;Buena / Ona;21;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
17/10/2017;6;33;71;Buena / Ona;40;35;56;Muy buena / Oso ona;39;Buena / Ona;21;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
16/10/2017;;;;Sin datos / Daturik gabe;19;57;71;Buena / Ona;30;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
15/10/2017;;;;Sin datos / Daturik gabe;20;51;61;Buena / Ona;26;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
14/10/2017;;;;Sin datos / Daturik gabe;29;48;73;Buena / Ona;35;Buena / Ona;20;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
13/10/2017;;;;Sin datos / Daturik gabe;60;32;63;Buena / Ona;43;Buena / Ona;24;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
12/10/2017;8;34;68;Buena / Ona;47;21;51;Muy buena / Oso ona;28;Buena / Ona;17;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
11/10/2017;15;37;63;Buena / Ona;52;34;68;Buena / Ona;24;Muy buena / Oso ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
10/10/2017;28;38;71;Buena / Ona;80;13;43;Muy buena / Oso ona;25;Muy buena / Oso ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
09/10/2017;21;36;61;Buena / Ona;68;18;45;Muy buena / Oso ona;24;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
