Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;CH4 (mg/m3);HCNM (mg/m3 HEX);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;3;17;;Sin datos / Daturik gabe;22;45;62;Buena / Ona;16;Muy buena / Oso ona;;;;;360;87;1022,1;15,6;0,21;Buena / Ona
27/10/2017;9;21;35;Muy buena / Oso ona;34;33;55;Muy buena / Oso ona;21;Muy buena / Oso ona;;;;;169;90;1023,6;14,4;0,45;Muy buena / Oso ona
26/10/2017;12;35;57;Buena / Ona;53;32;60;Muy buena / Oso ona;27;Buena / Ona;;;;;185;76;1017,7;16,7;0,76;Buena / Ona
25/10/2017;22;47;82;Buena / Ona;80;12;21;Muy buena / Oso ona;26;Buena / Ona;;;;;173;78;1013,4;15,5;0,75;Buena / Ona
24/10/2017;15;43;79;Buena / Ona;65;16;25;Muy buena / Oso ona;21;Muy buena / Oso ona;;;;;171;73;1014,4;15,4;1,65;Buena / Ona
23/10/2017;9;26;54;Buena / Ona;40;25;42;Muy buena / Oso ona;14;Muy buena / Oso ona;;;;;176;81;1018,4;12,7;1,65;Buena / Ona
22/10/2017;3;9;17;Muy buena / Oso ona;13;54;66;Buena / Ona;13;Muy buena / Oso ona;;;;;200;84;1020,5;13,4;0,82;Buena / Ona
21/10/2017;3;7;14;Muy buena / Oso ona;11;61;68;Buena / Ona;18;Muy buena / Oso ona;;;;;340;75;1015,6;16,7;0,23;Buena / Ona
20/10/2017;10;25;59;Buena / Ona;40;35;43;Muy buena / Oso ona;13;Muy buena / Oso ona;;;;;197;67;1007,1;19,6;0,77;Buena / Ona
19/10/2017;5;16;43;Muy buena / Oso ona;24;38;52;Muy buena / Oso ona;9;Muy buena / Oso ona;;;;;191;76;1003;16,2;1,67;Muy buena / Oso ona
18/10/2017;6;24;49;Muy buena / Oso ona;33;23;39;Muy buena / Oso ona;18;Muy buena / Oso ona;;;;;203;92;1002,2;14,5;0,73;Muy buena / Oso ona
17/10/2017;5;26;50;Muy buena / Oso ona;34;31;54;Muy buena / Oso ona;36;Buena / Ona;;;;;182;77;1007,3;19,6;0,66;Buena / Ona
16/10/2017;3;11;18;Muy buena / Oso ona;16;62;71;Buena / Ona;34;Buena / Ona;;;;;219;71;1012,6;21,6;0,53;Buena / Ona
15/10/2017;3;12;38;Muy buena / Oso ona;17;57;67;Buena / Ona;28;Buena / Ona;;;;;203;60;1011,8;24,6;1,45;Buena / Ona
14/10/2017;4;16;26;Muy buena / Oso ona;21;53;77;Buena / Ona;35;Buena / Ona;;;;;195;71;1013,5;22,5;0,97;Buena / Ona
13/10/2017;8;28;71;Buena / Ona;41;34;53;Muy buena / Oso ona;39;Buena / Ona;;;;;144;83;1015,3;17,9;0,39;Buena / Ona
12/10/2017;4;23;42;Muy buena / Oso ona;30;26;46;Muy buena / Oso ona;25;Muy buena / Oso ona;;;;;175;86;1015,7;16,5;1,18;Muy buena / Oso ona
11/10/2017;4;22;36;Muy buena / Oso ona;28;39;59;Muy buena / Oso ona;23;Muy buena / Oso ona;;;;;169;77;1012,4;17,1;0,88;Muy buena / Oso ona
10/10/2017;8;26;50;Muy buena / Oso ona;39;19;35;Muy buena / Oso ona;17;Muy buena / Oso ona;;;;;173;88;1012,1;14,5;1,15;Muy buena / Oso ona
09/10/2017;7;23;37;Muy buena / Oso ona;34;28;52;Muy buena / Oso ona;14;Muy buena / Oso ona;;;;;174;82;1013,7;13,3;0,95;Muy buena / Oso ona
08/10/2017;4;18;44;Muy buena / Oso ona;23;34;66;Buena / Ona;18;Muy buena / Oso ona;;;;;172;84;1014,5;13;0,94;Buena / Ona
07/10/2017;4;15;29;Muy buena / Oso ona;20;33;63;Buena / Ona;14;Muy buena / Oso ona;;;;;181;85;1016,1;13,7;0,68;Buena / Ona
06/10/2017;3;15;29;Muy buena / Oso ona;19;37;;Sin datos / Daturik gabe;17;Muy buena / Oso ona;;;;;358;92;1017,7;16;0,24;Muy buena / Oso ona
05/10/2017;7;20;38;Muy buena / Oso ona;30;31;57;Muy buena / Oso ona;21;Muy buena / Oso ona;;;;;360;95;1015,9;18,5;0,39;Muy buena / Oso ona
04/10/2017;12;23;39;Muy buena / Oso ona;42;11;23;Muy buena / Oso ona;22;Muy buena / Oso ona;;;;;38;90;1014,3;19,4;0,11;Muy buena / Oso ona
03/10/2017;16;16;27;Muy buena / Oso ona;40;9;19;Muy buena / Oso ona;18;Muy buena / Oso ona;;;;;8;95;1015,1;18,9;0,29;Muy buena / Oso ona
02/10/2017;15;24;47;Muy buena / Oso ona;47;6;12;Muy buena / Oso ona;17;Muy buena / Oso ona;;;;;197;98;1016,3;18,7;0,19;Muy buena / Oso ona
01/10/2017;7;13;29;Muy buena / Oso ona;24;16;27;Muy buena / Oso ona;15;Muy buena / Oso ona;;;;;194;96;1015;16,7;1,25;Muy buena / Oso ona
30/09/2017;2;11;17;Muy buena / Oso ona;15;44;62;Buena / Ona;10;Muy buena / Oso ona;;;;;351;96;1014;16,4;0,22;Buena / Ona
29/09/2017;9;22;56;Buena / Ona;35;38;71;Buena / Ona;26;Buena / Ona;;;;;39;86;1013;18,6;0,24;Buena / Ona
28/09/2017;6;33;89;Buena / Ona;42;38;66;Buena / Ona;25;Muy buena / Oso ona;;;;;182;77;1011,9;20,1;1;Buena / Ona
27/09/2017;5;25;48;Muy buena / Oso ona;32;37;57;Muy buena / Oso ona;16;Muy buena / Oso ona;;;;;176;76;1010,6;18,4;0,96;Muy buena / Oso ona
26/09/2017;5;17;29;Muy buena / Oso ona;24;30;58;Muy buena / Oso ona;13;Muy buena / Oso ona;;;;;179;87;1012,9;16,8;0,67;Muy buena / Oso ona
25/09/2017;5;19;42;Muy buena / Oso ona;27;32;66;Buena / Ona;15;Muy buena / Oso ona;;;;;166;91;1013,9;16,7;0,17;Buena / Ona
24/09/2017;4;17;40;Muy buena / Oso ona;24;49;71;Buena / Ona;23;Muy buena / Oso ona;;;;;99;85;1010,1;18,7;0,25;Buena / Ona
23/09/2017;2;15;37;Muy buena / Oso ona;19;50;82;Buena / Ona;17;Muy buena / Oso ona;;;;;199;78;1009,8;19,9;1,06;Buena / Ona
22/09/2017;3;20;33;Muy buena / Oso ona;25;34;47;Muy buena / Oso ona;12;Muy buena / Oso ona;;;;;14;94;1013,4;16,3;0,11;Muy buena / Oso ona
21/09/2017;8;21;47;Muy buena / Oso ona;33;35;69;Buena / Ona;20;Muy buena / Oso ona;;;;;151;87;1010;16,2;0,35;Buena / Ona
20/09/2017;8;28;48;Muy buena / Oso ona;41;25;47;Muy buena / Oso ona;18;Muy buena / Oso ona;;;;;172;79;1011,2;15,4;1,09;Muy buena / Oso ona
19/09/2017;4;17;31;Muy buena / Oso ona;23;38;69;Buena / Ona;11;Muy buena / Oso ona;;;;;171;86;1016,4;15,2;0,34;Buena / Ona
18/09/2017;4;19;31;Muy buena / Oso ona;25;27;45;Muy buena / Oso ona;10;Muy buena / Oso ona;;;;;185;95;1011,6;14,7;0,62;Muy buena / Oso ona
17/09/2017;2;8;16;Muy buena / Oso ona;11;46;67;Buena / Ona;9;Muy buena / Oso ona;;;;;193;79;1009,7;14,9;0,83;Buena / Ona
16/09/2017;2;9;18;Muy buena / Oso ona;12;45;57;Muy buena / Oso ona;6;Muy buena / Oso ona;;;;;198;86;1008,9;12,7;1,17;Muy buena / Oso ona
15/09/2017;3;11;23;Muy buena / Oso ona;16;37;49;Muy buena / Oso ona;11;Muy buena / Oso ona;;;;;200;90;1010,1;12,8;1,37;Muy buena / Oso ona
14/09/2017;2;12;22;Muy buena / Oso ona;16;45;64;Buena / Ona;19;Muy buena / Oso ona;;;;;352;83;1013,7;16,1;0,21;Buena / Ona
13/09/2017;6;19;41;Muy buena / Oso ona;28;25;45;Muy buena / Oso ona;14;Muy buena / Oso ona;;;;;166;85;1012,3;18,7;0,68;Muy buena / Oso ona
12/09/2017;3;13;34;Muy buena / Oso ona;17;45;64;Buena / Ona;10;Muy buena / Oso ona;;;;;207;87;1010,9;16,7;0,87;Buena / Ona
11/09/2017;2;8;16;Muy buena / Oso ona;11;52;64;Buena / Ona;17;Muy buena / Oso ona;;;;;13;86;1006,5;17,4;0,14;Buena / Ona
10/09/2017;2;6;16;Muy buena / Oso ona;9;57;67;Buena / Ona;13;Muy buena / Oso ona;;;;;212;80;1006;16,9;0,8;Buena / Ona
09/09/2017;2;5;10;Muy buena / Oso ona;9;58;66;Buena / Ona;12;Muy buena / Oso ona;;;;;221;83;1002,5;16,4;0,52;Buena / Ona
