Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
13/10/2017;13;17;33;Muy buena / Oso ona;35;36;79;Buena / Ona;30;Buena / Ona;34;81;1013,8;0;97;18,2;0,75;Buena / Ona
12/10/2017;5;14;28;Muy buena / Oso ona;22;27;66;Buena / Ona;22;Muy buena / Oso ona;41;81;1014,5;0;104,2;16,9;0,41;Buena / Ona
11/10/2017;22;23;48;Muy buena / Oso ona;52;24;62;Buena / Ona;23;Muy buena / Oso ona;26;80;1011,3;0;104,2;16,3;0,46;Buena / Ona
10/10/2017;9;19;36;Muy buena / Oso ona;31;22;49;Muy buena / Oso ona;18;Muy buena / Oso ona;60;85;1010,9;0;103,9;15,5;0,49;Muy buena / Oso ona
09/10/2017;15;17;32;Muy buena / Oso ona;38;25;59;Muy buena / Oso ona;14;Muy buena / Oso ona;39;81;1012,5;0;119,8;13,5;0,59;Muy buena / Oso ona
08/10/2017;3;11;25;Muy buena / Oso ona;15;32;71;Buena / Ona;12;Muy buena / Oso ona;59;82;1013,2;0;129;12,8;0,7;Buena / Ona
07/10/2017;4;11;20;Muy buena / Oso ona;16;35;68;Buena / Ona;12;Muy buena / Oso ona;62;81;1014,8;0;133,4;13,1;0,67;Buena / Ona
06/10/2017;6;16;30;Muy buena / Oso ona;21;43;74;Buena / Ona;12;Muy buena / Oso ona;45;86;1015,7;0;62,8;16,2;0,85;Buena / Ona
05/10/2017;;;;Sin datos / Daturik gabe;26;35;70;Buena / Ona;14;Muy buena / Oso ona;55;87;1014,1;0;54,3;19;0,83;Buena / Ona
04/10/2017;10;13;21;Muy buena / Oso ona;26;13;28;Muy buena / Oso ona;16;Muy buena / Oso ona;47;88;1012,8;0;138,7;19,4;0,9;Muy buena / Oso ona
03/10/2017;;;;Sin datos / Daturik gabe;25;16;30;Muy buena / Oso ona;12;Muy buena / Oso ona;62;87;1013,5;0;107,2;19,7;0,96;Muy buena / Oso ona
02/10/2017;18;23;36;Muy buena / Oso ona;43;12;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;81;93;1014,5;0;38,4;19,1;0,22;Muy buena / Oso ona
01/10/2017;5;14;23;Muy buena / Oso ona;22;11;26;Muy buena / Oso ona;11;Muy buena / Oso ona;214;94;1013,5;0;27;15,9;0,41;Muy buena / Oso ona
30/09/2017;;;;Sin datos / Daturik gabe;13;43;67;Buena / Ona;12;Muy buena / Oso ona;52;86;1012,3;0;58,4;16,7;0,67;Buena / Ona
29/09/2017;14;20;42;Muy buena / Oso ona;36;47;91;Buena / Ona;25;Muy buena / Oso ona;39;78;1011,1;0;152,7;19,3;0,77;Buena / Ona
28/09/2017;18;23;55;Buena / Ona;49;30;75;Buena / Ona;25;Muy buena / Oso ona;189;73;1010,8;0;158,2;20,6;0,61;Buena / Ona
27/09/2017;13;18;26;Muy buena / Oso ona;34;32;72;Buena / Ona;20;Muy buena / Oso ona;76;77;1009,4;0;175,4;18,2;0,43;Buena / Ona
26/09/2017;;;;Sin datos / Daturik gabe;22;32;63;Buena / Ona;11;Muy buena / Oso ona;48;83;1011,5;0;171;17,5;0,66;Buena / Ona
25/09/2017;;;;Sin datos / Daturik gabe;23;40;73;Buena / Ona;12;Muy buena / Oso ona;244;84;1011,9;0;85,3;18;0,67;Buena / Ona
24/09/2017;;;;Sin datos / Daturik gabe;14;51;85;Buena / Ona;20;Muy buena / Oso ona;21;78;1008,5;0;180,1;19,9;0,67;Buena / Ona
23/09/2017;4;14;29;Muy buena / Oso ona;20;38;87;Buena / Ona;18;Muy buena / Oso ona;156;73;1008,6;0;189,8;20;0,58;Buena / Ona
22/09/2017;11;17;27;Muy buena / Oso ona;30;25;55;Muy buena / Oso ona;17;Muy buena / Oso ona;48;84;1011,4;0;100,8;17,4;0,47;Muy buena / Oso ona
21/09/2017;12;15;25;Muy buena / Oso ona;32;39;81;Buena / Ona;21;Muy buena / Oso ona;46;80;1008,4;0;184,3;15,9;0,89;Buena / Ona
20/09/2017;8;17;30;Muy buena / Oso ona;25;27;62;Buena / Ona;15;Muy buena / Oso ona;76;79;1010,4;0;183,6;14,7;0,68;Buena / Ona
19/09/2017;6;14;24;Muy buena / Oso ona;20;39;74;Buena / Ona;10;Muy buena / Oso ona;31;82;1014,9;0;135,3;15;0,54;Buena / Ona
18/09/2017;;;;Sin datos / Daturik gabe;24;31;42;Muy buena / Oso ona;11;Muy buena / Oso ona;53;90;1009,9;0,1;64,2;15,2;0,09;Muy buena / Oso ona
17/09/2017;2;7;12;Muy buena / Oso ona;11;37;72;Buena / Ona;10;Muy buena / Oso ona;268;75;1008,3;0;162,3;15;0,44;Buena / Ona
16/09/2017;3;10;18;Muy buena / Oso ona;14;37;66;Buena / Ona;10;Muy buena / Oso ona;240;80;1007,1;0;140,9;12,9;0,9;Buena / Ona
15/09/2017;10;14;30;Muy buena / Oso ona;27;29;52;Muy buena / Oso ona;13;Muy buena / Oso ona;249;85;1008,1;0,1;122,3;13,4;0,96;Muy buena / Oso ona
14/09/2017;5;14;26;Muy buena / Oso ona;19;37;59;Muy buena / Oso ona;16;Muy buena / Oso ona;8;82;1011,9;0;83,2;16;0,33;Muy buena / Oso ona
13/09/2017;12;10;20;Muy buena / Oso ona;25;28;58;Muy buena / Oso ona;16;Muy buena / Oso ona;45;79;1010,9;0;228,6;19,2;0,8;Muy buena / Oso ona
12/09/2017;5;15;29;Muy buena / Oso ona;20;40;60;Muy buena / Oso ona;12;Muy buena / Oso ona;187;82;1009,3;0;157,9;17,2;0,13;Muy buena / Oso ona
11/09/2017;10;18;43;Muy buena / Oso ona;28;36;41;Muy buena / Oso ona;14;Muy buena / Oso ona;94;88;1004,6;0,1;62,9;17,2;0,16;Muy buena / Oso ona
10/09/2017;;;;Sin datos / Daturik gabe;9;53;67;Buena / Ona;12;Muy buena / Oso ona;253;81;1004,1;0,1;125,2;16,5;1,38;Buena / Ona
09/09/2017;;;;Sin datos / Daturik gabe;12;49;58;Muy buena / Oso ona;10;Muy buena / Oso ona;251;84;1000,5;0,3;119,1;16,2;1,02;Muy buena / Oso ona
08/09/2017;6;12;25;Muy buena / Oso ona;19;36;67;Buena / Ona;17;Muy buena / Oso ona;58;76;1005,2;0;218,5;17,2;0,66;Buena / Ona
07/09/2017;7;12;22;Muy buena / Oso ona;21;32;61;Buena / Ona;16;Muy buena / Oso ona;63;79;1012,2;0;103,7;17,7;0,59;Buena / Ona
06/09/2017;5;12;26;Muy buena / Oso ona;20;37;58;Muy buena / Oso ona;12;Muy buena / Oso ona;36;85;1016;0,1;80,1;18,5;0,67;Muy buena / Oso ona
05/09/2017;6;10;17;Muy buena / Oso ona;20;33;61;Buena / Ona;10;Muy buena / Oso ona;56;80;1012,9;0;185,2;20,2;1,07;Buena / Ona
04/09/2017;10;13;22;Muy buena / Oso ona;27;25;50;Muy buena / Oso ona;10;Muy buena / Oso ona;70;84;1007,5;0;125;20;0,26;Muy buena / Oso ona
03/09/2017;4;9;16;Muy buena / Oso ona;15;41;78;Buena / Ona;11;Muy buena / Oso ona;68;73;1005,5;0;183,7;19,2;0,4;Buena / Ona
02/09/2017;4;8;13;Muy buena / Oso ona;14;44;74;Buena / Ona;9;Muy buena / Oso ona;58;79;1013,6;0;186,1;17,1;0,61;Buena / Ona
01/09/2017;7;13;23;Muy buena / Oso ona;23;38;67;Buena / Ona;11;Muy buena / Oso ona;256;81;1013,4;0;129,5;16,4;0,72;Buena / Ona
31/08/2017;5;12;27;Muy buena / Oso ona;20;42;66;Buena / Ona;10;Muy buena / Oso ona;120;85;1011,7;0,1;116,8;16,9;0,06;Buena / Ona
30/08/2017;5;11;24;Muy buena / Oso ona;19;52;78;Buena / Ona;12;Muy buena / Oso ona;35;87;1004,9;0,3;170,6;20,3;0,6;Buena / Ona
29/08/2017;6;13;33;Muy buena / Oso ona;22;50;77;Buena / Ona;12;Muy buena / Oso ona;43;85;1003,8;0,1;210,8;21,3;0,74;Buena / Ona
28/08/2017;11;19;34;Muy buena / Oso ona;35;30;51;Muy buena / Oso ona;20;Muy buena / Oso ona;224;79;1004,6;0,2;110,9;22,1;0,71;Muy buena / Oso ona
27/08/2017;5;16;24;Muy buena / Oso ona;23;26;40;Muy buena / Oso ona;19;Muy buena / Oso ona;231;81;1004,5;0,1;59,9;21,8;0,65;Muy buena / Oso ona
26/08/2017;4;9;15;Muy buena / Oso ona;14;46;68;Buena / Ona;11;Muy buena / Oso ona;38;83;1003,9;0;187,9;22,8;1,45;Buena / Ona
25/08/2017;4;8;16;Muy buena / Oso ona;14;45;61;Buena / Ona;10;Muy buena / Oso ona;43;86;1005,8;0;214,7;21,1;1,72;Buena / Ona
24/08/2017;4;8;14;Muy buena / Oso ona;14;54;68;Buena / Ona;15;Muy buena / Oso ona;43;82;1006,2;0;227,1;21,9;1,85;Buena / Ona
23/08/2017;4;9;19;Muy buena / Oso ona;16;48;76;Buena / Ona;20;Muy buena / Oso ona;42;79;1007,9;0;150,5;21,3;1,3;Buena / Ona
22/08/2017;5;15;51;Buena / Ona;22;72;105;Mejorable / Hobetzeko modukoa;27;Buena / Ona;37;68;1005,6;0;242;24,6;1,44;Mejorable / Hobetzeko modukoa
21/08/2017;5;16;33;Muy buena / Oso ona;24;61;123;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;45;69;1007,2;0;261,3;22,2;0,81;Mejorable / Hobetzeko modukoa
20/08/2017;3;7;12;Muy buena / Oso ona;11;52;76;Buena / Ona;10;Muy buena / Oso ona;45;70;1014,6;0;244,3;19,4;1,22;Buena / Ona
19/08/2017;3;7;12;Muy buena / Oso ona;11;53;74;Buena / Ona;9;Muy buena / Oso ona;37;75;1013,6;0;278,7;20,4;1,04;Buena / Ona
18/08/2017;4;9;18;Muy buena / Oso ona;15;44;71;Buena / Ona;9;Muy buena / Oso ona;54;82;1010,8;0;95,1;20,3;0,64;Buena / Ona
17/08/2017;4;10;14;Muy buena / Oso ona;16;44;78;Buena / Ona;10;Muy buena / Oso ona;47;73;1010,3;0;254,5;21;1,25;Buena / Ona
16/08/2017;4;9;15;Muy buena / Oso ona;14;42;59;Muy buena / Oso ona;7;Muy buena / Oso ona;47;81;1011,8;0;164,6;20,9;1,05;Muy buena / Oso ona
15/08/2017;3;7;12;Muy buena / Oso ona;11;46;79;Buena / Ona;11;Muy buena / Oso ona;48;84;1009,4;0;110,1;20,8;1,32;Buena / Ona
14/08/2017;5;10;23;Muy buena / Oso ona;17;59;99;Buena / Ona;16;Muy buena / Oso ona;124;63;1003,9;0;252,9;25,1;0,38;Buena / Ona
13/08/2017;3;8;11;Muy buena / Oso ona;12;48;75;Buena / Ona;11;Muy buena / Oso ona;44;76;1009,5;0;256;20,1;1,36;Buena / Ona
12/08/2017;4;7;11;Muy buena / Oso ona;13;45;82;Buena / Ona;11;Muy buena / Oso ona;49;75;1013,6;0;269,6;17,5;1,13;Buena / Ona
11/08/2017;7;9;17;Muy buena / Oso ona;20;39;72;Buena / Ona;12;Muy buena / Oso ona;29;76;1015,4;0;210,3;16,5;0,61;Buena / Ona
10/08/2017;5;14;33;Muy buena / Oso ona;23;39;62;Buena / Ona;11;Muy buena / Oso ona;251;87;1015,9;0,1;93,8;15,7;1,2;Buena / Ona
09/08/2017;4;10;18;Muy buena / Oso ona;16;44;70;Buena / Ona;9;Muy buena / Oso ona;241;81;1011,8;0,1;160,7;16,4;0,36;Buena / Ona
08/08/2017;4;11;22;Muy buena / Oso ona;18;49;64;Buena / Ona;9;Muy buena / Oso ona;250;81;1009,3;0;114;17,5;0,98;Buena / Ona
07/08/2017;4;9;17;Muy buena / Oso ona;15;54;78;Buena / Ona;15;Muy buena / Oso ona;53;81;1005,2;0;201;19,9;0,75;Buena / Ona
06/08/2017;3;7;13;Muy buena / Oso ona;10;57;72;Buena / Ona;11;Muy buena / Oso ona;47;72;1012;0;220,8;20;0,96;Buena / Ona
05/08/2017;3;7;10;Muy buena / Oso ona;11;45;59;Muy buena / Oso ona;6;Muy buena / Oso ona;48;90;1010,8;0,1;99,8;19,6;1,21;Muy buena / Oso ona
04/08/2017;5;9;17;Muy buena / Oso ona;16;45;67;Buena / Ona;12;Muy buena / Oso ona;50;70;1007,9;0;279,3;25,1;1,28;Buena / Ona
03/08/2017;4;10;18;Muy buena / Oso ona;15;61;89;Buena / Ona;17;Muy buena / Oso ona;40;72;1008,4;0;272,2;23,9;1,75;Buena / Ona
02/08/2017;11;13;20;Muy buena / Oso ona;29;41;67;Buena / Ona;14;Muy buena / Oso ona;37;75;1008,2;0;269,6;21,9;1,42;Buena / Ona
01/08/2017;56;31;93;Buena / Ona;116;32;50;Muy buena / Oso ona;15;Muy buena / Oso ona;39;80;1006,7;0;137,4;20,4;0,71;Buena / Ona
31/07/2017;51;25;78;Buena / Ona;98;33;44;Muy buena / Oso ona;15;Muy buena / Oso ona;17;82;1003,4;0;66,2;20;0,52;Buena / Ona
30/07/2017;54;28;87;Buena / Ona;111;32;41;Muy buena / Oso ona;17;Muy buena / Oso ona;41;76;1005,1;0;149,4;20,4;1,12;Buena / Ona
29/07/2017;43;27;105;Mejorable / Hobetzeko modukoa;94;36;73;Buena / Ona;13;Muy buena / Oso ona;46;66;1005,3;0;279;23;0,8;Mejorable / Hobetzeko modukoa
28/07/2017;70;38;116;Mejorable / Hobetzeko modukoa;146;35;48;Muy buena / Oso ona;13;Muy buena / Oso ona;36;82;1008;0;250,3;21,3;1,79;Mejorable / Hobetzeko modukoa
27/07/2017;56;32;93;Buena / Ona;118;35;64;Buena / Ona;21;Muy buena / Oso ona;42;74;1006,2;0;281,3;21,7;1,23;Buena / Ona
26/07/2017;8;13;26;Muy buena / Oso ona;25;39;66;Buena / Ona;14;Muy buena / Oso ona;28;76;1007,8;0;279,7;19,7;0,9;Buena / Ona
25/07/2017;5;10;15;Muy buena / Oso ona;17;43;61;Buena / Ona;11;Muy buena / Oso ona;310;82;1011,3;0;95,3;18,1;0,2;Buena / Ona
24/07/2017;5;10;18;Muy buena / Oso ona;17;37;48;Muy buena / Oso ona;7;Muy buena / Oso ona;1;88;1012,2;0,1;129,3;18,8;0,4;Muy buena / Oso ona
23/07/2017;4;7;14;Muy buena / Oso ona;13;44;68;Buena / Ona;14;Muy buena / Oso ona;51;73;1011,3;0;221,3;20,2;1;Buena / Ona
22/07/2017;4;8;11;Muy buena / Oso ona;15;41;69;Buena / Ona;14;Muy buena / Oso ona;55;76;1007,1;0;214,8;19;0,97;Buena / Ona
21/07/2017;6;14;27;Muy buena / Oso ona;23;32;50;Muy buena / Oso ona;13;Muy buena / Oso ona;43;84;1004,4;0;109,3;17,9;0,43;Muy buena / Oso ona
20/07/2017;4;10;16;Muy buena / Oso ona;16;46;60;Muy buena / Oso ona;8;Muy buena / Oso ona;41;91;1007,5;0;98,9;17,4;0,93;Muy buena / Oso ona
19/07/2017;5;11;22;Muy buena / Oso ona;19;71;81;Buena / Ona;22;Muy buena / Oso ona;41;78;1003,3;0;190,3;21,7;1,63;Buena / Ona
18/07/2017;4;11;25;Muy buena / Oso ona;18;94;106;Mejorable / Hobetzeko modukoa;29;Buena / Ona;110;55;1000,2;0;249,3;27,7;0,49;Mejorable / Hobetzeko modukoa
17/07/2017;7;19;41;Muy buena / Oso ona;29;64;97;Buena / Ona;25;Muy buena / Oso ona;147;55;1003,2;0;261,4;28,7;0,4;Buena / Ona
16/07/2017;3;8;14;Muy buena / Oso ona;13;54;92;Buena / Ona;15;Muy buena / Oso ona;51;78;1010,4;0;294,1;21,3;1,48;Buena / Ona
15/07/2017;4;7;13;Muy buena / Oso ona;12;57;72;Buena / Ona;10;Muy buena / Oso ona;48;78;1013,2;0;227,6;20,1;1,68;Buena / Ona
14/07/2017;5;9;22;Muy buena / Oso ona;17;46;68;Buena / Ona;9;Muy buena / Oso ona;33;81;1013,5;0;114,4;19,5;1,06;Buena / Ona
13/07/2017;6;11;20;Muy buena / Oso ona;20;36;51;Muy buena / Oso ona;14;Muy buena / Oso ona;41;83;1012,7;0;82,9;19,8;1,16;Muy buena / Oso ona
12/07/2017;9;12;28;Muy buena / Oso ona;26;29;52;Muy buena / Oso ona;21;Muy buena / Oso ona;41;82;1011,1;0;169,3;19,9;0,97;Muy buena / Oso ona
11/07/2017;6;10;15;Muy buena / Oso ona;19;33;56;Muy buena / Oso ona;11;Muy buena / Oso ona;51;79;1007,2;0;305,4;20,3;1,43;Muy buena / Oso ona
10/07/2017;5;12;25;Muy buena / Oso ona;20;32;55;Muy buena / Oso ona;9;Muy buena / Oso ona;64;91;1006,9;0;63,2;18,4;0,8;Muy buena / Oso ona
09/07/2017;3;6;8;Muy buena / Oso ona;10;59;77;Buena / Ona;13;Muy buena / Oso ona;50;82;1005,5;0,2;271,9;20,6;1,5;Buena / Ona
08/07/2017;3;7;13;Muy buena / Oso ona;11;62;77;Buena / Ona;10;Muy buena / Oso ona;52;91;1007,4;0;125,3;19,6;1,7;Buena / Ona
07/07/2017;6;12;30;Muy buena / Oso ona;21;49;71;Buena / Ona;17;Muy buena / Oso ona;40;82;1007,7;0;251,3;21,4;2,25;Buena / Ona
06/07/2017;4;15;23;Muy buena / Oso ona;22;53;69;Buena / Ona;27;Buena / Ona;35;78;1005,9;0;216,8;22,4;1,36;Buena / Ona
05/07/2017;4;11;28;Muy buena / Oso ona;17;85;98;Buena / Ona;24;Muy buena / Oso ona;34;54;1003,1;0;272,8;25,3;1,23;Buena / Ona
04/07/2017;7;17;27;Muy buena / Oso ona;26;54;100;Buena / Ona;35;Buena / Ona;54;65;1004,8;0;306,9;25,6;0,59;Buena / Ona
03/07/2017;7;10;21;Muy buena / Oso ona;21;23;43;Muy buena / Oso ona;13;Muy buena / Oso ona;43;81;1014,3;0;319,7;18,4;1,31;Muy buena / Oso ona
02/07/2017;4;8;13;Muy buena / Oso ona;14;38;66;Buena / Ona;9;Muy buena / Oso ona;34;78;1017,9;0;175;16,7;0,84;Buena / Ona
01/07/2017;4;10;16;Muy buena / Oso ona;16;48;59;Muy buena / Oso ona;10;Muy buena / Oso ona;250;81;1015,7;0,1;105,9;14,9;1,23;Muy buena / Oso ona
30/06/2017;6;16;31;Muy buena / Oso ona;26;41;63;Buena / Ona;12;Muy buena / Oso ona;240;82;1007,5;0,1;105,9;14,7;0,69;Buena / Ona
29/06/2017;6;14;35;Muy buena / Oso ona;23;50;66;Buena / Ona;14;Muy buena / Oso ona;233;64;1001,1;0;181,9;17,1;0,68;Buena / Ona
28/06/2017;5;12;24;Muy buena / Oso ona;19;47;63;Buena / Ona;11;Muy buena / Oso ona;292;73;996,8;0,1;160,5;19,3;0,48;Buena / Ona
27/06/2017;5;13;19;Muy buena / Oso ona;21;31;56;Muy buena / Oso ona;13;Muy buena / Oso ona;347;83;999,4;0;154,7;19,8;0,06;Muy buena / Oso ona
26/06/2017;7;16;26;Muy buena / Oso ona;26;31;59;Muy buena / Oso ona;14;Muy buena / Oso ona;41;88;1000,9;0,1;149;20,7;0,14;Muy buena / Oso ona
25/06/2017;3;9;13;Muy buena / Oso ona;13;37;63;Buena / Ona;11;Muy buena / Oso ona;50;83;1007,3;0;128,5;19,8;0,59;Buena / Ona
24/06/2017;3;11;15;Muy buena / Oso ona;16;43;66;Buena / Ona;18;Muy buena / Oso ona;39;81;1011,9;0;111,1;20,4;0,88;Buena / Ona
23/06/2017;5;14;27;Muy buena / Oso ona;22;51;61;Buena / Ona;20;Muy buena / Oso ona;46;84;1013,3;0;100,7;20,1;1,06;Buena / Ona
22/06/2017;5;14;24;Muy buena / Oso ona;21;66;102;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;46;90;1008,7;0;112,7;20,9;1,68;Mejorable / Hobetzeko modukoa
21/06/2017;4;22;43;Muy buena / Oso ona;29;88;145;Mala / Txarra;30;Buena / Ona;56;61;1004,7;0;297,4;28,1;0,45;Mala / Txarra
20/06/2017;7;26;61;Buena / Ona;36;78;127;Mejorable / Hobetzeko modukoa;34;Buena / Ona;9;59;1005,8;0;263,6;27,1;0,13;Mejorable / Hobetzeko modukoa
19/06/2017;4;18;40;Muy buena / Oso ona;25;92;129;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;219;50;1004;0;291,6;28,8;0,89;Mejorable / Hobetzeko modukoa
18/06/2017;3;12;21;Muy buena / Oso ona;16;70;115;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;44;73;1004,6;0;309;23;1,44;Mejorable / Hobetzeko modukoa
17/06/2017;3;10;14;Muy buena / Oso ona;15;58;95;Buena / Ona;19;Muy buena / Oso ona;43;79;1010,9;0;325,8;20,6;1,39;Buena / Ona
16/06/2017;6;14;31;Muy buena / Oso ona;23;53;64;Buena / Ona;18;Muy buena / Oso ona;41;84;1014,6;0;170,1;19,8;2;Buena / Ona
15/06/2017;8;17;32;Muy buena / Oso ona;29;55;71;Buena / Ona;11;Muy buena / Oso ona;;;1011,5;0;50,6;;;Buena / Ona
14/06/2017;;;;Sin datos / Daturik gabe;;59;80;Buena / Ona;26;Buena / Ona;;;1005;0;271,7;;;Buena / Ona
13/06/2017;;;;Sin datos / Daturik gabe;;45;63;Buena / Ona;24;Muy buena / Oso ona;;;1004,8;0;243,5;;;Buena / Ona
12/06/2017;;;;Sin datos / Daturik gabe;;42;56;Muy buena / Oso ona;17;Muy buena / Oso ona;;;1009,5;0;143,1;;;Muy buena / Oso ona
11/06/2017;;;;Sin datos / Daturik gabe;;51;73;Buena / Ona;15;Muy buena / Oso ona;;;1009,5;0;181,7;;;Buena / Ona
10/06/2017;;;;Sin datos / Daturik gabe;;52;82;Buena / Ona;15;Muy buena / Oso ona;;;1007,7;0;298,9;;;Buena / Ona
09/06/2017;;;;Sin datos / Daturik gabe;;45;64;Buena / Ona;;Sin datos / Daturik gabe;;;1007,4;0;177,2;;;Buena / Ona
08/06/2017;10;16;39;Muy buena / Oso ona;32;52;91;Buena / Ona;27;Buena / Ona;;;1004;0;272,6;;;Buena / Ona
07/06/2017;7;12;20;Muy buena / Oso ona;22;44;73;Buena / Ona;19;Muy buena / Oso ona;;;1011,3;0;315,5;;;Buena / Ona
06/06/2017;3;10;17;Muy buena / Oso ona;14;57;66;Buena / Ona;19;Muy buena / Oso ona;;;1009;0;84,5;;;Buena / Ona
05/06/2017;5;12;26;Muy buena / Oso ona;19;47;74;Buena / Ona;13;Muy buena / Oso ona;70;51;1005,7;0;318;;0,25;Buena / Ona
04/06/2017;1;7;13;Muy buena / Oso ona;9;48;60;Muy buena / Oso ona;6;Muy buena / Oso ona;230;92;1010,7;0,1;37,8;13,5;0,1;Muy buena / Oso ona
03/06/2017;1;8;16;Muy buena / Oso ona;9;56;64;Buena / Ona;8;Muy buena / Oso ona;73;91;1009,9;0,1;47,7;15,8;0,32;Buena / Ona
02/06/2017;3;11;27;Muy buena / Oso ona;16;56;78;Buena / Ona;13;Muy buena / Oso ona;49;89;1008,2;0,1;113,7;18,1;1,27;Buena / Ona
01/06/2017;4;12;21;Muy buena / Oso ona;18;55;95;Buena / Ona;17;Muy buena / Oso ona;46;78;1008;0;285,1;20,9;1,65;Buena / Ona
31/05/2017;3;9;16;Muy buena / Oso ona;13;52;65;Buena / Ona;;Sin datos / Daturik gabe;40;78;;;;19,7;1,45;Buena / Ona
30/05/2017;4;9;21;Muy buena / Oso ona;14;63;81;Buena / Ona;11;Muy buena / Oso ona;45;88;1009,3;0;134,1;17,3;1,7;Buena / Ona
29/05/2017;4;12;36;Muy buena / Oso ona;19;66;83;Buena / Ona;17;Muy buena / Oso ona;44;85;1005,7;0,1;155,3;18,5;1,31;Buena / Ona
28/05/2017;1;6;12;Muy buena / Oso ona;7;95;113;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;74;52;1003,4;0;135,7;24,9;0,17;Mejorable / Hobetzeko modukoa
27/05/2017;1;10;25;Muy buena / Oso ona;12;63;91;Buena / Ona;21;Muy buena / Oso ona;32;76;1003,5;0;240,1;22,6;0,69;Buena / Ona
26/05/2017;4;16;40;Muy buena / Oso ona;21;85;120;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;39;65;1002,5;0,1;266,2;22,5;0,67;Mejorable / Hobetzeko modukoa
25/05/2017;7;17;27;Muy buena / Oso ona;27;82;130;Mejorable / Hobetzeko modukoa;27;Buena / Ona;43;59;1002,9;0;297,7;25,7;0,6;Mejorable / Hobetzeko modukoa
24/05/2017;4;12;22;Muy buena / Oso ona;18;65;95;Buena / Ona;22;Muy buena / Oso ona;48;72;1009;0;297,4;21,3;1,35;Buena / Ona
23/05/2017;4;7;25;Muy buena / Oso ona;14;63;79;Buena / Ona;24;Muy buena / Oso ona;42;74;1013,6;0;309,6;16,9;1,72;Buena / Ona
22/05/2017;7;11;47;Muy buena / Oso ona;22;70;93;Buena / Ona;32;Buena / Ona;38;72;1007,8;0;274,5;18,7;2,06;Buena / Ona
21/05/2017;3;7;13;Muy buena / Oso ona;11;63;95;Buena / Ona;11;Muy buena / Oso ona;224;55;1006,2;0;232,4;20,9;0,86;Buena / Ona
20/05/2017;3;7;13;Muy buena / Oso ona;11;48;75;Buena / Ona;12;Muy buena / Oso ona;44;75;1014,6;0;211;13,8;0,75;Buena / Ona
