Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
14/04/2017;1;5;10;Muy buena / Oso ona;8;68;96;Buena / Ona;13;Muy buena / Oso ona;51;80;1010,9;0;120,2;13,1;1,05;Buena / Ona
13/04/2017;3;8;18;Muy buena / Oso ona;13;60;101;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;35;78;1009;0;266,6;13,2;1,8;Mejorable / Hobetzeko modukoa
12/04/2017;4;12;22;Muy buena / Oso ona;18;58;94;Buena / Ona;15;Muy buena / Oso ona;46;79;1011,6;0;259,9;13,1;1,76;Buena / Ona
11/04/2017;3;10;26;Muy buena / Oso ona;15;78;98;Buena / Ona;15;Muy buena / Oso ona;36;73;1015,8;0;207,6;14,2;1,1;Buena / Ona
10/04/2017;4;10;;Sin datos / Daturik gabe;17;68;100;Buena / Ona;18;Muy buena / Oso ona;39;89;1015,2;0;238,2;13;2,6;Buena / Ona
09/04/2017;3;14;27;Muy buena / Oso ona;19;67;113;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;35;64;1010,7;0;260,8;17;1,14;Mejorable / Hobetzeko modukoa
08/04/2017;7;18;38;Muy buena / Oso ona;28;54;112;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;187;60;1008;0;259,9;17,4;0,33;Mejorable / Hobetzeko modukoa
07/04/2017;7;16;32;Muy buena / Oso ona;27;54;90;Buena / Ona;19;Muy buena / Oso ona;31;81;1011,2;0;251;11,7;1,36;Buena / Ona
06/04/2017;7;12;31;Muy buena / Oso ona;23;65;95;Buena / Ona;18;Muy buena / Oso ona;37;75;1015,1;0;234;12,9;1,35;Buena / Ona
05/04/2017;4;11;37;Muy buena / Oso ona;18;75;81;Buena / Ona;11;Muy buena / Oso ona;35;83;1016,3;0,1;65;12;1,55;Buena / Ona
04/04/2017;11;14;43;Muy buena / Oso ona;31;54;84;Buena / Ona;13;Muy buena / Oso ona;27;83;1017,4;0;101,7;11,7;1,34;Buena / Ona
03/04/2017;8;11;27;Muy buena / Oso ona;22;54;85;Buena / Ona;12;Muy buena / Oso ona;40;79;1015,2;0;254,6;12,1;1,32;Buena / Ona
02/04/2017;1;5;13;Muy buena / Oso ona;8;79;94;Buena / Ona;10;Muy buena / Oso ona;17;79;1014,1;0,1;110,7;10,9;0,91;Buena / Ona
01/04/2017;3;10;24;Muy buena / Oso ona;14;69;85;Buena / Ona;9;Muy buena / Oso ona;258;83;1010,5;0,2;82,2;11;1,09;Buena / Ona
31/03/2017;8;21;64;Buena / Ona;33;69;101;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;23;69;1007,8;0,1;131,6;15,7;0,55;Mejorable / Hobetzeko modukoa
30/03/2017;17;20;65;Buena / Ona;45;68;98;Buena / Ona;19;Muy buena / Oso ona;197;53;1009,8;0;184,3;18,5;1,26;Buena / Ona
29/03/2017;19;24;54;Buena / Ona;52;45;93;Buena / Ona;21;Muy buena / Oso ona;353;64;1014,3;0;239,5;15,1;0,49;Buena / Ona
28/03/2017;17;22;58;Buena / Ona;48;53;92;Buena / Ona;15;Muy buena / Oso ona;340;66;1014,9;0;216,7;13,4;0,53;Buena / Ona
27/03/2017;4;15;37;Muy buena / Oso ona;22;71;86;Buena / Ona;11;Muy buena / Oso ona;198;58;1006,9;0;148,4;14,3;1,73;Buena / Ona
26/03/2017;2;8;27;Muy buena / Oso ona;11;77;88;Buena / Ona;8;Muy buena / Oso ona;178;58;1003,6;0;201,2;13,8;1,1;Buena / Ona
25/03/2017;3;14;26;Muy buena / Oso ona;18;62;74;Buena / Ona;6;Muy buena / Oso ona;205;90;1001,9;0,4;26,8;7,6;0,83;Buena / Ona
24/03/2017;10;16;36;Muy buena / Oso ona;31;50;84;Buena / Ona;13;Muy buena / Oso ona;42;73;1005,5;0;197;8,5;0,86;Buena / Ona
23/03/2017;9;21;43;Muy buena / Oso ona;34;54;78;Buena / Ona;9;Muy buena / Oso ona;232;68;999,8;0;190,3;7,4;1,11;Buena / Ona
22/03/2017;8;20;51;Buena / Ona;32;51;68;Buena / Ona;9;Muy buena / Oso ona;24;82;1000,5;0;50,4;8,2;0,13;Buena / Ona
21/03/2017;8;19;47;Muy buena / Oso ona;31;49;79;Buena / Ona;15;Muy buena / Oso ona;25;88;1007,9;0,1;49,2;9,7;0,47;Buena / Ona
20/03/2017;5;14;37;Muy buena / Oso ona;21;62;81;Buena / Ona;16;Muy buena / Oso ona;34;77;1008,2;0;106,2;11,3;0,85;Buena / Ona
19/03/2017;3;8;17;Muy buena / Oso ona;12;55;85;Buena / Ona;14;Muy buena / Oso ona;41;81;1011,7;0;184,8;9,6;1,64;Buena / Ona
18/03/2017;3;12;25;Muy buena / Oso ona;17;64;78;Buena / Ona;14;Muy buena / Oso ona;35;74;1015,2;0;90,8;11,4;0,95;Buena / Ona
17/03/2017;13;18;57;Buena / Ona;38;58;80;Buena / Ona;23;Muy buena / Oso ona;33;77;1013,8;0;149,6;11,8;1,46;Buena / Ona
16/03/2017;17;30;77;Buena / Ona;56;42;92;Buena / Ona;20;Muy buena / Oso ona;193;59;1010,9;0;187,4;15,7;1,05;Buena / Ona
15/03/2017;8;18;32;Muy buena / Oso ona;30;38;76;Buena / Ona;23;Muy buena / Oso ona;32;84;1018,8;0;136;12,2;1,21;Buena / Ona
14/03/2017;12;19;48;Muy buena / Oso ona;37;43;67;Buena / Ona;17;Muy buena / Oso ona;36;86;1025,4;0;134,9;11,8;0,96;Buena / Ona
13/03/2017;7;14;31;Muy buena / Oso ona;25;69;85;Buena / Ona;11;Muy buena / Oso ona;45;90;1020,4;0,7;14,5;10,4;1,09;Buena / Ona
12/03/2017;2;6;10;Muy buena / Oso ona;9;80;89;Buena / Ona;8;Muy buena / Oso ona;258;82;1013,2;0,3;37,3;11,3;1,59;Buena / Ona
11/03/2017;9;19;49;Muy buena / Oso ona;33;53;89;Buena / Ona;22;Muy buena / Oso ona;275;67;1010,3;0;116,9;14,6;1,09;Buena / Ona
10/03/2017;18;26;65;Buena / Ona;53;27;57;Muy buena / Oso ona;22;Muy buena / Oso ona;50;72;1013,9;0;162,1;14,7;0,59;Buena / Ona
09/03/2017;6;15;25;Muy buena / Oso ona;25;38;60;Muy buena / Oso ona;19;Muy buena / Oso ona;46;84;1019,1;0;139,4;13;1,18;Muy buena / Oso ona
08/03/2017;8;13;33;Muy buena / Oso ona;25;49;65;Buena / Ona;10;Muy buena / Oso ona;35;83;1020,9;0;132,8;13,8;1,35;Buena / Ona
07/03/2017;11;24;48;Muy buena / Oso ona;41;41;80;Buena / Ona;19;Muy buena / Oso ona;247;87;1019,4;0;38,7;12;1,03;Buena / Ona
06/03/2017;12;16;65;Buena / Ona;34;60;84;Buena / Ona;22;Muy buena / Oso ona;275;75;1014,7;0;89,1;13,5;1,92;Buena / Ona
05/03/2017;3;12;26;Muy buena / Oso ona;16;53;69;Buena / Ona;17;Muy buena / Oso ona;300;74;1006,7;0;64;12,3;0,36;Buena / Ona
04/03/2017;3;12;28;Muy buena / Oso ona;17;56;78;Buena / Ona;9;Muy buena / Oso ona;189;75;997,8;0;96,5;7,9;0,54;Buena / Ona
03/03/2017;4;12;36;Muy buena / Oso ona;19;76;80;Buena / Ona;12;Muy buena / Oso ona;198;61;994,1;0,1;77,5;14,4;1,41;Buena / Ona
02/03/2017;21;26;60;Buena / Ona;57;30;57;Muy buena / Oso ona;20;Muy buena / Oso ona;;;;;;;;Buena / Ona
01/03/2017;21;28;67;Buena / Ona;60;26;53;Muy buena / Oso ona;17;Muy buena / Oso ona;219;77;1010,1;0;160,2;9,9;1,31;Buena / Ona
28/02/2017;5;16;40;Muy buena / Oso ona;24;53;71;Buena / Ona;11;Muy buena / Oso ona;235;79;1004,6;0,1;44,4;9,4;1,36;Buena / Ona
27/02/2017;5;15;28;Muy buena / Oso ona;22;53;82;Buena / Ona;14;Muy buena / Oso ona;232;68;1003,7;0;100,6;12,7;0,95;Buena / Ona
26/02/2017;6;14;28;Muy buena / Oso ona;24;35;76;Buena / Ona;19;Muy buena / Oso ona;30;82;1012,5;0;100,8;9,6;0,73;Buena / Ona
25/02/2017;7;14;39;Muy buena / Oso ona;24;42;69;Buena / Ona;15;Muy buena / Oso ona;82;81;1013,3;0;98;8,9;0,56;Buena / Ona
24/02/2017;7;17;37;Muy buena / Oso ona;27;62;73;Buena / Ona;11;Muy buena / Oso ona;38;89;1013,4;0,1;58,8;9,3;1,01;Buena / Ona
23/02/2017;16;24;43;Muy buena / Oso ona;49;26;43;Muy buena / Oso ona;30;Buena / Ona;21;87;1009,3;0;84,6;9,5;0,84;Buena / Ona
