Date;D.vien (grados);H (%);Precipitación (l/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;339;77;0;16,6;0,88;
27/10/2017;324;81;0;16,1;0,58;
26/10/2017;299;63;0;19;0,66;
25/10/2017;152;68;0;17,3;0,73;
24/10/2017;130;63;0;16,7;1,63;
23/10/2017;121;71;0;14,6;0,79;
22/10/2017;278;75;0;14,7;0,87;
21/10/2017;301;66;0;17,5;4,12;
20/10/2017;176;55;0;21,2;1,15;
19/10/2017;136;66;0;17,6;1,56;
18/10/2017;229;79;0,1;16,6;0,18;
17/10/2017;113;71;0;20,3;1,5;
16/10/2017;336;62;0;22,5;1,26;
15/10/2017;121;50;0;25,9;1,06;
14/10/2017;144;62;0;23,8;1,74;
13/10/2017;336;79;0;18,4;0,64;
12/10/2017;130;78;0;17,9;0,58;
11/10/2017;350;72;0;18,1;0,83;
10/10/2017;132;78;0;16,2;0,38;
09/10/2017;152;72;0;15,5;0,16;
08/10/2017;160;72;0;15;0,16;
07/10/2017;99;75;0;15,3;1,02;
06/10/2017;316;83;0;17;1,81;
05/10/2017;314;89;0;19,3;2,16;
04/10/2017;305;83;0;20,5;1,02;
03/10/2017;311;89;0;19,9;0,79;
02/10/2017;298;91;0;19,9;0,14;
01/10/2017;129;90;0;17,7;1,34;
30/09/2017;306;90;0,1;17,3;1,21;
29/09/2017;321;79;0;20;1,66;
28/09/2017;279;67;0;21,7;0,2;
27/09/2017;311;68;0;19,7;0,31;
26/09/2017;75;77;0;18,7;0,56;
25/09/2017;301;80;0;18,4;1,71;
24/09/2017;307;78;0;19,7;1,27;
23/09/2017;331;69;0;21,5;0,06;
22/09/2017;307;88;0;17,1;1,51;
21/09/2017;326;78;0;17,5;0,56;
20/09/2017;121;67;0;17,1;0,87;
19/09/2017;318;76;0;16,7;0,73;
18/09/2017;287;88;0,1;15,7;0,38;
17/09/2017;299;70;0;15,9;1,31;
16/09/2017;213;78;0;13,8;0,38;
15/09/2017;271;81;0,1;14,1;0,34;
14/09/2017;307;72;0,1;17,3;2,78;
13/09/2017;353;76;0;19,8;0,55;
12/09/2017;269;76;0;18,2;0,67;
11/09/2017;300;80;0;18,1;3,97;
10/09/2017;291;70;0,1;17,8;2,41;
09/09/2017;292;74;0,2;17,2;3,98;
08/09/2017;317;69;0;18,8;0,52;
07/09/2017;332;70;0;19,1;1,06;
06/09/2017;301;80;0,1;19,1;1,72;
05/09/2017;317;78;0;20,9;1,07;
04/09/2017;338;81;0;20,6;0,95;
03/09/2017;28;69;0;20,7;0,17;
02/09/2017;31;70;0;18,9;0,59;
01/09/2017;304;72;0;18,4;2,28;
31/08/2017;313;77;0,1;18,1;0,91;
30/08/2017;307;83;0,2;20,3;2,01;
29/08/2017;300;78;0;21,6;0,85;
28/08/2017;137;70;0,1;23,1;1,31;
27/08/2017;125;73;0;23,1;1,27;
26/08/2017;326;78;0;23,1;0,81;
25/08/2017;311;80;0;22;1,58;
24/08/2017;304;83;0;21,5;2,46;
23/08/2017;326;76;0;21,8;0,82;
22/08/2017;331;69;0;23,2;2,62;
21/08/2017;106;58;0;24,6;1,66;
20/08/2017;92;66;0;20,1;1,02;
19/08/2017;327;75;0;20,6;1,38;
18/08/2017;319;81;0;21,2;1,25;
17/08/2017;308;69;0;21,8;1,29;
16/08/2017;306;72;0;22,1;1,77;
15/08/2017;318;82;0;21;1,87;
14/08/2017;35;69;0;23,9;0,32;
13/08/2017;317;72;0;20,1;0,94;
12/08/2017;297;66;0;18,8;0,91;
11/08/2017;318;68;0;18,3;1,5;
10/08/2017;298;72;0;17,5;3,68;
09/08/2017;294;66;0;17,8;3,91;
08/08/2017;298;70;0;18,2;2,5;
07/08/2017;300;76;0;20,5;3,02;
06/08/2017;317;70;0;20,2;2,01;
05/08/2017;308;93;0,1;19,2;3,27;
04/08/2017;317;66;0;25,8;1,74;
03/08/2017;306;75;0;22,5;2,12;
02/08/2017;312;75;0;21,8;1,51;
01/08/2017;336;80;0;20,7;0,79;
31/07/2017;299;87;0;19,2;1,5;
30/07/2017;298;79;0;20,6;1,27;
29/07/2017;16;60;0;24,3;0,54;
28/07/2017;306;82;0;21,3;1,63;
27/07/2017;319;76;0;21,4;1,99;
26/07/2017;317;74;0;19,8;1,14;
25/07/2017;300;76;0;18,8;2,77;
24/07/2017;301;87;0,1;18,8;4,63;
23/07/2017;311;68;0;20,6;1,7;
22/07/2017;314;75;0;18,8;1,12;
21/07/2017;321;83;0;18;0,94;
19/07/2017
18/07/2017;309;70;0,1;24,2;1,51;
17/07/2017
16/07/2017;307;71;0;22,3;1,95;
15/07/2017;350;73;0;20,6;1,31;
14/07/2017;346;72;0;20,6;1,4;
13/07/2017;317;80;0;20,1;2,05;
12/07/2017;324;74;0;20,4;1,08;
11/07/2017;304;75;0;20,4;1,45;
10/07/2017;316;84;0;19,3;2,6;
09/07/2017;319;83;0,1;20;2,6;
08/07/2017;322;89;0;19,6;2,92;
07/07/2017;317;81;0;20,9;2,48;
06/07/2017;311;75;0;21,7;1,18;
05/07/2017;323;63;0;23,6;2,2;
04/07/2017;107;64;0;25,9;0,38;
03/07/2017;79;73;0;20,2;1,17;
02/07/2017;306;72;0;18;1,3;
01/07/2017;297;75;0,1;15,7;4,01;
30/06/2017;273;73;0,1;15,6;2,69;
29/06/2017;296;52;0;18,2;4,92;
28/06/2017;298;68;0;19,7;4,05;
27/06/2017;322;80;0,1;20,1;1,53;
26/06/2017;329;81;0;21,5;1,53;
25/06/2017;63;79;0;20,4;0,22;
24/06/2017;325;86;0;19,5;0,89;
23/06/2017;314;82;0;20,1;1,67;
22/06/2017;336;86;0;20,3;2,76;
21/06/2017;305;58;0;28,3;1,25;
20/06/2017;298;52;0;27,6;0,9;
19/06/2017;214;56;0;27,7;0,5;
18/06/2017;296;66;0;24,2;0,62;
17/06/2017;298;72;0;22;1,27;
16/06/2017;354;83;0;19,4;1;
15/06/2017;315;90;0;18,1;2,62;
14/06/2017;319;87;0,2;20,2;2,44;
13/06/2017;317;77;0;20,4;1,19;
12/06/2017;12;83;0;19,1;1,11;
11/06/2017;315;83;0;19,9;3,22;
10/06/2017;327;79;0;20,6;1,63;
09/06/2017;303;77;0;18,9;1,82;
08/06/2017;329;69;0;20,3;0,81;
07/06/2017;329;62;0;19,4;0,17;
06/06/2017;307;71;0;16,3;4,51;
05/06/2017;312;69;0;18,5;1,08;
04/06/2017;297;89;0,1;14;1,2;
03/06/2017;301;88;0,1;15,8;1,65;
02/06/2017;321;90;0,1;17,9;2,19;
01/06/2017;324;77;0;20,9;1,63;
31/05/2017;305;75;0;20,1;1,56;
30/05/2017;304;84;0;17,5;2,03;
29/05/2017;313;91;0,2;17,3;2,24;
28/05/2017;324;81;0;19,4;1,65;
27/05/2017;300;75;0;21,4;1,13;
26/05/2017;336;68;0;21,7;0,78;
25/05/2017;297;57;0;26,1;0,25;
24/05/2017;284;67;0;21,9;0,71;
23/05/2017;301;71;0;17,3;2,26;
22/05/2017;327;71;0;18,4;3,4;
21/05/2017;128;52;0;22,2;2,76;
20/05/2017;352;68;0;14,9;0,31;
19/05/2017;320;66;0;13,4;2,29;
18/05/2017;302;78;0,2;13,5;4,52;
17/05/2017;330;79;0,1;17,1;1,3;
16/05/2017;304;62;0;21;1,24;
15/05/2017;317;56;0;20,6;0,87;
14/05/2017;287;55;0;20,3;0,32;
13/05/2017;324;68;0;17,9;0,92;
12/05/2017;190;56;0,1;18,7;2,58;
11/05/2017;180;47;0;19,8;3,96;
10/05/2017;289;70;0;18,1;1,28;
09/05/2017;357;70;0;16,4;0,29;
08/05/2017;327;61;0;15,6;0,76;
07/05/2017;320;57;0;16,8;0,77;
06/05/2017;290;56;0;16,5;1,39;
05/05/2017;126;68;0;18,4;0,5;
04/05/2017;46;70;0;17,3;0,64;
03/05/2017;300;77;0;15,1;2,12;
02/05/2017;312;77;0;14,1;1,21;
01/05/2017;77;63;0;11,6;0,1;
30/04/2017;187;61;0,1;12,9;2,26;
29/04/2017;144;54;0;15,1;3,98;
28/04/2017;81;65;0;9,3;0,98;
27/04/2017;325;69;0;7,8;1,21;
26/04/2017;310;77;0,2;8,1;2,15;
25/04/2017;299;83;0,2;12,6;1,57;
24/04/2017;310;66;0;15;1,81;
23/04/2017;304;57;0;16;1,26;
22/04/2017;303;40;0;18,5;1,52;
21/04/2017;101;45;0;15,6;1,94;
20/04/2017;54;45;0;12,5;1,65;
19/04/2017;40;47;0;12,9;1,59;
18/04/2017;1;69;0;13,6;0,96;
17/04/2017;360;68;0;14,6;0,69;
16/04/2017;49;71;0;14,2;0,79;
15/04/2017;317;73;0;14,3;1,98;
14/04/2017;308;77;0;13,7;0,99;
13/04/2017;312;73;0;13,8;1,36;
12/04/2017;299;73;0;14,2;1,75;
11/04/2017;305;72;0;14,5;2,3;
10/04/2017;306;83;0;13,5;2,46;
09/04/2017;307;65;0;16,3;1,52;
08/04/2017;239;56;0;18,4;0,39;
07/04/2017;300;73;0;13,5;0,94;
06/04/2017;310;77;0;13,3;3,44;
05/04/2017;313;84;0,1;12,2;3,79;
04/04/2017;303;78;0;12,5;3,38;
03/04/2017;297;72;0;12,6;1,18;
02/04/2017;300;73;0,1;11,5;3,7;
01/04/2017;290;69;0,1;12,6;4,3;
31/03/2017;294;68;0,1;15,7;1,21;
30/03/2017;146;43;0;21,3;1,63;
29/03/2017;136;50;0;18,4;0,21;
28/03/2017;255;51;0;16,6;0,76;
27/03/2017;151;49;0;16,4;2,63;
26/03/2017;140;56;0;14,1;3,49;
25/03/2017;186;83;0,5;8,4;0,99;
24/03/2017;61;59;0;9,5;0,73;
23/03/2017;168;55;0;9;1,26;
22/03/2017;247;76;0,1;8,5;0,47;
21/03/2017;291;80;0;10,6;1,07;
20/03/2017;323;74;0;11,4;0,58;
19/03/2017;342;76;0;10,7;0,89;
18/03/2017;309;70;0;12,4;1,17;
17/03/2017;322;80;0;12,2;2,18;
16/03/2017;137;52;0;18,1;1,32;
15/03/2017;300;78;0;13,5;1,18;
14/03/2017;310;84;0;12,7;2,93;
13/03/2017;315;83;0,1;10,9;5,88;
12/03/2017;302;73;0,1;12,1;6,87;
11/03/2017;311;65;0;15,6;2,32;
10/03/2017;154;68;0;16,6;0,87;
09/03/2017;297;77;0;14,3;0,47;
08/03/2017;301;77;0;14,5;1,15;
07/03/2017;307;78;0;12,9;1,66;
06/03/2017;294;68;0;14,5;3,36;
05/03/2017;212;67;0;13,4;0,75;
04/03/2017;251;59;0;9,6;1,19;
03/03/2017;167;60;0,2;13,9;0,97;
02/03/2017;141;61;0;15,2;1,33;
01/03/2017;184;65;0;12,1;0,98;
28/02/2017;271;71;0,1;10,8;2,07;
27/02/2017;210;63;0;14;1,18;
26/02/2017;283;72;0;12,2;0,43;
25/02/2017;136;67;0;10,8;0,66;
24/02/2017;310;79;0,1;10,2;1,81;
23/02/2017;315;82;0;11,1;1,32;
22/02/2017;265;80;0;11,3;0,32;
21/02/2017;49;76;0;11,3;0,16;
20/02/2017;296;73;0;12;1,09;
19/02/2017;305;82;0;11,8;2,13;
18/02/2017;319;78;0;10,9;0,75;
17/02/2017;128;68;0;12,9;0,52;
16/02/2017;154;58;0;15,3;0,56;
15/02/2017;137;49;0;16,2;2,39;
14/02/2017;141;53;0;14,7;2,18;
13/02/2017;139;60;3,2;14,7;6,23;
12/02/2017;134;68;2,2;12,4;5,97;
11/02/2017;74;78;3,2;8,3;0,66;
10/02/2017;144;47;0;11,8;2,01;
09/02/2017;125;69;0,4;9,5;1,88;
08/02/2017;298;73;11;8,6;4,31;
07/02/2017;289;80;9,1;11;2,85;
06/02/2017;165;82;9,4;10,7;1;
05/02/2017;286;64;17;10,2;6,64;
04/02/2017;244;77;9,6;12,6;0,45;
03/02/2017;185;41;0,5;16;4,33;
02/02/2017;182;45;0,7;16,1;4,97;
01/02/2017;178;48;0,4;17;2,81;
31/01/2017;153;47;0;17,2;3,39;
30/01/2017;157;62;0;16,6;2,1;
29/01/2017;162;59;0,1;13,7;1,67;
28/01/2017;159;68;0;9,7;0,48;
27/01/2017;151;56;0;11,6;3,37;
26/01/2017;138;56;0;7,7;3,16;
25/01/2017;112;71;0;4,5;1,43;
24/01/2017;310;75;0;7,2;0,17;
23/01/2017;309;76;0,3;9,1;1,93;
22/01/2017;298;82;0;7,8;0,72;
21/01/2017;131;77;0;5,7;1,01;
20/01/2017;132;74;0;3,6;0,9;
19/01/2017;119;72;0;3,7;1,36;
18/01/2017;354;67;0;3,2;0,87;
17/01/2017;345;61;1,6;6,3;2,19;
16/01/2017;305;87;31;10,9;7,53;
15/01/2017;300;80;22,7;9,8;4,73;
14/01/2017;294;80;24;7,2;2,02;
13/01/2017;295;72;18,5;8,3;5,04;
12/01/2017;290;86;6,3;11,8;1,45;
11/01/2017;303;93;10,8;12,4;5,16;
10/01/2017;302;90;68,4;9,8;5,18;
09/01/2017;134;72;0;9,3;1,43;
08/01/2017;132;65;0;5,6;0,97;
07/01/2017;137;70;0;3,3;1,32;
06/01/2017;128;74;0;3,6;1,2;
05/01/2017;121;73;0;5,8;1,91;
04/01/2017;146;83;0;5,6;0,71;
03/01/2017;141;75;0;6,6;0,78;
02/01/2017;134;59;0;8,1;1,2;
01/01/2017;130;67;0;5,6;1,71;
