Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;ICA Estación
28/10/2017;2;6;23;Muy buena / Oso ona;9;66;78;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
27/10/2017;18;16;44;Muy buena / Oso ona;41;41;65;Buena / Ona;21;Muy buena / Oso ona;Buena / Ona
26/10/2017;13;27;58;Buena / Ona;46;45;75;Buena / Ona;29;Buena / Ona;Buena / Ona
25/10/2017;30;29;48;Muy buena / Oso ona;74;41;70;Buena / Ona;24;Muy buena / Oso ona;Buena / Ona
24/10/2017;30;36;57;Buena / Ona;81;22;53;Muy buena / Oso ona;22;Muy buena / Oso ona;Buena / Ona
23/10/2017;6;20;52;Buena / Ona;29;45;65;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
22/10/2017;3;8;14;Muy buena / Oso ona;13;60;71;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
21/10/2017;3;8;20;Muy buena / Oso ona;13;59;69;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
20/10/2017;8;18;36;Muy buena / Oso ona;30;42;63;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
19/10/2017;6;19;39;Muy buena / Oso ona;29;47;67;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
18/10/2017;4;13;37;Muy buena / Oso ona;19;50;73;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
17/10/2017;3;6;11;Muy buena / Oso ona;10;78;86;Buena / Ona;21;Muy buena / Oso ona;Buena / Ona
16/10/2017;3;5;8;Muy buena / Oso ona;9;82;85;Buena / Ona;24;Muy buena / Oso ona;Buena / Ona
15/10/2017;2;5;7;Muy buena / Oso ona;8;76;78;Buena / Ona;21;Muy buena / Oso ona;Buena / Ona
14/10/2017;3;6;13;Muy buena / Oso ona;10;88;101;Mejorable / Hobetzeko modukoa;32;Buena / Ona;Mejorable / Hobetzeko modukoa
13/10/2017;7;17;47;Muy buena / Oso ona;27;65;97;Buena / Ona;32;Buena / Ona;Buena / Ona
12/10/2017;4;11;22;Muy buena / Oso ona;17;64;86;Buena / Ona;26;Buena / Ona;Buena / Ona
11/10/2017;11;21;38;Muy buena / Oso ona;38;46;86;Buena / Ona;32;Buena / Ona;Buena / Ona
10/10/2017;15;26;51;Buena / Ona;49;25;61;Buena / Ona;21;Muy buena / Oso ona;Buena / Ona
09/10/2017;13;23;40;Muy buena / Oso ona;42;30;66;Buena / Ona;23;Muy buena / Oso ona;Buena / Ona
