Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);V.vien (m/s);ICA Estación
28/10/2017;3;9;24;Muy buena / Oso ona;13;40;61;Buena / Ona;37;0,63;Buena / Ona
27/10/2017;20;16;46;Muy buena / Oso ona;46;29;59;Muy buena / Oso ona;320;0,31;Muy buena / Oso ona
26/10/2017;11;19;47;Muy buena / Oso ona;37;27;59;Muy buena / Oso ona;337;0,38;Muy buena / Oso ona
25/10/2017;22;30;63;Buena / Ona;64;14;34;Muy buena / Oso ona;75;0,46;Buena / Ona
24/10/2017;19;29;52;Buena / Ona;57;19;44;Muy buena / Oso ona;93;0,42;Buena / Ona
23/10/2017;12;21;45;Muy buena / Oso ona;40;21;47;Muy buena / Oso ona;80;0,41;Muy buena / Oso ona
22/10/2017;3;10;27;Muy buena / Oso ona;14;38;56;Muy buena / Oso ona;212;0,15;Muy buena / Oso ona
21/10/2017;2;7;16;Muy buena / Oso ona;10;55;64;Buena / Ona;287;0,88;Buena / Ona
20/10/2017;15;21;45;Muy buena / Oso ona;44;26;46;Muy buena / Oso ona;170;0,55;Muy buena / Oso ona
19/10/2017;7;16;41;Muy buena / Oso ona;28;29;48;Muy buena / Oso ona;117;0,7;Muy buena / Oso ona
18/10/2017;14;23;47;Muy buena / Oso ona;44;17;29;Muy buena / Oso ona;123;0,04;Muy buena / Oso ona
17/10/2017;3;13;27;Muy buena / Oso ona;17;38;65;Buena / Ona;159;1,08;Buena / Ona
16/10/2017;2;7;12;Muy buena / Oso ona;10;59;73;Buena / Ona;181;1,73;Buena / Ona
15/10/2017;2;7;22;Muy buena / Oso ona;10;61;65;Buena / Ona;163;2,63;Buena / Ona
14/10/2017;2;11;23;Muy buena / Oso ona;15;43;74;Buena / Ona;121;0,76;Buena / Ona
13/10/2017;13;13;43;Muy buena / Oso ona;33;34;68;Buena / Ona;319;0,35;Buena / Ona
12/10/2017;5;13;24;Muy buena / Oso ona;20;29;66;Buena / Ona;164;0,06;Buena / Ona
11/10/2017;11;12;32;Muy buena / Oso ona;29;31;71;Buena / Ona;12;0,32;Buena / Ona
10/10/2017;15;18;33;Muy buena / Oso ona;42;19;44;Muy buena / Oso ona;237;0,15;Muy buena / Oso ona
09/10/2017;15;14;38;Muy buena / Oso ona;37;24;55;Muy buena / Oso ona;53;0,45;Muy buena / Oso ona
08/10/2017;5;9;32;Muy buena / Oso ona;16;27;61;Buena / Ona;42;0,33;Buena / Ona
07/10/2017;4;10;21;Muy buena / Oso ona;16;29;64;Buena / Ona;53;0,73;Buena / Ona
06/10/2017;5;8;33;Muy buena / Oso ona;16;32;54;Muy buena / Oso ona;327;0,38;Muy buena / Oso ona
05/10/2017;4;13;28;Muy buena / Oso ona;19;33;56;Muy buena / Oso ona;294;0,71;Muy buena / Oso ona
04/10/2017;6;12;30;Muy buena / Oso ona;22;14;31;Muy buena / Oso ona;31;0,52;Muy buena / Oso ona
03/10/2017;15;11;19;Muy buena / Oso ona;33;11;24;Muy buena / Oso ona;351;0,19;Muy buena / Oso ona
02/10/2017;5;18;34;Muy buena / Oso ona;26;16;24;Muy buena / Oso ona;277;0,11;Muy buena / Oso ona
01/10/2017;5;15;23;Muy buena / Oso ona;23;8;21;Muy buena / Oso ona;133;0,31;Muy buena / Oso ona
30/09/2017;2;4;19;Muy buena / Oso ona;8;38;63;Buena / Ona;21;0,54;Buena / Ona
29/09/2017;10;13;41;Muy buena / Oso ona;30;38;83;Buena / Ona;304;0,42;Buena / Ona
28/09/2017;9;18;54;Buena / Ona;32;38;80;Buena / Ona;125;0,37;Buena / Ona
27/09/2017;10;14;29;Muy buena / Oso ona;30;31;69;Buena / Ona;255;0,16;Buena / Ona
26/09/2017;3;9;17;Muy buena / Oso ona;14;33;60;Muy buena / Oso ona;43;0,88;Muy buena / Oso ona
25/09/2017;4;9;29;Muy buena / Oso ona;15;33;67;Buena / Ona;310;0,55;Buena / Ona
24/09/2017;4;10;17;Muy buena / Oso ona;15;48;80;Buena / Ona;286;0,67;Buena / Ona
23/09/2017;3;11;22;Muy buena / Oso ona;15;42;76;Buena / Ona;178;0,53;Buena / Ona
22/09/2017;2;11;21;Muy buena / Oso ona;15;38;57;Muy buena / Oso ona;300;0,14;Muy buena / Oso ona
21/09/2017;11;12;36;Muy buena / Oso ona;29;35;76;Buena / Ona;311;0,43;Buena / Ona
20/09/2017;13;16;47;Muy buena / Oso ona;36;27;60;Muy buena / Oso ona;72;0,76;Muy buena / Oso ona
19/09/2017;5;12;34;Muy buena / Oso ona;19;35;67;Buena / Ona;31;0,65;Buena / Ona
18/09/2017;10;23;40;Muy buena / Oso ona;39;21;39;Muy buena / Oso ona;220;0,12;Muy buena / Oso ona
17/09/2017;3;9;18;Muy buena / Oso ona;13;33;64;Buena / Ona;323;0,19;Buena / Ona
16/09/2017;3;11;19;Muy buena / Oso ona;15;35;60;Muy buena / Oso ona;70;0,07;Muy buena / Oso ona
15/09/2017;8;16;29;Muy buena / Oso ona;28;26;49;Muy buena / Oso ona;81;0,09;Muy buena / Oso ona
14/09/2017;3;9;21;Muy buena / Oso ona;13;37;59;Muy buena / Oso ona;319;0,6;Muy buena / Oso ona
13/09/2017;12;12;27;Muy buena / Oso ona;31;23;50;Muy buena / Oso ona;306;0,26;Muy buena / Oso ona
12/09/2017;4;12;34;Muy buena / Oso ona;17;37;56;Muy buena / Oso ona;200;0,24;Muy buena / Oso ona
11/09/2017;3;10;27;Muy buena / Oso ona;15;41;60;Muy buena / Oso ona;287;1,06;Muy buena / Oso ona
10/09/2017;2;8;23;Muy buena / Oso ona;12;46;65;Buena / Ona;273;0,48;Buena / Ona
09/09/2017;2;7;14;Muy buena / Oso ona;11;49;57;Muy buena / Oso ona;278;1,16;Muy buena / Oso ona
08/09/2017;9;13;31;Muy buena / Oso ona;27;32;63;Buena / Ona;10;0,13;Buena / Ona
07/09/2017;4;9;25;Muy buena / Oso ona;15;27;54;Muy buena / Oso ona;7;0,48;Muy buena / Oso ona
06/09/2017;3;9;22;Muy buena / Oso ona;13;30;49;Muy buena / Oso ona;307;0,34;Muy buena / Oso ona
05/09/2017;8;8;22;Muy buena / Oso ona;20;30;60;Muy buena / Oso ona;335;0,38;Muy buena / Oso ona
04/09/2017;8;12;24;Muy buena / Oso ona;25;21;45;Muy buena / Oso ona;322;0,28;Muy buena / Oso ona
03/09/2017;4;10;18;Muy buena / Oso ona;15;31;62;Buena / Ona;330;0,06;Buena / Ona
02/09/2017;3;6;10;Muy buena / Oso ona;11;39;70;Buena / Ona;45;0,76;Buena / Ona
