Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
28/10/2017;0,73;0,4;0,5;Muy buena / Oso ona;0,82;34;36;68;Buena / Ona;88;2,44;17;Muy buena / Oso ona;4;Muy buena / Oso ona;7,18;Buena / Ona
27/10/2017;0,62;0,37;0,6;Muy buena / Oso ona;0,88;38;38;70;Buena / Ona;90;2,99;30;Buena / Ona;4;Muy buena / Oso ona;7,6;Buena / Ona
26/10/2017;2,08;0,46;;Sin datos / Daturik gabe;2,78;61;45;91;Buena / Ona;135;11,18;40;Buena / Ona;5;Muy buena / Oso ona;23,65;Buena / Ona
25/10/2017;1,36;0,51;0,61;Muy buena / Oso ona;1,54;61;43;73;Buena / Ona;137;4,55;40;Buena / Ona;5;Muy buena / Oso ona;17,22;Buena / Ona
24/10/2017;1,49;0,43;0,49;Muy buena / Oso ona;1,92;75;48;81;Buena / Ona;162;7,18;36;Buena / Ona;5;Muy buena / Oso ona;14,27;Buena / Ona
23/10/2017;1,08;0,35;0,51;Muy buena / Oso ona;1,25;42;40;73;Buena / Ona;104;3,89;20;Muy buena / Oso ona;4;Muy buena / Oso ona;8,85;Buena / Ona
22/10/2017;0,26;0,21;0,26;Muy buena / Oso ona;0,29;6;22;49;Muy buena / Oso ona;29;0,42;11;Muy buena / Oso ona;4;Muy buena / Oso ona;1,28;Muy buena / Oso ona
21/10/2017;0,19;0,19;0,42;Muy buena / Oso ona;0,27;;;;Sin datos / Daturik gabe;23;0,38;20;Muy buena / Oso ona;4;Muy buena / Oso ona;1,06;Muy buena / Oso ona
20/10/2017;1,2;0,4;0,51;Muy buena / Oso ona;1,25;49;42;71;Buena / Ona;118;4,95;28;Buena / Ona;4;Muy buena / Oso ona;8,85;Buena / Ona
19/10/2017;0,76;0,37;0,54;Muy buena / Oso ona;0,73;29;37;75;Buena / Ona;81;2,53;16;Muy buena / Oso ona;4;Muy buena / Oso ona;4,88;Buena / Ona
18/10/2017;0,93;0,41;0,59;Muy buena / Oso ona;0,6;34;40;72;Buena / Ona;93;2,12;27;Buena / Ona;4;Muy buena / Oso ona;4,71;Buena / Ona
17/10/2017;0,72;0,44;0,54;Muy buena / Oso ona;0,62;23;39;75;Buena / Ona;72;2,25;39;Buena / Ona;3;Muy buena / Oso ona;9,49;Buena / Ona
16/10/2017;0,34;0,36;0,42;Muy buena / Oso ona;0,31;12;34;62;Buena / Ona;42;0,91;29;Buena / Ona;2;Muy buena / Oso ona;2,22;Buena / Ona
15/10/2017;0,53;0,34;0,42;Muy buena / Oso ona;0,47;13;30;69;Buena / Ona;49;1,99;28;Buena / Ona;2;Muy buena / Oso ona;3,06;Buena / Ona
14/10/2017;0,73;0,42;0,46;Muy buena / Oso ona;0,64;27;35;88;Buena / Ona;77;2,65;37;Buena / Ona;3;Muy buena / Oso ona;4,45;Buena / Ona
13/10/2017;0,74;0,47;0,69;Muy buena / Oso ona;0,68;51;34;78;Buena / Ona;111;2,76;44;Buena / Ona;3;Muy buena / Oso ona;4,99;Buena / Ona
12/10/2017;0,6;0,42;0,6;Muy buena / Oso ona;0,6;25;32;57;Buena / Ona;62;2,04;28;Buena / Ona;3;Muy buena / Oso ona;4,58;Buena / Ona
11/10/2017;1,09;0,45;0,55;Muy buena / Oso ona;1,05;51;37;90;Buena / Ona;115;4,27;35;Buena / Ona;3;Muy buena / Oso ona;8,73;Buena / Ona
10/10/2017;0,92;0,41;0,58;Muy buena / Oso ona;0,81;32;35;64;Buena / Ona;83;2,84;20;Muy buena / Oso ona;3;Muy buena / Oso ona;6,31;Buena / Ona
09/10/2017;0,96;0,42;0,54;Muy buena / Oso ona;0,85;37;37;61;Buena / Ona;93;3,21;21;Muy buena / Oso ona;3;Muy buena / Oso ona;7,12;Buena / Ona
08/10/2017;;;;Sin datos / Daturik gabe;;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe
07/10/2017;0,61;0,36;0,49;Muy buena / Oso ona;0,5;24;31;67;Buena / Ona;68;1,36;17;Muy buena / Oso ona;3;Muy buena / Oso ona;4,43;Buena / Ona
06/10/2017;0,4;0,29;;Sin datos / Daturik gabe;0,35;13;24;51;Buena / Ona;43;0,7;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;3,34;Buena / Ona
05/10/2017;0,43;0,16;0,36;Muy buena / Oso ona;0,48;35;22;40;Muy buena / Oso ona;76;1,71;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;3,27;Muy buena / Oso ona
04/10/2017;0,56;0,23;0,36;Muy buena / Oso ona;0,79;41;23;40;Muy buena / Oso ona;87;3,49;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;5,71;Muy buena / Oso ona
03/10/2017;0,38;0,2;0,3;Muy buena / Oso ona;0,61;48;21;37;Muy buena / Oso ona;94;2,97;15;Muy buena / Oso ona;3;Muy buena / Oso ona;7,31;Muy buena / Oso ona
02/10/2017;0,42;0,21;0,29;Muy buena / Oso ona;0,45;38;30;70;Buena / Ona;88;1,95;12;Muy buena / Oso ona;3;Muy buena / Oso ona;2,89;Buena / Ona
01/10/2017;0,28;0,15;0,24;Muy buena / Oso ona;0,36;23;26;46;Muy buena / Oso ona;62;1,38;13;Muy buena / Oso ona;2;Muy buena / Oso ona;1,64;Muy buena / Oso ona
30/09/2017;0,31;0,15;0,23;Muy buena / Oso ona;0,38;18;32;52;Buena / Ona;59;1,79;13;Muy buena / Oso ona;2;Muy buena / Oso ona;2,52;Buena / Ona
29/09/2017;0,52;0,26;0,53;Muy buena / Oso ona;0,78;48;41;78;Buena / Ona;113;3,95;35;Buena / Ona;3;Muy buena / Oso ona;21,16;Buena / Ona
28/09/2017;0,88;0,42;0,55;Muy buena / Oso ona;1,45;60;54;114;Mejorable / Hobetzeko modukoa;145;7,71;46;Buena / Ona;5;Muy buena / Oso ona;31,27;Mejorable / Hobetzeko modukoa
27/09/2017;0,51;0,35;0,44;Muy buena / Oso ona;0,8;44;39;71;Buena / Ona;107;3,76;26;Buena / Ona;7;Muy buena / Oso ona;21,26;Buena / Ona
26/09/2017;0,41;0,3;0,4;Muy buena / Oso ona;0,62;35;34;57;Buena / Ona;87;2,94;18;Muy buena / Oso ona;6;Muy buena / Oso ona;6,63;Buena / Ona
25/09/2017;0,24;0,19;0,27;Muy buena / Oso ona;0,27;23;28;70;Buena / Ona;62;0,95;16;Muy buena / Oso ona;6;Muy buena / Oso ona;1,87;Buena / Ona
24/09/2017;0,27;0,12;0,34;Muy buena / Oso ona;0,29;14;22;41;Muy buena / Oso ona;43;1,15;24;Muy buena / Oso ona;6;Muy buena / Oso ona;2,77;Muy buena / Oso ona
23/09/2017;0,33;0,22;0,33;Muy buena / Oso ona;0,51;29;37;80;Buena / Ona;81;2,25;28;Buena / Ona;6;Muy buena / Oso ona;7,53;Buena / Ona
22/09/2017;0,46;0,25;0,33;Muy buena / Oso ona;1,18;35;40;70;Buena / Ona;94;3,36;26;Buena / Ona;6;Muy buena / Oso ona;11,26;Buena / Ona
21/09/2017;0,41;0,25;0,37;Muy buena / Oso ona;0,84;29;33;69;Buena / Ona;78;4,1;24;Muy buena / Oso ona;6;Muy buena / Oso ona;7,06;Buena / Ona
20/09/2017;1,15;0,29;0,4;Muy buena / Oso ona;1,73;33;39;73;Buena / Ona;90;5,84;17;Muy buena / Oso ona;6;Muy buena / Oso ona;6,15;Buena / Ona
19/09/2017;0,32;0,23;0,29;Muy buena / Oso ona;0,62;33;35;68;Buena / Ona;85;2,87;15;Muy buena / Oso ona;6;Muy buena / Oso ona;6,16;Buena / Ona
18/09/2017;0,91;0,17;0,23;Muy buena / Oso ona;1,21;22;29;59;Buena / Ona;63;2,96;12;Muy buena / Oso ona;6;Muy buena / Oso ona;2,95;Buena / Ona
17/09/2017;0,23;0,12;0,19;Muy buena / Oso ona;0,21;11;25;46;Muy buena / Oso ona;41;0,64;14;Muy buena / Oso ona;6;Muy buena / Oso ona;0,88;Muy buena / Oso ona
16/09/2017;0,24;0,11;0,18;Muy buena / Oso ona;0,29;10;25;44;Muy buena / Oso ona;39;0,57;10;Muy buena / Oso ona;6;Muy buena / Oso ona;0,98;Muy buena / Oso ona
15/09/2017;0,32;0,15;0,2;Muy buena / Oso ona;0,34;19;27;53;Buena / Ona;56;1,45;14;Muy buena / Oso ona;6;Muy buena / Oso ona;1,81;Buena / Ona
14/09/2017;0,23;0,14;0,19;Muy buena / Oso ona;0,36;15;29;68;Buena / Ona;51;1,44;21;Muy buena / Oso ona;6;Muy buena / Oso ona;2,06;Buena / Ona
13/09/2017;0,94;0,2;0,31;Muy buena / Oso ona;1,4;25;26;52;Buena / Ona;65;4,14;20;Muy buena / Oso ona;6;Muy buena / Oso ona;3,63;Buena / Ona
12/09/2017;0,3;0,19;0,24;Muy buena / Oso ona;0,39;19;29;69;Buena / Ona;58;1,58;18;Muy buena / Oso ona;6;Muy buena / Oso ona;3,33;Buena / Ona
11/09/2017;0,24;0,11;0,16;Muy buena / Oso ona;0,18;8;16;43;Muy buena / Oso ona;27;0,3;20;Muy buena / Oso ona;5;Muy buena / Oso ona;0,52;Muy buena / Oso ona
10/09/2017;0,2;0,09;0,16;Muy buena / Oso ona;0,15;;;;Sin datos / Daturik gabe;19;0,19;22;Muy buena / Oso ona;5;Muy buena / Oso ona;0,4;Muy buena / Oso ona
09/09/2017;0,2;0,09;0,23;Muy buena / Oso ona;0,17;6;16;34;Muy buena / Oso ona;25;0,27;15;Muy buena / Oso ona;5;Muy buena / Oso ona;0,45;Muy buena / Oso ona
