Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;CH4 (mg/m3);HCNM (mg/m3 HEX);D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;3;9;26;Muy buena / Oso ona;14;60;66;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;;332;95;994,8;14,4;0,82;Buena / Ona
27/10/2017;4;12;29;Muy buena / Oso ona;18;52;56;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;;;315;91;994;15,5;1,46;Muy buena / Oso ona
26/10/2017;4;17;32;Muy buena / Oso ona;23;55;63;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;;;302;64;988,3;18,9;0,9;Buena / Ona
25/10/2017;9;30;54;Buena / Ona;44;38;47;Muy buena / Oso ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;;;281;56;984,3;20,1;0,38;Buena / Ona
24/10/2017;7;34;86;Buena / Ona;45;41;58;Muy buena / Oso ona;13;Muy buena / Oso ona;13;Muy buena / Oso ona;;;276;58;984,6;17,9;0,39;Buena / Ona
23/10/2017;8;21;39;Muy buena / Oso ona;32;45;69;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;;303;80;988,5;13,6;0,59;Buena / Ona
22/10/2017;3;7;18;Muy buena / Oso ona;12;66;68;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;;264;88;990,3;12,3;2,31;Buena / Ona
21/10/2017;4;8;14;Muy buena / Oso ona;14;64;70;Buena / Ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;;292;80;986,1;15,1;3,26;Buena / Ona
20/10/2017;4;8;28;Muy buena / Oso ona;14;58;73;Buena / Ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;;;220;63;978,8;19,8;2,43;Buena / Ona
19/10/2017;3;8;14;Muy buena / Oso ona;13;59;68;Buena / Ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;;;231;77;974,6;15,7;1,84;Buena / Ona
18/10/2017;4;14;36;Muy buena / Oso ona;19;61;71;Buena / Ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;;;242;82;973,9;15,1;1,07;Buena / Ona
