Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;;;;Sin datos / Daturik gabe;3;68;81;Buena / Ona;12;Muy buena / Oso ona;8;Muy buena / Oso ona;264;84;1020;0;37,4;9;15,3;0,31;Buena / Ona
27/10/2017;;;;Sin datos / Daturik gabe;7;63;79;Buena / Ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;275;87;1021,6;0;38,8;9,8;16,1;0,58;Buena / Ona
26/10/2017;;;;Sin datos / Daturik gabe;9;70;85;Buena / Ona;20;Muy buena / Oso ona;10;Muy buena / Oso ona;213;63;1015,4;0;259,8;17,2;19,2;1,23;Buena / Ona
25/10/2017;;;;Sin datos / Daturik gabe;16;51;60;Muy buena / Oso ona;21;Muy buena / Oso ona;8;Muy buena / Oso ona;253;74;1011,4;0;268,7;16,9;16,8;0,51;Muy buena / Oso ona
24/10/2017;;;;Sin datos / Daturik gabe;14;51;57;Muy buena / Oso ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;213;71;1012,7;0;242;17,7;15,4;1,01;Muy buena / Oso ona
23/10/2017;;;;Sin datos / Daturik gabe;7;54;72;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;163;84;1016,4;0;276,8;17,5;13,3;0,82;Buena / Ona
22/10/2017;;;;Sin datos / Daturik gabe;3;61;72;Buena / Ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;206;91;1018,3;0,1;49,2;9,8;12,7;1,04;Buena / Ona
21/10/2017;;;;Sin datos / Daturik gabe;3;72;77;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;272;72;1013,5;0;79;12,3;16,8;2,4;Buena / Ona
20/10/2017;1;8;15;Muy buena / Oso ona;11;51;62;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;175;68;1005,4;0;228,4;19,5;18,8;1,48;Buena / Ona
19/10/2017;1;7;14;Muy buena / Oso ona;9;52;65;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;168;77;1001;0;223,8;18,2;16,2;1,3;Buena / Ona
18/10/2017;1;6;16;Muy buena / Oso ona;8;57;65;Buena / Ona;14;Muy buena / Oso ona;12;Muy buena / Oso ona;189;85;1000,1;0,1;17,8;4,5;15,6;1,12;Buena / Ona
17/10/2017;1;3;7;Muy buena / Oso ona;5;66;81;Buena / Ona;28;Buena / Ona;13;Muy buena / Oso ona;176;71;1005,2;0;136,9;17,3;20,3;2,84;Buena / Ona
16/10/2017;1;2;6;Muy buena / Oso ona;4;78;82;Buena / Ona;26;Buena / Ona;11;Muy buena / Oso ona;186;66;1010,4;0;233,1;20,6;22;3,19;Buena / Ona
15/10/2017;1;2;4;Muy buena / Oso ona;4;74;81;Buena / Ona;22;Muy buena / Oso ona;10;Muy buena / Oso ona;175;50;1009,4;0;230,8;23,4;25,7;6,56;Buena / Ona
14/10/2017;1;3;5;Muy buena / Oso ona;5;70;77;Buena / Ona;30;Buena / Ona;17;Buena / Ona;183;80;1012;0;265,3;24,6;20;1,26;Buena / Ona
13/10/2017;2;6;21;Muy buena / Oso ona;9;64;78;Buena / Ona;31;Buena / Ona;17;Buena / Ona;260;82;1013,4;0;248,6;24,2;17,8;0,56;Buena / Ona
12/10/2017;1;3;7;Muy buena / Oso ona;5;59;85;Buena / Ona;18;Muy buena / Oso ona;11;Muy buena / Oso ona;257;89;1014,1;0;276,1;24,2;16,1;0,3;Buena / Ona
11/10/2017;1;4;9;Muy buena / Oso ona;6;62;80;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;200;74;1010,3;0;237,6;20,9;17,8;1,76;Buena / Ona
10/10/2017;1;4;11;Muy buena / Oso ona;7;51;;Sin datos / Daturik gabe;12;Muy buena / Oso ona;8;Muy buena / Oso ona;216;92;1010,1;0;203,9;16,1;14,7;0,55;Muy buena / Oso ona
09/10/2017;1;2;8;Muy buena / Oso ona;5;56;73;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;200;83;1011,9;0;314,3;29,8;14,5;0,52;Buena / Ona
08/10/2017;1;2;4;Muy buena / Oso ona;4;63;85;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;201;80;1012,7;0;322,9;30,2;13,9;0,52;Buena / Ona
07/10/2017;1;2;6;Muy buena / Oso ona;4;58;81;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;180;79;1014,4;0;326,5;31,7;13,6;0,4;Buena / Ona
06/10/2017;1;1;4;Muy buena / Oso ona;3;61;80;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;319;87;1015,9;0;34,7;10,7;15,8;0,95;Buena / Ona
05/10/2017;1;4;11;Muy buena / Oso ona;6;53;82;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;333;92;1014,1;0;92,2;22,1;18,6;0,87;Buena / Ona
04/10/2017;1;3;6;Muy buena / Oso ona;5;30;42;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;327;94;1012,9;0;129,6;21,7;18,4;0,13;Muy buena / Oso ona
03/10/2017;2;4;9;Muy buena / Oso ona;7;20;31;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;360;99;1013,5;0;71,6;18,5;18,2;0,4;Muy buena / Oso ona
02/10/2017;1;3;6;Muy buena / Oso ona;5;45;59;Muy buena / Oso ona;6;Muy buena / Oso ona;7;Muy buena / Oso ona;249;97;1014,4;0;34,6;13;18,5;0,36;Muy buena / Oso ona
01/10/2017;1;2;6;Muy buena / Oso ona;4;46;58;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;246;91;1013;0;21,6;8,3;17,5;1,02;Muy buena / Oso ona
30/09/2017;1;0;3;Muy buena / Oso ona;2;63;74;Buena / Ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;2;96;1012,3;0,1;28,9;9,2;15,7;0,18;Buena / Ona
29/09/2017;1;5;11;Muy buena / Oso ona;7;71;101;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;13;Muy buena / Oso ona;246;84;1011;0;270,9;30,3;19;0,69;Mejorable / Hobetzeko modukoa
28/09/2017;1;8;17;Muy buena / Oso ona;10;73;94;Buena / Ona;18;Muy buena / Oso ona;12;Muy buena / Oso ona;237;77;1010,2;0;296,1;37;20;0,28;Buena / Ona
27/09/2017;2;5;12;Muy buena / Oso ona;8;58;74;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;172;83;1008,9;0;338,3;39,7;17,6;0,73;Buena / Ona
26/09/2017;1;3;12;Muy buena / Oso ona;5;49;64;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;166;88;1011,4;0;226,1;31,4;16,7;0,28;Buena / Ona
25/09/2017;1;1;7;Muy buena / Oso ona;3;59;84;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;251;89;1011,9;0,1;67;16;17,2;1,04;Buena / Ona
24/09/2017;1;2;5;Muy buena / Oso ona;4;76;91;Buena / Ona;16;Muy buena / Oso ona;10;Muy buena / Oso ona;307;85;1008,4;0;302;35,6;18,5;0,77;Buena / Ona
23/09/2017;1;3;7;Muy buena / Oso ona;5;62;88;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;189;81;1008;0;332,8;36,9;19,1;1,08;Buena / Ona
22/09/2017;1;1;7;Muy buena / Oso ona;3;62;70;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;268;94;1011,4;0,3;49,1;10,9;16,6;0,74;Buena / Ona
21/09/2017;1;6;20;Muy buena / Oso ona;9;60;85;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;261;81;1008;0;252,3;34,1;17,2;0,77;Buena / Ona
20/09/2017;1;3;7;Muy buena / Oso ona;5;61;81;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;253;80;1009,7;0;342,2;39,8;15;0,2;Buena / Ona
19/09/2017;1;1;8;Muy buena / Oso ona;4;60;83;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;291;82;1014,6;0;294,1;32,2;14,7;0,29;Buena / Ona
18/09/2017;1;5;10;Muy buena / Oso ona;7;47;65;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;220;95;1009,8;0,1;44,4;11,7;14,5;0,3;Buena / Ona
17/09/2017;1;2;10;Muy buena / Oso ona;4;60;73;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;240;77;1007,8;0;154;27,2;15,1;1;Buena / Ona
16/09/2017;1;4;8;Muy buena / Oso ona;6;54;65;Buena / Ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;202;90;1006,7;0,2;118,1;12,7;12;1,12;Buena / Ona
15/09/2017;1;5;12;Muy buena / Oso ona;7;49;61;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;205;89;1007,9;0,2;139,6;20,5;12,8;0,99;Buena / Ona
14/09/2017;1;1;4;Muy buena / Oso ona;4;59;71;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;269;80;1011,7;0,2;165,9;29,6;16,2;1,44;Buena / Ona
13/09/2017;1;3;8;Muy buena / Oso ona;6;42;54;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;250;80;1010,4;0;362,3;50,8;19,3;1,02;Muy buena / Oso ona
12/09/2017;2;2;8;Muy buena / Oso ona;5;57;71;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;224;82;1008,9;0;220,6;36,9;17,1;0,95;Buena / Ona
11/09/2017;1;0;2;Muy buena / Oso ona;2;61;71;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;277;86;1004,4;0,3;108,8;24,3;17,4;2,65;Buena / Ona
10/09/2017;1;1;6;Muy buena / Oso ona;3;64;72;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;274;77;1003,8;0;116,9;27,4;17,2;1,95;Buena / Ona
09/09/2017;1;0;3;Muy buena / Oso ona;2;66;69;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;275;81;1000,1;0,3;146,5;25;16,4;2,71;Buena / Ona
08/09/2017;1;4;10;Muy buena / Oso ona;7;55;76;Buena / Ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;154;77;1004,8;0;289,3;39,3;17,7;0,25;Buena / Ona
07/09/2017;1;3;12;Muy buena / Oso ona;6;50;66;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;261;77;1012,1;0;108,7;19,1;17,5;0,55;Buena / Ona
06/09/2017;1;1;5;Muy buena / Oso ona;3;59;65;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;326;84;1016;0;72,6;22,3;18,4;0,92;Buena / Ona
05/09/2017;1;3;10;Muy buena / Oso ona;5;47;65;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;323;86;1012,8;0;305,6;49,4;19,7;0,35;Buena / Ona
04/09/2017;1;2;9;Muy buena / Oso ona;4;39;53;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;256;85;1007,2;0;242,7;45,3;19,6;0,92;Muy buena / Oso ona
03/09/2017;1;2;6;Muy buena / Oso ona;4;53;78;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;214;78;1005,1;0;199,5;42,1;18,5;0,35;Buena / Ona
02/09/2017;1;1;7;Muy buena / Oso ona;3;63;77;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;300;77;1013,4;0;316,5;46,7;17,2;0,27;Buena / Ona
01/09/2017;1;2;9;Muy buena / Oso ona;4;55;71;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;254;82;1013,1;0;208,8;33,8;17;1,03;Buena / Ona
31/08/2017;1;2;8;Muy buena / Oso ona;4;54;73;Buena / Ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;296;86;1011,6;0;188,8;34,6;16,7;0,36;Buena / Ona
30/08/2017;1;3;7;Muy buena / Oso ona;5;51;63;Buena / Ona;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;315;92;1005,2;0,2;125,3;21,4;18,9;0,64;Buena / Ona
29/08/2017;1;4;8;Muy buena / Oso ona;6;59;79;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;202;89;1003,8;0;304,8;46,4;19,8;0,05;Buena / Ona
28/08/2017;1;5;9;Muy buena / Oso ona;7;50;66;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;170;75;1004;0;67,5;21,4;22,2;2,17;Buena / Ona
27/08/2017;1;3;7;Muy buena / Oso ona;5;40;49;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;176;84;1003,9;0;56,3;15,4;21,3;1,45;Muy buena / Oso ona
26/08/2017;1;1;2;Muy buena / Oso ona;3;50;58;Muy buena / Oso ona;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;352;88;1004,1;0;214,3;39;20,8;0,59;Muy buena / Oso ona
25/08/2017;1;1;2;Muy buena / Oso ona;3;51;61;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;347;86;1005,8;0;145,8;31,8;20,3;0,72;Buena / Ona
24/08/2017;1;1;7;Muy buena / Oso ona;3;50;58;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;337;88;1006,4;0;163,5;38,9;20,6;0,87;Muy buena / Oso ona
23/08/2017;1;1;4;Muy buena / Oso ona;3;56;68;Buena / Ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;104;83;1008;0;85,4;26,8;20,4;0,19;Buena / Ona
22/08/2017;1;3;13;Muy buena / Oso ona;5;79;104;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;10;Muy buena / Oso ona;283;68;1005,6;0;358,6;56,5;23,5;1,57;Mejorable / Hobetzeko modukoa
21/08/2017;1;4;9;Muy buena / Oso ona;6;84;116;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;6;Muy buena / Oso ona;356;65;1006,8;0;436,5;65,2;22,4;0,67;Mejorable / Hobetzeko modukoa
20/08/2017;1;1;5;Muy buena / Oso ona;3;55;65;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;133;77;1014,6;0;379,6;63,2;17,8;0,28;Buena / Ona
19/08/2017;1;0;1;Muy buena / Oso ona;2;62;69;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;21;78;1013,8;0;326,9;56,8;19,5;0,53;Buena / Ona
18/08/2017;1;2;6;Muy buena / Oso ona;4;55;71;Buena / Ona;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;285;88;1010,8;0;134,6;30,1;19,8;0,28;Buena / Ona
17/08/2017;1;4;7;Muy buena / Oso ona;6;57;78;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;340;82;1010,2;0;427,3;63,7;20,1;0,72;Buena / Ona
16/08/2017;1;1;5;Muy buena / Oso ona;3;46;54;Muy buena / Oso ona;5;Muy buena / Oso ona;1;Muy buena / Oso ona;341;85;1011,8;0;306,6;53,4;20;0,75;Muy buena / Oso ona
15/08/2017;1;1;2;Muy buena / Oso ona;3;49;67;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;322;88;1009,5;0;53;16,6;19,9;0,9;Buena / Ona
14/08/2017;1;4;10;Muy buena / Oso ona;6;58;85;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;289;82;1003,7;0,1;339,1;53,1;21;0,55;Buena / Ona
13/08/2017;1;2;4;Muy buena / Oso ona;4;55;64;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;304;82;1009,6;0;339;56,1;18,8;0,07;Buena / Ona
12/08/2017;1;1;3;Muy buena / Oso ona;3;57;70;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;346;78;1013,5;0;447,4;64,9;17,3;0,25;Buena / Ona
11/08/2017;1;3;11;Muy buena / Oso ona;5;62;76;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;315;74;1015,2;0;339,4;49,3;17;0,84;Buena / Ona
10/08/2017;1;0;2;Muy buena / Oso ona;2;73;76;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;282;77;1015,8;0;100,7;23,8;17,1;2,07;Buena / Ona
