Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
28/10/2017;0,24;0,27;Muy buena / Oso ona;1;1;3;Muy buena / Oso ona;3;82;84;Buena / Ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;335;89;923,4;0;36,2;10,4;1,48;Buena / Ona
27/10/2017;0,25;0,28;Muy buena / Oso ona;1;1;8;Muy buena / Oso ona;3;72;81;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;6;78;925,8;0;125;12,7;1,58;Buena / Ona
26/10/2017;0,24;0,28;Muy buena / Oso ona;1;4;8;Muy buena / Oso ona;6;75;96;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;235;55;922,5;0;119,6;15,6;0,56;Buena / Ona
25/10/2017;0,23;0,27;Muy buena / Oso ona;1;5;12;Muy buena / Oso ona;8;66;83;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;179;52;919,1;0;122,6;15,1;0,36;Buena / Ona
24/10/2017;0,22;0,26;Muy buena / Oso ona;1;4;10;Muy buena / Oso ona;6;60;81;Buena / Ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;145;51;919,6;0;126,7;14,4;0,17;Buena / Ona
23/10/2017;0,21;0,24;Muy buena / Oso ona;1;2;6;Muy buena / Oso ona;4;53;76;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;54;68;920,8;0;125,6;9,8;0,07;Buena / Ona
22/10/2017;0,2;0,24;Muy buena / Oso ona;1;1;3;Muy buena / Oso ona;3;55;76;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;4;86;921,7;0;67,2;6,6;0,58;Buena / Ona
21/10/2017;0,23;0,27;Muy buena / Oso ona;1;2;3;Muy buena / Oso ona;4;60;72;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;348;83;918,4;0,1;57,7;11,6;0,47;Buena / Ona
20/10/2017;0,25;0,29;Muy buena / Oso ona;1;3;21;Muy buena / Oso ona;5;64;81;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;204;75;913,1;0;118,9;14,5;3,43;Buena / Ona
19/10/2017;0,25;0,28;Muy buena / Oso ona;1;3;5;Muy buena / Oso ona;5;56;71;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;205;81;907,6;0;111,3;10,3;1,08;Buena / Ona
