FID,ogc_fid,nr,nom,naam,gestionnaire,zone,adresse,adres,commune,gemeente,cp,capac_aff,wkb_geometry
parkingpublic.fid--2e38e112_15225ebf4dc_-2f84,35,12,Loi,Wet,Interparking,Loi-Madou,Rue de la Loi 19,Wetstraat 19,Etterbeek,Etterbeek,1040,1115,POINT (150004 170533.99999889266)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f83,36,31,Scailquin,Scailquin,Parking Scailquin s.a.,Loi-Madou,Rue de l'Alliance 16,Verbondsstraat 16,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,1210,500,POINT (150117.00000000003 171099.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f82,37,25,Albertine Square,Albertina Square,Interparking,Centre,Place de la Justice 16,Gerechtsplein 16,Bruxelles,Brussel,1000,714,POINT (149024.99999999977 170339.9999988936)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f81,38,1,Alhambra,Alhambra,Interparking,Centre,Boulevard Emile Jacqmain 14,Emile Jacqmainlaan 14,Bruxelles,Brussel,1000,190,POINT (148890.99999999977 171345.99999889545)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f80,39,23,Dansaert,Dansaert,Q-Park,Centre,Place du Nouveau Marché aux Grains 2,Nieuwe Graanmarkt 2,Bruxelles,Brussel,1000,230,POINT (148373.99999999965 171191.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f7f,40,46,Dansaert 2,Dansaert 2,Q-Park,Centre,Rue de Flandre 60,Vlaanderenstraat 60,Bruxelles,Brussel,1000,150,POINT (148411.99999999965 171251.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f7e,41,28,De Brouckère,De Brouckère,Interparking,Centre,Place De Brouckère 1,De Brouckereplein 1,Bruxelles,Brussel,1000,485,POINT (148818.99999999974 171174.99999889545)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f7d,42,7,Ecuyer,Schildknaap,Interparking,Centre,Rue de l'Ecuyer 11-17,Schildknaapsstraat 11-17 ,Bruxelles,Brussel,1000,552,POINT (148921.9999999998 170973.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f7c,43,42,Grand Place,Grote Markt,Interparking,Centre,Rue du Marché aux Herbes 104,Grasmarkt 104  ,Bruxelles,Brussel,1000,992,POINT (149063.9999999998 170672.9999988936)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f7b,31,56,Louise-Claus,Louiza-Claus,Rivoli parking,Louise,Rue Emile Claus 47,Emile Clausstraat 47,Ixelles,Elsene,1050,150,POINT (149968.99999999997 167295.999998888)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f7a,44,32,Inno Centre,Inno Centre,Q-Park,Centre,Rue du Damier 26,Dambordstraat 26 ,Bruxelles,Brussel,1000,780,POINT (149234.99999999985 171447.99999889545)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f79,45,9,Lepage,Lepage,Q-Park,Centre,Rue Léon Lepage 23-31,Léon Lepagestraat 23-31,Bruxelles,Brussel,1000,610,POINT (148349.99999999962 171283.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f78,46,24,Monnaie,Munt,Interparking,Centre,Place de la Monnaie 25 ,Muntplein 25 ,Bruxelles,Brussel,1000,589,POINT (148935.9999999998 171106.99999889545)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f77,47,38,Panorama,Panorama,Hobinvest,Centre,Rue Van Helmont 19,Van Helmontstraat 19,Bruxelles,Brussel,1000,260,POINT (148441.99999999965 170443.99999889266)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f76,48,36,Parking 58 ,Parking 58 ,Interparking,Centre,Rue de l'Evêque 1 ,Bisschopsstraat 1 ,Bruxelles,Brussel,1000,610,POINT (148710.9999999997 171151.99999889266)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f75,49,27,Radisson SAS Hotel,Radisson SAS Hotel,The Carlson Redizor Hotel Group,Centre,Rue du Fossé aux Loups 47,47 Wolvengracht,Bruxelles,Brussel,1000,65,POINT (149126.9999999998 171025.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f74,50,29,Royal Windsor,Royal Windsor,Royal Warwick sa,Centre,Rue Duquesnoy 5,5 Duquesnoystraat,Bruxelles,Brussel,1000,103,POINT (148991.99999999977 170536.9999988936)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f73,51,55,Thon hotel,Thon hotel,Vinci Park,Centre,Rue de Trêves 120,Trierstraat 120,Ixelles,Elsene,1050,200,POINT (150470.00000000012 170346.9999988936)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f72,52,57,Brunfaut,Brunfaut,Commune de Molenbeek-Saint-Jean,Centre,Rue Fernand Brunfaut 18b ,Fernand Brunfautstraat 18b,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,1080,152,POINT (147872.99999999956 171326.99999889545)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f71,53,50,Delacroix,Delacroix,Abatan,Autres,Rue Jules Ruhl,Jules Ruhlstraat,Anderlecht,Anderlecht,1070,450,POINT (146963.99999999936 170443.9999988936)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f70,55,20,Simonis,Simonis,Q-Park,Autres,Place Eugène Simonis 24,Eugène Simonisplein 24 ,Koekelberg,Koekelberg,1081,132,POINT (147250.99999999945 172609.9999988973)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f6f,56,11,Stockel Square,Stockel Square,Interparking,Autres,Rue de l'Eglise 96a,Kerkstraat 96a ,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,1150,400,POINT (156710.00000000143 170042.99999889266)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f6e,57,40,Woluwe Shopping Center,Woluwe Shopping Center,Interparking,Autres,Boulevard de la Woluwe ,Woluwelaan ,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,1200,1982,POINT (154842.00000000105 170681.99999889452)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f6d,58,22,Central Gate,Central Gate,Interparking,Nord-Rogier,Cantersteen 39,Cantersteen 39,Bruxelles,Brussel,1000,26,POINT (149235.29179350744 170558.46436615218)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f6c,59,58,Parking Royal,Parking Royal,BESIX Park,Centre,Rue de Ligne 27,de Lignestraat 27,Bruxelles,Brussel,1000,199,POINT (149566.5476793483 170954.1084000822)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f6b,54,18,Erasme,Erasme,?,Autres,Route de Lennik,Lenniksebaan,Anderlecht,Anderlecht,1070,725,POINT (142864.5925680211 167105.9784303266)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f6a,60,,Lennik,Lennik,?,,Route de Lennik,Lennikse Baan,Anderlecht,Anderlecht,1070,575,POINT (142621.3059999998 167230.646)
parkingpublic.fid--2e38e112_15225ebf4dc_-2f69,34,43,Linthout,Linthout,Sogepa,Loi-Madou,Rue Bâtonnier Braffort,Stafhouder Braffortstraat,Etterbeek,Etterbeek,1040,73,POINT (152373.13761002457 170020.53588802702)
