Fecha,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión PM10,Ozono,Tolueno,Benceno,Xileno,Hidrocarburos totales,Hidrocarburos no metano
20100930 00:00:00,7,29,17,51,0.6,0.7,1.3,6.4,0.6
20100831 00:00:00,4,12,23,72,0.5,0.4,0.5,6.3,0.5
20100731 00:00:00,4,13,22,80,0.8,0.4,0.6,6.3,0.6
20100630 00:00:00,4,10,14,72,1.3,0.4,0.5,6.2,0.4
20100531 00:00:00,4,14,16,65,1.5,0.4,0.4,6.3,0.4
20100430 00:00:00,5,27,17,54,2.3,0.5,1.2,6.4,0.5
20100331 00:00:00,8,33,21,38,2.8,0.6,0.7,6.8,0.6
20100228 00:00:00,12,40,12,33,3.2,0.6,0.9,6.5,0.4
20100131 00:00:00,20,39,,26,4.1,,1.4,6.6,0.5
20091231 00:00:00,27,44,17,21,6.6,0.9,2.1,6.6,0.6
20091130 00:00:00,33,43,27,26,12,1,4.1,6.8,0.7
20091031 00:00:00,24,44,23,29,11.2,1.1,3.4,6.6,0.6
20090930 00:00:00,5,27,21,57,1.8,0.4,0.4,6.1,0.2
20090831 00:00:00,4,23,25,62,0.5,0.1,0.3,6,0.2
20090731 00:00:00,5,23,25,62,0.6,0.1,0.4,6.1,0.3
20090630 00:00:00,3,21,21,57,0.5,0.1,0.3,6,0.2
20090531 00:00:00,6,34,23,50,0.6,0.1,0.2,6.2,0.2
20090430 00:00:00,7,30,21,54,0.8,0.2,0.3,6.1,0.2
20090331 00:00:00,12,36,25,42,2,0.3,0.6,6.3,0.3
20090228 00:00:00,28,50,24,25,2.9,0.4,1,6.5,0.4
20090131 00:00:00,26,45,25,24,2.2,0.5,1,6.4,0.3
20081231 00:00:00,43,51,23,22,4,0.6,1.9,6.6,0.5
20081130 00:00:00,29,43,21,28,3.6,0.5,1.7,6.7,0.5
20081031 00:00:00,14,38,28,33,2.6,0.3,1.1,6.7,0.6
20080930 00:00:00,7,37,22,45,0.4,0.2,0.3,6.5,0.5
20080831 00:00:00,3,26,24,69,0.3,0.1,0.2,6.4,0.4
20080731 00:00:00,5,25,24,75,0.4,0.1,0.3,6.4,0.4
20080630 00:00:00,4,22,19,73,0.3,0.1,0.2,6.4,0.4
20080531 00:00:00,7,28,20,59,0.4,0.1,0.3,6.4,0.4
20080430 00:00:00,7,31,17,62,0.5,0.2,0.3,6.5,0.5
20080331 00:00:00,10,34,18,53,0.6,0.2,0.4,6.9,0.7
20080229 00:00:00,34,56,29,25,1.5,0.3,0.8,7.4,1
20080131 00:00:00,46,57,33,18,1.7,0.3,0.9,7.5,1
20071231 00:00:00,70,69,38,15,2.7,0.4,1.4,8,1.3
