Mes;Centro deportivo;Distrito;Grupo de actividad deportiva;N� Descuentos

2017.01 ENERO;ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;192

2017.01 ENERO;ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;189

2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ABONO DEPORTE MADRID;1

2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ABONO DEPORTE MADRID;1

2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;309

2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;325

2017.01 ENERO;MARQU�S DE SAMARANCH;ARGANZUELA                                        ;ABONO DEPORTE MADRID;4

2017.01 ENERO;MARQU�S DE SAMARANCH;ARGANZUELA                                        ;ABONO DEPORTE MADRID;3

2017.01 ENERO;MARQU�S DE SAMARANCH;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;478

2017.01 ENERO;MARQU�S DE SAMARANCH;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;536

2017.01 ENERO;BARAJAS;BARAJAS                                           ;ABONO DEPORTE MADRID;3

2017.01 ENERO;BARAJAS;BARAJAS                                           ;ABONO DEPORTE MADRID;1

2017.01 ENERO;BARAJAS;BARAJAS                                           ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;629

2017.01 ENERO;BARAJAS;BARAJAS                                           ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;596

2017.01 ENERO;LA MINA;CARABANCHEL                                       ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;1

2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ABONO DEPORTE MADRID;5

2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ABONO DEPORTE MADRID;1

2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;544

2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;622

2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;538

2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;15

2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;SERVICIOS DE MEDICINA;4

2017.01 ENERO;CONCEPCI�N;CIUDAD LINEAL                                     ;ABONO DEPORTE MADRID;3

2017.01 ENERO;CONCEPCI�N;CIUDAD LINEAL                                     ;ABONO DEPORTE MADRID;3

2017.01 ENERO;CONCEPCI�N;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;466

2017.01 ENERO;CONCEPCI�N;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;499

2017.01 ENERO;CONCEPCI�N;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;1

2017.01 ENERO;CONCEPCI�N;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;300

2017.01 ENERO;CONCEPCI�N;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;86

2017.01 ENERO;CONCEPCI�N;CIUDAD LINEAL                                     ;SERVICIOS DE MEDICINA;1

2017.01 ENERO;CONCEPCI�N;CIUDAD LINEAL                                     ;SERVICIOS DE MEDICINA;2

2017.01 ENERO;PUEBLO NUEVO;CIUDAD LINEAL                                     ;ABONO DEPORTE MADRID;49

2017.01 ENERO;PUEBLO NUEVO;CIUDAD LINEAL                                     ;ABONO DEPORTE MADRID;49

2017.01 ENERO;PUEBLO NUEVO;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;507

2017.01 ENERO;PUEBLO NUEVO;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;500

2017.01 ENERO;SAN JUAN BAUTISTA;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;170

2017.01 ENERO;SAN JUAN BAUTISTA;CIUDAD LINEAL                                     ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;171

2017.01 ENERO;LA MAS�;FUENCARRAL-ELPARDO                                ;ABONO DEPORTE MADRID;2

2017.01 ENERO;LA MAS�;FUENCARRAL-ELPARDO                                ;ABONO DEPORTE MADRID;2

2017.01 ENERO;LA MAS�;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;750

2017.01 ENERO;LA MAS�;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;798

2017.01 ENERO;LA MAS�;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;334

2017.01 ENERO;LA MAS�;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;81

2017.01 ENERO;LA VAGUADA;FUENCARRAL-ELPARDO                                ;ABONO DEPORTE MADRID;1

2017.01 ENERO;LA VAGUADA;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;188

2017.01 ENERO;LA VAGUADA;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;184

2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ABONO DEPORTE MADRID;4

2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;632

2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;602

2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;369

2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;102

2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;SERVICIOS DE MEDICINA;10

2017.01 ENERO;VICENTE DEL BOSQUE;FUENCARRAL-ELPARDO                                ;SERVICIOS DE MEDICINA;1

2017.01 ENERO;HORTALEZA;HORTALEZA                                         ;ABONO DEPORTE MADRID;2

2017.01 ENERO;HORTALEZA;HORTALEZA                                         ;ABONO DEPORTE MADRID;2

2017.01 ENERO;HORTALEZA;HORTALEZA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;586

2017.01 ENERO;HORTALEZA;HORTALEZA                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;725

