Sexo;Deporte;Fecha;Temporada;Municipio;C P ;Colegio;Distrito
M         ;DISCA.INTE;23/05/1999;2017-2018 ;MADRID                                            ;28024;C.E.E.JOAN MIRO                                                                                     ;USERA                                             
H         ;DISCA.INTE;28/05/2001;2017-2018 ;MADRID                                            ;28024;C.E.E.JOAN MIRO                                                                                     ;USERA                                             
H         ;DISCA.INTE;28/12/1998;2017-2018 ;MADRID                                            ;28024;C.E.E.JOAN MIRO                                                                                     ;USERA                                             
H         ;DISCA.INTE;12/03/1998;2017-2018 ;MADRID                                            ;28024;C.E.E.JOAN MIRO                                                                                     ;USERA                                             
H         ;DISCA.INTE;09/12/2004;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
M         ;DISCA.INTE;23/06/2001;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
M         ;DISCA.INTE;18/07/2008;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
M         ;DISCA.INTE;14/09/1999;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
H         ;DISCA.INTE;12/08/2007;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
H         ;DISCA.INTE;06/12/1998;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
H         ;DISCA.INTE;14/07/2001;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
M         ;DISCA.INTE;14/02/1998;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
H         ;DISCA.INTE;22/12/1998;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
M         ;DISCA.INTE;03/02/1998;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
M         ;DISCA.INTE;21/12/1999;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
M         ;DISCA.INTE;18/08/1998;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
H         ;DISCA.INTE;21/07/1997;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
H         ;DISCA.INTE;26/09/1997;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
H         ;DISCA.INTE;17/06/1997;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
H         ;DISCA.INTE;15/06/2000;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
H         ;DISCA.INTE;14/02/2004;2017-2018 ;MADRID                                            ;28015;CEE FUNDACION G™TZE

 

                                                                        ;MONCLOA-ARAVACA                                   
